domain,domain_new,study,physical,cognitive
verbal comprehension,mental status,map,fev,ideas
mental status,mental status,octo,pef,clock
mental status,mental status,eas,pef,mmse
mental status,mental status,map,fev,mmse
mental status,mental status,nas,fev,mmse
mental status,mental status,octo,pef,mmse
mental status,mental status,satsa,fev,mmse
attention,mental status,hrs,pef,serial7
fluency,verbal knowledge,eas,pef,categories
fluency,verbal knowledge,map,fev,categories
fluency,verbal knowledge,nas,fev,animals
fluency,verbal knowledge,eas,pef,fas
semantic memory,verbal knowledge,eas,pef,bnt
semantic memory,verbal knowledge,map,fev,bnt
semantic memory,verbal knowledge,octo,pef,information
semantic memory,verbal knowledge,satsa,fev,information
semantic memory,verbal knowledge,map,fev,nart
semantic memory,verbal knowledge,octo,pef,synonyms
semantic memory,verbal knowledge,satsa,fev,synonyms
semantic memory,verbal knowledge,eas,pef,waisvocab
fluid reasoning,verbal knowledge,satsa,fev,analogies
episodic memory,memory,map,fev,word_rec
episodic memory,memory,octo,pef,mir_recog
episodic memory,memory,octo,pef,mir
short-term memory,memory,satsa,fev,fig_mem
short-term memory,memory,map,fev,bstory_im
short-term memory,memory,map,fev,logic_im
short-term memory,memory,octo,pef,prose_im
short-term memory,memory,eas,pef,word_im
short-term memory,memory,elsa,fev,word_im
short-term memory,memory,hrs,pef,word_im
short-term memory,memory,lasa,pef,word_im
short-term memory,memory,map,fev,word_im
short-term memory,memory,nas,fev,word_im
attention,memory,map,fev,digit_f
attention,memory,octo,pef,digit_f
attention,memory,satsa,fev,digit_f
working memory,delayed/working memory,map,fev,digit_b
working memory,delayed/working memory,octo,pef,digit_b
working memory,delayed/working memory,satsa,fev,digit_b
working memory,delayed/working memory,nas,fev,digit_b_tot
working memory,delayed/working memory,map,fev,digit_o
executive function,delayed/working memory,eas,pef,trailsb
short-term memory,delayed/working memory,eas,pef,digit_tot
episodic memory,delayed/working memory,eas,pef,logic_tot
episodic memory,delayed/working memory,map,fev,bstory_de
episodic memory,delayed/working memory,map,fev,logic_de
episodic memory,delayed/working memory,elsa,fev,word_de
episodic memory,delayed/working memory,hrs,pef,word_de
episodic memory,delayed/working memory,map,fev,word_de
episodic memory,delayed/working memory,nas,fev,word_de
fluid reasoning,visualization,eas,pef,block
fluid reasoning,visualization,octo,pef,block
fluid reasoning,visualization,satsa,fev,block
fluid reasoning,visualization,octo,pef,fig_logic
fluid reasoning,visualization,map,fev,matrices
fluid reasoning,visualization,lasa,pef,raven
fluid reasoning,visualization,satsa,fev,rotate
visual discrimination,visualization,map,fev,line
visuospatial function,visualization,nas,fev,fig_copy
perceptual speed,perceptual speed,lasa,pef,letter
perceptual speed,perceptual speed,map,fev,num_comp
perceptual speed,perceptual speed,map,fev,pat_comp
perceptual speed,perceptual speed,octo,pef,psif
perceptual speed,perceptual speed,eas,pef,symbol
perceptual speed,perceptual speed,map,fev,symbol
perceptual speed,perceptual speed,octo,pef,symbol
perceptual speed,perceptual speed,satsa,fev,symbol
