"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pp_TAU_00","pp_TAU_00_se","pp_TAU_00_pval","pp_TAU_11","pp_TAU_11_se","pp_TAU_11_pval","cc_TAU_00","cc_TAU_00_se","cc_TAU_00_pval","cc_TAU_11","cc_TAU_11_se","cc_TAU_11_pval","p_SIGMA","p_SIGMA_se","p_SIGMA_pval","c_SIGMA","c_SIGMA_se","c_SIGMA_pval","pp_TAU_01","pp_TAU_01_se","pp_TAU_01_pval","pc_TAU_01","pc_TAU_01_se","pc_TAU_01_pval","pc_TAU_00","pc_TAU_00_se","pc_TAU_00_pval","pc_TAU_11","pc_TAU_11_se","pc_TAU_11_pval","pc_TAU_10","pc_TAU_10_se","pc_TAU_10_pval","cc_TAU_10","cc_TAU_10_se","cc_TAU_10_pval","pc_SIGMA","pc_SIGMA_se","pc_SIGMA_pval","p_GAMMA_00","p_GAMMA_00_se","p_GAMMA_00_pval","p_GAMMA_10","p_GAMMA_10_se","p_GAMMA_10_pval","c_GAMMA_00","c_GAMMA_00_se","c_GAMMA_00_pval","c_GAMMA_10","c_GAMMA_10_se","c_GAMMA_10_pval","notes"
"Mplus VERSION 7.31","0.1","06/27/2015"," 8:40 PM","nas","u0","male","age","pulmonary","nocog","fev1","nocogm",TRUE,1132,6,NA,6,-11942.454,23896.908,23927.098,23908.041,23896.9826666667,"u0_male_age_pulmonary_nocog_fev1_nocogm.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",27.451,1.355,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.388,0.244,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.55,0.162,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 8:42 PM","nas","u0","male","empty","pulmonary","nocog","fev1","nocogm",TRUE,1125,6,NA,3,-8153.668,16313.335,16328.412,16318.883,16313.3564094558,"u0_male_empty_pulmonary_nocog_fev1_nocogm.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.388,0.244,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 8:30 PM","nas","u0","male","full","pulmonary","nocog","fev1","nocogm",TRUE,1131,6,NA,107,-39689.999,79593.998,80132.3,79792.437,79616.5903753666,"u0_male_full_pulmonary_nocog_fev1_nocogm.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",20.453,1.078,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39,0.244,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.609,2.392,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.674,4.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 6:26 PM","nas","u1","male","ae","pulmonary","nocog","fev1","nocogm",TRUE,1132,6,NA,15,-14279.21,28588.42,28663.896,28616.252,28588.8501075269,"u1_male_ae_pulmonary_nocog_fev1_nocogm.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",28.023,1.404,0,0.035,0.006,0,NA,NA,NA,NA,NA,NA,2.279,0.139,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.72,0.574,0.21,24.255,0.503,0,-0.264,0.033,0,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.31","0.1","06/27/2015"," 6:25 PM","nas","u1","male","aeh","pulmonary","nocog","fev1","nocogm",TRUE,1132,6,NA,21,-17841.035,35724.071,35829.737,35763.035,35724.9034324324,"u1_male_aeh_pulmonary_nocog_fev1_nocogm.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",24.671,1.327,0,0.035,0.006,0,NA,NA,NA,NA,NA,NA,2.278,0.139,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.458,4.155,0,0.057,0.262,0.827,NA,NA,NA,NA,NA,NA,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 6:21 PM","nas","u1","male","aehplus","pulmonary","nocog","fev1","nocogm",TRUE,1131,6,NA,29,-17777.782,35613.564,35759.459,35667.346,35615.1443814714,"u1_male_aehplus_pulmonary_nocog_fev1_nocogm.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",22.873,1.24,0,0.034,0.006,0,NA,NA,NA,NA,NA,NA,2.276,0.139,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.066,4.03,0,0.087,0.261,0.739,NA,NA,NA,NA,NA,NA,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 6:33 PM","nas","u1","male","age","pulmonary","nocog","fev1","nocogm",TRUE,1132,6,NA,10,-11577.583,23175.166,23225.484,23193.721,23175.3622533452,"u1_male_age_pulmonary_nocog_fev1_nocogm.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",28.316,1.42,0,0.035,0.006,0,NA,NA,NA,NA,NA,NA,2.278,0.14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.679,0.17,0,-0.212,0.013,0,NA,NA,NA,NA,NA,NA,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 6:34 PM","nas","u1","male","empty","pulmonary","nocog","fev1","nocogm",TRUE,1125,6,NA,6,-7798.352,15608.703,15638.857,15619.799,15608.7781341682,"u1_male_empty_pulmonary_nocog_fev1_nocogm.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.277,0.139,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 8:24 PM","nas","u1","male","full","pulmonary","nocog","fev1","nocogm",TRUE,1131,6,NA,124,-39303.101,78854.202,79478.028,79084.168,78885.0171093439,"u1_male_full_pulmonary_nocog_fev1_nocogm.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",21.131,1.144,0,0.032,0.005,0,NA,NA,NA,NA,NA,NA,2.273,0.138,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.566,2.391,0.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.42,4.24,0,0.126,0.284,0.656,NA,NA,NA,NA,NA,NA,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 7:59 PM","nas","u2","male","ae","pulmonary","nocog","fev1","nocogm",TRUE,1132,6,NA,21,-14265.185,28572.369,28678.036,28611.334,28573.2014324324,"u2_male_ae_pulmonary_nocog_fev1_nocogm.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",27.322,1.389,0,0.042,0.009,0,NA,NA,NA,NA,NA,NA,2.207,0.137,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.72,0.574,0.21,24.339,0.523,0,-0.315,0.08,0,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.31","0.1","06/27/2015"," 7:46 PM","nas","u2","male","aeh","pulmonary","nocog","fev1","nocogm",TRUE,1132,6,NA,28,-17827.299,35710.597,35851.486,35762.55,35712.0693481414,"u2_male_aeh_pulmonary_nocog_fev1_nocogm.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",24.088,1.32,0,0.041,0.008,0,NA,NA,NA,NA,NA,NA,2.209,0.137,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.036,4.386,0,-0.144,0.674,0.831,NA,NA,NA,NA,NA,NA,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 7:48 PM","nas","u2","male","aehplus","pulmonary","nocog","fev1","nocogm",TRUE,1131,6,NA,40,-15209.771,30499.542,30700.776,30573.725,30502.5511743119,"u2_male_aehplus_pulmonary_nocog_fev1_nocogm.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",22.331,1.233,0,0.039,0.007,0,NA,NA,NA,NA,NA,NA,2.199,0.137,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.831,4.274,0,-0.033,0.668,0.961,NA,NA,NA,NA,NA,NA,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 8:12 PM","nas","u2","male","age","pulmonary","nocog","fev1","nocogm",TRUE,1132,6,NA,15,-11563.94,23157.88,23233.356,23185.712,23158.3101075269,"u2_male_age_pulmonary_nocog_fev1_nocogm.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",27.686,1.408,0,0.042,0.009,0,NA,NA,NA,NA,NA,NA,2.206,0.137,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.956,0.177,0,-0.334,0.031,0,NA,NA,NA,NA,NA,NA,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 8:13 PM","nas","u2","male","empty","pulmonary","nocog","fev1","nocogm",TRUE,1125,6,NA,10,-7784.812,15589.624,15639.879,15608.116,15589.821486535,"u2_male_empty_pulmonary_nocog_fev1_nocogm.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.204,0.137,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 7:55 PM","nas","u2","male","full","pulmonary","nocog","fev1","nocogm",TRUE,1131,6,NA,139,-39290.831,78859.662,79558.951,79117.447,78898.9354611504,"u2_male_full_pulmonary_nocog_fev1_nocogm.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",21.08,1.147,0,0.009,0.005,0.103,NA,NA,NA,NA,NA,NA,2.222,0.14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.586,2.391,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.278,4.5,0,0.022,0.683,0.974,NA,NA,NA,NA,NA,NA,"NA_Heterogeneous Res Covs"
