study_name,Processes,Gender,$n$,$r_{intercepts}$,$r_{slopes}$,$r_{residuals}$
satsa,   fev vs digit_f,male,299,"  0.15(0.11),*p*=.17","  0.10(0.92),*p*=.92","  0.05(0.05),*p*=.36"
satsa,   fev vs digit_f,male,300,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,   fev vs fig_mem,female,410,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,   fev vs fig_mem,male,299,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,   fev vs information,female,411,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,   fev vs information,male,300,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,   fev vs mmms,female,412,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,   fev vs mmms,male,300,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,   fev vs rotate,female,408,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,   fev vs rotate,male,299,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,   fev vs symbol,female,408,"  0.10(0.08),*p*=.23"," -0.16(0.20),*p*=.43","  0.03(0.04),*p*=.50"
satsa,   fev vs symbol,male,299,"  0.21(0.08),*p*=.01","  0.19(0.33),*p*=.57","  0.00(0.05),*p*=.99"
satsa,   fev vs synonyms,female,410,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,   fev vs synonyms,male,300,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,  grip vs analogies,female,410,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,  grip vs analogies,male,300,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,  grip vs block,female,409,"  0.20(0.09),*p*=.03","  0.05(0.38),*p*=.89","  0.11(0.04),*p*<.01"
satsa,  grip vs block,male,298,"  0.36(0.09),*p*<.01","  0.65(0.39),*p*=.10","  0.11(0.04),*p*=.01"
satsa,  grip vs digit_b,female,409,"  0.12(0.13),*p*=.35","  0.34(0.33),*p*=.31","  0.04(0.03),*p*=.27"
satsa,  grip vs digit_b,male,299,"  0.29(0.13),*p*=.02","  0.39(1.05),*p*=.71"," -0.03(0.05),*p*=.59"
satsa,  grip vs digit_f,female,409," -0.03(0.11),*p*=.77","  0.58(0.84),*p*=.49","  0.03(0.03),*p*=.32"
satsa,  grip vs digit_f,male,299,"  0.18(0.13),*p*=.17","  0.35(0.87),*p*=.69","  0.03(0.05),*p*=.47"
satsa,  grip vs information,female,411,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,  grip vs information,male,300,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,  grip vs mmms,female,412,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,  grip vs mmms,male,300,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,  grip vs symbol,female,409,"  0.23(0.10),*p*=.02","  0.39(0.28),*p*=.17","  0.11(0.04),*p*<.01"
satsa,  grip vs symbol,male,299,"  0.28(0.09),*p*<.01"," -0.05(0.41),*p*=.91","  0.12(0.05),*p*=.01"
satsa,  grip vs synonyms,female,410,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,  grip vs synonyms,male,300,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
