study_name,Processes,Gender,$n$,$r_{intercepts}$,$r_{slopes}$,$r_{residuals}$
eas,  gait vs trailsb,female,150," -0.08(0.19),*p*=.68"," -0.37(1.68),*p*=.82"," -0.01(0.10),*p*=.94"
eas,  gait vs trailsb,male,72," -0.01(0.47),*p*=.97"," -0.65(1.70),*p*=.70","  0.03(0.14),*p*=.84"
eas,  gait vs waisvocab,female,150,"  0.28(0.13),*p*=.03","  0.86(0.75),*p*=.26","  0.05(0.10),*p*=.65"
eas,  gait vs waisvocab,male,72," -0.11(0.37),*p*=.76"," -0.61(3.05),*p*=.84"," -0.06(0.22),*p*=.78"
eas,  grip vs block,female,150,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs block,male,72,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs bnt,female,150,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs bnt,male,72,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs categories,female,150,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs categories,male,72,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs digit_tot,female,150,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs digit_tot,male,72,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs fas,female,150,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs fas,male,72,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs information,female,145,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs information,male,72,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs logic_tot,female,150,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs logic_tot,male,72,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs mmms,female,150,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs mmms,male,72,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs symbol,female,150,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs symbol,male,72,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs trailsb,female,150,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs trailsb,male,72,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs waisvocab,female,150,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,  grip vs waisvocab,male,72,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,   pef vs block,female,150,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,   pef vs block,male,72,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,   pef vs digit_tot,female,150,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,   pef vs digit_tot,male,72,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,   pef vs symbol,female,150,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,   pef vs symbol,male,72,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,   pef vs trailsb,female,150,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
eas,   pef vs trailsb,male,72,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
elsa,   fev vs word_de,female,"3,511","  0.05(0.04),*p*=.25"," -0.43(1.05),*p*=.68","  0.01(0.03),*p*=.56"
elsa,   fev vs word_de,male,"3,091","  0.06(0.04),*p*=.16"," -0.22(0.39),*p*=.58","  0.03(0.03),*p*=.27"
elsa,   fev vs word_im,female,"3,511","  0.07(0.04),*p*=.09"," -0.16(0.43),*p*=.71","  0.02(0.02),*p*=.28"
elsa,   fev vs word_im,male,"3,091","  0.06(0.04),*p*=.15"," -0.11(0.18),*p*=.53","  0.05(0.02),*p*=.06"
elsa,fev100 vs word_de,female,"3,511","  0.05(0.04),*p*=.24"," -0.43(0.41),*p*=.29","  0.01(0.02),*p*=.54"
elsa,fev100 vs word_de,male,"3,091","  0.06(0.04),*p*=.15"," -0.22(0.33),*p*=.51","  0.03(0.02),*p*=.25"
elsa,fev100 vs word_im,female,"3,511","  0.07(0.04),*p*=.08"," -0.16(0.33),*p*=.63","  0.02(0.02),*p*=.24"
elsa,fev100 vs word_im,male,"3,091","  0.06(0.04),*p*=.15"," -0.11(0.17),*p*=.52","  0.05(0.02),*p*=.06"
elsa,  gait vs fluency,female,"3,510","  0.19(0.03),*p*<.01","  0.22(0.16),*p*=.18","  0.04(0.02),*p*=.04"
elsa,  gait vs fluency,male,"3,090","  0.22(0.04),*p*<.01","  0.12(0.25),*p*=.63","  0.00(0.02),*p*=.89"
elsa,  gait vs word_de,female,"3,510","  0.21(0.04),*p*<.01","  0.24(0.22),*p*=.27"," -0.02(0.02),*p*=.35"
elsa,  gait vs word_de,male,"3,090","  0.23(0.04),*p*<.01"," -0.07(0.21),*p*=.74","  0.03(0.02),*p*=.16"
elsa,  gait vs word_im,female,"3,510","  0.22(0.04),*p*<.01","  0.30(0.19),*p*=.11","  0.02(0.02),*p*=.18"
elsa,  gait vs word_im,male,"3,088","  0.21(0.04),*p*<.01"," -0.11(0.14),*p*=.44"," -0.00(0.02),*p*=.94"
elsa,  grip vs word_de,female,"3,511","  0.13(0.03),*p*<.01"," -0.02(0.57),*p*=.97","  0.02(0.02),*p*=.30"
elsa,  grip vs word_de,male,"3,091","  0.05(0.04),*p*=.20"," -0.48(0.42),*p*=.26","  0.02(0.02),*p*=.33"
elsa,  grip vs word_im,female,"3,511","  0.12(0.04),*p*<.01"," -0.03(0.28),*p*=.91","  0.02(0.02),*p*=.49"
elsa,  grip vs word_im,male,"3,091","  0.02(0.04),*p*=.57"," -0.42(0.34),*p*=.22","  0.06(0.02),*p*=.02"
hrs,  gait vs serial7,female,370,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,  gait vs serial7,male,318,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,  gait vs tics,female,370,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,  gait vs tics,male,318,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,  gait vs word_de,female,370,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,  gait vs word_de,male,318,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,  gait vs word_im,female,370,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,  gait vs word_im,male,318,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,  grip vs serial7,female,641,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,  grip vs serial7,male,507,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,  grip vs tics,female,641,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,  grip vs tics,male,507,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,  grip vs word_de,female,641,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,  grip vs word_de,male,507,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,  grip vs word_im,female,641,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,  grip vs word_im,male,507,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,   pef vs serial7,female,715,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,   pef vs serial7,male,535,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,   pef vs tics,female,715,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,   pef vs tics,male,535,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,   pef vs word_de,female,715,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,   pef vs word_de,male,535,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,   pef vs word_im,female,715,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
hrs,   pef vs word_im,male,535,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
ilse,  grip vs fluency,female,225,"  0.10(0.11),*p*=.35","  0.58(0.72),*p*=.43","  0.15(0.08),*p*=.06"
ilse,  grip vs fluency,male,252,"  0.07(0.10),*p*=.47","  0.19(0.76),*p*=.80","  0.21(0.07),*p*<.01"
ilse,  grip vs piccomp,female,225,"  0.02(0.11),*p*=.85","  0.32(0.63),*p*=.61","  0.00(0.08),*p*=.91"
ilse,  grip vs piccomp,male,252,"  0.20(0.11),*p*=.06","  0.42(0.41),*p*=.29","  0.06(0.08),*p*=.32"
ilse,  grip vs symbol,female,225," -0.25(0.09),*p*=.01","  0.21(0.30),*p*=.48"," -0.01(0.07),*p*=.86"
ilse,  grip vs symbol,male,252," -0.08(0.10),*p*=.41"," -0.07(0.36),*p*=.85","  0.06(0.08),*p*=.40"
ilse,  grip vs waisgeneral,female,225,"  0.03(0.09),*p*=.75","  0.42(0.42),*p*=.32"," -0.08(0.08),*p*=.31"
ilse,  grip vs waisgeneral,male,252,"  0.12(0.11),*p*=.25","  0.23(1.11),*p*=.83"," -0.04(0.08),*p*=.65"
ilse,   tug vs block,female,225,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
ilse,   tug vs block,male,252,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
ilse,   tug vs fluency,female,225,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
ilse,   tug vs piccomp,female,225,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
ilse,   tug vs piccomp,male,252,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
ilse,   tug vs symbol,female,225,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
ilse,   tug vs symbol,male,252,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
ilse,   tug vs waisgeneral,female,225,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
ilse,   tug vs waisgeneral,male,252,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
lasa,  gait vs letter,female,782," -0.32(0.12),*p*=.01"," -0.24(0.11),*p*=.02"," -0.05(0.02),*p*=.02"
lasa,  gait vs letter,male,800," -0.30(0.21),*p*=.15"," -0.32(0.14),*p*=.02"," -0.03(0.04),*p*=.43"
lasa,  gait vs raven,female,782," -0.25(0.15),*p*=.10"," -0.53(0.18),*p*<.01","  0.03(0.04),*p*=.40"
lasa,  gait vs raven,male,800," -0.23(0.19),*p*=.23"," -0.23(0.16),*p*=.15","  0.02(0.03),*p*=.38"
lasa,  gait vs word_im,female,782," -0.31(0.18),*p*=.08"," -0.28(0.19),*p*=.13"," -0.02(0.02),*p*=.21"
lasa,  gait vs word_im,male,800," -0.27(0.20),*p*=.17","  0.10(0.49),*p*=.85"," -0.01(0.03),*p*=.77"
lasa,  grip vs letter,female,782,"  0.03(0.06),*p*=.59","  0.40(0.93),*p*=.67","  0.08(0.03),*p*<.01"
lasa,  grip vs letter,male,800,"  0.10(0.05),*p*=.05","  0.61(0.41),*p*=.13","  0.09(0.03),*p*=.01"
lasa,  grip vs raven,female,782,"  0.03(0.07),*p*=.66","  0.32(1.66),*p*=.85","  0.01(0.03),*p*=.70"
lasa,  grip vs raven,male,800,"  0.17(0.05),*p*<.01","  0.93(0.69),*p*=.18","  0.07(0.03),*p*=.02"
lasa,  grip vs word_im,female,782,"  0.11(0.07),*p*=.10","  0.23(2.09),*p*=.91","  0.12(0.03),*p*<.01"
lasa,  grip vs word_im,male,800,"  0.07(0.06),*p*=.25","  0.16(0.80),*p*=.84","  0.14(0.03),*p*<.01"
lasa,   pef vs letter,female,782,"  0.22(0.04),*p*<.01"," -0.03(0.30),*p*=.92","  0.11(0.03),*p*<.01"
lasa,   pef vs letter,male,800,"  0.16(0.04),*p*<.01","  0.18(0.12),*p*=.13","  0.12(0.03),*p*<.01"
lasa,   pef vs raven,female,782,"  0.29(0.05),*p*<.01"," -0.14(0.45),*p*=.75","  0.00(0.03),*p*=.85"
lasa,   pef vs raven,male,800,"  0.18(0.05),*p*<.01","  0.54(0.19),*p*<.01","  0.03(0.03),*p*=.25"
lasa,   pef vs word_im,female,782,"  0.16(0.05),*p*<.01","  0.10(0.57),*p*=.86","  0.14(0.02),*p*<.01"
lasa,   pef vs word_im,male,800,"  0.10(0.05),*p*=.04","  0.11(0.44),*p*=.80","  0.10(0.03),*p*<.01"
map,   fev vs bnt,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs bnt,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs bstory_de,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs bstory_de,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs bstory_im,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs bstory_im,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs categories,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs categories,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs digit_b,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs digit_b,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs digit_f,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs digit_f,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs digit_o,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs digit_o,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs ideas,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs ideas,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs line,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs line,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs logic_de,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs logic_de,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs logic_im,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs logic_im,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
