study_name,process_a,process_b,subgroup,model_type,subject_count,stem,ci95_lower,ci95_upper,est,pval,se,wald
eas,gait,digit_tot,male,a,379,i,0.206002393576546,0.389446835885591,0.3,0.017,0.125,2.397
eas,gait,digit_tot,male,a,379,r,-0.114317712132264,0.0871138347102382,-0.014,0.856,0.076,-0.182
eas,gait,digit_tot,male,a,379,s,0.0776094836744451,0.272831702381128,0.179,0.779,0.637,0.281
eas,gait,digit_tot,male,ae,379,i,0.181529544680746,0.367663544210101,0.277,0.03,0.128,2.173
eas,gait,digit_tot,male,ae,379,r,-0.115646290214918,0.0857775176336437,-0.015,0.843,0.076,-0.198
eas,gait,digit_tot,male,ae,379,s,-0.0226847450327076,0.177563959084272,0.08,0.909,0.701,0.114
eas,gait,digit_tot,male,aeh,72,i,-0.128476332746582,0.32989780217226,0.106,0.741,0.322,0.33
eas,gait,digit_tot,male,aeh,72,r,-0.228543117235716,0.23478922091359,0.003,0.982,0.15,0.022
eas,gait,digit_tot,male,aeh,72,s,0.682295242485705,0.863081286604837,0.791,0.48,1.119,0.707
eas,gait,digit_tot,male,aehplus,72,i,-0.17533655719958,0.286488566438485,0.059,0.873,0.368,0.16
eas,gait,digit_tot,male,aehplus,72,r,-0.239460059408454,0.2238472170471,-0.008,0.964,0.184,-0.045
eas,gait,digit_tot,male,aehplus,72,s,0.580744359553728,0.81288951880432,0.713,0.633,1.495,0.477
eas,gait,digit_tot,male,full,72,i,-0.215463757324155,0.247745797639813,0.017,0.966,0.404,0.042
eas,gait,digit_tot,male,full,72,r,-0.237560927541642,0.225759137409943,-0.006,0.977,0.212,-0.029
eas,gait,digit_tot,male,full,72,s,0.531505525282138,0.787245120357168,0.679,0.679,1.639,0.414
eas,gait,fas,female,a,572,i,0.264516431940522,0.409733038943379,0.339,0,0.082,4.118
eas,gait,fas,female,a,572,r,-0.0831749248780721,0.0807879499773566,-0.001,0.983,0.057,-0.021
eas,gait,fas,female,a,572,s,0.758096376824499,0.819750283642586,0.791,0.012,0.315,2.513
eas,gait,fas,female,ae,572,i,0.254119067861643,0.400415165941212,0.329,0,0.084,3.904
eas,gait,fas,female,ae,572,r,-0.0851414814389361,0.078819979415851,-0.003,0.956,0.057,-0.055
eas,gait,fas,female,ae,572,s,0.872178809364669,0.906306109438861,0.891,0.01,0.344,2.592
eas,gait,fas,female,aeh,150,i,0.22483702092419,0.502058876676208,0.372,0.002,0.121,3.064
eas,gait,fas,female,aeh,150,r,-0.226675840062821,0.0923637499215795,-0.069,0.343,0.073,-0.949
eas,gait,fas,female,aeh,150,s,0.657797053777916,0.804849489492505,0.74,0.328,0.756,0.978
eas,gait,fas,female,aehplus,150,i,0.101646280301417,0.401393318071688,0.258,0.062,0.138,1.864
eas,gait,fas,female,aehplus,150,r,-0.22423778701954,0.094909846722175,-0.066,0.397,0.078,-0.847
eas,gait,fas,female,aehplus,150,s,0.356845858303622,0.60219058848652,0.489,0.425,0.613,0.798
eas,gait,fas,female,full,150,i,0.110429634909381,0.408818697834108,0.266,0.074,0.149,1.786
eas,gait,fas,female,full,150,r,-0.227453199110491,0.0915510636236906,-0.07,0.401,0.083,-0.839
eas,gait,fas,female,full,150,s,0.405132369502062,0.63698530913651,0.53,0.419,0.656,0.808
eas,gait,fas,male,a,358,i,0.200748790425194,0.389797168732298,0.298,0.007,0.11,2.714
eas,gait,fas,male,a,358,r,-0.0678765661711233,0.139158228120327,0.036,0.608,0.07,0.513
eas,gait,fas,male,a,358,s,0.740539690551328,0.820949118788594,0.784,0.299,0.755,1.039
eas,gait,fas,male,ae,358,i,0.187912549673257,0.378425411737767,0.286,0.012,0.114,2.504
eas,gait,fas,male,ae,358,r,-0.0719645809241951,0.135127395316287,0.032,0.651,0.071,0.452
eas,gait,fas,male,ae,358,s,0.689966985128122,0.784105354564338,0.74,0.357,0.804,0.921
eas,gait,fas,male,aeh,72,i,-0.267579722992728,0.1951146767994,-0.038,0.866,0.226,-0.169
eas,gait,fas,male,aeh,72,r,-0.23697252550676,0.226350778325396,-0.006,0.974,0.17,-0.033
eas,gait,fas,male,aeh,72,s,0.120538877493126,0.532072525705626,0.343,0.858,1.912,0.179
eas,gait,fas,male,aehplus,72,i,-0.279484479599451,0.182706361001954,-0.051,0.86,0.29,-0.176
eas,gait,fas,male,aehplus,72,r,-0.249589852976835,0.21358861756991,-0.019,0.932,0.224,-0.085
eas,gait,fas,male,aehplus,72,s,0.526120212299563,0.784385647476602,0.675,0.802,2.694,0.251
eas,gait,fas,male,full,72,i,-0.323336540307781,0.135692997173118,-0.099,0.763,0.329,-0.301
eas,gait,fas,male,full,72,r,-0.235736438083102,0.227592557350313,-0.004,0.987,0.255,-0.017
eas,gait,fas,male,full,72,s,0.509374931148574,0.775423609431218,0.663,0.845,3.393,0.196
eas,gait,information,female,a,524,i,-0.0046029137745758,0.165593231334855,0.081,0.376,0.092,0.886
eas,gait,information,female,a,524,r,-0.0979799099341199,0.0733081497303846,-0.012,0.806,0.05,-0.246
eas,gait,information,female,a,524,s,-0.337038019813143,-0.177124054210089,-0.259,0.464,0.353,-0.733
eas,gait,information,female,ae,524,i,-0.0297836404397107,0.140997056331413,0.056,0.586,0.103,0.545
eas,gait,information,female,ae,524,r,-0.0980827221569056,0.0732048969779688,-0.013,0.806,0.051,-0.245
eas,gait,information,female,ae,524,s,-0.363343361141834,-0.206006508151711,-0.287,0.449,0.379,-0.757
eas,gait,information,female,aeh,130,i,0.045028373109337,0.37385433033815,0.216,0.235,0.182,1.187
eas,gait,information,female,aeh,130,r,-0.187392136511272,0.1568975434687,-0.016,0.866,0.094,-0.168
eas,gait,information,female,aeh,130,s,-0.655460159205753,-0.411133824315075,-0.545,0.591,1.014,-0.537
eas,gait,information,female,aehplus,130,i,-0.05161446731902,0.287810146233537,0.122,0.58,0.22,0.554
eas,gait,information,female,aehplus,130,r,-0.189367010733252,0.154899772722282,-0.018,0.866,0.106,-0.168
eas,gait,information,female,aehplus,130,s,-0.653494775920015,-0.408272886555671,-0.542,0.7,1.408,-0.385
eas,gait,information,female,full,130,i,-0.0452764784586175,0.293626112146302,0.128,0.568,0.224,0.571
eas,gait,information,female,full,130,r,-0.183100275027705,0.161229470999781,-0.011,0.925,0.12,-0.094
eas,gait,information,female,full,130,s,-0.644387335095612,-0.395078097904553,-0.531,0.729,1.535,-0.346
eas,gait,information,male,a,352,i,0.0541277036285519,0.258041998949666,0.158,0.337,0.164,0.959
eas,gait,information,male,a,352,r,-0.233341947850739,-0.0278847946736085,-0.132,0.043,0.065,-2.021
eas,gait,information,male,a,352,s,0.647308654982826,0.753274198808873,0.705,0.349,0.753,0.936
eas,gait,information,male,ae,352,i,0.013224342987195,0.219427002386671,0.118,0.523,0.184,0.639
eas,gait,information,male,ae,352,r,-0.232787071724113,-0.0272984936469719,-0.131,0.054,0.068,-1.928
eas,gait,information,male,ae,352,s,0.828515130366443,0.883875375471443,0.859,0.35,0.918,0.935
eas,gait,information,male,aeh,70,i,0.244726814821265,0.622264073461349,0.454,0.203,0.356,1.273
eas,gait,information,male,aeh,70,r,-0.216742043285875,0.253042143932219,0.019,0.877,0.124,0.155
eas,gait,information,male,aeh,70,s,-0.381553467774897,0.0768669399576437,-0.162,0.972,4.641,-0.035
eas,gait,information,male,aehplus,70,i,0.231077729403561,0.613318208486122,0.442,0.318,0.442,0.999
eas,gait,information,male,aehplus,70,r,-0.213780752021424,0.255946207220681,0.022,0.905,0.188,0.119
eas,gait,information,male,aehplus,70,s,-0.428327197819232,0.0210460920885741,-0.211,0.98,8.365,-0.025
eas,gait,information,male,full,70,i,0.264612940759022,0.635123671574597,0.47,0.346,0.499,0.943
eas,gait,information,male,full,70,r,-0.209794547766052,0.25984203463778,0.027,0.913,0.243,0.109
eas,gait,information,male,full,70,s,-0.430277075739441,0.0186565974114413,-0.217,0.984,10.864,-0.02
eas,gait,logic_tot,female,a,554,i,0.0559114124208908,0.219341602197787,0.139,0.137,0.093,1.485
eas,gait,logic_tot,female,a,554,r,-0.0303068025144605,0.135833674532752,0.053,0.343,0.056,0.948
eas,gait,logic_tot,female,a,554,s,0.123112778328517,0.282811202587919,0.204,0.552,0.343,0.594
eas,gait,logic_tot,female,ae,554,i,0.00723396468215015,0.172486843726312,0.09,0.355,0.098,0.925
eas,gait,logic_tot,female,ae,554,r,-0.0309643129985926,0.135187631669617,0.052,0.354,0.057,0.927
eas,gait,logic_tot,female,ae,554,s,0.113502256349095,0.273819261718554,0.195,0.582,0.354,0.55
eas,gait,logic_tot,female,aeh,150,i,-0.0481600354229571,0.268375942789559,0.113,0.431,0.143,0.788
eas,gait,logic_tot,female,aeh,150,r,-0.1335058035132,0.186783802755376,0.027,0.746,0.084,0.324
eas,gait,logic_tot,female,aeh,150,s,0.129816922357039,0.425069901194342,0.284,0.675,0.678,0.419
eas,gait,logic_tot,female,aehplus,150,i,-0.0833158309967583,0.235307580543233,0.078,0.603,0.15,0.52
eas,gait,logic_tot,female,aehplus,150,r,-0.140430809471051,0.17996371074622,0.02,0.83,0.095,0.214
eas,gait,logic_tot,female,aehplus,150,s,0.156608037465841,0.447218336624446,0.308,0.685,0.759,0.406
eas,gait,logic_tot,female,full,150,i,-0.072204932034589,0.245839094042959,0.089,0.583,0.162,0.549
eas,gait,logic_tot,female,full,150,r,-0.144795824140646,0.175648940435518,0.016,0.866,0.094,0.169
eas,gait,logic_tot,female,full,150,s,0.261243769413466,0.530436974454592,0.404,0.662,0.923,0.437
eas,gait,logic_tot,male,a,350,i,0.150915408937459,0.347422821775461,0.252,0.066,0.137,1.838
eas,gait,logic_tot,male,a,350,r,-0.128490727498493,0.0810496457993094,-0.024,0.75,0.075,-0.318
eas,gait,logic_tot,male,a,350,s,-0.101410941554814,0.108246233629342,0.003,0.996,0.58,0.005
eas,gait,logic_tot,male,ae,350,i,0.104630266465449,0.305384624721551,0.207,0.167,0.15,1.382
eas,gait,logic_tot,male,ae,350,r,-0.121864100905599,0.0877338152569708,-0.017,0.824,0.078,-0.222
eas,gait,logic_tot,male,ae,350,s,-0.345576010462509,-0.14886376542829,-0.25,0.736,0.74,-0.337
eas,gait,logic_tot,male,aeh,72,i,-0.044223405793061,0.403356853131649,0.189,0.529,0.301,0.63
eas,gait,logic_tot,male,aeh,72,r,-0.247421018713653,0.215793657483665,-0.017,0.901,0.134,-0.125
eas,gait,logic_tot,male,aeh,72,s,-0.0343554912163835,0.411599006341949,0.2,0.874,1.263,0.158
eas,gait,logic_tot,male,aehplus,72,i,-0.0592553731639674,0.390660284547466,0.175,0.624,0.357,0.49
eas,gait,logic_tot,male,aehplus,72,r,-0.254792467485966,0.208279843498579,-0.025,0.895,0.186,-0.132
eas,gait,logic_tot,male,aehplus,72,s,0.458122774389185,0.747310906541818,0.624,0.795,2.403,0.26
eas,gait,logic_tot,male,full,72,i,-0.0649175721622388,0.385832977382007,0.169,0.672,0.399,0.424
eas,gait,logic_tot,male,full,72,r,-0.257300397262595,0.205710955403253,-0.027,0.911,0.244,-0.112
eas,gait,logic_tot,male,full,72,s,0.431028788063917,0.732018959784067,0.602,0.858,3.361,0.179
eas,gait,mmms,female,a,383,i,0.335716882194364,0.500779149071574,0.422,0.029,0.193,2.183
eas,gait,mmms,female,a,383,r,-0.091361370118479,0.10903600337711,0.009,0.909,0.078,0.115
eas,gait,mmms,female,a,383,s,-0.121253271677329,0.0790698527008643,-0.027,0.984,1.336,-0.02
eas,gait,mmms,female,ae,383,i,0.335127762302448,0.500281648987441,0.421,0.036,0.201,2.092
eas,gait,mmms,female,ae,383,r,-0.0919274919087185,0.10847183909708,0.008,0.915,0.078,0.106
eas,gait,mmms,female,ae,383,s,-0.124872577456202,0.0754168181969931,-0.023,0.987,1.418,-0.017
eas,gait,mmms,female,aeh,72,i,0.0645280187640971,0.490350493890048,0.292,0.566,0.508,0.574
eas,gait,mmms,female,aeh,72,r,-0.203163537912176,0.259781221766641,0.03,0.842,0.151,0.199
eas,gait,mmms,female,aeh,72,s,-0.12685227897295,0.331368283364186,0.113,0.946,1.666,0.068
eas,gait,mmms,female,aehplus,72,i,0.0356208302209719,0.468026099911687,0.265,0.674,0.629,0.421
eas,gait,mmms,female,aehplus,72,r,-0.201515974194852,0.261382468341934,0.032,0.849,0.165,0.191
eas,gait,mmms,female,aehplus,72,s,-0.0944230310893794,0.360272242177889,0.138,0.964,3.05,0.045
eas,gait,mmms,female,full,72,i,-0.00792928829973047,0.433317927208542,0.224,0.773,0.778,0.289
eas,gait,mmms,female,full,72,r,-0.198821419733151,0.263995792764242,0.034,0.864,0.201,0.171
