"software","version","date","time","output_file","data_file","file_path","study_name","model_number","subgroup","model_type","process_a","process_b","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","has_converged","trust_all","mistrust","covar_covered","ab_TAU_00_est","ab_TAU_00_se","ab_TAU_00_wald","ab_TAU_00_pval","ab_TAU_11_est","ab_TAU_11_se","ab_TAU_11_wald","ab_TAU_11_pval","ab_TAU_01_est","ab_TAU_01_se","ab_TAU_01_wald","ab_TAU_01_pval","ab_TAU_10_est","ab_TAU_10_se","ab_TAU_10_wald","ab_TAU_10_pval","ab_SIGMA_est","ab_SIGMA_se","ab_SIGMA_wald","ab_SIGMA_pval","aa_TAU_00_est","aa_TAU_00_se","aa_TAU_00_wald","aa_TAU_00_pval","aa_TAU_11_est","aa_TAU_11_se","aa_TAU_11_wald","aa_TAU_11_pval","aa_TAU_01_est","aa_TAU_01_se","aa_TAU_01_wald","aa_TAU_01_pval","a_SIGMA_est","a_SIGMA_se","a_SIGMA_wald","a_SIGMA_pval","bb_TAU_00_est","bb_TAU_00_se","bb_TAU_00_wald","bb_TAU_00_pval","bb_TAU_11_est","bb_TAU_11_se","bb_TAU_11_wald","bb_TAU_11_pval","bb_TAU_10_est","bb_TAU_10_se","bb_TAU_10_wald","bb_TAU_10_pval","b_SIGMA_est","b_SIGMA_se","b_SIGMA_wald","b_SIGMA_pval","a_GAMMA_00_est","a_GAMMA_00_se","a_GAMMA_00_wald","a_GAMMA_00_pval","a_GAMMA_10_est","a_GAMMA_10_se","a_GAMMA_10_wald","a_GAMMA_10_pval","b_GAMMA_00_est","b_GAMMA_00_se","b_GAMMA_00_wald","b_GAMMA_00_pval","b_GAMMA_10_est","b_GAMMA_10_se","b_GAMMA_10_wald","b_GAMMA_10_pval","R_IAIB_est","R_IAIB_se","R_IAIB_wald","R_IAIB_pval","R_SASB_est","R_SASB_se","R_SASB_wald","R_SASB_pval","R_RES_AB_est","R_RES_AB_se","R_RES_AB_wald","R_RES_AB_pval","a_GAMMA_01_est","a_GAMMA_01_se","a_GAMMA_01_wald","a_GAMMA_01_pval","a_GAMMA_11_est","a_GAMMA_11_se","a_GAMMA_11_wald","a_GAMMA_11_pval","b_GAMMA_01_est","b_GAMMA_01_se","b_GAMMA_01_wald","b_GAMMA_01_pval","b_GAMMA_11_est","b_GAMMA_11_se","b_GAMMA_11_wald","b_GAMMA_11_pval","a_GAMMA_02_est","a_GAMMA_02_se","a_GAMMA_02_wald","a_GAMMA_02_pval","a_GAMMA_12_est","a_GAMMA_12_se","a_GAMMA_12_wald","a_GAMMA_12_pval","b_GAMMA_02_est","b_GAMMA_02_se","b_GAMMA_02_wald","b_GAMMA_02_pval","b_GAMMA_12_est","b_GAMMA_12_se","b_GAMMA_12_wald","b_GAMMA_12_pval","a_GAMMA_03_est","a_GAMMA_03_se","a_GAMMA_03_wald","a_GAMMA_03_pval","a_GAMMA_13_est","a_GAMMA_13_se","a_GAMMA_13_wald","a_GAMMA_13_pval","b_GAMMA_03_est","b_GAMMA_03_se","b_GAMMA_03_wald","b_GAMMA_03_pval","b_GAMMA_13_est","b_GAMMA_13_se","b_GAMMA_13_wald","b_GAMMA_13_pval","a_GAMMA_04_est","a_GAMMA_04_se","a_GAMMA_04_wald","a_GAMMA_04_pval","a_GAMMA_14_est","a_GAMMA_14_se","a_GAMMA_14_wald","a_GAMMA_14_pval","b_GAMMA_04_est","b_GAMMA_04_se","b_GAMMA_04_wald","b_GAMMA_04_pval","b_GAMMA_14_est","b_GAMMA_14_se","b_GAMMA_14_wald","b_GAMMA_14_pval","a_GAMMA_05_est","a_GAMMA_05_se","a_GAMMA_05_wald","a_GAMMA_05_pval","a_GAMMA_15_est","a_GAMMA_15_se","a_GAMMA_15_wald","a_GAMMA_15_pval","b_GAMMA_05_est","b_GAMMA_05_se","b_GAMMA_05_wald","b_GAMMA_05_pval","b_GAMMA_15_est","b_GAMMA_15_se","b_GAMMA_15_wald","b_GAMMA_15_pval","a_GAMMA_06_est","a_GAMMA_06_se","a_GAMMA_06_wald","a_GAMMA_06_pval","a_GAMMA_16_est","a_GAMMA_16_se","a_GAMMA_16_wald","a_GAMMA_16_pval","b_GAMMA_06_est","b_GAMMA_06_se","b_GAMMA_06_wald","b_GAMMA_06_pval","b_GAMMA_16_est","b_GAMMA_16_se","b_GAMMA_16_wald","b_GAMMA_16_pval"
"Mplus VERSION 7.31","0.1","12/01/2015"," 1:03 PM","b1_female_aehplus_fev_gait.out"," ELSA_Portland_New_nomiss_years.dat","C:/Users/andkov/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical/b1_female_aehplus_fev_gait.out","elsa","b1","female","aehplus","fev","gait",3511,6,NA,41,-3368.305,6818.61,7071.32,6941.043,6819.60279331219,TRUE,TRUE,NA,0,0.016,0.004,4.314,0,0,0,0.732,0.464,0,0,-0.168,0.866,0,0.001,-0.019,0.985,0.001,0.001,0.749,0.454,0.144,0.015,9.619,0,0,0,0.804,0.421,-0.001,0.002,-0.773,0.439,0.101,0.009,11.353,0,0.037,0.002,20.315,0,0,0,4.222,0,0,0,-4.276,0,0.023,0.001,26.96,0,1.885,0.02,93.715,0,-0.029,0.003,-10.69,0,0.844,0.011,76.193,0,-0.018,0.001,-12.412,0,"0.219","0.042","5.267","0.000","0.397","0.249","1.591","0.112","0.022","0.028","0.763","0.445",-0.026,0.001,-22.186,0,0,0,-0.829,0.407,-0.01,0.001,-11.897,0,-0.001,0,-5.384,0,0.098,0.021,4.645,0,0.001,0.003,0.47,0.639,0.09,0.012,7.492,0,0,0.001,-0.096,0.924,0.029,0.002,16.472,0,-0.001,0,-2.415,0.016,0.006,0.001,6.336,0,0,0,-2.593,0.01,-0.104,0.02,-5.175,0,-0.002,0.003,-0.835,0.404,-0.038,0.011,-3.266,0.001,0,0.001,0.084,0.933,-0.114,0.037,-3.091,0.002,0.003,0.006,0.437,0.662,-0.084,0.019,-4.399,0,-0.002,0.003,-0.945,0.345,-0.046,0.045,-1.021,0.307,-0.003,0.007,-0.468,0.64,-0.134,0.027,-5.034,0,-0.001,0.003,-0.186,0.853
"Mplus VERSION 7.31","0.1","12/01/2015","12:56 PM","b1_female_aehplus_grip_fev.out"," ELSA_Portland_New_nomiss_years.dat","C:/Users/andkov/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical/b1_female_aehplus_grip_fev.out","elsa","b1","female","aehplus","grip","fev",3511,6,NA,41,-26235.725,52553.449,52806.159,52675.882,52554.4417933122,TRUE,TRUE,NA,0,0.397,0.071,5.636,0,0.001,0.001,1.217,0.224,-0.018,0.009,-1.98,0.048,-0.01,0.008,-1.294,0.196,0.013,0.023,0.563,0.573,18.642,1.211,15.389,0,0.03,0.018,1.637,0.102,-0.218,0.127,-1.716,0.086,8.644,0.426,20.301,0,0.14,0.017,7.991,0,0,0,0.405,0.685,-0.001,0.002,-0.384,0.701,0.102,0.01,10.531,0,20.542,0.209,98.225,0,-0.409,0.026,-15.598,0,1.883,0.02,93.684,0,-0.028,0.003,-10.442,0,"0.246","0.045","5.439","0.000","0.633","0.947","0.668","0.504","0.014","0.024","0.563","0.573",-0.223,0.012,-19.344,0,-0.011,0.002,-7.004,0,-0.026,0.001,-22.235,0,0,0,-0.614,0.54,1.017,0.219,4.633,0,-0.017,0.026,-0.655,0.513,0.098,0.021,4.678,0,0.001,0.003,0.42,0.674,0.223,0.017,13.277,0,-0.004,0.002,-2.059,0.04,0.029,0.002,16.517,0,-0.001,0,-2.465,0.014,-0.132,0.201,-0.657,0.511,-0.007,0.024,-0.281,0.779,-0.104,0.02,-5.181,0,-0.002,0.003,-0.807,0.42,-1.723,0.398,-4.328,0,0.081,0.052,1.57,0.117,-0.113,0.037,-3.041,0.002,0.003,0.006,0.412,0.681,-1.482,0.457,-3.245,0.001,0.021,0.056,0.379,0.705,-0.045,0.045,-1.002,0.316,-0.004,0.007,-0.514,0.608
"Mplus VERSION 7.31","0.1","12/01/2015"," 2:25 PM","b1_female_aehplus_grip_gait.out"," ELSA_Portland_New_nomiss_years.dat","C:/Users/andkov/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical/b1_female_aehplus_grip_gait.out","elsa","b1","female","aehplus","grip","gait",3511,6,NA,41,-21130.653,42343.306,42596.016,42465.739,42344.2987933122,TRUE,TRUE,NA,0,0.304,0.033,9.218,0,0.001,0,2.012,0.044,0,0.002,-0.158,0.874,-0.004,0.004,-1.142,0.253,0.026,0.01,2.711,0.007,18.788,1.153,16.295,0,0.034,0.016,2.076,0.038,-0.237,0.116,-2.042,0.041,8.575,0.401,21.406,0,0.037,0.002,21.615,0,0,0,7.758,0,0,0,-5.616,0,0.023,0.001,27.624,0,20.564,0.209,98.436,0,-0.416,0.026,-15.861,0,0.844,0.011,76.531,0,-0.018,0.001,-12.813,0,"0.363","0.030","11.916","0.000","0.496","0.097","5.116","0.000","0.059","0.021","2.788","0.005",-0.222,0.012,-19.27,0,-0.011,0.002,-7.335,0,-0.009,0.001,-11.556,0,-0.001,0,-5.955,0,1.016,0.219,4.638,0,-0.018,0.026,-0.688,0.491,0.091,0.012,7.606,0,0,0.001,-0.104,0.917,0.223,0.017,13.341,0,-0.004,0.002,-2.062,0.039,0.006,0.001,6.516,0,0,0,-2.703,0.007,-0.147,0.201,-0.731,0.465,-0.006,0.024,-0.256,0.798,-0.039,0.011,-3.395,0.001,0,0.001,0.146,0.884,-1.725,0.398,-4.337,0,0.082,0.051,1.599,0.11,-0.085,0.019,-4.481,0,-0.002,0.003,-0.838,0.402,-1.492,0.456,-3.272,0.001,0.021,0.056,0.379,0.705,-0.132,0.026,-4.998,0,-0.001,0.003,-0.151,0.88
"Mplus VERSION 7.31","0.1","12/01/2015","12:44 PM","b1_male_aehplus_fev_gait.out"," ELSA_Portland_New_nomiss_years.dat","C:/Users/andkov/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical/b1_male_aehplus_fev_gait.out","elsa","b1","male","aehplus","fev","gait",3091,6,NA,41,-5349.677,10781.353,11028.84,10898.566,10782.4825506724,TRUE,TRUE,NA,0,0.028,0.006,4.474,0,0,0,1.255,0.209,-0.001,0.001,-0.928,0.353,-0.001,0.001,-1.8,0.072,0.001,0.002,0.535,0.593,0.364,0.037,9.926,0,0.001,0.001,1.78,0.075,-0.011,0.005,-2.449,0.014,0.192,0.017,10.994,0,0.036,0.004,8.728,0,0,0,1.287,0.198,-0.001,0.001,-1.138,0.255,0.025,0.001,21.195,0,2.62,0.041,63.546,0,-0.033,0.006,-5.357,0,0.88,0.015,58.749,0,-0.017,0.002,-8.434,0,"0.241","0.053","4.552","0.000","0.344","0.306","1.124","0.261","0.013","0.025","0.535","0.592",-0.033,0.002,-18.242,0,0,0,-1.407,0.159,-0.008,0.001,-9.473,0,0,0,-3.862,0,0.221,0.035,6.327,0,-0.008,0.005,-1.751,0.08,0.102,0.013,7.802,0,0.003,0.002,1.896,0.058,0.034,0.003,13.124,0,0,0,-0.144,0.885,0.005,0.001,4.943,0,0,0,-1.649,0.099,-0.218,0.034,-6.371,0,0.004,0.004,0.856,0.392,-0.041,0.014,-2.925,0.003,0,0.002,-0.019,0.984,-0.206,0.046,-4.438,0,0.004,0.006,0.697,0.486,-0.039,0.016,-2.388,0.017,-0.002,0.002,-0.896,0.37,-0.014,0.056,-0.243,0.808,-0.022,0.009,-2.553,0.011,-0.063,0.021,-3.038,0.002,-0.001,0.003,-0.271,0.786
"Mplus VERSION 7.31","0.1","12/01/2015","12:47 PM","b1_male_aehplus_grip_fev.out"," ELSA_Portland_New_nomiss_years.dat","C:/Users/andkov/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical/b1_male_aehplus_grip_fev.out","elsa","b1","male","aehplus","grip","fev",3091,6,NA,41,-27840.232,55762.465,56009.951,55879.677,55763.5945506724,TRUE,TRUE,NA,0,0.712,0.157,4.53,0,0.003,0.002,1.493,0.136,-0.027,0.02,-1.373,0.17,-0.019,0.018,-1.066,0.287,0.025,0.049,0.513,0.608,39.846,2.975,13.395,0,0.054,0.045,1.193,0.233,-0.578,0.334,-1.73,0.084,18.413,0.959,19.197,0,0.363,0.037,9.875,0,0.001,0.001,1.707,0.088,-0.011,0.005,-2.379,0.017,0.192,0.018,10.97,0,34.6,0.398,86.982,0,-0.637,0.054,-11.835,0,2.621,0.041,63.585,0,-0.033,0.006,-5.375,0,"0.187","0.041","4.581","0.000","0.420","0.342","1.227","0.220","0.013","0.026","0.516","0.606",-0.43,0.018,-24.36,0,-0.013,0.002,-5.483,0,-0.033,0.002,-18.261,0,0,0,-1.387,0.165,1.334,0.35,3.811,0,-0.041,0.044,-0.934,0.35,0.22,0.035,6.294,0,-0.008,0.005,-1.672,0.095,0.29,0.023,12.394,0,0.002,0.003,0.605,0.545,0.034,0.003,13.154,0,0,0,-0.192,0.848,-0.333,0.34,-0.978,0.328,-0.015,0.04,-0.375,0.707,-0.218,0.034,-6.376,0,0.004,0.004,0.828,0.408,0.025,0.453,0.054,0.957,-0.17,0.059,-2.891,0.004,-0.205,0.046,-4.411,0,0.004,0.006,0.639,0.523,-1.585,0.581,-2.727,0.006,-0.212,0.067,-3.179,0.001,-0.012,0.056,-0.211,0.833,-0.022,0.009,-2.589,0.01
"Mplus VERSION 7.31","0.1","12/01/2015","12:52 PM","b1_male_aehplus_grip_gait.out"," ELSA_Portland_New_nomiss_years.dat","C:/Users/andkov/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical/b1_male_aehplus_grip_gait.out","elsa","b1","male","aehplus","grip","gait",3091,6,NA,41,-21281.844,42645.687,42893.174,42762.9,42646.8165506724,TRUE,TRUE,NA,0,0.335,0.067,5.034,0,0.001,0.001,1.436,0.151,0.004,0.008,0.457,0.648,-0.007,0.008,-0.89,0.374,0.014,0.018,0.786,0.432,40.496,2.987,13.559,0,0.07,0.046,1.535,0.125,-0.662,0.337,-1.966,0.049,18.144,0.937,19.374,0,0.036,0.004,8.809,0,0,0,1.317,0.188,-0.001,0.001,-1.123,0.262,0.025,0.001,21.312,0,34.624,0.398,87.077,0,-0.646,0.054,-12.02,0,0.88,0.015,58.928,0,-0.017,0.002,-8.662,0,"0.277","0.053","5.219","0.000","0.548","0.405","1.352","0.176","0.022","0.027","0.789","0.430",-0.428,0.018,-24.282,0,-0.014,0.002,-5.841,0,-0.008,0.001,-9.448,0,0,0,-4.081,0,1.337,0.35,3.82,0,-0.045,0.044,-1.026,0.305,0.101,0.013,7.753,0,0.003,0.002,2.061,0.039,0.289,0.023,12.359,0,0.002,0.003,0.661,0.509,0.005,0.001,4.757,0,0,0,-1.38,0.168,-0.338,0.34,-0.994,0.32,-0.013,0.04,-0.323,0.746,-0.041,0.014,-2.895,0.004,0,0.002,-0.13,0.897,0.016,0.453,0.035,0.972,-0.164,0.059,-2.79,0.005,-0.037,0.016,-2.255,0.024,-0.002,0.002,-1.07,0.284,-1.58,0.58,-2.725,0.006,-0.214,0.066,-3.224,0.001,-0.063,0.021,-3.058,0.002,-0.001,0.003,-0.357,0.721
