"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","p_GAMMA_01_est","p_GAMMA_01_se","p_GAMMA_01_wald","p_GAMMA_01_pval","p_GAMMA_11_est","p_GAMMA_11_se","p_GAMMA_11_wald","p_GAMMA_11_pval","c_GAMMA_01_est","c_GAMMA_01_se","c_GAMMA_01_wald","c_GAMMA_01_pval","c_GAMMA_11_est","c_GAMMA_11_se","c_GAMMA_11_wald","c_GAMMA_11_pval","p_GAMMA_02_est","p_GAMMA_02_se","p_GAMMA_02_wald","p_GAMMA_02_pval","p_GAMMA_12_est","p_GAMMA_12_se","p_GAMMA_12_wald","p_GAMMA_12_pval","c_GAMMA_02_est","c_GAMMA_02_se","c_GAMMA_02_wald","c_GAMMA_02_pval","c_GAMMA_12_est","c_GAMMA_12_se","c_GAMMA_12_wald","c_GAMMA_12_pval","p_GAMMA_03_est","p_GAMMA_03_se","p_GAMMA_03_wald","p_GAMMA_03_pval","p_GAMMA_13_est","p_GAMMA_13_se","p_GAMMA_13_wald","p_GAMMA_13_pval","c_GAMMA_03_est","c_GAMMA_03_se","c_GAMMA_03_wald","c_GAMMA_03_pval","c_GAMMA_13_est","c_GAMMA_13_se","c_GAMMA_13_wald","c_GAMMA_13_pval","p_GAMMA_04_est","p_GAMMA_04_se","p_GAMMA_04_wald","p_GAMMA_04_pval","p_GAMMA_14_est","p_GAMMA_14_se","p_GAMMA_14_wald","p_GAMMA_14_pval","c_GAMMA_04_est","c_GAMMA_04_se","c_GAMMA_04_wald","c_GAMMA_04_pval","c_GAMMA_14_est","c_GAMMA_14_se","c_GAMMA_14_wald","c_GAMMA_14_pval","p_GAMMA_05_est","p_GAMMA_05_se","p_GAMMA_05_wald","p_GAMMA_05_pval","p_GAMMA_15_est","p_GAMMA_15_se","p_GAMMA_15_wald","p_GAMMA_15_pval","c_GAMMA_05_est","c_GAMMA_05_se","c_GAMMA_05_wald","c_GAMMA_05_pval","c_GAMMA_15_est","c_GAMMA_15_se","c_GAMMA_15_wald","c_GAMMA_15_pval","p_GAMMA_06_est","p_GAMMA_06_se","p_GAMMA_06_wald","p_GAMMA_06_pval","p_GAMMA_16_est","p_GAMMA_16_se","p_GAMMA_16_wald","p_GAMMA_16_pval","c_GAMMA_06_est","c_GAMMA_06_se","c_GAMMA_06_wald","c_GAMMA_06_pval","c_GAMMA_16_est","c_GAMMA_16_se","c_GAMMA_16_wald","c_GAMMA_16_pval","trust_all","mistrust","has_converged","covar_covered"
"Mplus VERSION 7.3","0.1","09/10/2015"," 9:43 AM","eas","b1","female","aehplus",NA,NA,"grip","gait",TRUE,147,9,NA,41,-2700.358,5482.716,5605.324,5475.578,5515.516,"b1_female_aehplus_grip_gait.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",17.348,16.542,1.049,0.294,0.518,0.749,0.691,0.49,-2.377,5.232,-0.454,0.65,-0.732,3.928,-0.186,0.852,0.419,1.824,0.23,0.818,23.871,5.135,4.648,0,0.246,0.217,1.136,0.256,-1.089,1.169,-0.932,0.352,5.814,0.51,11.409,0,343.64,79.811,4.306,0,6.415,4.338,1.479,0.139,-13.441,18.869,-0.712,0.476,60.697,8.211,7.392,0,18.394,1.571,11.711,0,-2.264,0.485,-4.664,0,109.205,8.529,12.804,0,-2.937,2.793,-1.051,0.293,0.192,0.173,1.107,0.268,0.412,0.484,0.85,0.395,0.022,0.097,0.229,0.819,-0.072,0.033,-2.177,0.029,NA,NA,NA,NA,-0.061,0.134,-0.457,0.648,NA,NA,NA,NA,0.105,0.051,2.067,0.039,NA,NA,NA,NA,0.07,0.294,0.24,0.811,NA,NA,NA,NA,-0.003,0.025,-0.113,0.91,NA,NA,NA,NA,0.053,0.087,0.606,0.544,NA,NA,NA,NA,0.008,0.323,0.024,0.981,NA,NA,NA,NA,-0.373,1.276,-0.292,0.77,NA,NA,NA,NA,0.187,0.594,0.316,0.752,NA,NA,NA,NA,-0.156,2.027,-0.077,0.939,NA,NA,NA,NA,0.205,0.348,0.588,0.556,NA,NA,NA,NA,0.519,2.207,0.235,0.814,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.3","0.1","09/10/2015"," 9:30 AM","eas","b1","female","aehplus",NA,NA,"grip","pef",TRUE,150,9,NA,41,-3663.993,7409.986,7533.422,7403.665,7441.87488888889,"b1_female_aehplus_grip_pef.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",79.963,52.414,1.526,0.127,-0.375,2.171,-0.173,0.863,1.78,16.428,0.108,0.914,1.102,16.162,0.068,0.946,12.226,8.134,1.503,0.133,4485.188,1200.221,3.737,0,24.946,27.153,0.919,0.358,-254.349,149.764,-1.698,0.089,1753.502,125.528,13.969,0,23.592,5.15,4.581,0,0.243,0.205,1.184,0.237,-0.998,1.205,-0.829,0.407,5.811,0.516,11.258,0,348.929,25.501,13.683,0,-31.441,5.518,-5.698,0,18.567,1.607,11.551,0,-2.31,0.526,-4.395,0,0.246,0.141,1.742,0.081,-0.152,0.875,-0.174,0.862,0.121,0.08,1.514,0.13,0.248,0.441,0.561,0.575,NA,NA,NA,NA,-0.068,0.037,-1.834,0.067,NA,NA,NA,NA,0.896,0.627,1.429,0.153,NA,NA,NA,NA,0.106,0.047,2.258,0.024,NA,NA,NA,NA,0.619,0.306,2.025,0.043,NA,NA,NA,NA,-0.002,0.021,-0.111,0.911,NA,NA,NA,NA,2.132,3.276,0.651,0.515,NA,NA,NA,NA,0.004,0.321,0.014,0.989,NA,NA,NA,NA,3.142,9.223,0.341,0.733,NA,NA,NA,NA,0.208,0.592,0.352,0.725,NA,NA,NA,NA,-0.714,8.032,-0.089,0.929,NA,NA,NA,NA,0.158,0.383,0.413,0.68,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.3","0.1","09/10/2015"," 9:07 AM","eas","b1","female","aehplus",NA,NA,"pef","gait",TRUE,150,9,NA,41,-3981.792,8045.585,8169.021,8039.264,8077.47388888889,"b1_female_aehplus_pef_gait.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",89.24,240.256,0.371,0.71,-5.915,11.283,-0.524,0.6,17.077,72.112,0.237,0.813,9.899,43.917,0.225,0.822,21.742,37.567,0.579,0.563,4594.76,1253.022,3.667,0,26.222,25.665,1.022,0.307,-292.239,148.775,-1.964,0.049,1771.05,106.893,16.569,0,345.172,87.172,3.96,0,6.764,4.067,1.663,0.096,-14.51,19.513,-0.744,0.457,60.173,7.429,8.1,0,348.951,24.337,14.338,0,-31.127,5.875,-5.298,0,110.148,8.398,13.116,0,-3.361,2.471,-1.36,0.174,0.071,0.191,0.372,0.71,-0.444,0.76,-0.584,0.559,0.067,0.116,0.574,0.566,0.194,0.384,0.505,0.614,NA,NA,NA,NA,-0.039,0.122,-0.319,0.749,NA,NA,NA,NA,1,0.644,1.553,0.12,NA,NA,NA,NA,0.08,0.292,0.274,0.784,NA,NA,NA,NA,0.561,0.262,2.145,0.032,NA,NA,NA,NA,0.065,0.077,0.85,0.395,NA,NA,NA,NA,2.034,3.037,0.67,0.503,NA,NA,NA,NA,-0.332,1.31,-0.254,0.8,NA,NA,NA,NA,3.257,8.623,0.378,0.706,NA,NA,NA,NA,0.055,2.148,0.026,0.979,NA,NA,NA,NA,-0.649,6.922,-0.094,0.925,NA,NA,NA,NA,0.565,2.12,0.266,0.79,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.3","0.1","09/10/2015"," 9:49 AM","eas","b1","male","aehplus",NA,NA,"grip","gait",TRUE,72,8,NA,41,-1565.54,3213.08,3306.424,3177.247,3327.88,"b1_male_aehplus_grip_gait.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",24.525,37.026,0.662,0.508,0.396,2.279,0.174,0.862,0.755,12.847,0.059,0.953,-5.007,12.39,-0.404,0.686,7.239,10.139,0.714,0.475,26.472,15.748,1.681,0.093,0.702,1.222,0.575,0.566,-2.135,3.628,-0.588,0.556,17.133,4.524,3.787,0,210.64,104.138,2.023,0.043,1.268,7.788,0.163,0.871,0.006,20.591,0,1,74.183,30.234,2.454,0.014,33.727,7.257,4.648,0,-2.397,2.529,-0.948,0.343,105.406,14.972,7.04,0,-1.202,5.255,-0.229,0.819,0.328,0.45,0.73,0.466,0.42,2.312,0.182,0.856,0.203,0.247,0.821,0.411,-0.033,0.132,-0.248,0.804,NA,NA,NA,NA,-0.094,0.297,-0.317,0.751,NA,NA,NA,NA,0.019,0.148,0.131,0.895,NA,NA,NA,NA,-0.282,0.263,-1.072,0.284,NA,NA,NA,NA,0.002,0.087,0.027,0.979,NA,NA,NA,NA,0.019,0.211,0.089,0.929,NA,NA,NA,NA,0.46,0.88,0.523,0.601,NA,NA,NA,NA,0.712,2.541,0.28,0.779,NA,NA,NA,NA,0.769,1.382,0.557,0.578,NA,NA,NA,NA,0.816,3.728,0.219,0.827,NA,NA,NA,NA,-0.489,1.737,-0.281,0.778,NA,NA,NA,NA,-0.087,3.32,-0.026,0.979,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.3","0.1","09/10/2015"," 9:33 AM","eas","b1","male","aehplus",NA,NA,"grip","pef",TRUE,72,8,NA,41,-2167.181,4416.362,4509.705,4380.528,4531.162,"b1_male_aehplus_grip_pef.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",18.507,251.071,0.074,0.941,0.415,30.688,0.014,0.989,-12.188,91.043,-0.134,0.894,58.559,100.297,0.584,0.559,66.005,48.05,1.374,0.17,12173.964,6210.08,1.96,0.05,310.822,470.616,0.66,0.509,-826.559,1662.521,-0.497,0.619,4183.189,1092.834,3.828,0,26.205,19.275,1.359,0.174,0.539,1.226,0.44,0.66,-2.071,3.507,-0.591,0.555,17.703,3.408,5.195,0,404.146,135.785,2.976,0.003,-27.963,45.853,-0.61,0.542,33.757,5.822,5.798,0,-2.329,1.666,-1.398,0.162,0.033,0.443,0.074,0.941,0.032,2.346,0.014,0.989,0.243,0.166,1.463,0.143,0.741,2.102,0.352,0.724,NA,NA,NA,NA,-0.045,0.089,-0.509,0.611,NA,NA,NA,NA,-0.143,2.589,-0.055,0.956,NA,NA,NA,NA,0.04,0.112,0.357,0.721,NA,NA,NA,NA,-0.011,1.55,-0.007,0.994,NA,NA,NA,NA,-0.005,0.07,-0.069,0.945,NA,NA,NA,NA,2.169,20.967,0.103,0.918,NA,NA,NA,NA,0.385,1.084,0.355,0.723,NA,NA,NA,NA,-6.114,30.455,-0.201,0.841,NA,NA,NA,NA,0.854,0.987,0.866,0.387,NA,NA,NA,NA,-3.686,24.343,-0.151,0.88,NA,NA,NA,NA,-0.46,0.914,-0.503,0.615,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.3","0.1","09/10/2015"," 9:22 AM","eas","b1","male","aehplus",NA,NA,"pef","gait",TRUE,72,8,NA,41,-2248.754,4579.509,4672.852,4543.675,4694.309,"b1_male_aehplus_pef_gait.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",-78.167,737.565,-0.106,0.916,-8.784,28.078,-0.313,0.754,99.7,196.669,0.507,0.612,135.276,213.974,0.632,0.527,103.264,127.483,0.81,0.418,12278.161,6250.547,1.964,0.049,276.478,420.619,0.657,0.511,-837.563,1461.257,-0.573,0.567,4186.19,830.222,5.042,0,221.564,130.345,1.7,0.089,1.174,5.571,0.211,0.833,-2.378,35.408,-0.067,0.946,73.609,17.066,4.313,0,405.504,121.773,3.33,0.001,-27.461,57.185,-0.48,0.631,107.214,14.642,7.322,0,-2.446,6.383,-0.383,0.702,-0.047,0.454,-0.104,0.917,-0.487,1.779,-0.274,0.784,0.186,0.219,0.85,0.395,0.229,2.212,0.104,0.917,NA,NA,NA,NA,-0.069,0.277,-0.249,0.803,NA,NA,NA,NA,0.776,2.786,0.278,0.781,NA,NA,NA,NA,-0.264,0.42,-0.629,0.529,NA,NA,NA,NA,-0.224,1.866,-0.12,0.904,NA,NA,NA,NA,0.06,0.203,0.297,0.767,NA,NA,NA,NA,0.156,25.208,0.006,0.995,NA,NA,NA,NA,1.055,3.079,0.343,0.732,NA,NA,NA,NA,-3.796,31.291,-0.121,0.903,NA,NA,NA,NA,0.81,5.172,0.157,0.876,NA,NA,NA,NA,-0.823,33.162,-0.025,0.98,NA,NA,NA,NA,-0.25,4.981,-0.05,0.96,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.11","0.1","10/07/2015"," 4:54 PM","hrs","b1","female","aehplus",NA,NA,"grip","gait",TRUE,286,3,NA,41,-1971.372,4024.745,4174.641,4044.626,4038.85975409836,"b1_female_aehplus_grip_gait.out"," ""C:\Users\wuche\Dropbox\Research\IALSA\Physical_Project\Physical_new.dat""",0.089,0.057,1.546,0.122,0,0.002,0.123,0.902,0.016,0.012,1.334,0.182,0.019,0.011,1.648,0.099,0.009,0.025,0.357,0.721,11.038,1.462,7.548,0,0.052,0.086,0.601,0.548,0.187,0.281,0.665,0.506,8.34,0.903,9.238,0,0.017,0.004,4.44,0,0,0,0.477,0.634,0,0.001,0.016,0.987,0.027,0.003,8.592,0,22.732,0.587,38.724,0,-0.291,0.12,-2.423,0.015,0.771,0.025,30.979,0,-0.036,0.005,-6.97,0,0.203,0.132,1.531,0.126,0.12,0.987,0.122,0.903,0.019,0.052,0.357,0.721,-0.008,0.008,-1.022,0.307,NA,NA,NA,NA,-0.001,0,-3.189,0.001,NA,NA,NA,NA,-0.024,0.017,-1.41,0.159,NA,NA,NA,NA,0.001,0.001,1.689,0.091,NA,NA,NA,NA,1.4,0.863,1.622,0.105,NA,NA,NA,NA,-0.031,0.044,-0.697,0.486,NA,NA,NA,NA,0.01,0.096,0.102,0.918,NA,NA,NA,NA,-0.001,0.006,-0.192,0.848,NA,NA,NA,NA,-0.05,0.124,-0.405,0.686,NA,NA,NA,NA,0.002,0.006,0.277,0.781,NA,NA,NA,NA,-0.174,0.111,-1.557,0.119,NA,NA,NA,NA,-0.001,0.006,-0.149,0.882,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.11","0.1","10/07/2015"," 4:54 PM","hrs","b1","female","aehplus",NA,NA,"grip","pef",TRUE,286,3,NA,41,-6478.893,13039.786,13189.682,13059.667,13053.9007540984,"b1_female_aehplus_grip_pef.out"," ""C:\Users\wuche\Dropbox\Research\IALSA\Physical_Project\Physical_new.dat""",53.378,17.23,3.098,0.002,-0.387,0.732,-0.528,0.598,2.081,3.175,0.655,0.512,3.141,3.021,1.04,0.298,9.943,8.006,1.242,0.214,11.116,1.464,7.593,0,0.059,0.087,0.686,0.493,0.142,0.29,0.489,0.625,8.308,0.895,9.278,0,3081.194,396.503,7.771,0,9.203,15.697,0.586,0.558,-0.023,54.591,0,1,1747.709,205.797,8.492,0,22.734,0.586,38.794,0,-0.278,0.119,-2.34,0.019,253.992,9.734,26.093,0,-2.857,1.799,-1.588,0.112,0.288,0.087,3.306,0.001,-0.523,1.109,-0.471,0.638,0.083,0.067,1.234,0.217,-0.008,0.008,-1.001,0.317,NA,NA,NA,NA,-0.474,0.09,-5.277,0,NA,NA,NA,NA,-0.024,0.017,-1.382,0.167,NA,NA,NA,NA,-0.07,0.265,-0.266,0.79,NA,NA,NA,NA,1.396,0.861,1.622,0.105,NA,NA,NA,NA,14.83,8.305,1.786,0.074,NA,NA,NA,NA,0.004,0.098,0.045,0.964,NA,NA,NA,NA,-0.71,1.293,-0.549,0.583,NA,NA,NA,NA,-0.044,0.128,-0.34,0.734,NA,NA,NA,NA,0.05,1.713,0.029,0.977,NA,NA,NA,NA,-0.188,0.113,-1.669,0.095,NA,NA,NA,NA,-1.327,1.596,-0.832,0.405,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.11","0.1","10/07/2015"," 4:54 PM","hrs","b1","female","aehplus",NA,NA,"pef","gait",TRUE,286,3,NA,41,-4196.133,8474.266,8624.162,8494.148,8488.38075409836,"b1_female_aehplus_pef_gait.out"," ""C:\Users\wuche\Dropbox\Research\IALSA\Physical_Project\Physical_new.dat""",2.101,0.874,2.405,0.016,0.018,0.037,0.492,0.623,0.12,0.181,0.665,0.506,0.095,0.16,0.594,0.552,0.951,0.419,2.27,0.023,3080.527,395.134,7.796,0,8.456,15.729,0.538,0.591,1.289,54.274,0.024,0.981,1753.085,206.024,8.509,0,0.017,0.004,4.453,0,0,0,0.524,0.6,0,0.001,-0.047,0.963,0.027,0.003,8.604,0,253.904,9.75,26.042,0,-2.889,1.806,-1.599,0.11,0.771,0.025,30.902,0,-0.037,0.005,-7.086,0,0.287,0.113,2.551,0.011,0.578,1.189,0.486,0.627,0.137,0.06,2.303,0.021,-0.472,0.09,-5.255,0,NA,NA,NA,NA,-0.001,0,-3.303,0.001,NA,NA,NA,NA,-0.065,0.265,-0.244,0.807,NA,NA,NA,NA,0.002,0.001,1.863,0.062,NA,NA,NA,NA,14.852,8.305,1.788,0.074,NA,NA,NA,NA,-0.037,0.044,-0.842,0.4,NA,NA,NA,NA,-0.745,1.3,-0.573,0.567,NA,NA,NA,NA,-0.001,0.006,-0.253,0.8,NA,NA,NA,NA,0.02,1.715,0.012,0.991,NA,NA,NA,NA,0.002,0.006,0.376,0.707,NA,NA,NA,NA,-1.362,1.613,-0.845,0.398,NA,NA,NA,NA,-0.002,0.006,-0.27,0.787,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.11","0.1","10/07/2015"," 4:54 PM","hrs","b1","male","aehplus",NA,NA,"grip","gait",TRUE,238,3,NA,41,-1956.462,3994.925,4137.288,4007.331,4012.49642857143,"b1_male_aehplus_grip_gait.out"," ""C:\Users\wuche\Dropbox\Research\IALSA\Physical_Project\Physical_new.dat""",0.12,0.09,1.333,0.183,0,0.004,0.103,0.918,0.014,0.018,0.794,0.427,0.014,0.015,0.915,0.36,0.032,0.043,0.741,0.459,27.39,3.91,7.006,0,0.045,0.16,0.278,0.781,0.473,0.505,0.936,0.349,15.132,2.147,7.047,0,0.022,0.004,5.298,0,0.001,0,2.019,0.043,-0.001,0.001,-1.193,0.233,0.026,0.003,8.014,0,35.01,1.12,31.271,0,-0.695,0.192,-3.626,0,0.829,0.041,20.028,0,-0.026,0.009,-2.97,0.003,0.155,0.113,1.373,0.17,0.07,0.667,0.105,0.917,0.05,0.067,0.754,0.451,-0.015,0.011,-1.334,0.182,NA,NA,NA,NA,-0.001,0.001,-2.048,0.041,NA,NA,NA,NA,-0.023,0.02,-1.135,0.256,NA,NA,NA,NA,0.002,0.001,1.513,0.13,NA,NA,NA,NA,0.284,0.897,0.317,0.752,NA,NA,NA,NA,-0.036,0.05,-0.727,0.467,NA,NA,NA,NA,-0.1,0.145,-0.689,0.491,NA,NA,NA,NA,-0.005,0.007,-0.745,0.456,NA,NA,NA,NA,-0.275,0.131,-2.096,0.036,NA,NA,NA,NA,0.003,0.007,0.383,0.702,NA,NA,NA,NA,0.024,0.182,0.13,0.896,NA,NA,NA,NA,-0.011,0.008,-1.412,0.158,NA,NA,NA,NA,TRUE,NA,TRUE,0
