"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00","pc_TAU_00_se","pc_TAU_00_pval","pc_TAU_11","pc_TAU_11_se","pc_TAU_11_pval","pc_TAU_01","pc_TAU_01_se","pc_TAU_01_pval","pc_TAU_10","pc_TAU_10_se","pc_TAU_10_pval","pc_SIGMA","pc_SIGMA_se","pc_SIGMA_pval","pp_TAU_00","pp_TAU_00_se","pp_TAU_00_pval","pp_TAU_11","pp_TAU_11_se","pp_TAU_11_pval","pp_TAU_01","pp_TAU_01_se","pp_TAU_01_pval","p_SIGMA","p_SIGMA_se","p_SIGMA_pval","cc_TAU_00","cc_TAU_00_se","cc_TAU_00_pval","cc_TAU_11","cc_TAU_11_se","cc_TAU_11_pval","cc_TAU_10","cc_TAU_10_se","cc_TAU_10_pval","c_SIGMA","c_SIGMA_se","c_SIGMA_pval","p_GAMMA_00","p_GAMMA_00_se","p_GAMMA_00_pval","p_GAMMA_10","p_GAMMA_10_se","p_GAMMA_10_pval","c_GAMMA_00","c_GAMMA_00_se","c_GAMMA_00_pval","c_GAMMA_10","c_GAMMA_10_se","c_GAMMA_10_pval"
"Mplus VERSION 7.2","0.1","06/11/2015","11:40 AM","elsa","b1","female","ae","muscle","memory","grip","delayedrecall",TRUE,6106,6,NA,45,-34496.284,69082.567,69384.833,69241.836,69083.2501683168,"b1_female_ae_muscle_memory_grip_delayedrecall.out"," ELSA_Portland_New.dat",1.02,0.287,0,0,0.005,0.933,-0.018,0.041,0.664,0.012,0.035,0.739,0.159,0.1,0.114,21.799,1.327,0,0.036,0.021,0.081,-0.308,0.141,0.029,8.256,0.459,0,1.455,0.176,0,0.004,0.004,0.316,-0.003,0.023,0.902,1.93,0.072,0,17.279,0.5,0,-0.487,0.062,0,4.03,0.18,0,-0.123,0.027,0
"Mplus VERSION 7.2","0.1","06/11/2015","12:40 PM","elsa","b1","female","ae","muscle","memory","grip","immediaterecall",TRUE,6106,6,NA,45,-33559.786,67209.571,67511.838,67368.84,67210.2541683168,"b1_female_ae_muscle_memory_grip_immediaterecall.out"," ELSA_Portland_New.dat",0.623,0.261,0.017,0,0.005,0.96,0.05,0.038,0.18,0.005,0.031,0.869,0.111,0.099,0.265,21.833,1.325,0,0.037,0.021,0.074,-0.311,0.141,0.027,8.241,0.457,0,0.86,0.164,0,0.004,0.004,0.298,-0.007,0.023,0.76,1.672,0.07,0,17.275,0.499,0,-0.484,0.062,0,5.387,0.164,0,-0.075,0.024,0.002
"Mplus VERSION 7.2","0.1","06/10/2015","10:29 PM","elsa","b1","female","ae","pulmonary","memory","fev","delayedrecall",TRUE,6106,6,NA,45,-18760.392,37610.784,37913.05,37770.052,37611.4671683168,"b1_female_ae_pulmonary_memory_fev_delayedrecall.out"," ELSA_Portland_New.dat",0.022,0.031,0.479,0,0.001,0.955,0.005,0.004,0.261,0.003,0.004,0.415,0.005,0.012,0.672,0.2,0.023,0,0,0,0.78,-0.002,0.003,0.424,0.099,0.011,0,1.432,0.176,0,0.003,0.004,0.413,0.001,0.023,0.958,1.939,0.073,0,1.492,0.05,0,-0.03,0.006,0,4.028,0.18,0,-0.123,0.027,0
"Mplus VERSION 7.2","0.1","06/10/2015","11:46 PM","elsa","b1","female","ae","pulmonary","memory","fev","immediaterecall",TRUE,6106,6,NA,45,-17821.605,35733.209,36035.476,35892.478,35733.8921683168,"b1_female_ae_pulmonary_memory_fev_immediaterecall.out"," ELSA_Portland_New.dat",0.006,0.027,0.815,0,0,0.767,0.009,0.004,0.029,0.003,0.003,0.393,0.006,0.011,0.602,0.2,0.023,0,0,0,0.769,-0.002,0.003,0.419,0.099,0.011,0,0.841,0.165,0,0.003,0.004,0.364,-0.004,0.023,0.856,1.679,0.071,0,1.492,0.049,0,-0.03,0.006,0,5.385,0.164,0,-0.074,0.024,0.002
"Mplus VERSION 7.2","0.1","06/11/2015","12:59 AM","elsa","b1","female","ae","pulmonary","memory","fvc","delayedrecall",TRUE,6106,6,NA,45,-20503.241,41096.482,41398.749,41255.751,41097.1651683168,"b1_female_ae_pulmonary_memory_fvc_delayedrecall.out"," ELSA_Portland_New.dat",0.037,0.04,0.353,0,0.001,0.988,0.006,0.005,0.308,0.005,0.006,0.404,0.013,0.015,0.399,0.237,0.046,0,0,0.001,0.895,-0.002,0.006,0.743,0.215,0.023,0,1.426,0.176,0,0.003,0.004,0.441,0.002,0.023,0.916,1.939,0.073,0,2.05,0.062,0,-0.033,0.008,0,4.03,0.18,0,-0.124,0.027,0
"Mplus VERSION 7.2","0.1","06/11/2015"," 8:22 AM","elsa","b1","female","ae","pulmonary","memory","fvc","immediaterecall",TRUE,6106,6,NA,45,-19562.37,39214.74,39517.006,39374.009,39215.4231683168,"b1_female_ae_pulmonary_memory_fvc_immediaterecall.out"," ELSA_Portland_New.dat",0.012,0.035,0.737,0,0.001,0.972,0.011,0.005,0.028,0.004,0.005,0.353,0,0.014,0.999,0.237,0.046,0,0,0.001,0.888,-0.002,0.006,0.744,0.215,0.023,0,0.835,0.164,0,0.003,0.004,0.398,-0.002,0.022,0.915,1.678,0.071,0,2.051,0.061,0,-0.033,0.008,0,5.39,0.164,0,-0.076,0.024,0.002
"Mplus VERSION 7.2","0.1","06/11/2015","11:49 AM","elsa","b1","female","aeh","muscle","memory","grip","delayedrecall",TRUE,2795,6,NA,49,-27805.845,55709.689,56000.533,55844.843,55711.4740637523,"b1_female_aeh_muscle_memory_grip_delayedrecall.out"," ELSA_Portland_New.dat",0.767,0.277,0.006,-0.001,0.005,0.897,-0.022,0.039,0.569,0.04,0.035,0.253,0.198,0.108,0.068,19.003,1.322,0,0.031,0.022,0.149,-0.218,0.142,0.126,8.347,0.514,0,1.328,0.175,0,0.001,0.004,0.819,0.01,0.023,0.669,1.906,0.078,0,-18.898,2.906,0,0.244,0.35,0.485,1.656,1.013,0.102,-0.247,0.156,0.115
"Mplus VERSION 7.2","0.1","06/11/2015"," 1:22 PM","elsa","b1","female","aeh","muscle","memory","grip","immediaterecall",TRUE,2795,6,NA,49,-27106.688,54311.376,54602.219,54446.53,54313.1610637523,"b1_female_aeh_muscle_memory_grip_immediaterecall.out"," ELSA_Portland_New.dat",0.425,0.255,0.095,-0.001,0.005,0.876,0.048,0.036,0.184,0.018,0.031,0.56,0.121,0.109,0.264,19.012,1.32,0,0.031,0.022,0.149,-0.215,0.142,0.13,8.339,0.513,0,0.736,0.167,0,0.001,0.004,0.866,0.006,0.023,0.776,1.692,0.079,0,-18.973,2.906,0,0.289,0.35,0.409,4.808,0.887,0,-0.252,0.14,0.071
"Mplus VERSION 7.2","0.1","06/10/2015","10:45 PM","elsa","b1","female","aeh","pulmonary","memory","fev","delayedrecall",TRUE,2795,6,NA,49,-14782.423,29662.846,29953.69,29798,29664.6310637523,"b1_female_aeh_pulmonary_memory_fev_delayedrecall.out"," ELSA_Portland_New.dat",0.014,0.029,0.641,0,0.001,0.966,0.003,0.004,0.409,0.004,0.004,0.336,-0.001,0.012,0.943,0.153,0.021,0,0,0,0.808,-0.001,0.003,0.633,0.1,0.012,0,1.415,0.174,0,0.003,0.004,0.404,-0.004,0.023,0.874,1.872,0.076,0,-2.987,0.297,0,0.086,0.041,0.036,1.639,1.013,0.105,-0.241,0.156,0.123
"Mplus VERSION 7.2","0.1","06/11/2015","12:19 AM","elsa","b1","female","aeh","pulmonary","memory","fev","immediaterecall",TRUE,2795,6,NA,49,-14075.874,28249.748,28540.591,28384.902,28251.5330637523,"b1_female_aeh_pulmonary_memory_fev_immediaterecall.out"," ELSA_Portland_New.dat",0.004,0.026,0.876,0,0.001,0.817,0.007,0.004,0.072,0.003,0.003,0.364,0.002,0.011,0.879,0.153,0.021,0,0,0,0.805,-0.001,0.003,0.635,0.1,0.012,0,0.825,0.167,0,0.003,0.004,0.411,-0.007,0.023,0.748,1.657,0.076,0,-2.991,0.296,0,0.089,0.041,0.028,4.765,0.886,0,-0.236,0.14,0.09
