domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
Attention & Working Memory,map,b1,female,aehplus,grip,Digit Ordering,935," .59( .54), $p$=.27  "," .06( .05), $p$=.27  ","(-.05, .17)"," .06(-.00, .12)"," .09( .04), $p$=.03 *"," .60( .31), $p$=.05 .","(-.00,1.20)"," .60( .55, .64)","-.01( .14), $p$=.94  ","-.00( .03), $p$=.94  ","(-.06, .05)","-.00(-.07, .06)"
Attention & Working Memory,map,b1,male,aehplus,grip,Digit Ordering,321," .80(1.59), $p$=.61  "," .05( .10), $p$=.61  ","(-.14, .24)"," .05(-.06, .16)","-.04( .08), $p$=.64  ","-.35( .78), $p$=.66  ","(-1.88,1.19)","-.35(-.44,-.25)"," .00( .28), $p$=.99  "," .00( .04), $p$=.99  ","(-.09, .09)"," .00(-.11, .11)"
Attention & Working Memory,map,b1,female,aehplus,grip,Digit Span Backward,935,"1.18( .67), $p$=.08 ."," .08( .04), $p$=.07 .","(-.01, .17)"," .08( .02, .14)"," .05( .04), $p$=.26  "," .31( .28), $p$=.27  ","(-.24, .85)"," .31( .25, .36)"," .38( .16), $p$=.02 *"," .07( .03), $p$=.02 *","( .01, .12)"," .07( .00, .13)"
Attention & Working Memory,map,b1,male,aehplus,grip,Digit Span Backward,321," .58(2.02), $p$=.77  "," .02( .09), $p$=.77  ","(-.14, .19)"," .02(-.08, .13)"," .01( .10), $p$=.95  "," .03( .44), $p$=.95  ","(-.84, .90)"," .03(-.08, .14)"," .91( .34), $p$=.01 **"," .13( .05), $p$<.01 **","( .04, .22)"," .13( .02, .23)"
Attention & Working Memory,octo,b1,female,aehplus,grip,Digit Span Backward,276,"-.00( .14), $p$=.99  ","-.00( .10), $p$=.99  ","(-.20, .20)","-.00(-.12, .12)","-.00( .00), $p$=.39  ","-.44( .64), $p$=.49  ","(-1.69, .81)","-.49(-.57,-.39)"," .06( .06), $p$=.34  "," .05( .05), $p$=.33  ","(-.05, .14)"," .05(-.07, .16)"
Attention & Working Memory,octo,b1,male,aehplus,grip,Digit Span Backward,139," .12( .23), $p$=.61  "," .06( .11), $p$=.61  ","(-.16, .27)"," .06(-.11, .22)"," .00( .01), $p$=.70  "," .20( .52), $p$=.71  ","(-.82,1.21)"," .19( .03, .35)","-.16( .10), $p$=.10 .","-.13( .07), $p$=.08 .","(-.27, .02)","-.13(-.29, .04)"
Attention & Working Memory,satsa,b1,female,aehplus,grip,Digit Span Backward,409," .45( .40), $p$=.26  "," .13( .12), $p$=.26  ","(-.10, .36)"," .13( .03, .22)"," .00( .00), $p$=.29  "," .31( .28), $p$=.26  ","(-.23, .85)"," .29( .20, .38)"," .25( .18), $p$=.16  "," .05( .04), $p$=.16  ","(-.02, .12)"," .06(-.04, .16)"
Attention & Working Memory,satsa,b1,male,aehplus,grip,Digit Span Backward,299,"1.36( .62), $p$=.03 *"," .29( .13), $p$=.02 *","( .04, .54)"," .29( .18, .39)"," .00( .00), $p$=.75  "," .36(1.13), $p$=.75  ","(-1.85,2.57)",---,"-.11( .26), $p$=.67  ","-.02( .05), $p$=.67  ","(-.11, .07)","-.02(-.13, .10)"
Attention & Working Memory,map,b1,female,aehplus,grip,Digit Span Forward,935," .27( .66), $p$=.68  "," .02( .04), $p$=.68  ","(-.07, .10)"," .02(-.05, .08)"," .06( .05), $p$=.16  "," .46( .33), $p$=.16  ","(-.18,1.11)"," .47( .42, .52)"," .15( .16), $p$=.36  "," .02( .03), $p$=.36  ","(-.03, .08)"," .03(-.04, .09)"
Attention & Working Memory,map,b1,male,aehplus,grip,Digit Span Forward,321,"1.78(1.67), $p$=.28  "," .08( .08), $p$=.28  ","(-.07, .23)"," .08(-.03, .19)"," .04( .08), $p$=.61  "," .25( .51), $p$=.62  ","(-.74,1.25)"," .25( .15, .35)"," .05( .36), $p$=.88  "," .01( .05), $p$=.88  ","(-.09, .11)"," .01(-.10, .12)"
Attention & Working Memory,octo,b1,female,aehplus,grip,Digit Span Forward,276,"-.08( .12), $p$=.50  ","-.06( .09), $p$=.50  ","(-.23, .12)","-.06(-.18, .06)"," .00( .00), $p$=.70  "," .12( .32), $p$=.70  ","(-.51, .76)"," .11(-.01, .23)"," .04( .04), $p$=.35  "," .04( .05), $p$=.36  ","(-.05, .14)"," .05(-.07, .16)"
Attention & Working Memory,octo,b1,male,aehplus,grip,Digit Span Forward,139,"-.29( .27), $p$=.28  ","-.15( .13), $p$=.25  ","(-.41, .10)","-.15(-.31, .01)"," .00( .01), $p$=.51  "," .24( .38), $p$=.52  ","(-.50, .98)"," .23( .07, .38)","-.07( .07), $p$=.33  ","-.07( .07), $p$=.32  ","(-.22, .07)","-.07(-.24, .09)"
Attention & Working Memory,satsa,b1,female,aehplus,grip,Digit Span Forward,409,"-.04( .32), $p$=.90  ","-.01( .10), $p$=.90  ","(-.21, .18)","-.01(-.11, .08)"," .00( .00), $p$=.38  "," .59( .78), $p$=.45  ","(-.94,2.12)",---," .09( .12), $p$=.44  "," .02( .03), $p$=.44  ","(-.04, .09)"," .03(-.07, .12)"
