domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
delayed and working memory,map,b1,female,aehplus,gait,bstory_de,935," .00( .01), $p$=.80  "," .02( .07), $p$=.80  ","(-.12, .16)"," .02(-.05, .08)"," .00( .00), $p$=.64  "," .11( .23), $p$=.64  ","(-.35, .57)"," .12( .05, .18)"," .01( .00), $p$=.11  "," .04( .02), $p$=.11  ","(-.01, .09)"," .04(-.03, .10)"
delayed and working memory,map,b1,female,aehplus,gait,digit_b,935," .06( .01), $p$<.01 ***"," .26( .05), $p$<.01 ***","( .15, .36)"," .26( .20, .32)"," .00( .00), $p$=.08 ."," .48( .29), $p$=.09 .","(-.08,1.04)"," .35( .30, .41)","-.00( .00), $p$=.47  ","-.02( .03), $p$=.47  ","(-.07, .03)","-.02(-.08, .05)"
delayed and working memory,octo,b1,female,aehplus,gait,digit_b,276,"-.76( .31), $p$=.01 *","-.30( .11), $p$<.01 **","(-.51,-.10)","-.30(-.41,-.19)"," .01( .04), $p$=.75  "," .23( .46), $p$=.61  ","(-.66,1.13)"," .27( .15, .37)"," .11( .21), $p$=.60  "," .03( .06), $p$=.58  ","(-.08, .14)"," .03(-.09, .15)"
delayed and working memory,map,b1,female,aehplus,gait,digit_o,935," .02( .01), $p$<.01 **"," .17( .06), $p$<.01 **","( .05, .28)"," .17( .11, .23)"," .00( .00), $p$=.74  ","-.08( .25), $p$=.74  ","(-.57, .41)"," .00(-.06, .06)"," .00( .00), $p$=.92  "," .00( .02), $p$=.92  ","(-.05, .05)"," .00(-.06, .06)"
delayed and working memory,eas,b1,female,aehplus,gait,digit_tot,363,"12.35(6.17), $p$=.04 *"," .24( .11), $p$=.03 *","( .02, .46)"," .24( .14, .34)"," .62( .35), $p$=.08 ."," .74( .40), $p$=.06 .","(-.05,1.52)"," .74( .69, .78)","-.24( .88), $p$=.79  ","-.02( .07), $p$=.79  ","(-.15, .12)","-.02(-.12, .08)"
delayed and working memory,map,b1,female,aehplus,gait,logic_de,935," .05( .02), $p$=.05 *"," .10( .05), $p$=.04 *","( .00, .20)"," .10( .04, .17)"," .00( .00), $p$=.03 *"," .40( .17), $p$=.02 *","( .07, .73)"," .29( .23, .35)"," .00( .01), $p$=.92  "," .00( .02), $p$=.92  ","(-.04, .05)"," .00(-.06, .07)"
delayed and working memory,eas,b1,female,aehplus,gait,logic_tot,360,"3.86(11.15), $p$=.73  "," .04( .12), $p$=.73  ","(-.20, .28)"," .04(-.06, .15)"," .74( .88), $p$=.40  "," .54( .75), $p$=.47  ","(-.93,2.01)"," .54( .46, .61)"," .35(2.31), $p$=.88  "," .01( .07), $p$=.88  ","(-.13, .16)"," .01(-.09, .11)"
delayed and working memory,eas,b1,female,aehplus,gait,trailsb,362,"-4.86(107.76), $p$=.96  ","-.01( .12), $p$=.96  ","(-.25, .24)","-.01(-.11, .10)","3.36(6.59), $p$=.61  "," .18( .36), $p$=.61  ","(-.53, .90)"," .18( .08, .28)","-4.35(25.36), $p$=.86  ","-.01( .08), $p$=.86  ","(-.16, .14)","-.01(-.12, .09)"
delayed and working memory,elsa,b1,female,aehplus,gait,word_de,2226," .05( .01), $p$<.01 ***"," .20( .04), $p$<.01 ***","( .12, .27)"," .20( .16, .24)"," .00( .00), $p$=.38  "," .15( .17), $p$=.38  ","(-.19, .49)",---,"-.00( .00), $p$=.63  ","-.01( .02), $p$=.63  ","(-.05, .03)","-.01(-.05, .03)"
delayed and working memory,hrs,b1,female,aehplus,gait,word_de,370," .03( .02), $p$=.17  ",---,---," .15( .05, .25)"," .00( .00), $p$=.53  ",---,---,---," .01( .01), $p$=.15  ",---,---," .07(-.03, .17)"
