domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,Corr(Levels)Est,er_tau_00_est,er_tau_00_se,er_tau_00_pval,CI(Levels)Est,er_tau_00_ci95lo,er_tau_00_ci95hi,Corr(Levels)Comp,cr_levels_est,cr_levels_ci95_lo,cr_levels_ci95_hi,Cov(Slopes),Corr(Slopes)Est,er_tau_11_est,er_tau_11_se,er_tau_11_pval,CI(Slopes)Est,er_tau_11_ci95lo,er_tau_11_ci95hi,Corr(Slopes)Comp,cr_slopes_est,cr_slopes_ci95_lo,cr_slopes_ci95_hi,Cov(Residuals),ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval,Corr(Resid)Est,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,CI(Resid)Est,er_sigma_00_ci95lo,er_sigma_00_ci95hi,Corr(Residuals)Comp,cr_resid_est,cr_resid_ci95_lo,cr_resid_ci95_hi
attention,map,b1,female,aehplus,grip,digit_f,935," .27( .66), $p$=.68  ",0.27,0.661,0.683," .02( .04), $p$=.68  ",0.018,0.044,0.682,"(-.07, .10)",-0.06824,0.10424," .02(-.05, .08)",0.017823579245298784,-0.046342070551689575,0.0818427499815251," .06( .05), $p$=.16  "," .46( .33), $p$=.16  ",0.462,0.33,0.162,"(-.18,1.11)",-0.18480000000000002,1.1088," .47( .42, .52)",0.4669170126478808,0.41523449092709375,0.515595205515966," .15( .16), $p$=.36  ",0.146,0.16,0.361," .02( .03), $p$=.36  ",0.025,0.028,0.36,"(-.03, .08)",-0.029879999999999997,0.07988," .03(-.04, .09)",0.025377068016132924,-0.03879875114272902,0.08934439926960605
attention,octo,b1,female,aehplus,grip,digit_f,276,"-.08( .12), $p$=.50  ",-0.078,0.116,0.502,"-.06( .09), $p$=.50  ",-0.059,0.089,0.502,"(-.23, .12)",-0.23343999999999998,0.11543999999999999,"-.06(-.18, .06)",-0.05929191811441905,-0.17612806641461465,0.05919159627008702," .00( .00), $p$=.70  "," .12( .32), $p$=.70  ",0.125,0.323,0.699,"(-.51, .76)",-0.50808,0.75808," .11(-.01, .23)",0.1118033988749895,-0.006349559586607911,0.22687763447188472," .04( .04), $p$=.35  ",0.04,0.043,0.349," .04( .05), $p$=.36  ",0.045,0.049,0.358,"(-.05, .14)",-0.05104,0.14104," .05(-.07, .16)",0.04522769105322765,-0.0732325110642415,0.16242945951387358
attention,satsa,b1,female,aehplus,grip,digit_f,409,"-.04( .32), $p$=.90  ",-0.04,0.325,0.902,"-.01( .10), $p$=.90  ",-0.012,0.1,0.902,"(-.21, .18)",-0.20800000000000002,0.184,"-.01(-.11, .08)",-0.012354873029539108,-0.1091898147571723,0.08471236341888826," .00( .00), $p$=.38  "," .59( .78), $p$=.45  ",0.588,0.78,0.451,"(-.94,2.12)",-0.9408,2.1168,---,Inf,NaN,NaN," .09( .12), $p$=.44  ",0.09,0.118,0.444," .02( .03), $p$=.44  ",0.025,0.032,0.443,"(-.04, .09)",-0.03772,0.08771999999999999," .03(-.07, .12)",0.026631702065225662,-0.0705161472997688,0.12327910175081755
attention,hrs,b1,female,aehplus,grip,serial7,4604," .13( .13), $p$=.32  ",0.126,0.126,0.317," .03( .03), $p$=.32  ",0.028,0.028,0.317,"(-.03, .08)",-0.026879999999999998,0.08288," .03(-.00, .06)",0.02759922255649632,-0.0012887177282689033,0.05644113734848958," .01( .00), $p$<.01 ***"," .45( .13), $p$<.01 ***",0.453,0.128,0.0,"( .20, .70)",0.20212000000000002,0.7038800000000001," .47( .44, .49)",0.46640762325693863,0.44349596541973685,0.4887101075050956,"-.08( .06), $p$=.18  ",-0.085,0.064,0.181,"-.03( .02), $p$=.18  ",-0.027,0.02,0.18,"(-.07, .01)",-0.0662,0.012199999999999999,"-.03(-.06, .00)",-0.026772140887352424,-0.055616042260998366,0.002116408714406145
episodic memory,map,b1,female,aehplus,grip,bstory_de,935," .32( .64), $p$=.61  ",0.324,0.642,0.614," .03( .06), $p$=.61  ",0.029,0.056,0.613,"(-.08, .14)",-0.08076,0.13876," .03(-.04, .09)",0.028561999015235987,-0.03561591426690259,0.09250529843670258," .06( .06), $p$=.31  "," .26( .26), $p$=.32  ",0.259,0.26,0.319,"(-.25, .77)",-0.25060000000000004,0.7686000000000001," .26( .20, .32)",0.2611769030082629,0.20042019616330095,0.31993240718000265,"-.08( .20), $p$=.68  ",-0.084,0.202,0.676,"-.01( .03), $p$=.68  ",-0.012,0.029,0.677,"(-.07, .04)",-0.06884,0.044840000000000005,"-.01(-.08, .05)",-0.01199852696515091,-0.07605271670666512,0.052154287025087356
episodic memory,map,b1,female,aehplus,grip,logic_de,935," .14(1.40), $p$=.92  ",0.138,1.403,0.922," .00( .04), $p$=.92  ",0.004,0.043,0.922,"(-.08, .09)",-0.08027999999999999,0.08828," .00(-.06, .07)",0.004210916839171091,-0.05991795329738539,0.06830517016591009," .11( .10), $p$=.30  "," .21( .20), $p$=.28  ",0.212,0.197,0.284,"(-.17, .60)",-0.17412000000000002,0.59812," .21( .15, .27)",0.21132218573553083,0.14923134293294193,0.27175305118591697," .50( .31), $p$=.10  ",0.503,0.309,0.103," .05( .03), $p$=.10  ",0.047,0.029,0.104,"(-.01, .10)",-0.009840000000000002,0.10384," .05(-.02, .11)",0.0466413332346618,-0.01752376199109433,0.11042382659173887
episodic memory,eas,b1,female,aehplus,grip,logic_tot,360,"-2.26(3.85), $p$=.56  ",-2.26,3.85,0.557,"-.09( .15), $p$=.56  ",-0.088,0.151,0.56,"(-.38, .21)",-0.38395999999999997,0.20796,"-.09(-.19, .02)",-0.08783944100322616,-0.18948091942476616,0.015664603816754767," .06( .29), $p$=.84  "," .13( .66), $p$=.84  ",0.131,0.659,0.843,"(-1.16,1.42)",-1.1606400000000001,1.4226400000000001," .13( .03, .23)",0.13187673176635695,0.028908968423061596,0.23207513320027168," .73( .84), $p$=.39  ",0.726,0.842,0.388," .08( .09), $p$=.39  ",0.081,0.094,0.387,"(-.10, .27)",-0.10323999999999998,0.26524," .08(-.02, .18)",0.08096141850429736,-0.022589439194729267,0.1827935655520231
episodic memory,octo,b1,female,aehplus,grip,mir,273," .45( .22), $p$=.04 *",0.451,0.225,0.045," .16( .08), $p$=.04 *",0.163,0.078,0.036,"( .01, .32)",0.010120000000000018,0.31588," .16( .05, .28)",0.16293861936913168,0.04509377348336424,0.2763108928707757," .03( .01), $p$<.01 ***"," .63( .16), $p$<.01 ***",0.631,0.159,0.0,"( .32, .94)",0.31936000000000003,0.9426399999999999," .64( .57, .71)",0.6435872477407748,0.5682902427592528,0.7081948644723559," .07( .07), $p$=.34  ",0.067,0.071,0.345," .04( .05), $p$=.34  ",0.044,0.046,0.34,"(-.05, .13)",-0.04615999999999999,0.13416," .04(-.08, .16)",0.04385378395650782,-0.07525513091190716,0.1617289136723595
episodic memory,octo,b1,female,aehplus,grip,mir_recog,273,"-.09( .12), $p$=.44  ",-0.094,0.121,0.438,"-.08( .10), $p$=.42  ",-0.081,0.101,0.422,"(-.28, .12)",-0.27896,0.11696,"-.08(-.20, .04)",-0.08136116371755531,-0.19816422474436513,0.03772029722583579,"-.00( .00), $p$=.67  ","-.15( .33), $p$=.65  ",-0.152,0.334,0.65,"(-.81, .50)",-0.80664,0.50264,"-.16(-.27,-.04)",-0.16116459280507608,-0.2746272721157851,-0.04327546005549073," .10( .05), $p$=.04 *",0.104,0.052,0.044," .17( .06), $p$=.01 **",0.166,0.061,0.006,"( .05, .29)",0.04644000000000001,0.28556000000000004," .17( .05, .28)",0.16547591510855184,0.04769576811709212,0.27871767726257124
episodic memory,elsa,b1,female,aehplus,grip,word_de,3393," .65( .17), $p$<.01 ***",0.653,0.174,0.0," .13( .03), $p$<.01 ***",0.128,0.034,0.0,"( .06, .19)",0.06136,0.19464," .13( .09, .16)",0.12823323573519405,0.09499319928117617,0.16118764051652415," .00( .00), $p$=.99  ","-.01( .66), $p$=.99  ",-0.008,0.663,0.99,"(-1.31,1.29)",-1.30748,1.29148," .00(-.03, .03)",0.0,-0.03364993592440041,0.03364993592440041," .09( .09), $p$=.31  ",0.09,0.089,0.314," .02( .02), $p$=.31  ",0.022,0.022,0.313,"(-.02, .07)",-0.02112,0.06512," .02(-.01, .06)",0.022507432900328826,-0.011150948458884716,0.05611486890025267
