domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,Corr(Levels)Est,er_tau_00_est,er_tau_00_se,er_tau_00_pval,CI(Levels)Est,er_tau_00_ci95lo,er_tau_00_ci95hi,Corr(Levels)Comp,cr_levels_est,cr_levels_ci95_lo,cr_levels_ci95_hi,Cov(Slopes),Corr(Slopes)Est,er_tau_11_est,er_tau_11_se,er_tau_11_pval,CI(Slopes)Est,er_tau_11_ci95lo,er_tau_11_ci95hi,Corr(Slopes)Comp,cr_slopes_est,cr_slopes_ci95_lo,cr_slopes_ci95_hi,Cov(Residuals),ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval,Corr(Resid)Est,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,CI(Resid)Est,er_sigma_00_ci95lo,er_sigma_00_ci95hi,Corr(Residuals)Comp,cr_resid_est,cr_resid_ci95_lo,cr_resid_ci95_hi
attention,map,b1,female,aehplus,gait,digit_f,935," .02( .01), $p$=.06 .",0.023,0.012,0.056," .10( .05), $p$=.05 .",0.104,0.054,0.053,"(-.00, .21)",-0.0018400000000000083,0.20984," .10( .04, .17)",0.10300963097446085,0.03915552900195607,0.16602585279061186," .00( .00), $p$=.76  "," .09( .30), $p$=.76  ",0.09,0.301,0.765,"(-.50, .68)",-0.49995999999999996,0.6799599999999999," .00(-.06, .06)",0.0,-0.06411269389362989,0.06411269389362989," .00( .00), $p$=.28  ",0.005,0.004,0.276," .03( .03), $p$=.27  ",0.028,0.026,0.274,"(-.02, .08)",-0.022959999999999998,0.07896," .03(-.03, .09)",0.029380266425694704,-0.03479797460417199,0.09331718359048856
attention,octo,b1,female,aehplus,gait,digit_f,276,"-.28( .22), $p$=.22  ",-0.278,0.225,0.217,"-.11( .08), $p$=.20  ",-0.108,0.085,0.203,"(-.27, .06)",-0.2746,0.0586,"-.11(-.22, .01)",-0.10867041807782087,-0.22386720331337695,0.00952088166637134,"-.01( .01), $p$=.29  ","-.12( .18), $p$=.51  ",-0.121,0.185,0.512,"(-.48, .24)",-0.4836,0.24159999999999998,"-.12(-.23, .00)",-0.11504474832710555,-0.22998988269657308,0.0030660393058984806,"-.10( .10), $p$=.28  ",-0.104,0.097,0.284,"-.04( .04), $p$=.31  ",-0.04,0.039,0.308,"(-.12, .04)",-0.11643999999999999,0.03643999999999999,"-.04(-.16, .08)",-0.03980965141811867,-0.15714018765633123,0.07862906901606782
attention,hrs,b1,female,aehplus,gait,serial7,370," .02( .02), $p$=.20  ",0.022,0.017,0.2,---,NA,NA,NA,---,NA,NA," .12( .02, .22)",0.11912969256239911,0.01738705915869923,0.21843050727826638," .00( .00), $p$=.60  ",---,NA,NA,NA,---,NA,NA,---,NaN,NaN,NaN," .01( .01), $p$=.18  ",0.013,0.01,0.18,---,NA,NA,NA,---,NA,NA," .07(-.03, .17)",0.06901822525974949,-0.033168985850934675,0.16977736960531264
episodic memory,map,b1,female,aehplus,gait,bstory_de,935," .00( .01), $p$=.80  ",0.003,0.012,0.798," .02( .07), $p$=.80  ",0.018,0.071,0.797,"(-.12, .16)",-0.12115999999999998,0.15715999999999997," .02(-.05, .08)",0.017930670613943527,-0.046235174477841826,0.08194915710083318," .00( .00), $p$=.64  "," .11( .23), $p$=.64  ",0.11,0.233,0.637,"(-.35, .57)",-0.34668000000000004,0.5666800000000001," .12( .05, .18)",0.11547005383792518,0.05174039909704382,0.1782630492264469," .01( .00), $p$=.11  ",0.008,0.005,0.11," .04( .02), $p$=.11  ",0.039,0.024,0.108,"(-.01, .09)",-0.008039999999999999,0.08604," .04(-.03, .10)",0.038651402376829895,-0.025524542495213746,0.10251007164572574
episodic memory,map,b1,female,aehplus,gait,logic_de,935," .05( .02), $p$=.05 *",0.05,0.025,0.048," .10( .05), $p$=.04 *",0.102,0.05,0.043,"( .00, .20)",0.00399999999999999,0.2," .10( .04, .17)",0.10342196256263558,0.039571654883009684,0.16643110825951185," .00( .00), $p$=.03 *"," .40( .17), $p$=.02 *",0.398,0.167,0.017,"( .07, .73)",0.07068000000000002,0.72532," .29( .23, .35)",0.291111254869791,0.2313158225495364,0.34871554732375293," .00( .01), $p$=.92  ",0.001,0.007,0.918," .00( .02), $p$=.92  ",0.002,0.023,0.918,"(-.04, .05)",-0.04307999999999999,0.04708," .00(-.06, .07)",0.0031326881913033384,-0.060992255696744824,0.06723187889290075
episodic memory,eas,b1,female,aehplus,gait,logic_tot,360,"3.86(11.15), $p$=.73  ",3.856,11.155,0.73," .04( .12), $p$=.73  ",0.043,0.123,0.728,"(-.20, .28)",-0.19807999999999998,0.28408," .04(-.06, .15)",0.042697389238782565,-0.06093334873666175,0.14541744340093565," .74( .88), $p$=.40  "," .54( .75), $p$=.47  ",0.539,0.751,0.473,"(-.93,2.01)",-0.9329599999999999,2.01096," .54( .46, .61)",0.539334390061154,0.4617114020472626,0.608759925051426," .35(2.31), $p$=.88  ",0.347,2.306,0.881," .01( .07), $p$=.88  ",0.011,0.074,0.88,"(-.13, .16)",-0.13404,0.15604," .01(-.09, .11)",0.01113339642022743,-0.0923346814386233,0.11436361246794256
episodic memory,octo,b1,female,aehplus,gait,mir,272,"-1.11( .47), $p$=.02 *",-1.113,0.466,0.017,"-.21( .08), $p$=.01 *",-0.207,0.083,0.013,"(-.37,-.04)",-0.36968,-0.04431999999999997,"-.21(-.32,-.09)",-0.20715917014534688,-0.3182533576854225,-0.09045228793390533," .00( .05), $p$=.97  "," .01( .16), $p$=.97  ",0.006,0.16,0.971,"(-.31, .32)",-0.3076,0.3196," .01(-.11, .13)",0.006675573372931909,-0.11234912569653391,0.12551142005460184,"-.55( .23), $p$=.02 *",-0.547,0.235,0.02,"-.12( .05), $p$=.03 *",-0.12,0.054,0.026,"(-.23,-.01)",-0.22583999999999999,-0.014159999999999992,"-.12(-.24,-.00)",-0.11977979691968393,-0.2353623071236956,-8.565006268185849e-4
episodic memory,octo,b1,female,aehplus,gait,mir_recog,272,"-.15( .17), $p$=.35  ",-0.155,0.167,0.355,"-.07( .08), $p$=.38  ",-0.071,0.081,0.383,"(-.23, .09)",-0.22976000000000002,0.08776000000000002,"-.07(-.19, .05)",-0.07099749334365787,-0.1883426034393279,0.048346246330390925," .00( .01), $p$=.98  "," .00( .14), $p$=.98  ",0.003,0.142,0.985,"(-.28, .28)",-0.27531999999999995,0.28131999999999996," .00(-.12, .12)",0.0,-0.11893549806058237,0.11893549806058237,"-.03( .09), $p$=.74  ",-0.031,0.093,0.741,"-.02( .05), $p$=.74  ",-0.016,0.047,0.737,"(-.11, .08)",-0.10812,0.07612,"-.02(-.13, .10)",-0.016062598769198425,-0.13474068644587073,0.10306980520620071
episodic memory,elsa,b1,female,aehplus,gait,word_de,2226," .05( .01), $p$<.01 ***",0.05,0.01,0.0," .20( .04), $p$<.01 ***",0.197,0.037,0.0,"( .12, .27)",0.12448000000000001,0.26952," .20( .16, .24)",0.1967193236739587,0.156452076064683,0.2363337079911496," .00( .00), $p$=.38  "," .15( .17), $p$=.38  ",0.152,0.174,0.383,"(-.19, .49)",-0.18903999999999996,0.4930399999999999,---,NaN,NaN,NaN,"-.00( .00), $p$=.63  ",-0.002,0.004,0.627,"-.01( .02), $p$=.63  ",-0.01,0.021,0.626,"(-.05, .03)",-0.051160000000000004,0.03116,"-.01(-.05, .03)",-0.010511766624552733,-0.052034954111362386,0.03104770479862844
episodic memory,hrs,b1,female,aehplus,gait,word_de,370," .03( .02), $p$=.17  ",0.027,0.02,0.166,---,NA,NA,NA,---,NA,NA," .15( .05, .25)",0.1492829523196298,0.04806062148145805,0.24747027500405436," .00( .00), $p$=.53  ",---,NA,NA,NA,---,NA,NA,---,NaN,NaN,NaN," .01( .01), $p$=.15  ",0.015,0.011,0.149,---,NA,NA,NA,---,NA,NA," .07(-.03, .17)",0.06720648654545931,-0.034987055133613984,0.1680091071508707
episodic memory,map,b1,female,aehplus,gait,word_de,935," .05( .01), $p$<.01 ***",0.046,0.013,0.0," .19( .05), $p$<.01 ***",0.193,0.052,0.0,"( .09, .29)",0.09108000000000001,0.29492," .20( .13, .26)",0.19708936871522184,0.13467846249550225,0.25794271640589694," .00( .00), $p$<.01 **"," .73( .25), $p$<.01 **",0.727,0.248,0.003,"( .24,1.21)",0.24091999999999997,1.21308," .47( .42, .52)",0.4743416490252569,0.4230958590929856,0.5225625262201974,"-.00( .00), $p$=.46  ",-0.003,0.004,0.465,"-.02( .02), $p$=.46  ",-0.017,0.023,0.465,"(-.06, .03)",-0.062079999999999996,0.028079999999999994,"-.02(-.08, .05)",-0.01685499656158105,-0.08088028965846306,0.047308820153097626
