domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
attention,map,b1,female,aehplus,grip,digit_f,935," .27( .66), $p$=.68  "," .02( .04), $p$=.68  ","(-.07, .10)"," .02(-.05, .08)"," .06( .05), $p$=.16  "," .46( .33), $p$=.16  ","(-.18,1.11)"," .47( .42, .52)"," .15( .16), $p$=.36  "," .02( .03), $p$=.36  ","(-.03, .08)"," .03(-.04, .09)"
attention,octo,b1,female,aehplus,grip,digit_f,276,"-.08( .12), $p$=.50  ","-.06( .09), $p$=.50  ","(-.23, .12)","-.06(-.18, .06)"," .00( .00), $p$=.70  "," .12( .32), $p$=.70  ","(-.51, .76)"," .11(-.01, .23)"," .04( .04), $p$=.35  "," .04( .05), $p$=.36  ","(-.05, .14)"," .05(-.07, .16)"
attention,satsa,b1,female,aehplus,grip,digit_f,409,"-.04( .32), $p$=.90  ","-.01( .10), $p$=.90  ","(-.21, .18)","-.01(-.11, .08)"," .00( .00), $p$=.38  "," .59( .78), $p$=.45  ","(-.94,2.12)",---," .09( .12), $p$=.44  "," .02( .03), $p$=.44  ","(-.04, .09)"," .03(-.07, .12)"
attention,hrs,b1,female,aehplus,grip,serial7,4604," .13( .13), $p$=.32  "," .03( .03), $p$=.32  ","(-.03, .08)"," .03(-.00, .06)"," .01( .00), $p$<.01 ***"," .45( .13), $p$<.01 ***","( .20, .70)"," .47( .44, .49)","-.08( .06), $p$=.18  ","-.03( .02), $p$=.18  ","(-.07, .01)","-.03(-.06, .00)"
episodic memory,map,b1,female,aehplus,grip,bstory_de,935," .32( .64), $p$=.61  "," .03( .06), $p$=.61  ","(-.08, .14)"," .03(-.04, .09)"," .06( .06), $p$=.31  "," .26( .26), $p$=.32  ","(-.25, .77)"," .26( .20, .32)","-.08( .20), $p$=.68  ","-.01( .03), $p$=.68  ","(-.07, .04)","-.01(-.08, .05)"
episodic memory,map,b1,female,aehplus,grip,logic_de,935," .14(1.40), $p$=.92  "," .00( .04), $p$=.92  ","(-.08, .09)"," .00(-.06, .07)"," .11( .10), $p$=.30  "," .21( .20), $p$=.28  ","(-.17, .60)"," .21( .15, .27)"," .50( .31), $p$=.10  "," .05( .03), $p$=.10  ","(-.01, .10)"," .05(-.02, .11)"
episodic memory,eas,b1,female,aehplus,grip,logic_tot,360,"-2.26(3.85), $p$=.56  ","-.09( .15), $p$=.56  ","(-.38, .21)","-.09(-.19, .02)"," .06( .29), $p$=.84  "," .13( .66), $p$=.84  ","(-1.16,1.42)"," .13( .03, .23)"," .73( .84), $p$=.39  "," .08( .09), $p$=.39  ","(-.10, .27)"," .08(-.02, .18)"
episodic memory,octo,b1,female,aehplus,grip,mir,273," .45( .22), $p$=.04 *"," .16( .08), $p$=.04 *","( .01, .32)"," .16( .05, .28)"," .03( .01), $p$<.01 ***"," .63( .16), $p$<.01 ***","( .32, .94)"," .64( .57, .71)"," .07( .07), $p$=.34  "," .04( .05), $p$=.34  ","(-.05, .13)"," .04(-.08, .16)"
episodic memory,octo,b1,female,aehplus,grip,mir_recog,273,"-.09( .12), $p$=.44  ","-.08( .10), $p$=.42  ","(-.28, .12)","-.08(-.20, .04)","-.00( .00), $p$=.67  ","-.15( .33), $p$=.65  ","(-.81, .50)","-.16(-.27,-.04)"," .10( .05), $p$=.04 *"," .17( .06), $p$=.01 **","( .05, .29)"," .17( .05, .28)"
episodic memory,elsa,b1,female,aehplus,grip,word_de,3393," .65( .17), $p$<.01 ***"," .13( .03), $p$<.01 ***","( .06, .19)"," .13( .09, .16)"," .00( .00), $p$=.99  ","-.01( .66), $p$=.99  ","(-1.31,1.29)"," .00(-.03, .03)"," .09( .09), $p$=.31  "," .02( .02), $p$=.31  ","(-.02, .07)"," .02(-.01, .06)"
