domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
delayed and working memory,map,b1,male,aehplus,gait,bstory_de,321," .07( .02), $p$<.01 **"," .39( .12), $p$<.01 ***","( .15, .63)"," .39( .29, .48)"," .00( .00), $p$=.41  "," .67(1.71), $p$=.70  ","(-2.69,4.03)"," .52( .43, .59)","-.01( .01), $p$=.14  ","-.05( .04), $p$=.13  ","(-.12, .02)","-.06(-.16, .05)"
delayed and working memory,map,b1,male,aehplus,gait,digit_b,321," .06( .02), $p$=.01 **"," .26( .10), $p$=.01 **","( .08, .45)"," .27( .16, .37)"," .00( .00), $p$=.68  "," .24( .58), $p$=.68  ","(-.89,1.38)"," .21( .10, .31)"," .00( .01), $p$=.96  "," .00( .04), $p$=.96  ","(-.09, .09)"," .00(-.11, .11)"
delayed and working memory,octo,b1,male,aehplus,gait,digit_b,139,"-.46( .47), $p$=.33  ","-.22( .22), $p$=.32  ","(-.64, .21)","-.22(-.37,-.05)","-.02( .03), $p$=.45  ","-.59( .88), $p$=.51  ","(-2.32,1.15)","-.58(-.68,-.46)","-.11( .27), $p$=.69  ","-.04( .11), $p$=.69  ","(-.26, .17)","-.04(-.21, .12)"
delayed and working memory,map,b1,male,aehplus,gait,digit_o,320," .02( .02), $p$=.21  "," .14( .10), $p$=.19  ","(-.07, .34)"," .14( .03, .24)","-.00( .00), $p$=.74  ","-.31(1.18), $p$=.79  ","(-2.61,2.00)","-.41(-.50,-.31)","-.00( .01), $p$=.92  ","-.00( .04), $p$=.92  ","(-.08, .07)","-.01(-.12, .10)"
delayed and working memory,eas,b1,male,aehplus,gait,digit_tot,222,"9.48(9.98), $p$=.34  "," .17( .17), $p$=.33  ","(-.17, .50)"," .17( .04, .29)"," .18( .40), $p$=.66  "," .39(1.04), $p$=.71  ","(-1.65,2.44)"," .39( .28, .50)","-.86(1.49), $p$=.56  ","-.06( .10), $p$=.56  ","(-.24, .13)","-.06(-.19, .08)"
delayed and working memory,map,b1,male,aehplus,gait,logic_de,321," .11( .04), $p$=.01 **"," .24( .09), $p$=.01 **","( .06, .42)"," .24( .14, .34)"," .01( .00), $p$=.11  "," .50( .35), $p$=.15  ","(-.19,1.18)"," .35( .25, .44)","-.01( .01), $p$=.62  ","-.02( .04), $p$=.62  ","(-.10, .06)","-.02(-.13, .09)"
delayed and working memory,eas,b1,male,aehplus,gait,logic_tot,218,"20.53(18.13), $p$=.26  "," .21( .19), $p$=.26  ","(-.15, .58)"," .21( .08, .34)"," .10( .82), $p$=.90  "," .09( .76), $p$=.90  ","(-1.39,1.58)"," .09(-.04, .22)","-.92(3.23), $p$=.78  ","-.03( .10), $p$=.77  ","(-.22, .16)","-.03(-.16, .11)"
delayed and working memory,eas,b1,male,aehplus,gait,trailsb,221,"-225.90(171.18), $p$=.19  ","-.27( .20), $p$=.18  ","(-.66, .12)","-.27(-.39,-.14)","-7.09(13.23), $p$=.59  ","-.67(1.44), $p$=.64  ","(-3.49,2.15)","-.67(-.73,-.59)","57.56(34.95), $p$=.10 ."," .17( .10), $p$=.10 .","(-.03, .37)"," .17( .04, .30)"
delayed and working memory,elsa,b1,male,aehplus,gait,word_de,1947," .06( .01), $p$<.01 ***"," .23( .04), $p$<.01 ***","( .15, .31)"," .23( .18, .27)"," .00( .00), $p$=.49  ","-.18( .28), $p$=.52  ","(-.74, .37)",---," .01( .00), $p$=.04 *"," .04( .02), $p$=.04 *","( .00, .08)"," .04(-.00, .09)"
delayed and working memory,hrs,b1,male,aehplus,gait,word_de,318," .01( .02), $p$=.65  ",---,---," .05(-.06, .16)"," .00( .00), $p$=.96  ",---,---," .00(-.11, .11)"," .00( .01), $p$=.60  ",---,---," .02(-.09, .13)"
delayed and working memory,map,b1,male,aehplus,gait,word_de,321," .06( .02), $p$<.01 **"," .29( .08), $p$<.01 ***","( .13, .46)"," .29( .19, .39)"," .00( .00), $p$=.13  "," .74( .50), $p$=.14  ","(-.24,1.73)"," .64( .57, .70)","-.00( .01), $p$=.65  ","-.02( .04), $p$=.65  ","(-.10, .06)","-.02(-.13, .09)"
immediate and recognition memory,map,b1,male,aehplus,gait,bstory_im,321," .05( .02), $p$<.01 **"," .36( .12), $p$<.01 **","( .12, .60)"," .36( .26, .45)"," .00( .00), $p$=.23  "," .73( .94), $p$=.44  ","(-1.12,2.58)"," .65( .59, .71)","-.01( .01), $p$=.06 .","-.07( .04), $p$=.06 .","(-.14, .00)","-.07(-.18, .04)"
immediate and recognition memory,map,b1,male,aehplus,gait,digit_f,321," .03( .02), $p$=.07 ."," .17( .09), $p$=.07 .","(-.01, .36)"," .17( .06, .28)"," .00( .00), $p$=.69  "," .30( .78), $p$=.70  ","(-1.23,1.82)"," .29( .19, .39)"," .00( .01), $p$=.77  "," .01( .04), $p$=.77  ","(-.07, .09)"," .01(-.10, .12)"
immediate and recognition memory,octo,b1,male,aehplus,gait,digit_f,139,"-.31( .32), $p$=.33  ","-.17( .18), $p$=.34  ","(-.53, .18)","-.17(-.33,-.01)","-.01( .01), $p$=.33  ","-.56( .69), $p$=.42  ","(-1.91, .80)","-.55(-.66,-.43)","-.10( .13), $p$=.41  ","-.06( .07), $p$=.41  ","(-.19, .08)","-.06(-.22, .11)"
immediate and recognition memory,map,b1,male,aehplus,gait,logic_im,321," .08( .04), $p$=.04 *"," .22( .11), $p$=.04 *","( .00, .43)"," .22( .11, .32)"," .00( .00), $p$=.36  "," .78(1.12), $p$=.49  ","(-1.42,2.97)"," .63( .56, .69)","-.01( .01), $p$=.68  ","-.02( .04), $p$=.68  ","(-.10, .06)","-.02(-.13, .09)"
immediate and recognition memory,octo,b1,male,aehplus,gait,mir,137,"-1.70( .60), $p$<.01 **","-.57( .16), $p$<.01 ***","(-.89,-.26)","-.58(-.68,-.45)","-.01( .04), $p$=.70  ","-.18( .47), $p$=.70  ","(-1.09, .74)","-.17(-.33,-.01)","-.18( .30), $p$=.54  ","-.05( .08), $p$=.54  ","(-.22, .11)","-.05(-.22, .12)"
immediate and recognition memory,octo,b1,male,aehplus,gait,mir_recog,137,"-.58( .63), $p$=.35  ","-.35( .29), $p$=.21  ","(-.91, .21)","-.35(-.49,-.20)","-.01( .02), $p$=.69  ","-.34( .64), $p$=.59  ","(-1.59, .91)","-.36(-.49,-.20)","-.31( .18), $p$=.08 .","-.11( .06), $p$=.05 .","(-.23, .00)","-.11(-.27, .06)"
immediate and recognition memory,octo,b1,male,aehplus,gait,prose_im,139,"-2.36(1.41), $p$=.09 .","-.36( .21), $p$=.09 .","(-.78, .06)","-.36(-.50,-.21)","-.00( .14), $p$=.99  ","-.05(3.62), $p$=.99  ","(-7.16,7.05)","-.05(-.22, .12)"," .57( .78), $p$=.47  "," .11( .15), $p$=.45  ","(-.18, .41)"," .11(-.05, .27)"
immediate and recognition memory,eas,b1,male,aehplus,gait,word_im,222,"11.33(13.26), $p$=.39  "," .17( .20), $p$=.39  ","(-.22, .57)"," .17( .04, .30)"," .09( .88), $p$=.92  "," .13(1.20), $p$=.92  ","(-2.22,2.48)"," .13(-.00, .25)","2.95(2.69), $p$=.27  "," .09( .08), $p$=.26  ","(-.07, .25)"," .09(-.04, .22)"
immediate and recognition memory,elsa,b1,male,aehplus,gait,word_im,1947," .04( .01), $p$<.01 ***"," .22( .05), $p$<.01 ***","( .13, .32)"," .23( .18, .27)"," .00( .00), $p$=.58  ","-.11( .20), $p$=.59  ","(-.49, .28)",---,"-.00( .00), $p$=.49  ","-.01( .02), $p$=.48  ","(-.06, .03)","-.01(-.06, .03)"
immediate and recognition memory,hrs,b1,male,aehplus,gait,word_im,318," .03( .02), $p$=.03 *",---,---," .27( .17, .37)"," .00( .00), $p$=.74  ",---,---," .00(-.11, .11)"," .00( .01), $p$=.82  ",---,---," .01(-.10, .12)"
immediate and recognition memory,lasa,b1,male,aehplus,gait,word_im,800,"-1.12( .58), $p$=.05 .","-.27( .20), $p$=.17  ","(-.65, .11)","-.27(-.33,-.20)"," .00( .02), $p$=.85  "," .10( .49), $p$=.85  ","(-.87,1.06)"," .11( .04, .17)","-.08( .29), $p$=.77  ","-.01( .03), $p$=.77  ","(-.06, .04)","-.01(-.08, .06)"
immediate and recognition memory,map,b1,male,aehplus,gait,word_im,321," .07( .04), $p$=.04 *"," .22( .10), $p$=.03 *","( .02, .41)"," .21( .11, .32)"," .00( .00), $p$=.24  "," .62( .54), $p$=.25  ","(-.44,1.68)"," .48( .39, .56)"," .01( .01), $p$=.69  "," .02( .04), $p$=.68  ","(-.07, .10)"," .02(-.09, .13)"
immediate and recognition memory,map,b1,male,aehplus,gait,word_rec,321," .01( .01), $p$=.49  "," .07( .10), $p$=.49  ","(-.13, .27)"," .07(-.04, .18)","-.00( .00), $p$=.65  ","-.15( .35), $p$=.67  ","(-.83, .53)","-.18(-.29,-.07)"," .00( .00), $p$=.36  "," .04( .05), $p$=.37  ","(-.05, .14)"," .04(-.07, .15)"
mental status,octo,b1,male,aehplus,gait,clock,137,"-1.16( .67), $p$=.08 .","-.41( .25), $p$=.10 .","(-.90, .08)","-.41(-.54,-.26)","-.01( .06), $p$=.89  ","-.15(1.26), $p$=.91  ","(-2.62,2.33)","-.15(-.31, .02)","-.68( .30), $p$=.02 *","-.16( .06), $p$=.01 **","(-.29,-.04)","-.17(-.32, .00)"
mental status,map,b1,male,aehplus,gait,ideas,321," .01( .01), $p$=.15  "," .18( .08), $p$=.03 *","( .02, .34)"," .18( .08, .29)","-.00( .00), $p$=.46  ","-.18( .23), $p$=.44  ","(-.62, .27)","-.20(-.30,-.09)"," .00( .00), $p$=.80  "," .01( .05), $p$=.79  ","(-.08, .10)"," .02(-.09, .13)"
mental status,eas,b1,male,aehplus,gait,mmse,222,"6.09(4.61), $p$=.19  "," .34( .25), $p$=.17  ","(-.15, .84)"," .34( .22, .46)","-.06( .30), $p$=.84  ","-.50(2.74), $p$=.85  ","(-5.87,4.87)","-.52(-.61,-.41)","-.25( .95), $p$=.79  ","-.03( .11), $p$=.79  ","(-.24, .18)","-.03(-.16, .10)"
mental status,map,b1,male,aehplus,gait,mmse,321," .10( .03), $p$<.01 ***"," .48( .10), $p$<.01 ***","( .29, .67)"," .49( .40, .57)"," .00( .00), $p$=.49  "," .29( .46), $p$=.53  ","(-.62,1.20)"," .22( .11, .32)"," .01( .01), $p$=.50  "," .03( .04), $p$=.50  ","(-.05, .11)"," .03(-.08, .14)"
mental status,octo,b1,male,aehplus,gait,mmse,140,"-1.56( .96), $p$=.10  ","-.48( .30), $p$=.11  ","(-1.07, .11)","-.48(-.60,-.34)","-.03( .04), $p$=.48  ","-.42( .61), $p$=.49  ","(-1.63, .79)","-.42(-.55,-.27)","-.84( .55), $p$=.13  ","-.12( .08), $p$=.12  ","(-.28, .03)","-.12(-.28, .04)"
mental status,hrs,b1,male,aehplus,gait,serial7,318," .05( .02), $p$<.01 **",---,---," .31( .21, .41)"," .00( .00), $p$=.01 **",---,---," .48( .39, .56)"," .00( .01), $p$=.98  ",---,---," .00(-.11, .11)"
perceptual speed,lasa,b1,male,aehplus,gait,letter,800,"-1.88( .56), $p$<.01 ***","-.30( .21), $p$=.15  ","(-.72, .11)","-.31(-.37,-.24)","-.04( .01), $p$=.02 *","-.32( .14), $p$=.02 *","(-.58,-.05)","-.32(-.38,-.25)","-.22( .28), $p$=.43  ","-.03( .04), $p$=.43  ","(-.11, .05)","-.03(-.10, .04)"
perceptual speed,map,b1,male,aehplus,gait,num_comp,321," .17( .06), $p$=.01 **"," .22( .08), $p$=.01 **","( .06, .37)"," .22( .11, .32)","-.00( .00), $p$=.28  ","-.40( .40), $p$=.32  ","(-1.19, .39)",---," .04( .02), $p$=.06 ."," .07( .04), $p$=.06 .","(-.00, .15)"," .07(-.04, .18)"
perceptual speed,octo,b1,male,aehplus,gait,psif,131,"-1.62(1.48), $p$=.27  ","-.30( .28), $p$=.27  ","(-.85, .24)","-.30(-.45,-.14)","-.08( .13), $p$=.53  ","-.48( .74), $p$=.51  ","(-1.94, .97)","-.48(-.60,-.34)"," .12( .51), $p$=.82  "," .02( .11), $p$=.82  ","(-.19, .24)"," .02(-.15, .19)"
perceptual speed,eas,b1,male,aehplus,gait,symbol,221,"68.90(26.04), $p$=.01 **"," .39( .14), $p$=.01 **","( .10, .67)"," .39( .27, .49)","1.59(1.33), $p$=.23  "," .67( .85), $p$=.43  ","(-.99,2.33)"," .67( .59, .74)","-.48(4.28), $p$=.91  ","-.01( .09), $p$=.91  ","(-.19, .17)","-.01(-.14, .12)"
perceptual speed,ilse,b1,male,aehplus,tug,symbol,252,"-2.28(1.38), $p$=.10 .",---,---,"-.47(-.56,-.37)","-.01( .02), $p$=.68  ",---,---,"-.42(-.52,-.31)","-.49( .46), $p$=.28  ",---,---,"-.09(-.21, .03)"
perceptual speed,map,b1,male,aehplus,gait,symbol,321," .53( .09), $p$<.01 ***"," .46( .07), $p$<.01 ***","( .32, .60)"," .45( .36, .54)","-.01( .01), $p$=.35  ","-.33( .40), $p$=.41  ","(-1.12, .45)",---," .06( .03), $p$=.06 ."," .09( .05), $p$=.06 .","(-.00, .18)"," .09(-.02, .20)"
perceptual speed,octo,b1,male,aehplus,gait,symbol,134,"-7.59(2.82), $p$=.01 **","-.46( .14), $p$<.01 **","(-.74,-.17)","-.46(-.58,-.31)"," .00( .11), $p$=.99  "," .00(1.01), $p$=.99  ","(-1.97,1.98)"," .01(-.16, .18)","-2.51(1.15), $p$=.03 *","-.23( .09), $p$=.01 *","(-.42,-.05)","-.24(-.39,-.07)"
verbal knowledge,eas,b1,male,aehplus,gait,bnt,222,"6.14(6.14), $p$=.32  "," .19( .18), $p$=.29  ","(-.16, .54)"," .19( .06, .31)","-.00( .42), $p$=.99  ","-.04(3.45), $p$=.99  ","(-6.80,6.73)","-.04(-.17, .09)"," .29( .95), $p$=.76  "," .02( .08), $p$=.76  ","(-.13, .18)"," .02(-.11, .16)"
verbal knowledge,map,b1,male,aehplus,gait,bnt,321," .04( .02), $p$=.01 **"," .31( .07), $p$<.01 ***","( .17, .45)"," .31( .20, .40)","-.00( .00), $p$=.31  ","-.63( .77), $p$=.41  ","(-2.13, .87)","-.41(-.50,-.31)","-.00( .00), $p$=.48  ","-.03( .04), $p$=.48  ","(-.12, .06)","-.03(-.14, .08)"
verbal knowledge,eas,b1,male,aehplus,gait,categories,222,"44.15(25.45), $p$=.08 ."," .31( .16), $p$=.05 .","(-.00, .63)"," .31( .19, .43)","1.74(1.19), $p$=.14  "," .78( .72), $p$=.28  ","(-.64,2.19)"," .78( .72, .82)"," .06(3.21), $p$=.98  "," .00( .09), $p$=.98  ","(-.17, .17)"," .00(-.13, .13)"
verbal knowledge,map,b1,male,aehplus,gait,categories,321," .39( .09), $p$<.01 ***"," .38( .08), $p$<.01 ***","( .23, .54)"," .39( .29, .48)"," .02( .01), $p$=.04 *"," .74( .36), $p$=.04 *","( .03,1.45)"," .56( .48, .63)"," .02( .03), $p$=.38  "," .04( .04), $p$=.38  ","(-.04, .11)"," .04(-.07, .14)"
verbal knowledge,eas,b1,male,aehplus,gait,fas,222,"26.13(28.93), $p$=.37  "," .15( .16), $p$=.37  ","(-.17, .47)"," .15( .02, .27)"," .81(1.55), $p$=.60  "," .56(1.22), $p$=.65  ","(-1.84,2.95)"," .55( .46, .64)"," .86(4.62), $p$=.85  "," .02( .10), $p$=.85  ","(-.17, .21)"," .02(-.11, .15)"
verbal knowledge,elsa,b1,male,aehplus,gait,fluency,1947," .20( .03), $p$<.01 ***"," .23( .04), $p$<.01 ***","( .15, .31)"," .23( .18, .27)"," .00( .00), $p$=.28  "," .16( .15), $p$=.29  ","(-.14, .46)",---,"-.01( .01), $p$=.34  ","-.02( .02), $p$=.34  ","(-.06, .02)","-.02(-.06, .02)"
verbal knowledge,octo,b1,male,aehplus,gait,information,140,"-2.86(1.95), $p$=.14  ","-.21( .14), $p$=.13  ","(-.47, .06)","-.21(-.36,-.04)","-.02( .10), $p$=.83  ","-.14( .60), $p$=.82  ","(-1.31,1.04)","-.13(-.29, .03)","-.90( .81), $p$=.27  ","-.11( .09), $p$=.25  ","(-.29, .08)","-.11(-.27, .06)"
