domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,Corr(Levels)Est,er_tau_00_est,er_tau_00_se,er_tau_00_pval,CI(Levels)Est,er_tau_00_ci95lo,er_tau_00_ci95hi,Corr(Levels)Comp,cr_levels_est,cr_levels_ci95_lo,cr_levels_ci95_hi,Cov(Slopes),Corr(Slopes)Est,er_tau_11_est,er_tau_11_se,er_tau_11_pval,CI(Slopes)Est,er_tau_11_ci95lo,er_tau_11_ci95hi,Corr(Slopes)Comp,cr_slopes_est,cr_slopes_ci95_lo,cr_slopes_ci95_hi,Cov(Residuals),ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval,Corr(Resid)Est,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,CI(Resid)Est,er_sigma_00_ci95lo,er_sigma_00_ci95hi,Corr(Residuals)Comp,cr_resid_est,cr_resid_ci95_lo,cr_resid_ci95_hi
fluid reasoning,lasa,b1,male,aehplus,gait,raven,800,"-.70( .37), $p$=.06 .",-0.702,0.367,0.056,"-.23( .19), $p$=.23  ",-0.232,0.192,0.227,"(-.61, .14)",-0.60832,0.14431999999999998,"-.23(-.30,-.16)",-0.23153820126486163,-0.2961002842071816,-0.16487002010681567,"-.01( .01), $p$=.07 .","-.23( .16), $p$=.15  ",-0.232,0.161,0.15,"(-.55, .08)",-0.54756,0.08356,"-.24(-.31,-.18)",-0.2422406975624772,-0.3064100153773761,-0.1758796827360682," .15( .16), $p$=.36  ",0.149,0.163,0.361," .02( .03), $p$=.38  ",0.025,0.028,0.385,"(-.03, .08)",-0.029879999999999997,0.07988," .02(-.04, .09)",0.024697278267584676,-0.044693390697193226,0.0938507774763794
fluid reasoning,ilse,b1,male,aehplus,tug,spatial_ab,252,"-1.18( .78), $p$=.13  ",-1.177,0.782,0.132,---,NA,NA,NA,---,NA,NA,"-.41(-.51,-.30)",-0.4084445508250501,-0.5064552567514717,-0.30001421723674426,"-.00( .01), $p$=.85  ",---,NA,NA,NA,---,NA,NA,"-.12(-.24, .01)",-0.11846977555181848,-0.23855033087899014,0.005178889668836492," .18( .39), $p$=.64  ",0.182,0.393,0.643,---,NA,NA,NA,---,NA,NA," .05(-.08, .17)",0.04688891226215356,-0.07713084711811477,0.1694797613346847
mental status,octo,b1,male,aehplus,gait,clock,137,"-1.16( .67), $p$=.08 .",-1.161,0.672,0.084,"-.41( .25), $p$=.10 .",-0.41,0.249,0.1,"(-.90, .08)",-0.89804,0.07804,"-.41(-.54,-.26)",-0.4096212926665078,-0.5402235142040159,-0.25975063031107576,"-.01( .06), $p$=.89  ","-.15(1.26), $p$=.91  ",-0.147,1.264,0.907,"(-2.62,2.33)",-2.62444,2.3304400000000003,"-.15(-.31, .02)",-0.14744195615489714,-0.30755220096195657,0.02078757295035332,"-.68( .30), $p$=.02 *",-0.685,0.3,0.022,"-.16( .06), $p$=.01 **",-0.165,0.064,0.01,"(-.29,-.04)",-0.29044000000000003,-0.03956000000000001,"-.17(-.32, .00)",-0.16528979544215844,-0.32402283284338723,0.0024948538172723696
mental status,eas,b1,male,aehplus,gait,mmse,222,"6.09(4.61), $p$=.19  ",6.093,4.609,0.186," .34( .25), $p$=.17  ",0.344,0.251,0.171,"(-.15, .84)",-0.14796000000000004,0.83596," .34( .22, .46)",0.34421746123587565,0.22263511272682524,0.4552564386374248,"-.06( .30), $p$=.84  ","-.50(2.74), $p$=.85  ",-0.501,2.739,0.855,"(-5.87,4.87)",-5.86944,4.867439999999999,"-.52(-.61,-.41)",-0.5160973533816093,-0.6065515538691709,-0.41245296183792546,"-.25( .95), $p$=.79  ",-0.253,0.951,0.791,"-.03( .11), $p$=.79  ",-0.029,0.108,0.79,"(-.24, .18)",-0.24068,0.18268,"-.03(-.16, .10)",-0.028839898900423638,-0.15990576918264962,0.10322519515981018
mental status,map,b1,male,aehplus,gait,mmse,321," .10( .03), $p$<.01 ***",0.103,0.029,0.0," .48( .10), $p$<.01 ***",0.484,0.097,0.0,"( .29, .67)",0.29388,0.67412," .49( .40, .57)",0.4887833430266456,0.4007576268563946,0.5678675796039633," .00( .00), $p$=.49  "," .29( .46), $p$=.53  ",0.292,0.464,0.529,"(-.62,1.20)",-0.61744,1.20144," .22( .11, .32)",0.21821789023599242,0.11141038890689865,0.32004159510313296," .01( .01), $p$=.50  ",0.006,0.008,0.503," .03( .04), $p$=.50  ",0.028,0.041,0.501,"(-.05, .11)",-0.052360000000000004,0.10836," .03(-.08, .14)",0.02975698503218078,-0.07997240246305935,0.13877381463679211
mental status,octo,b1,male,aehplus,gait,mmse,140,"-1.56( .96), $p$=.10  ",-1.56,0.961,0.104,"-.48( .30), $p$=.11  ",-0.478,0.3,0.111,"(-1.07, .11)",-1.0659999999999998,0.10999999999999999,"-.48(-.60,-.34)",-0.4773808558121173,-0.5960755214191142,-0.33826808622216414,"-.03( .04), $p$=.48  ","-.42( .61), $p$=.49  ",-0.42,0.615,0.494,"(-1.63, .79)",-1.6254,0.7854000000000001,"-.42(-.55,-.27)",-0.4202488610103944,-0.5479487879682463,-0.2734077504116105,"-.84( .55), $p$=.13  ",-0.843,0.551,0.126,"-.12( .08), $p$=.12  ",-0.125,0.079,0.116,"(-.28, .03)",-0.27984,0.029840000000000005,"-.12(-.28, .04)",-0.12470620647530917,-0.2847188900119656,0.042067414060887716
perceptual speed,lasa,b1,male,aehplus,gait,letter,800,"-1.88( .56), $p$<.01 ***",-1.882,0.558,0.001,"-.30( .21), $p$=.15  ",-0.305,0.213,0.151,"(-.72, .11)",-0.72248,0.11247999999999997,"-.31(-.37,-.24)",-0.3051688538957925,-0.3667258369621164,-0.24095142472501352,"-.04( .01), $p$=.02 *","-.32( .14), $p$=.02 *",-0.317,0.135,0.019,"(-.58,-.05)",-0.5816,-0.0524,"-.32(-.38,-.25)",-0.31701806135694505,-0.37802554789856085,-0.2532691986948046,"-.22( .28), $p$=.43  ",-0.221,0.278,0.427,"-.03( .04), $p$=.43  ",-0.03,0.039,0.433,"(-.11, .05)",-0.10643999999999999,0.046439999999999995,"-.03(-.10, .04)",-0.03055853512720855,-0.09966159763369277,0.03883788856771543
perceptual speed,map,b1,male,aehplus,gait,num_comp,321," .17( .06), $p$=.01 **",0.173,0.063,0.006," .22( .08), $p$=.01 **",0.216,0.078,0.006,"( .06, .37)",0.06312000000000001,0.36888," .22( .11, .32)",0.21790971052585445,0.11109082772762983,0.3197511409345189,"-.00( .00), $p$=.28  ","-.40( .40), $p$=.32  ",-0.4,0.403,0.322,"(-1.19, .39)",-1.18988,0.38988,---,-Inf,NaN,NaN," .04( .02), $p$=.06 .",0.04,0.021,0.058," .07( .04), $p$=.06 .",0.075,0.04,0.063,"(-.00, .15)",-0.0034000000000000002,0.15339999999999998," .07(-.04, .18)",0.07448479621957273,-0.03527168114531277,0.18246589209275596
perceptual speed,octo,b1,male,aehplus,gait,psif,131,"-1.62(1.48), $p$=.27  ",-1.617,1.478,0.274,"-.30( .28), $p$=.27  ",-0.304,0.277,0.271,"(-.85, .24)",-0.8469200000000001,0.23892000000000008,"-.30(-.45,-.14)",-0.30435751398121025,-0.4522721101731777,-0.1401484808800731,"-.08( .13), $p$=.53  ","-.48( .74), $p$=.51  ",-0.485,0.741,0.513,"(-1.94, .97)",-1.93736,0.9673599999999999,"-.48(-.60,-.34)",-0.48354977498652857,-0.604903868795972,-0.3402445416424071," .12( .51), $p$=.82  ",0.116,0.514,0.821," .02( .11), $p$=.82  ",0.024,0.108,0.823,"(-.19, .24)",-0.18768,0.23568," .02(-.15, .19)",0.024202903606721952,-0.14793673799077578,0.19491920788192976
perceptual speed,eas,b1,male,aehplus,gait,symbol,221,"68.90(26.04), $p$=.01 **",68.903,26.043,0.008," .39( .14), $p$=.01 **",0.387,0.144,0.007,"( .10, .67)",0.10476000000000002,0.6692400000000001," .39( .27, .49)",0.38723471336660464,0.2690109599125735,0.49396257358557116,"1.59(1.33), $p$=.23  "," .67( .85), $p$=.43  ",0.668,0.848,0.431,"(-.99,2.33)",-0.99408,2.33008," .67( .59, .74)",0.6678356673276684,0.5876576920709394,0.7350253759872296,"-.48(4.28), $p$=.91  ",-0.479,4.282,0.911,"-.01( .09), $p$=.91  ",-0.01,0.092,0.911,"(-.19, .17)",-0.19032,0.17031999999999997,"-.01(-.14, .12)",-0.010310617361745787,-0.14208852564154548,0.12182640129181986
