domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,Corr(Levels)Est,er_tau_00_est,er_tau_00_se,er_tau_00_pval,CI(Levels)Est,er_tau_00_ci95lo,er_tau_00_ci95hi,Corr(Levels)Comp,cr_levels_est,cr_levels_ci95_lo,cr_levels_ci95_hi,Cov(Slopes),Corr(Slopes)Est,er_tau_11_est,er_tau_11_se,er_tau_11_pval,CI(Slopes)Est,er_tau_11_ci95lo,er_tau_11_ci95hi,Corr(Slopes)Comp,cr_slopes_est,cr_slopes_ci95_lo,cr_slopes_ci95_hi,Cov(Residuals),ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval,Corr(Resid)Est,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,CI(Resid)Est,er_sigma_00_ci95lo,er_sigma_00_ci95hi,Corr(Residuals)Comp,cr_resid_est,cr_resid_ci95_lo,cr_resid_ci95_hi
short-term memory,map,b1,male,aehplus,gait,bstory_im,321," .05( .02), $p$<.01 **",0.052,0.018,0.004," .36( .12), $p$<.01 **",0.361,0.121,0.003,"( .12, .60)",0.12384,0.59816," .36( .26, .45)",0.3564655231196031,0.25702629240290487,0.44843560239016067," .00( .00), $p$=.23  "," .73( .94), $p$=.44  ",0.733,0.943,0.437,"(-1.12,2.58)",-1.1152799999999998,2.58128," .65( .59, .71)",0.6546536707079772,0.5872711070188867,0.7130242364380122,"-.01( .01), $p$=.06 .",-0.015,0.008,0.064,"-.07( .04), $p$=.06 .",-0.069,0.036,0.059,"(-.14, .00)",-0.13956000000000002,0.001559999999999992,"-.07(-.18, .04)",-0.07147721193228705,-0.1795412661318848,0.03829127963423446
short-term memory,eas,b1,male,aehplus,gait,digit_tot,222,"9.48(9.98), $p$=.34  ",9.479,9.984,0.342," .17( .17), $p$=.33  ",0.167,0.172,0.333,"(-.17, .50)",-0.17011999999999997,0.50412," .17( .04, .29)",0.16653784865687324,0.03564642047609889,0.2918119371529368," .18( .40), $p$=.66  "," .39(1.04), $p$=.71  ",0.394,1.043,0.706,"(-1.65,2.44)",-1.6502799999999995,2.43828," .39( .28, .50)",0.39446086272112013,0.27718470176159093,0.5001559238930081,"-.86(1.49), $p$=.56  ",-0.863,1.488,0.562,"-.06( .10), $p$=.56  ",-0.056,0.096,0.562,"(-.24, .13)",-0.24416,0.13216,"-.06(-.19, .08)",-0.055980124782692146,-0.18628014224457545,0.07625505979476577
short-term memory,map,b1,male,aehplus,gait,logic_im,321," .08( .04), $p$=.04 *",0.084,0.042,0.045," .22( .11), $p$=.04 *",0.216,0.108,0.045,"( .00, .43)",0.0043199999999999905,0.42768," .22( .11, .32)",0.2169695314807338,0.11011606314095639,0.3188649197910911," .00( .00), $p$=.36  "," .78(1.12), $p$=.49  ",0.775,1.122,0.49,"(-1.42,2.97)",-1.4241200000000003,2.97412," .63( .56, .69)",0.6324555320336759,0.5618885557911311,0.693883915299153,"-.01( .01), $p$=.68  ",-0.006,0.015,0.682,"-.02( .04), $p$=.68  ",-0.017,0.04,0.681,"(-.10, .06)",-0.0954,0.061399999999999996,"-.02(-.13, .09)",-0.016257476347853145,-0.12550300048419566,0.09337758688462144
short-term memory,octo,b1,male,aehplus,gait,prose_im,139,"-2.36(1.41), $p$=.09 .",-2.362,1.41,0.094,"-.36( .21), $p$=.09 .",-0.36,0.213,0.091,"(-.78, .06)",-0.77748,0.057479999999999976,"-.36(-.50,-.21)",-0.35970673939343967,-0.49647304979743384,-0.20551449563478488,"-.00( .14), $p$=.99  ","-.05(3.62), $p$=.99  ",-0.053,3.625,0.988,"(-7.16,7.05)",-7.1579999999999995,7.052,"-.05(-.22, .12)",-0.05184758473652127,-0.21647959644131184,0.11565160426855926," .57( .78), $p$=.47  ",0.569,0.781,0.466," .11( .15), $p$=.45  ",0.113,0.15,0.45,"(-.18, .41)",-0.181,0.407," .11(-.05, .27)",0.11306707765179379,-0.05445896114638529,0.2744020579209442
short-term memory,eas,b1,male,aehplus,gait,word_im,222,"11.33(13.26), $p$=.39  ",11.326,13.257,0.393," .17( .20), $p$=.39  ",0.174,0.203,0.39,"(-.22, .57)",-0.22388000000000002,0.5718799999999999," .17( .04, .30)",0.17442718699491766,0.04375911607518677,0.2992278140841463," .09( .88), $p$=.92  "," .13(1.20), $p$=.92  ",0.127,1.199,0.916,"(-2.22,2.48)",-2.22304,2.4770399999999997," .13(-.00, .25)",0.12696469708163635,-0.004788458257801247,0.2543850326099676,"2.95(2.69), $p$=.27  ",2.953,2.688,0.272," .09( .08), $p$=.26  ",0.093,0.082,0.255,"(-.07, .25)",-0.06772,0.25372," .09(-.04, .22)",0.09325000970450868,-0.03890073637278626,0.22219488842612867
short-term memory,elsa,b1,male,aehplus,gait,word_im,1947," .04( .01), $p$<.01 ***",0.045,0.009,0.0," .22( .05), $p$<.01 ***",0.225,0.048,0.0,"( .13, .32)",0.13092,0.31908000000000003," .23( .18, .27)",0.2251858550272467,0.18258876653173603,0.2669391384392831," .00( .00), $p$=.58  ","-.11( .20), $p$=.59  ",-0.106,0.196,0.59,"(-.49, .28)",-0.49016,0.27816,---,NaN,NaN,NaN,"-.00( .00), $p$=.49  ",-0.002,0.003,0.486,"-.01( .02), $p$=.48  ",-0.014,0.021,0.485,"(-.06, .03)",-0.05516,0.027160000000000004,"-.01(-.06, .03)",-0.011745619517236705,-0.05613995514920764,0.03269506872337427
short-term memory,hrs,b1,male,aehplus,gait,word_im,318," .03( .02), $p$=.03 *",0.034,0.016,0.032,---,NA,NA,NA,---,NA,NA," .27( .17, .37)",0.2702842753182797,0.16521078888563637,0.36929103889783593," .00( .00), $p$=.74  ",---,NA,NA,NA,---,NA,NA," .00(-.11, .11)",0.0,-0.1099847312417276,0.1099847312417276," .00( .01), $p$=.82  ",0.002,0.009,0.821,---,NA,NA,NA,---,NA,NA," .01(-.10, .12)",0.01103105199223936,-0.09907388036622156,0.12086913907869463
short-term memory,lasa,b1,male,aehplus,gait,word_im,800,"-1.12( .58), $p$=.05 .",-1.121,0.581,0.054,"-.27( .20), $p$=.17  ",-0.268,0.195,0.171,"(-.65, .11)",-0.6502,0.11419999999999997,"-.27(-.33,-.20)",-0.2674755000077401,-0.33065928949025547,-0.20190461960977396," .00( .02), $p$=.85  "," .10( .49), $p$=.85  ",0.095,0.494,0.847,"(-.87,1.06)",-0.87324,1.06324," .11( .04, .17)",0.10540925533894598,0.036360760282145806,0.17345608343956076,"-.08( .29), $p$=.77  ",-0.085,0.295,0.773,"-.01( .03), $p$=.77  ",-0.008,0.027,0.773,"(-.06, .04)",-0.06092,0.04492,"-.01(-.08, .06)",-0.007668047928555404,-0.07694131293141299,0.06167889431027652
short-term memory,map,b1,male,aehplus,gait,word_im,321," .07( .04), $p$=.04 *",0.075,0.036,0.039," .22( .10), $p$=.03 *",0.216,0.1,0.031,"( .02, .41)",0.01999999999999999,0.41200000000000003," .21( .11, .32)",0.21290929458326366,0.10590882515022529,0.3150356570575288," .00( .00), $p$=.24  "," .62( .54), $p$=.25  ",0.623,0.54,0.249,"(-.44,1.68)",-0.4354,1.6814," .48( .39, .56)",0.4811252243246882,0.3923191004121187,0.5610448595318649," .01( .01), $p$=.69  ",0.006,0.015,0.686," .02( .04), $p$=.68  ",0.017,0.043,0.684,"(-.07, .10)",-0.06727999999999999,0.10128," .02(-.09, .13)",0.016973957879600134,-0.09266710903079155,0.1262083279273698
verbal comprehension,map,b1,male,aehplus,gait,ideas,321," .01( .01), $p$=.15  ",0.011,0.007,0.148," .18( .08), $p$=.03 *",0.18,0.083,0.03,"( .02, .34)",0.017319999999999974,0.34268," .18( .08, .29)",0.18472399801528872,0.07680829899140681,0.28836176249433715,"-.00( .00), $p$=.46  ","-.18( .23), $p$=.44  ",-0.177,0.227,0.436,"(-.62, .27)",-0.62192,0.26792,"-.20(-.30,-.09)",-0.19611613513818404,-0.29916241313771497,-0.08854826331214032," .00( .00), $p$=.80  ",0.001,0.003,0.796," .01( .05), $p$=.79  ",0.012,0.047,0.794,"(-.08, .10)",-0.08012,0.10411999999999999," .02(-.09, .13)",0.016087236302194673,-0.09354638400723532,0.12533539447370226
visual discrimination,map,b1,male,aehplus,gait,line,321," .04( .02), $p$=.10 .",0.042,0.025,0.095," .15( .09), $p$=.09 .",0.148,0.087,0.088,"(-.02, .32)",-0.022519999999999984,0.31851999999999997," .15( .04, .25)",0.14801767859562862,0.03918370479023965,0.253380943948698,"-.00( .00), $p$=.22  ","-.66( .67), $p$=.32  ",-0.659,0.669,0.324,"(-1.97, .65)",-1.97024,0.6522399999999999,"-.44(-.53,-.35)",-0.4423258684646914,-0.5263103201380851,-0.3497943516354721," .02( .01), $p$=.06 .",0.02,0.011,0.06," .08( .04), $p$=.06 .",0.077,0.041,0.06,"(-.00, .16)",-0.003360000000000002,0.15736," .08(-.03, .18)",0.07626314237407987,-0.033485287855995916,0.1841942875548527
visual discrimination,ilse,b1,male,aehplus,tug,piccomp,252,"-.32( .47), $p$=.50  ",-0.32,0.473,0.499,---,NA,NA,NA,---,NA,NA,"-.23(-.35,-.11)",-0.23131539605445525,-0.3450259189858569,-0.11091291628137102," .00( .01), $p$=.98  ",---,NA,NA,NA,---,NA,NA," .00(-.12, .12)",0.0,-0.12357284810105355,0.12357284810105355,"-.07( .28), $p$=.79  ",-0.074,0.28,0.791,---,NA,NA,NA,---,NA,NA,"-.03(-.15, .10)",-0.02736755637358188,-0.15043166161089663,0.09653175119096975
working memory,map,b1,male,aehplus,gait,digit_b,321," .06( .02), $p$=.01 **",0.057,0.021,0.007," .26( .10), $p$=.01 **",0.265,0.095,0.006,"( .08, .45)",0.07880000000000001,0.45120000000000005," .27( .16, .37)",0.266262130968825,0.1615005753526163,0.3650895925353887," .00( .00), $p$=.68  "," .24( .58), $p$=.68  ",0.242,0.579,0.676,"(-.89,1.38)",-0.8928399999999999,1.3768399999999998," .21( .10, .31)",0.20851441405707474,0.10135914125349134,0.3108870367615893," .00( .01), $p$=.96  ",0.0,0.008,0.959," .00( .04), $p$=.96  ",0.002,0.045,0.959,"(-.09, .09)",-0.0862,0.0902," .00(-.11, .11)",0.0,-0.10946888028664423,0.10946888028664423
working memory,octo,b1,male,aehplus,gait,digit_b,139,"-.46( .47), $p$=.33  ",-0.456,0.472,0.334,"-.22( .22), $p$=.32  ",-0.217,0.217,0.316,"(-.64, .21)",-0.64232,0.20831999999999998,"-.22(-.37,-.05)",-0.21744527198802746,-0.3705310711888527,-0.05285818523904882,"-.02( .03), $p$=.45  ","-.59( .88), $p$=.51  ",-0.586,0.885,0.508,"(-2.32,1.15)",-2.3205999999999998,1.1486,"-.58(-.68,-.46)",-0.5824352060364906,-0.6827278444262482,-0.46060167535498114,"-.11( .27), $p$=.69  ",-0.109,0.27,0.688,"-.04( .11), $p$=.69  ",-0.045,0.111,0.688,"(-.26, .17)",-0.26256,0.17256,"-.04(-.21, .12)",-0.044809409179729,-0.20974534797847896,0.12260613852380788
working memory,map,b1,male,aehplus,gait,digit_o,320," .02( .02), $p$=.21  ",0.02,0.016,0.209," .14( .10), $p$=.19  ",0.136,0.103,0.189,"(-.07, .34)",-0.06587999999999997,0.33787999999999996," .14( .03, .24)",0.13546330635138212,0.02621259780377532,0.24151628151402962,"-.00( .00), $p$=.74  ","-.31(1.18), $p$=.79  ",-0.306,1.175,0.794,"(-2.61,2.00)",-2.609,1.9969999999999999,"-.41(-.50,-.31)",-0.4082482904638631,-0.49570058121845667,-0.3126003697800315,"-.00( .01), $p$=.92  ",-0.001,0.006,0.925,"-.00( .04), $p$=.92  ",-0.004,0.038,0.925,"(-.08, .07)",-0.07848,0.07047999999999999,"-.01(-.12, .10)",-0.006347191687455104,-0.11590655488651798,0.10336476379150822
