domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
attention,map,b1,female,aehplus,fev,digit_f,935," .07( .02), $p$<.01 **"," .13( .04), $p$<.01 **","( .04, .22)"," .13( .06, .19)"," .00( .00), $p$=.98  "," .01( .60), $p$=.98  ","(-1.17,1.19)",---," .00( .01), $p$=.46  "," .02( .03), $p$=.46  ","(-.04, .08)"," .02(-.04, .08)"
attention,octo,b1,female,aehplus,pef,digit_f,276,"-.03(5.00), $p$=.99  ","-.00( .10), $p$=.99  ","(-.20, .20)","-.00(-.12, .12)","-.12( .11), $p$=.28  ","-.30( .25), $p$=.24  ","(-.79, .20)","-.29(-.39,-.18)"," .46(1.85), $p$=.80  "," .01( .05), $p$=.80  ","(-.09, .11)"," .01(-.11, .13)"
attention,satsa,b1,female,aehplus,fev,digit_f,409," .02( .02), $p$=.37  "," .09( .10), $p$=.37  ","(-.10, .27)"," .09(-.01, .18)"," .00( .00), $p$=.92  "," .06( .61), $p$=.92  ","(-1.14,1.26)",---," .02( .01), $p$=.01 **"," .11( .04), $p$=.01 **","( .03, .19)"," .11( .01, .21)"
attention,hrs,b1,female,aehplus,pef,serial7,4608,"9.13(1.94), $p$<.01 ***"," .13( .03), $p$<.01 ***","( .08, .19)"," .13( .10, .16)"," .16( .05), $p$<.01 **"," .38( .13), $p$<.01 **","( .12, .63)"," .38( .35, .40)","-1.11( .92), $p$=.22  ","-.02( .02), $p$=.22  ","(-.06, .02)","-.02(-.05, .00)"
episodic memory,map,b1,female,aehplus,fev,bstory_de,935," .01( .02), $p$=.74  "," .02( .06), $p$=.74  ","(-.09, .13)"," .02(-.04, .08)"," .00( .00), $p$=.97  ","-.02( .47), $p$=.97  ","(-.94, .90)",---,"-.01( .01), $p$=.17  ","-.04( .03), $p$=.17  ","(-.09, .02)","-.04(-.10, .03)"
episodic memory,map,b1,female,aehplus,fev,logic_de,935," .05( .05), $p$=.31  "," .05( .04), $p$=.31  ","(-.04, .13)"," .05(-.02, .11)","-.00( .00), $p$=.14  ","-.60( .79), $p$=.44  ","(-2.15, .94)",---," .00( .01), $p$=.78  "," .01( .03), $p$=.78  ","(-.05, .07)"," .01(-.06, .07)"
episodic memory,eas,b1,female,aehplus,pef,logic_tot,324,"35.38(61.57), $p$=.57  "," .07( .12), $p$=.57  ","(-.16, .29)"," .07(-.04, .17)","2.85(4.29), $p$=.51  "," .30( .46), $p$=.51  ","(-.59,1.19)"," .30( .19, .39)","-7.57(15.76), $p$=.63  ","-.03( .07), $p$=.63  ","(-.17, .10)","-.03(-.14, .08)"
episodic memory,octo,b1,female,aehplus,pef,mir,271,"13.19(10.49), $p$=.21  "," .13( .10), $p$=.20  ","(-.07, .33)"," .13( .01, .24)"," .27( .42), $p$=.53  "," .18( .28), $p$=.53  ","(-.37, .72)"," .18( .06, .29)","3.53(3.78), $p$=.35  "," .06( .06), $p$=.35  ","(-.06, .17)"," .06(-.06, .17)"
episodic memory,octo,b1,female,aehplus,pef,mir_recog,271,"2.85(2.73), $p$=.30  "," .07( .07), $p$=.30  ","(-.06, .20)"," .07(-.05, .19)"," .26( .28), $p$=.36  "," .52( .32), $p$=.10  ","(-.11,1.15)"," .54( .45, .62)","3.84(1.89), $p$=.04 *"," .15( .06), $p$=.02 *","( .03, .27)"," .15( .03, .26)"
episodic memory,elsa,b1,female,aehplus,fev,word_de,3511," .02( .02), $p$=.25  "," .05( .04), $p$=.25  ","(-.03, .13)"," .05( .01, .08)"," .00( .00), $p$=.63  ","-.43(1.05), $p$=.68  ","(-2.49,1.64)",---," .01( .01), $p$=.57  "," .01( .03), $p$=.56  ","(-.04, .07)"," .02(-.02, .05)"
episodic memory,hrs,b1,female,aehplus,pef,word_de,4611,"22.08(2.27), $p$<.01 ***"," .28( .03), $p$<.01 ***","( .23, .33)"," .28( .25, .31)"," .10( .05), $p$=.04 *"," .69( .50), $p$=.17  ","(-.30,1.68)"," .70( .69, .72)","2.00(1.03), $p$=.05 ."," .04( .02), $p$=.05 .","(-.00, .07)"," .04( .01, .07)"
episodic memory,map,b1,female,aehplus,fev,word_de,935," .02( .02), $p$=.41  "," .04( .05), $p$=.41  ","(-.05, .13)"," .04(-.03, .10)","-.00( .00), $p$=.29  ","-.58( .84), $p$=.49  ","(-2.23,1.07)",---," .00( .01), $p$=.53  "," .02( .03), $p$=.53  ","(-.04, .07)"," .01(-.05, .08)"
episodic memory,map,b1,female,aehplus,fev,word_rec,935," .00( .01), $p$=.68  "," .02( .04), $p$=.68  ","(-.07, .10)"," .02(-.05, .08)"," .00( .00), $p$=.95  "," .08(1.14), $p$=.95  ","(-2.16,2.32)",---," .00( .00), $p$=.89  "," .00( .03), $p$=.89  ","(-.05, .06)"," .00(-.06, .06)"
executive function,eas,b1,female,aehplus,pef,trailsb,545,"-402.35(273.61), $p$=.14  ","-.13( .09), $p$=.12  ","(-.30, .04)","-.13(-.21,-.05)","9.47(19.46), $p$=.63  "," .28( .66), $p$=.66  ","(-1.00,1.57)"," .29( .21, .36)","-24.99(71.97), $p$=.73  ","-.02( .05), $p$=.73  ","(-.11, .08)","-.02(-.10, .07)"
fluency,eas,b1,female,aehplus,pef,categories,545,"113.06(39.02), $p$<.01 **"," .26( .09), $p$<.01 **","( .09, .43)"," .26( .18, .34)","2.35(2.45), $p$=.34  "," .53( .74), $p$=.47  ","(-.92,1.98)"," .53( .47, .59)","-15.48(9.68), $p$=.11  ","-.09( .06), $p$=.10  ","(-.20, .02)","-.09(-.17,-.01)"
fluency,map,b1,female,aehplus,fev,categories,935," .52( .10), $p$<.01 ***"," .23( .04), $p$<.01 ***","( .15, .31)"," .23( .17, .29)","-.00( .00), $p$=.37  ","-.35( .44), $p$=.42  ","(-1.21, .50)",---,"-.03( .02), $p$=.10  ","-.04( .03), $p$=.10  ","(-.10, .01)","-.04(-.11, .02)"
fluency,eas,b1,female,aehplus,pef,fas,545,"130.95(58.97), $p$=.03 *"," .19( .08), $p$=.02 *","( .03, .35)"," .19( .11, .27)"," .96(3.50), $p$=.78  "," .10( .38), $p$=.79  ","(-.64, .84)"," .10( .02, .18)","5.01(10.59), $p$=.64  "," .02( .05), $p$=.64  ","(-.08, .13)"," .03(-.06, .11)"
fluid reasoning,satsa,b1,female,aehplus,fev,analogies,407," .20( .07), $p$=.01 **"," .27( .10), $p$<.01 **","( .08, .45)"," .27( .17, .35)"," .00( .00), $p$=.36  "," .17( .19), $p$=.37  ","(-.20, .55)",---," .01( .02), $p$=.65  "," .02( .04), $p$=.65  ","(-.06, .10)"," .02(-.08, .12)"
fluid reasoning,eas,b1,female,aehplus,pef,block,545,"111.36(44.87), $p$=.01 *"," .25( .10), $p$=.01 **","( .06, .44)"," .25( .17, .33)","2.73(3.26), $p$=.40  "," .31( .36), $p$=.40  ","(-.40,1.02)"," .31( .23, .38)","-2.02(8.64), $p$=.81  ","-.01( .05), $p$=.81  ","(-.11, .08)","-.01(-.10, .07)"
fluid reasoning,octo,b1,female,aehplus,pef,block,272,"86.13(33.62), $p$=.01 **"," .24( .09), $p$=.01 **","( .07, .41)"," .24( .13, .35)"," .05( .63), $p$=.94  "," .02( .32), $p$=.94  ","(-.60, .64)"," .02(-.10, .14)","22.80(9.33), $p$=.01 *"," .15( .06), $p$=.01 *","( .03, .26)"," .15( .03, .26)"
fluid reasoning,satsa,b1,female,aehplus,fev,block,408," .41( .15), $p$=.01 **"," .24( .09), $p$<.01 **","( .07, .41)"," .24( .15, .33)"," .00( .00), $p$=.44  "," .19( .24), $p$=.43  ","(-.27, .65)",---," .06( .03), $p$=.09 ."," .07( .04), $p$=.09 .","(-.01, .16)"," .07(-.03, .17)"
fluid reasoning,octo,b1,female,aehplus,pef,fig_logic,268,"36.04(22.44), $p$=.11  "," .20( .12), $p$=.10 .","(-.04, .45)"," .20( .09, .32)"," .29( .69), $p$=.68  "," .18( .43), $p$=.67  ","(-.66,1.03)"," .18( .07, .30)","1.95(7.96), $p$=.81  "," .01( .06), $p$=.81  ","(-.11, .14)"," .02(-.10, .13)"
fluid reasoning,lasa,b1,female,aehplus,pef,raven_color_ab,782,"43.20(8.05), $p$<.01 ***"," .29( .05), $p$<.01 ***","( .19, .39)"," .29( .22, .35)","-.01( .04), $p$=.76  ","-.14( .45), $p$=.75  ","(-1.02, .73)","-.16(-.22,-.09)"," .53(2.73), $p$=.85  "," .00( .03), $p$=.85  ","(-.05, .06)"," .00(-.07, .08)"
fluid reasoning,map,b1,female,aehplus,fev,raven_standard,920," .10( .03), $p$<.01 ***"," .18( .05), $p$<.01 ***","( .08, .27)"," .18( .12, .24)"," .00( .00), $p$=.28  "," .64( .82), $p$=.44  ","(-.97,2.24)",---,"-.01( .01), $p$=.08 .","-.05( .03), $p$=.08 .","(-.10, .01)","-.05(-.11, .02)"
fluid reasoning,satsa,b1,female,aehplus,fev,rotate,407,"1.13( .35), $p$<.01 ***"," .29( .08), $p$<.01 ***","( .12, .45)"," .29( .19, .37)"," .00( .00), $p$=.99  "," .03(1.72), $p$=.99  ","(-3.35,3.40)",---," .02( .10), $p$=.81  "," .01( .04), $p$=.81  ","(-.07, .08)"," .01(-.09, .11)"
mental status,octo,b1,female,aehplus,pef,clock,275,"21.65(11.29), $p$=.06 ."," .24( .11), $p$=.03 *","( .03, .46)"," .24( .13, .35)"," .21( .59), $p$=.72  "," .11( .31), $p$=.72  ","(-.49, .71)"," .11(-.01, .23)","6.30(6.30), $p$=.32  "," .09( .09), $p$=.30  ","(-.08, .26)"," .09(-.03, .21)"
mental status,eas,b1,female,aehplus,pef,mmse,545,"11.91(7.20), $p$=.10 ."," .18( .10), $p$=.09 .","(-.03, .38)"," .18( .09, .26)"," .06( .54), $p$=.92  "," .07( .73), $p$=.92  ","(-1.36,1.51)"," .07(-.01, .16)","-.36(1.57), $p$=.82  ","-.01( .05), $p$=.82  ","(-.10, .08)","-.01(-.09, .07)"
mental status,map,b1,female,aehplus,fev,mmse,935," .01( .02), $p$=.71  "," .02( .06), $p$=.71  ","(-.09, .14)"," .02(-.04, .09)","-.00( .00), $p$=.69  ","-.20( .57), $p$=.72  ","(-1.31, .91)",---," .01( .00), $p$=.07 ."," .05( .03), $p$=.07 .","(-.00, .10)"," .05(-.02, .11)"
mental status,octo,b1,female,aehplus,pef,mmse,276,"9.72(12.23), $p$=.43  "," .10( .13), $p$=.42  ","(-.14, .35)"," .10(-.02, .22)"," .57( .87), $p$=.51  "," .20( .32), $p$=.52  ","(-.42, .82)"," .20( .09, .31)","19.74(7.54), $p$=.01 **"," .20( .07), $p$<.01 **","( .07, .34)"," .20( .08, .31)"
mental status,satsa,b1,female,aehplus,fev,mmse,411,"-.02( .05), $p$=.72  ","-.07( .18), $p$=.72  ","(-.42, .29)","-.07(-.16, .03)"," .00( .00), $p$=.10 ."," .36( .20), $p$=.07 .","(-.03, .76)",---," .06( .02), $p$<.01 **"," .14( .05), $p$<.01 **","( .05, .23)"," .14( .05, .24)"
perceptual speed,lasa,b1,female,aehplus,pef,letter,782,"74.21(15.62), $p$<.01 ***"," .22( .04), $p$<.01 ***","( .13, .31)"," .22( .15, .29)","-.01( .06), $p$=.91  ","-.03( .30), $p$=.92  ","(-.63, .56)","-.03(-.10, .04)","12.67(3.60), $p$<.01 ***"," .11( .03), $p$<.01 ***","( .05, .17)"," .11( .04, .18)"
perceptual speed,map,b1,female,aehplus,fev,num_comp,934," .32( .08), $p$<.01 ***"," .17( .04), $p$<.01 ***","( .09, .25)"," .17( .11, .23)","-.00( .00), $p$=.86  ","-.10( .60), $p$=.86  ","(-1.28,1.07)",---,"-.01( .02), $p$=.59  ","-.01( .03), $p$=.59  ","(-.07, .04)","-.02(-.08, .05)"
perceptual speed,octo,b1,female,aehplus,pef,psif,254,"23.19(20.50), $p$=.26  "," .13( .11), $p$=.25  ","(-.09, .35)"," .13( .01, .25)"," .10( .51), $p$=.84  "," .07( .35), $p$=.84  ","(-.62, .77)"," .07(-.05, .19)","3.54(9.89), $p$=.72  "," .03( .08), $p$=.72  ","(-.14, .20)"," .03(-.09, .15)"
perceptual speed,eas,b1,female,aehplus,pef,symbol,545,"199.81(64.21), $p$<.01 **"," .26( .08), $p$<.01 ***","( .11, .42)"," .26( .18, .34)","7.93(4.46), $p$=.08 ."," .46( .25), $p$=.07 .","(-.03, .95)"," .46( .39, .52)","4.83(11.01), $p$=.66  "," .02( .05), $p$=.66  ","(-.08, .12)"," .02(-.06, .11)"
