domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
short-term memory,map,b1,male,aehplus,fev,bstory_im,321," .09( .06), $p$=.15  "," .16( .11), $p$=.14  ","(-.05, .37)"," .16( .05, .26)"," .00( .00), $p$=.28  "," .80(1.12), $p$=.47  ","(-1.39,3.00)","1.07( NaN, NaN)","-.02( .01), $p$=.29  ","-.05( .05), $p$=.29  ","(-.14, .04)","-.05(-.16, .06)"
short-term memory,eas,b1,male,aehplus,pef,digit_tot,324,"3.86(36.29), $p$=.92  "," .01( .12), $p$=.92  ","(-.21, .24)"," .01(-.10, .12)","1.11(2.25), $p$=.62  "," .26( .55), $p$=.63  ","(-.81,1.34)"," .26( .16, .36)","7.35(6.85), $p$=.28  "," .07( .06), $p$=.28  ","(-.06, .20)"," .07(-.04, .18)"
short-term memory,satsa,b1,male,aehplus,fev,fig_mem,298," .40( .17), $p$=.02 *"," .23( .09), $p$=.01 **","( .06, .40)"," .23( .12, .33)"," .00( .00), $p$=.89  "," .05( .38), $p$=.89  ","(-.68, .79)",---," .01( .04), $p$=.82  "," .01( .04), $p$=.82  ","(-.08, .10)"," .01(-.10, .12)"
short-term memory,map,b1,male,aehplus,fev,logic_im,321," .16( .11), $p$=.14  "," .11( .07), $p$=.14  ","(-.03, .25)"," .11(-.00, .22)"," .00( .01), $p$=.90  "," .12(1.05), $p$=.91  ","(-1.93,2.17)"," .16( .05, .26)","-.01( .02), $p$=.78  ","-.01( .04), $p$=.78  ","(-.10, .07)","-.01(-.12, .10)"
short-term memory,octo,b1,male,aehplus,pef,prose_im,136,"63.89(39.91), $p$=.11  "," .22( .13), $p$=.10 .","(-.04, .48)"," .22( .05, .37)","-.17( .42), $p$=.69  ","-.26( .53), $p$=.62  ","(-1.29, .77)","-.25(-.40,-.09)","11.87(16.64), $p$=.48  "," .10( .14), $p$=.47  ","(-.18, .38)"," .10(-.07, .26)"
short-term memory,eas,b1,male,aehplus,pef,word_im,324,"31.41(55.06), $p$=.57  "," .07( .12), $p$=.57  ","(-.17, .31)"," .07(-.04, .18)","3.54(3.81), $p$=.35  "," .38( .42), $p$=.37  ","(-.45,1.21)"," .38( .28, .47)","6.38(15.70), $p$=.68  "," .03( .08), $p$=.68  ","(-.12, .18)"," .03(-.08, .14)"
short-term memory,elsa,b1,male,aehplus,fev,word_im,3091," .03( .02), $p$=.15  "," .06( .04), $p$=.15  ","(-.02, .13)"," .06( .02, .09)"," .00( .00), $p$=.52  ","-.11( .18), $p$=.53  ","(-.46, .24)"," .00(-.04, .04)"," .02( .01), $p$=.06 ."," .05( .02), $p$=.06 .","(-.00, .09)"," .05( .01, .08)"
short-term memory,hrs,b1,male,aehplus,pef,word_im,3288,"23.98(3.09), $p$<.01 ***"," .26( .03), $p$<.01 ***","( .19, .32)"," .26( .22, .29)"," .05( .07), $p$=.47  "," .37( .59), $p$=.53  ","(-.78,1.52)"," .37( .34, .40)","2.27(1.45), $p$=.12  "," .04( .02), $p$=.12  ","(-.01, .08)"," .04( .00, .07)"
short-term memory,lasa,b1,male,aehplus,pef,word_im,800,"35.22(17.06), $p$=.04 *"," .10( .05), $p$=.04 *","( .01, .20)"," .10( .03, .17)"," .03( .11), $p$=.81  "," .11( .44), $p$=.80  ","(-.76, .98)"," .11( .04, .18)","19.63(5.39), $p$<.01 ***"," .10( .03), $p$<.01 ***","( .05, .15)"," .10( .03, .17)"
short-term memory,map,b1,male,aehplus,fev,word_im,321," .06( .11), $p$=.56  "," .05( .08), $p$=.56  ","(-.11, .21)"," .05(-.06, .16)"," .00( .01), $p$=.53  "," .54( .97), $p$=.58  ","(-1.37,2.44)"," .47( .38, .55)"," .05( .03), $p$=.04 *"," .10( .05), $p$=.04 *","( .00, .19)"," .10(-.01, .20)"
short-term memory,nas,b1,male,aehplus,fev,word_im,1131,"1.35( .63), $p$=.03 *"," .11( .05), $p$=.03 *","( .01, .20)"," .11( .05, .16)"," .00( .00), $p$=.38  "," .15( .18), $p$=.39  ","(-.20, .50)"," .15( .09, .21)","-.13( .11), $p$=.23  ","-.03( .03), $p$=.23  ","(-.09, .02)","-.03(-.09, .02)"
verbal comprehension,map,b1,male,aehplus,fev,ideas,321,"-.00( .02), $p$=.82  ","-.02( .08), $p$=.82  ","(-.17, .13)","-.02(-.13, .09)","-.00( .00), $p$=.32  ","-.36( .38), $p$=.34  ","(-1.12, .39)","-.38(-.47,-.29)"," .00( .00), $p$=.41  "," .04( .05), $p$=.42  ","(-.06, .15)"," .04(-.07, .15)"
visual discrimination,map,b1,male,aehplus,fev,line,321," .17( .08), $p$=.05 *"," .15( .08), $p$=.04 *","( .01, .30)"," .15( .05, .26)"," .00( .00), $p$=.60  "," .39( .74), $p$=.60  ","(-1.05,1.83)"," .29( .19, .39)","-.01( .02), $p$=.68  ","-.02( .04), $p$=.68  ","(-.10, .07)","-.02(-.13, .09)"
working memory,map,b1,male,aehplus,fev,digit_b,321," .13( .06), $p$=.03 *"," .16( .07), $p$=.03 *","( .02, .31)"," .16( .05, .27)","-.00( .00), $p$=.61  ","-.43( .98), $p$=.66  ","(-2.36,1.50)","-.43(-.51,-.33)","-.00( .01), $p$=.77  ","-.01( .04), $p$=.77  ","(-.09, .07)","-.01(-.12, .10)"
working memory,nas,b1,male,aehplus,fev,digit_b,1131," .16( .25), $p$=.52  "," .04( .05), $p$=.52  ","(-.07, .14)"," .03(-.02, .09)"," .00( .00), $p$=.22  "," .51( .67), $p$=.45  ","(-.81,1.83)",---," .05( .04), $p$=.26  "," .03( .03), $p$=.26  ","(-.02, .09)"," .03(-.03, .09)"
working memory,octo,b1,male,aehplus,pef,digit_b,138,"29.48(12.37), $p$=.02 *"," .31( .13), $p$=.02 *","( .06, .57)"," .31( .15, .46)"," .37( .34), $p$=.28  "," .46( .40), $p$=.25  ","(-.32,1.25)"," .46( .31, .58)","-5.41(4.73), $p$=.25  ","-.10( .08), $p$=.23  ","(-.25, .06)","-.10(-.26, .07)"
working memory,satsa,b1,male,aehplus,fev,digit_b,299," .09( .04), $p$=.03 *"," .20( .09), $p$=.03 *","( .02, .38)"," .20( .09, .31)"," .00( .00), $p$=.41  ","-.50( .69), $p$=.47  ","(-1.86, .86)",---,"-.01( .01), $p$=.42  ","-.03( .04), $p$=.42  ","(-.11, .05)","-.07(-.18, .04)"
working memory,nas,b1,male,aehplus,fev,digit_b_tot,1131," .22( .42), $p$=.59  "," .03( .05), $p$=.59  ","(-.07, .13)"," .03(-.03, .09)"," .00( .00), $p$=.74  "," .10( .30), $p$=.73  ","(-.49, .69)"," .12( .06, .18)"," .09( .07), $p$=.19  "," .04( .03), $p$=.19  ","(-.02, .10)"," .04(-.02, .10)"
working memory,map,b1,male,aehplus,fev,digit_o,321,"-.01( .04), $p$=.74  ","-.02( .08), $p$=.74  ","(-.18, .13)","-.02(-.13, .08)"," .00( .00), $p$=.96  "," .09(1.68), $p$=.96  ","(-3.19,3.37)"," .00(-.11, .11)"," .00( .01), $p$=.95  "," .00( .05), $p$=.95  ","(-.10, .11)"," .00(-.11, .11)"
