process_b_domain,study_name,model_number,subgroup,model_type,process_a,process_b,subject_count,er_tau_00_est,er_tau_00_se,er_tau_00_pval,er_tau_00_ci95lo,er_tau_00_ci95hi,er_tau_11_est,er_tau_11_se,er_tau_11_pval,er_tau_11_ci95lo,er_tau_11_ci95hi,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,er_sigma_00_ci95lo,er_sigma_00_ci95hi
delayed and working memory,map,b1,male,aehplus,gait,bstory_de,321,0.391,0.121,0.001,0.15384000000000003,0.62816,0.669,1.713,0.696,-2.68848,4.02648,-0.054,0.036,0.131,-0.12456,0.01656
delayed and working memory,map,b1,male,aehplus,gait,digit_b,321,0.265,0.095,0.006,0.07880000000000001,0.45120000000000005,0.242,0.579,0.676,-0.8928399999999999,1.3768399999999998,0.002,0.045,0.959,-0.0862,0.0902
delayed and working memory,octo,b1,male,aehplus,gait,digit_b,139,-0.217,0.217,0.316,-0.64232,0.20831999999999998,-0.586,0.885,0.508,-2.3205999999999998,1.1486,-0.045,0.111,0.688,-0.26256,0.17256
delayed and working memory,map,b1,male,aehplus,gait,digit_o,320,0.136,0.103,0.189,-0.06587999999999997,0.33787999999999996,-0.306,1.175,0.794,-2.609,1.9969999999999999,-0.004,0.038,0.925,-0.07848,0.07047999999999999
delayed and working memory,eas,b1,male,aehplus,gait,digit_tot,222,0.167,0.172,0.333,-0.17011999999999997,0.50412,0.394,1.043,0.706,-1.6502799999999995,2.43828,-0.056,0.096,0.562,-0.24416,0.13216
delayed and working memory,map,b1,male,aehplus,gait,logic_de,321,0.242,0.093,0.01,0.059719999999999995,0.42428,0.497,0.35,0.155,-0.18899999999999995,1.1829999999999998,-0.02,0.039,0.619,-0.09644,0.05643999999999999
delayed and working memory,eas,b1,male,aehplus,gait,logic_tot,218,0.214,0.188,0.257,-0.15447999999999998,0.58248,0.094,0.756,0.901,-1.3877599999999999,1.57576,-0.028,0.097,0.774,-0.21812,0.16212000000000001
delayed and working memory,eas,b1,male,aehplus,gait,trailsb,221,-0.268,0.199,0.179,-0.65804,0.12203999999999998,-0.668,1.438,0.642,-3.48648,2.1504799999999995,0.172,0.103,0.095,-0.02987999999999999,0.37388
delayed and working memory,elsa,b1,male,aehplus,gait,word_de,1947,0.227,0.041,0.0,0.14664,0.30736,-0.181,0.283,0.523,-0.7356799999999999,0.37367999999999996,0.042,0.021,0.043,8.400000000000005e-4,0.08316000000000001
delayed and working memory,hrs,b1,male,aehplus,gait,word_de,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
