domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
attention,map,b1,male,aehplus,grip,digit_f,321,"1.78(1.67), $p$=.28  "," .08( .08), $p$=.28  ","(-.07, .23)"," .08(-.03, .19)"," .04( .08), $p$=.61  "," .25( .51), $p$=.62  ","(-.74,1.25)"," .25( .15, .35)"," .05( .36), $p$=.88  "," .01( .05), $p$=.88  ","(-.09, .11)"," .01(-.10, .12)"
attention,octo,b1,male,aehplus,grip,digit_f,139,"-.29( .27), $p$=.28  ","-.15( .13), $p$=.25  ","(-.41, .10)","-.15(-.31, .01)"," .00( .01), $p$=.51  "," .24( .38), $p$=.52  ","(-.50, .98)"," .23( .07, .38)","-.07( .07), $p$=.33  ","-.07( .07), $p$=.32  ","(-.22, .07)","-.07(-.24, .09)"
attention,satsa,b1,male,aehplus,grip,digit_f,299," .92( .62), $p$=.14  "," .19( .12), $p$=.12  ","(-.05, .43)"," .19( .08, .30)"," .00( .00), $p$=.61  "," .40( .77), $p$=.60  ","(-1.11,1.92)",---," .17( .25), $p$=.49  "," .04( .05), $p$=.49  ","(-.06, .13)"," .04(-.07, .15)"
attention,hrs,b1,male,aehplus,grip,serial7,3288," .82( .21), $p$<.01 ***"," .15( .04), $p$<.01 ***","( .08, .23)"," .16( .12, .19)"," .02( .01), $p$<.01 **"," .30( .11), $p$=.01 **","( .08, .52)"," .31( .28, .34)","-.17( .12), $p$=.17  ","-.04( .03), $p$=.17  ","(-.09, .01)","-.04(-.07,-.00)"
episodic memory,map,b1,male,aehplus,grip,bstory_de,321,"1.82(1.79), $p$=.31  "," .10( .09), $p$=.30  ","(-.09, .28)"," .09(-.01, .20)","-.08( .13), $p$=.50  ","-.55( .51), $p$=.28  ","(-1.54, .44)","-.56(-.63,-.48)"," .41( .43), $p$=.34  "," .04( .05), $p$=.34  ","(-.05, .13)"," .04(-.07, .15)"
episodic memory,map,b1,male,aehplus,grip,logic_de,321,"-2.80(4.09), $p$=.49  ","-.06( .08), $p$=.49  ","(-.22, .11)","-.06(-.17, .05)","-.05( .18), $p$=.77  ","-.07( .23), $p$=.77  ","(-.51, .38)","-.07(-.17, .04)"," .60( .60), $p$=.32  "," .04( .04), $p$=.32  ","(-.04, .13)"," .04(-.06, .15)"
episodic memory,eas,b1,male,aehplus,grip,logic_tot,217,"-3.83(8.66), $p$=.66  ","-.12( .26), $p$=.66  ","(-.63, .40)","-.12(-.25, .02)"," .03( .58), $p$=.95  "," .03( .49), $p$=.95  ","(-.93, .98)"," .03(-.11, .16)","1.94(1.67), $p$=.24  "," .13( .11), $p$=.24  ","(-.09, .35)"," .13(-.00, .26)"
episodic memory,octo,b1,male,aehplus,grip,mir,139,"1.07( .48), $p$=.03 *"," .36( .15), $p$=.01 *","( .07, .66)"," .36( .21, .50)"," .03( .02), $p$=.05 *"," .56( .28), $p$=.05 *","( .01,1.11)"," .56( .44, .67)"," .01( .16), $p$=.93  "," .01( .09), $p$=.93  ","(-.17, .19)"," .01(-.16, .17)"
episodic memory,octo,b1,male,aehplus,grip,mir_recog,139," .15( .27), $p$=.57  "," .09( .16), $p$=.60  ","(-.23, .40)"," .09(-.08, .25)","-.01( .01), $p$=.47  ","-.34( .40), $p$=.39  ","(-1.12, .43)","-.35(-.49,-.20)"," .04( .07), $p$=.58  "," .03( .05), $p$=.57  ","(-.07, .13)"," .03(-.14, .19)"
episodic memory,elsa,b1,male,aehplus,grip,word_de,3045," .29( .26), $p$=.27  "," .04( .04), $p$=.27  ","(-.03, .11)"," .04( .00, .08)","-.01( .00), $p$=.12  ","-.51( .40), $p$=.21  ","(-1.30, .28)","-.50(-.53,-.47)"," .15( .12), $p$=.22  "," .03( .02), $p$=.22  ","(-.02, .07)"," .03(-.01, .06)"
