domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,Corr(Levels)Est,er_tau_00_est,er_tau_00_se,er_tau_00_pval,CI(Levels)Est,er_tau_00_ci95lo,er_tau_00_ci95hi,Corr(Levels)Comp,cr_levels_est,cr_levels_ci95_lo,cr_levels_ci95_hi,Cov(Slopes),Corr(Slopes)Est,er_tau_11_est,er_tau_11_se,er_tau_11_pval,CI(Slopes)Est,er_tau_11_ci95lo,er_tau_11_ci95hi,Corr(Slopes)Comp,cr_slopes_est,cr_slopes_ci95_lo,cr_slopes_ci95_hi,Cov(Residuals),ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval,Corr(Resid)Est,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,CI(Resid)Est,er_sigma_00_ci95lo,er_sigma_00_ci95hi,Corr(Residuals)Comp,cr_resid_est,cr_resid_ci95_lo,cr_resid_ci95_hi
attention,map,b1,female,aehplus,fev,digit_f,935," .07( .02), $p$<.01 **",0.066,0.024,0.005," .13( .04), $p$<.01 **",0.128,0.045,0.004,"( .04, .22)",0.0398,0.2162," .13( .06, .19)",0.12742785025407752,0.06383668566074667,0.18998838789184," .00( .00), $p$=.98  "," .01( .60), $p$=.98  ",0.013,0.603,0.982,"(-1.17,1.19)",-1.1688800000000001,1.19488,---,NaN,NaN,NaN," .00( .01), $p$=.46  ",0.004,0.006,0.464," .02( .03), $p$=.46  ",0.021,0.029,0.461,"(-.04, .08)",-0.03584,0.07784," .02(-.04, .08)",0.020786584510163363,-0.04338392644505122,0.08478628508419461
attention,octo,b1,female,aehplus,pef,digit_f,276,"-.03(5.00), $p$=.99  ",-0.027,5.002,0.996,"-.00( .10), $p$=.99  ",-0.001,0.104,0.996,"(-.20, .20)",-0.20484,0.20284,"-.00(-.12, .12)",-5.588204112675012e-4,-0.11862013482232053,0.11751807426797165,"-.12( .11), $p$=.28  ","-.30( .25), $p$=.24  ",-0.297,0.252,0.237,"(-.79, .20)",-0.79092,0.19691999999999998,"-.29(-.39,-.18)",-0.28854914963708006,-0.3932217180511953,-0.17649290130280867," .46(1.85), $p$=.80  ",0.458,1.852,0.805," .01( .05), $p$=.80  ",0.013,0.052,0.805,"(-.09, .11)",-0.08892,0.11492," .01(-.11, .13)",0.012745503631394832,-0.10548237248871618,0.13061808382302614
attention,satsa,b1,female,aehplus,fev,digit_f,409," .02( .02), $p$=.37  ",0.021,0.024,0.37," .09( .10), $p$=.37  ",0.086,0.096,0.371,"(-.10, .27)",-0.10216,0.27415999999999996," .09(-.01, .18)",0.08509629433967633,-0.011968211549189922,0.18057206833884887," .00( .00), $p$=.92  "," .06( .61), $p$=.92  ",0.059,0.614,0.923,"(-1.14,1.26)",-1.1444400000000001,1.26244,---,NaN,NaN,NaN," .02( .01), $p$=.01 **",0.02,0.008,0.01," .11( .04), $p$=.01 **",0.108,0.041,0.009,"( .03, .19)",0.027639999999999998,0.18836," .11( .01, .21)",0.11046520962788695,0.0136456214707403,0.2052326436638615
attention,hrs,b1,female,aehplus,pef,serial7,4608,"9.13(1.94), $p$<.01 ***",9.133,1.939,0.0," .13( .03), $p$<.01 ***",0.133,0.028,0.0,"( .08, .19)",0.07812000000000001,0.18788," .13( .10, .16)",0.13319523712461342,0.10472362551587273,0.1614486881856975," .16( .05), $p$<.01 **"," .38( .13), $p$<.01 **",0.375,0.128,0.003,"( .12, .63)",0.12412000000000001,0.62588," .38( .35, .40)",0.3757056155387757,0.35063502544710545,0.4002380984288977,"-1.11( .92), $p$=.22  ",-1.113,0.917,0.225,"-.02( .02), $p$=.22  ",-0.024,0.02,0.224,"(-.06, .02)",-0.0632,0.015199999999999998,"-.02(-.05, .00)",-0.024233007303551497,-0.05307024457931171,0.0046446138001582865
episodic memory,map,b1,female,aehplus,fev,bstory_de,935," .01( .02), $p$=.74  ",0.008,0.023,0.738," .02( .06), $p$=.74  ",0.019,0.058,0.738,"(-.09, .13)",-0.09468,0.13268," .02(-.04, .08)",0.020628219192632715,-0.043542060412750466,0.08462898865043667," .00( .00), $p$=.97  ","-.02( .47), $p$=.97  ",-0.019,0.47,0.968,"(-.94, .90)",-0.9401999999999999,0.9021999999999999,---,NaN,NaN,NaN,"-.01( .01), $p$=.17  ",-0.009,0.006,0.172,"-.04( .03), $p$=.17  ",-0.037,0.027,0.168,"(-.09, .02)",-0.08992,0.015920000000000004,"-.04(-.10, .03)",-0.03845100653591546,-0.10231148240744058,0.025725104824695155
episodic memory,map,b1,female,aehplus,fev,logic_de,935," .05( .05), $p$=.31  ",0.051,0.051,0.313," .05( .04), $p$=.31  ",0.046,0.045,0.311,"(-.04, .13)",-0.0422,0.13419999999999999," .05(-.02, .11)",0.04550269835634362,-0.01866444533431849,0.10929654138736987,"-.00( .00), $p$=.14  ","-.60( .79), $p$=.44  ",-0.602,0.788,0.445,"(-2.15, .94)",-2.14648,0.9424800000000001,---,-Inf,NaN,NaN," .00( .01), $p$=.78  ",0.003,0.011,0.785," .01( .03), $p$=.78  ",0.008,0.031,0.784,"(-.05, .07)",-0.05276,0.06876," .01(-.06, .07)",0.00831034496043754,-0.05583209619602577,0.07238447250826516
episodic memory,eas,b1,female,aehplus,pef,logic_tot,324,"35.38(61.57), $p$=.57  ",35.382,61.572,0.566," .07( .12), $p$=.57  ",0.067,0.116,0.568,"(-.16, .29)",-0.16036,0.29436," .07(-.04, .17)",0.06650838524904737,-0.04276171917408115,0.1742061736248041,"2.85(4.29), $p$=.51  "," .30( .46), $p$=.51  ",0.297,0.455,0.514,"(-.59,1.19)",-0.5948,1.1888," .30( .19, .39)",0.2967696942770719,0.19408543857154537,0.3930211467746435,"-7.57(15.76), $p$=.63  ",-7.57,15.763,0.631,"-.03( .07), $p$=.63  ",-0.033,0.068,0.631,"(-.17, .10)",-0.16628,0.10028000000000001,"-.03(-.14, .08)",-0.032764739487773226,-0.1412207938889347,0.07646847719829451
episodic memory,octo,b1,female,aehplus,pef,mir,271,"13.19(10.49), $p$=.21  ",13.189,10.487,0.209," .13( .10), $p$=.20  ",0.13,0.101,0.198,"(-.07, .33)",-0.06795999999999999,0.32796000000000003," .13( .01, .24)",0.1295823707720365,0.010590813495159876,0.24495524785161055," .27( .42), $p$=.53  "," .18( .28), $p$=.53  ",0.176,0.278,0.527,"(-.37, .72)",-0.36888000000000004,0.72088," .18( .06, .29)",0.17595611874665784,0.05801743241177026,0.2890509412752202,"3.53(3.78), $p$=.35  ",3.527,3.781,0.351," .06( .06), $p$=.35  ",0.056,0.06,0.348,"(-.06, .17)",-0.061599999999999995,0.1736," .06(-.06, .17)",0.056306306778648466,-0.06327328893129021,0.17429203333959317
episodic memory,octo,b1,female,aehplus,pef,mir_recog,271,"2.85(2.73), $p$=.30  ",2.847,2.728,0.297," .07( .07), $p$=.30  ",0.069,0.066,0.296,"(-.06, .20)",-0.06036,0.19836," .07(-.05, .19)",0.0691627940177535,-0.050407704495320026,0.1867786166934011," .26( .28), $p$=.36  "," .52( .32), $p$=.10  ",0.523,0.321,0.103,"(-.11,1.15)",-0.10616000000000003,1.15216," .54( .45, .62)",0.5411980106601577,0.45113504444790015,0.6203489643991604,"3.84(1.89), $p$=.04 *",3.837,1.888,0.042," .15( .06), $p$=.02 *",0.147,0.062,0.017,"( .03, .27)",0.02547999999999999,0.26852," .15( .03, .26)",0.1465644659774599,0.027896565180903856,0.26115869989858637
episodic memory,elsa,b1,female,aehplus,fev,word_de,3511," .02( .02), $p$=.25  ",0.021,0.018,0.248," .05( .04), $p$=.25  ",0.047,0.041,0.247,"(-.03, .13)",-0.03336,0.12736," .05( .01, .08)",0.04670473789585128,0.013646254187305126,0.07966123028194681," .00( .00), $p$=.63  ","-.43(1.05), $p$=.68  ",-0.426,1.052,0.685,"(-2.49,1.64)",-2.4879200000000004,1.6359200000000003,---,NaN,NaN,NaN," .01( .01), $p$=.57  ",0.007,0.012,0.566," .01( .03), $p$=.56  ",0.015,0.026,0.565,"(-.04, .07)",-0.03596,0.06595999999999999," .02(-.02, .05)",0.01592501566126529,-0.01716359278868777,0.04897878079699087
