process_b_domain,study_name,model_number,subgroup,model_type,process_a,process_b,subject_count,er_tau_00_est,er_tau_00_se,er_tau_00_pval,er_tau_00_ci95lo,er_tau_00_ci95hi,er_tau_11_est,er_tau_11_se,er_tau_11_pval,er_tau_11_ci95lo,er_tau_11_ci95hi,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,er_sigma_00_ci95lo,er_sigma_00_ci95hi
attention,map,b1,female,aehplus,gait,digit_f,935,0.104,0.054,0.053,-0.0018400000000000083,0.20984,0.09,0.301,0.765,-0.49995999999999996,0.6799599999999999,0.028,0.026,0.274,-0.022959999999999998,0.07896
attention,octo,b1,female,aehplus,gait,digit_f,276,-0.108,0.085,0.203,-0.2746,0.0586,-0.121,0.185,0.512,-0.4836,0.24159999999999998,-0.04,0.039,0.308,-0.11643999999999999,0.03643999999999999
attention,hrs,b1,female,aehplus,gait,serial7,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
episodic memory,map,b1,female,aehplus,gait,bstory_de,935,0.018,0.071,0.797,-0.12115999999999998,0.15715999999999997,0.11,0.233,0.637,-0.34668000000000004,0.5666800000000001,0.039,0.024,0.108,-0.008039999999999999,0.08604
episodic memory,map,b1,female,aehplus,gait,logic_de,935,0.102,0.05,0.043,0.00399999999999999,0.2,0.398,0.167,0.017,0.07068000000000002,0.72532,0.002,0.023,0.918,-0.04307999999999999,0.04708
episodic memory,eas,b1,female,aehplus,gait,logic_tot,360,0.043,0.123,0.728,-0.19807999999999998,0.28408,0.539,0.751,0.473,-0.9329599999999999,2.01096,0.011,0.074,0.88,-0.13404,0.15604
episodic memory,octo,b1,female,aehplus,gait,mir,272,-0.207,0.083,0.013,-0.36968,-0.04431999999999997,0.006,0.16,0.971,-0.3076,0.3196,-0.12,0.054,0.026,-0.22583999999999999,-0.014159999999999992
episodic memory,octo,b1,female,aehplus,gait,mir_recog,272,-0.071,0.081,0.383,-0.22976000000000002,0.08776000000000002,0.003,0.142,0.985,-0.27531999999999995,0.28131999999999996,-0.016,0.047,0.737,-0.10812,0.07612
episodic memory,elsa,b1,female,aehplus,gait,word_de,2226,0.197,0.037,0.0,0.12448000000000001,0.26952,0.152,0.174,0.383,-0.18903999999999996,0.4930399999999999,-0.01,0.021,0.626,-0.051160000000000004,0.03116
episodic memory,hrs,b1,female,aehplus,gait,word_de,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
episodic memory,map,b1,female,aehplus,gait,word_de,935,0.193,0.052,0.0,0.09108000000000001,0.29492,0.727,0.248,0.003,0.24091999999999997,1.21308,-0.017,0.023,0.465,-0.062079999999999996,0.028079999999999994
episodic memory,map,b1,female,aehplus,gait,word_rec,935,0.089,0.052,0.088,-0.012920000000000001,0.19091999999999998,-0.021,0.574,0.971,-1.1460399999999997,1.10404,-0.004,0.027,0.873,-0.05692,0.048920000000000005
executive function,eas,b1,female,aehplus,gait,trailsb,362,-0.006,0.125,0.964,-0.251,0.239,0.183,0.364,0.615,-0.53044,0.8964399999999999,-0.013,0.076,0.864,-0.16196,0.13595999999999997
fluency,eas,b1,female,aehplus,gait,categories,363,0.095,0.112,0.399,-0.12451999999999999,0.31452,0.33,0.448,0.461,-0.5480799999999999,1.20808,0.013,0.082,0.874,-0.14772,0.17372
fluency,map,b1,female,aehplus,gait,categories,935,0.184,0.048,0.0,0.08992,0.27808,0.389,0.166,0.019,0.06363999999999997,0.7143600000000001,-0.025,0.025,0.321,-0.07400000000000001,0.024
fluency,eas,b1,female,aehplus,gait,fas,361,0.355,0.105,0.001,0.1492,0.5608,0.807,0.475,0.089,-0.12399999999999989,1.738,-0.019,0.079,0.811,-0.17384,0.13584000000000002
fluency,elsa,b1,female,aehplus,gait,fluency,2226,0.2,0.036,0.0,0.12944,0.27056,0.17,0.133,0.2,-0.09068000000000001,0.43068000000000006,0.035,0.021,0.092,-0.006159999999999999,0.07616
fluency,ilse,b1,female,aehplus,tug,fluency,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fluid reasoning,eas,b1,female,aehplus,gait,block,351,0.128,0.105,0.221,-0.07779999999999998,0.3338,0.082,0.364,0.821,-0.63144,0.7954399999999999,0.031,0.063,0.625,-0.09247999999999999,0.15448
fluid reasoning,ilse,b1,female,aehplus,tug,block,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fluid reasoning,octo,b1,female,aehplus,gait,block,273,-0.436,0.126,0.001,-0.68296,-0.18904,-0.492,0.618,0.425,-1.70328,0.7192799999999999,-0.149,0.051,0.004,-0.24896,-0.04904
fluid reasoning,octo,b1,female,aehplus,gait,fig_logic,270,-0.45,0.215,0.036,-0.8714,-0.028600000000000014,0.151,0.449,0.737,-0.72904,1.03104,-0.056,0.072,0.44,-0.19712,0.08512
fluid reasoning,lasa,b1,female,aehplus,gait,raven_color_ab,782,-0.246,0.151,0.104,-0.54196,0.049960000000000004,-0.531,0.179,0.003,-0.88184,-0.18016000000000004,0.029,0.035,0.4,-0.03960000000000001,0.0976
fluid reasoning,map,b1,female,aehplus,gait,raven_standard,935,0.243,0.055,0.0,0.1352,0.3508,0.012,0.303,0.968,-0.58188,0.60588,0.007,0.03,0.826,-0.0518,0.0658
fluid reasoning,ilse,b1,female,aehplus,tug,spatial_ab,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mental status,octo,b1,female,aehplus,gait,clock,276,-0.191,0.135,0.157,-0.4556,0.0736,-0.249,0.237,0.295,-0.7135199999999999,0.21552,-0.261,0.147,0.075,-0.54912,0.027119999999999977
mental status,eas,b1,female,aehplus,gait,mmse,363,0.142,0.123,0.249,-0.09908,0.38308,0.078,0.793,0.922,-1.47628,1.6322800000000002,-0.051,0.071,0.471,-0.19015999999999997,0.08815999999999999
mental status,map,b1,female,aehplus,gait,mmse,935,0.223,0.064,0.001,0.09756000000000001,0.34843999999999997,0.186,0.205,0.365,-0.2158,0.5878,0.071,0.026,0.007,0.020039999999999995,0.12195999999999999
mental status,octo,b1,female,aehplus,gait,mmse,276,-0.267,0.106,0.012,-0.47476,-0.059240000000000015,-0.068,0.23,0.769,-0.5188,0.38280000000000003,-0.008,0.074,0.913,-0.15304,0.13704
perceptual speed,lasa,b1,female,aehplus,gait,letter,782,-0.32,0.123,0.009,-0.56108,-0.07892000000000002,-0.241,0.106,0.023,-0.44876,-0.03323999999999999,-0.05,0.021,0.019,-0.09116,-0.00884
perceptual speed,map,b1,female,aehplus,gait,num_comp,935,0.114,0.051,0.024,0.01404000000000001,0.21395999999999998,0.292,0.227,0.198,-0.15292,0.73692,0.057,0.025,0.023,0.008,0.10600000000000001
perceptual speed,octo,b1,female,aehplus,gait,psif,262,-0.239,0.292,0.413,-0.8113199999999999,0.33331999999999995,-0.756,0.641,0.238,-2.01236,0.5003599999999999,-0.078,0.07,0.264,-0.2152,0.059200000000000016
perceptual speed,eas,b1,female,aehplus,gait,symbol,363,0.209,0.104,0.044,0.005159999999999998,0.41284,0.66,0.242,0.006,0.18568000000000007,1.13432,0.004,0.069,0.955,-0.13124,0.13924
