domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,Corr(Levels)Est,er_tau_00_est,er_tau_00_se,er_tau_00_pval,CI(Levels)Est,er_tau_00_ci95lo,er_tau_00_ci95hi,Corr(Levels)Comp,cr_levels_est,cr_levels_ci95_lo,cr_levels_ci95_hi,Cov(Slopes),Corr(Slopes)Est,er_tau_11_est,er_tau_11_se,er_tau_11_pval,CI(Slopes)Est,er_tau_11_ci95lo,er_tau_11_ci95hi,Corr(Slopes)Comp,cr_slopes_est,cr_slopes_ci95_lo,cr_slopes_ci95_hi,Cov(Residuals),ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval,Corr(Resid)Est,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,CI(Resid)Est,er_sigma_00_ci95lo,er_sigma_00_ci95hi,Corr(Residuals)Comp,cr_resid_est,cr_resid_ci95_lo,cr_resid_ci95_hi
attention,map,b1,male,aehplus,grip,digit_f,321,"1.78(1.67), $p$=.28  ",1.78,1.667,0.285," .08( .08), $p$=.28  ",0.082,0.076,0.276,"(-.07, .23)",-0.06695999999999998,0.23096," .08(-.03, .19)",0.08223862575964817,-0.027477623766028247,0.1899970443023066," .04( .08), $p$=.61  "," .25( .51), $p$=.62  ",0.251,0.508,0.621,"(-.74,1.25)",-0.74468,1.24668," .25( .15, .35)",0.2505221548281452,0.1450306501709544,0.3503820253839635," .05( .36), $p$=.88  ",0.053,0.356,0.881," .01( .05), $p$=.88  ",0.008,0.051,0.881,"(-.09, .11)",-0.09195999999999999,0.10796," .01(-.10, .12)",0.007592319145729137,-0.10196130349228757,0.11696398800970266
attention,octo,b1,male,aehplus,grip,digit_f,139,"-.29( .27), $p$=.28  ",-0.289,0.268,0.281,"-.15( .13), $p$=.25  ",-0.152,0.131,0.246,"(-.41, .10)",-0.40876,0.10475999999999999,"-.15(-.31, .01)",-0.15225358231018274,-0.31087363605303386,0.014617791211929104," .00( .01), $p$=.51  "," .24( .38), $p$=.52  ",0.241,0.376,0.522,"(-.50, .98)",-0.49595999999999996,0.9779599999999999," .23( .07, .38)",0.23112508176051214,0.06721071133530737,0.38289127102501225,"-.07( .07), $p$=.33  ",-0.066,0.067,0.329,"-.07( .07), $p$=.32  ",-0.073,0.074,0.319,"(-.22, .07)",-0.21804,0.07204,"-.07(-.24, .09)",-0.0737784396513618,-0.23736343440494648,0.09387555103601115
attention,satsa,b1,male,aehplus,grip,digit_f,299," .92( .62), $p$=.14  ",0.919,0.622,0.139," .19( .12), $p$=.12  ",0.19,0.121,0.117,"(-.05, .43)",-0.04715999999999998,0.42716," .19( .08, .30)",0.19011145652325628,0.07837116311226625,0.29713425436353924," .00( .00), $p$=.61  "," .40( .77), $p$=.60  ",0.402,0.772,0.602,"(-1.11,1.92)",-1.11112,1.91512,---,Inf,NaN,NaN," .17( .25), $p$=.49  ",0.174,0.252,0.489," .04( .05), $p$=.49  ",0.035,0.05,0.488,"(-.06, .13)",-0.063,0.133," .04(-.07, .15)",0.03966807004096529,-0.07409564871281264,0.15241260090245765
attention,hrs,b1,male,aehplus,grip,serial7,3288," .82( .21), $p$<.01 ***",0.818,0.207,0.0," .15( .04), $p$<.01 ***",0.155,0.039,0.0,"( .08, .23)",0.07856,0.23143999999999998," .16( .12, .19)",0.1551755240450219,0.12163765826704095,0.1883594721674629," .02( .01), $p$<.01 **"," .30( .11), $p$=.01 **",0.304,0.112,0.007,"( .08, .52)",0.08448,0.52352," .31( .28, .34)",0.30924365973482226,0.2779992846169799,0.3398343822149912,"-.17( .12), $p$=.17  ",-0.168,0.123,0.17,"-.04( .03), $p$=.17  ",-0.038,0.027,0.17,"(-.09, .01)",-0.09092,0.014920000000000003,"-.04(-.07,-.00)",-0.037504798097151314,-0.071596087581493,-0.003325984331231981
episodic memory,map,b1,male,aehplus,grip,bstory_de,321,"1.82(1.79), $p$=.31  ",1.824,1.788,0.307," .10( .09), $p$=.30  ",0.095,0.092,0.302,"(-.09, .28)",-0.08531999999999998,0.27532," .09(-.01, .20)",0.09487867795198923,-0.014743330436736866,0.20224696811000636,"-.08( .13), $p$=.50  ","-.55( .51), $p$=.28  ",-0.548,0.506,0.279,"(-1.54, .44)",-1.53976,0.44375999999999993,"-.56(-.63,-.48)",-0.5612058880865528,-0.631856904699701,-0.4813058293646848," .41( .43), $p$=.34  ",0.411,0.433,0.342," .04( .05), $p$=.34  ",0.044,0.046,0.339,"(-.05, .13)",-0.04615999999999999,0.13416," .04(-.07, .15)",0.04396094230454114,-0.06582470986231768,0.15269500002442774
episodic memory,map,b1,male,aehplus,grip,logic_de,321,"-2.80(4.09), $p$=.49  ",-2.8,4.091,0.494,"-.06( .08), $p$=.49  ",-0.058,0.084,0.492,"(-.22, .11)",-0.22264,0.10664000000000001,"-.06(-.17, .05)",-0.057982123335524494,-0.16639485585044536,0.051815643176608424,"-.05( .18), $p$=.77  ","-.07( .23), $p$=.77  ",-0.067,0.227,0.768,"(-.51, .38)",-0.5119199999999999,0.37792,"-.07(-.17, .04)",-0.06675463195865365,-0.17494509140036882,0.043028682786043645," .60( .60), $p$=.32  ",0.601,0.603,0.319," .04( .04), $p$=.32  ",0.045,0.045,0.32,"(-.04, .13)",-0.0432,0.13319999999999999," .04(-.06, .15)",0.04493045492724843,-0.0648574257382587,0.15364364102561506
episodic memory,eas,b1,male,aehplus,grip,logic_tot,217,"-3.83(8.66), $p$=.66  ",-3.834,8.665,0.658,"-.12( .26), $p$=.66  ",-0.117,0.263,0.657,"(-.63, .40)",-0.63248,0.39848000000000006,"-.12(-.25, .02)",-0.11659765490674656,-0.24596251751154227,0.016848395774452202," .03( .58), $p$=.95  "," .03( .49), $p$=.95  ",0.029,0.487,0.953,"(-.93, .98)",-0.9255199999999999,0.98352," .03(-.11, .16)",0.028464513065623618,-0.10511840601576802,0.16103842377000432,"1.94(1.67), $p$=.24  ",1.943,1.672,0.245," .13( .11), $p$=.24  ",0.131,0.112,0.242,"(-.09, .35)",-0.08851999999999999,0.35052," .13(-.00, .26)",0.13149362785050192,-0.0017209226072893143,0.26012253954164766
episodic memory,octo,b1,male,aehplus,grip,mir,139,"1.07( .48), $p$=.03 *",1.07,0.484,0.027," .36( .15), $p$=.01 *",0.365,0.148,0.014,"( .07, .66)",0.07491999999999999,0.65508," .36( .21, .50)",0.36470482003777394,0.21101778185954356,0.5007954984378243," .03( .02), $p$=.05 *"," .56( .28), $p$=.05 *",0.558,0.28,0.046,"( .01,1.11)",0.009199999999999986,1.1068000000000002," .56( .44, .67)",0.562244093835259,0.4366167704554753,0.6663638519577779," .01( .16), $p$=.93  ",0.015,0.162,0.927," .01( .09), $p$=.93  ",0.009,0.093,0.927,"(-.17, .19)",-0.17328,0.19128," .01(-.16, .17)",0.008572870334533063,-0.15815368410680633,0.17482413562133603
episodic memory,octo,b1,male,aehplus,grip,mir_recog,139," .15( .27), $p$=.57  ",0.153,0.269,0.57," .09( .16), $p$=.60  ",0.086,0.162,0.597,"(-.23, .40)",-0.23152000000000003,0.40352," .09(-.08, .25)",0.08598931326027615,-0.0816809439904411,0.24892617251729526,"-.01( .01), $p$=.47  ","-.34( .40), $p$=.39  ",-0.342,0.395,0.386,"(-1.12, .43)",-1.1162,0.4322,"-.35(-.49,-.20)",-0.35136418446315326,-0.4892430871645521,-0.19635034756815115," .04( .07), $p$=.58  ",0.039,0.07,0.577," .03( .05), $p$=.57  ",0.029,0.051,0.574,"(-.07, .13)",-0.07096,0.12896," .03(-.14, .19)",0.028597402075800204,-0.1385631726401412,0.19417365354240648
episodic memory,elsa,b1,male,aehplus,grip,word_de,3045," .29( .26), $p$=.27  ",0.289,0.262,0.27," .04( .04), $p$=.27  ",0.04,0.036,0.269,"(-.03, .11)",-0.030559999999999997,0.11055999999999999," .04( .00, .08)",0.03963525773155864,0.004120013559554915,0.07505063968503545,"-.01( .00), $p$=.12  ","-.51( .40), $p$=.21  ",-0.51,0.404,0.207,"(-1.30, .28)",-1.3018399999999999,0.28184,"-.50(-.53,-.47)",-0.5,-0.5261758861004594,-0.4728775068440602," .15( .12), $p$=.22  ",0.153,0.125,0.222," .03( .02), $p$=.22  ",0.028,0.023,0.223,"(-.02, .07)",-0.017079999999999994,0.07307999999999999," .03(-.01, .06)",0.027582061976353874,-0.007946768500097063,0.06304134230160674
