process_b_domain,study_name,model_number,subgroup,model_type,process_a,process_b,subject_count,er_tau_00_est,er_tau_00_se,er_tau_00_pval,er_tau_00_ci95lo,er_tau_00_ci95hi,er_tau_11_est,er_tau_11_se,er_tau_11_pval,er_tau_11_ci95lo,er_tau_11_ci95hi,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,er_sigma_00_ci95lo,er_sigma_00_ci95hi
Attention & Working Memory,map,b1,female,aehplus,fev,Digit Ordering,935,0.176,0.048,0.0,0.08191999999999999,0.27008,-0.202,0.573,0.725,-1.3250799999999998,0.9210799999999999,0.031,0.028,0.279,-0.02388,0.08588
Attention & Working Memory,map,b1,male,aehplus,fev,Digit Ordering,321,-0.025,0.077,0.742,-0.17592,0.12592,0.09,1.676,0.957,-3.19496,3.3749599999999997,0.004,0.054,0.947,-0.10184,0.10984000000000001
Attention & Working Memory,map,b1,female,aehplus,fev,Digit Span Backward,935,0.121,0.045,0.007,0.032799999999999996,0.2092,0.683,0.534,0.201,-0.36363999999999996,1.72964,-0.04,0.03,0.184,-0.0988,0.018799999999999997
Attention & Working Memory,map,b1,male,aehplus,fev,Digit Span Backward,321,0.163,0.073,0.026,0.01992000000000002,0.30608,-0.429,0.983,0.663,-2.35568,1.49768,-0.012,0.042,0.77,-0.09432,0.07032000000000001
Attention & Working Memory,nas,b1,male,aehplus,fev,Digit Span Backward,1131,0.035,0.054,0.516,-0.07084,0.14084000000000002,0.508,0.672,0.45,-0.8091200000000001,1.82512,0.033,0.029,0.261,-0.02384,0.08984
Attention & Working Memory,octo,b1,female,aehplus,pef,Digit Span Backward,276,0.185,0.131,0.156,-0.07175999999999999,0.44176,0.156,0.5,0.756,-0.824,1.136,0.016,0.05,0.746,-0.082,0.114
Attention & Working Memory,octo,b1,male,aehplus,pef,Digit Span Backward,138,0.313,0.13,0.016,0.058199999999999974,0.5678000000000001,0.461,0.401,0.25,-0.32495999999999997,1.24696,-0.096,0.079,0.227,-0.25084,0.05884
Attention & Working Memory,satsa,b1,female,aehplus,fev,Digit Span Backward,409,0.309,0.095,0.001,0.12279999999999999,0.4952,0.338,0.245,0.168,-0.14219999999999994,0.8182,-0.034,0.051,0.509,-0.13396,0.06595999999999999
Attention & Working Memory,satsa,b1,male,aehplus,fev,Digit Span Backward,299,0.2,0.09,0.026,0.02360000000000001,0.3764,-0.501,0.692,0.469,-1.85732,0.85532,-0.031,0.039,0.423,-0.10744,0.045439999999999994
Attention & Working Memory,nas,b1,male,aehplus,fev,Digit Span Backward Span,1131,0.027,0.051,0.593,-0.07296,0.12696,0.103,0.302,0.733,-0.48892,0.69492,0.039,0.029,0.186,-0.01784,0.09584000000000001
Attention & Working Memory,map,b1,female,aehplus,fev,Digit Span Forward,935,0.128,0.045,0.004,0.0398,0.2162,0.013,0.603,0.982,-1.1688800000000001,1.19488,0.021,0.029,0.461,-0.03584,0.07784
Attention & Working Memory,map,b1,male,aehplus,fev,Digit Span Forward,321,0.079,0.072,0.272,-0.062119999999999995,0.22011999999999998,0.261,1.026,0.799,-1.7499599999999997,2.27196,-0.025,0.043,0.562,-0.10927999999999999,0.05927999999999999
Attention & Working Memory,octo,b1,female,aehplus,pef,Digit Span Forward,276,-0.001,0.104,0.996,-0.20484,0.20284,-0.297,0.252,0.237,-0.79092,0.19691999999999998,0.013,0.052,0.805,-0.08892,0.11492
Attention & Working Memory,octo,b1,male,aehplus,pef,Digit Span Forward,138,-0.088,0.136,0.519,-0.35456,0.17856000000000002,0.626,0.169,0.0,0.29475999999999997,0.9572400000000001,0.011,0.061,0.861,-0.10856,0.13056
Attention & Working Memory,satsa,b1,female,aehplus,fev,Digit Span Forward,409,0.086,0.096,0.371,-0.10216,0.27415999999999996,0.059,0.614,0.923,-1.1444400000000001,1.26244,0.108,0.041,0.009,0.027639999999999998,0.18836
Attention & Working Memory,satsa,b1,male,aehplus,fev,Digit Span Forward,299,0.15,0.094,0.109,-0.03423999999999999,0.33424,0.197,0.612,0.747,-1.0025199999999999,1.39652,0.048,0.053,0.36,-0.05588,0.15188000000000001
Attention & Working Memory,eas,b1,female,aehplus,pef,Digit Span Total,545,0.134,0.094,0.151,-0.05023999999999998,0.31823999999999997,0.437,0.306,0.153,-0.16275999999999996,1.03676,-0.027,0.047,0.567,-0.11911999999999999,0.06512
Attention & Working Memory,eas,b1,male,aehplus,pef,Digit Span Total,324,0.012,0.115,0.915,-0.2134,0.23740000000000003,0.263,0.549,0.632,-0.8130400000000001,1.3390400000000002,0.071,0.065,0.279,-0.05640000000000002,0.19840000000000002
Attention & Working Memory,hrs,b1,female,aehplus,pef,Serial 7s,4608,0.133,0.028,0.0,0.07812000000000001,0.18788,0.375,0.128,0.003,0.12412000000000001,0.62588,-0.024,0.02,0.224,-0.0632,0.015199999999999998
Attention & Working Memory,hrs,b1,male,aehplus,pef,Serial 7s,3287,0.161,0.039,0.0,0.08456000000000001,0.23743999999999998,0.213,0.129,0.098,-0.039840000000000014,0.46584000000000003,0.033,0.028,0.244,-0.021879999999999997,0.08788
Attention & Working Memory,eas,b1,female,aehplus,pef,Trials B,545,-0.133,0.086,0.122,-0.30156,0.03555999999999998,0.285,0.657,0.664,-1.00272,1.57272,-0.016,0.047,0.728,-0.10812,0.07612
Attention & Working Memory,eas,b1,male,aehplus,pef,Trials B,324,-0.421,0.114,0.0,-0.64444,-0.19755999999999999,-0.963,0.552,0.081,-2.04492,0.11892000000000003,0.002,0.075,0.98,-0.145,0.149
Learning & Memory,map,b1,female,aehplus,fev,Boston Story Delayed,935,0.019,0.058,0.738,-0.09468,0.13268,-0.019,0.47,0.968,-0.9401999999999999,0.9021999999999999,-0.037,0.027,0.168,-0.08992,0.015920000000000004
Learning & Memory,map,b1,male,aehplus,fev,Boston Story Delayed,321,0.126,0.101,0.211,-0.07196,0.32396,0.644,2.086,0.758,-3.444559999999999,4.732559999999999,-0.02,0.046,0.659,-0.11016,0.07015999999999999
Learning & Memory,map,b1,female,aehplus,fev,Boston Story Immediate,935,0.091,0.058,0.116,-0.022680000000000006,0.20468,0.113,0.6,0.85,-1.063,1.289,-0.033,0.027,0.221,-0.08592,0.01992
Learning & Memory,map,b1,male,aehplus,fev,Boston Story Immediate,321,0.161,0.108,0.137,-0.05068,0.37268,0.805,1.122,0.473,-1.39412,3.0041200000000003,-0.049,0.047,0.294,-0.14112,0.04311999999999999
Learning & Memory,satsa,b1,female,aehplus,fev,Figure Memory,409,0.098,0.085,0.248,-0.0686,0.2646,0.251,0.236,0.288,-0.21155999999999997,0.71356,0.055,0.044,0.208,-0.031239999999999997,0.14124
Learning & Memory,satsa,b1,male,aehplus,fev,Figure Memory,298,0.226,0.087,0.01,0.05548000000000003,0.39652,0.051,0.375,0.892,-0.6839999999999999,0.786,0.01,0.045,0.824,-0.0782,0.0982
Learning & Memory,map,b1,female,aehplus,fev,Logical Memory Delayed,935,0.046,0.045,0.311,-0.0422,0.13419999999999999,-0.602,0.788,0.445,-2.14648,0.9424800000000001,0.008,0.031,0.784,-0.05276,0.06876
