process_b_domain,study_name,model_number,subgroup,model_type,process_a,process_b,subject_count,er_tau_00_est,er_tau_00_se,er_tau_00_pval,er_tau_00_ci95lo,er_tau_00_ci95hi,er_tau_11_est,er_tau_11_se,er_tau_11_pval,er_tau_11_ci95lo,er_tau_11_ci95hi,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,er_sigma_00_ci95lo,er_sigma_00_ci95hi
Attention & Working Memory,map,b1,female,aehplus,gait,Digit Ordering,935,0.167,0.058,0.004,0.053320000000000006,0.28068000000000004,-0.081,0.249,0.744,-0.56904,0.40703999999999996,0.002,0.024,0.925,-0.04504,0.04904
Attention & Working Memory,map,b1,male,aehplus,gait,Digit Ordering,320,0.136,0.103,0.189,-0.06587999999999997,0.33787999999999996,-0.306,1.175,0.794,-2.609,1.9969999999999999,-0.004,0.038,0.925,-0.07848,0.07047999999999999
Attention & Working Memory,map,b1,female,aehplus,gait,Digit Span Backward,935,0.255,0.052,0.0,0.15308,0.35692,0.48,0.287,0.094,-0.08251999999999993,1.04252,-0.019,0.026,0.47,-0.06996,0.03196
Attention & Working Memory,map,b1,male,aehplus,gait,Digit Span Backward,321,0.265,0.095,0.006,0.07880000000000001,0.45120000000000005,0.242,0.579,0.676,-0.8928399999999999,1.3768399999999998,0.002,0.045,0.959,-0.0862,0.0902
Attention & Working Memory,octo,b1,female,aehplus,gait,Digit Span Backward,276,-0.305,0.107,0.004,-0.51472,-0.09528,0.233,0.458,0.611,-0.66468,1.1306800000000001,0.031,0.056,0.579,-0.07876,0.14076
Attention & Working Memory,octo,b1,male,aehplus,gait,Digit Span Backward,139,-0.217,0.217,0.316,-0.64232,0.20831999999999998,-0.586,0.885,0.508,-2.3205999999999998,1.1486,-0.045,0.111,0.688,-0.26256,0.17256
Attention & Working Memory,map,b1,female,aehplus,gait,Digit Span Forward,935,0.104,0.054,0.053,-0.0018400000000000083,0.20984,0.09,0.301,0.765,-0.49995999999999996,0.6799599999999999,0.028,0.026,0.274,-0.022959999999999998,0.07896
Attention & Working Memory,map,b1,male,aehplus,gait,Digit Span Forward,321,0.171,0.094,0.069,-0.013239999999999974,0.35524,0.296,0.777,0.703,-1.22692,1.81892,0.012,0.041,0.772,-0.06836,0.09236
Attention & Working Memory,octo,b1,female,aehplus,gait,Digit Span Forward,276,-0.108,0.085,0.203,-0.2746,0.0586,-0.121,0.185,0.512,-0.4836,0.24159999999999998,-0.04,0.039,0.308,-0.11643999999999999,0.03643999999999999
Attention & Working Memory,octo,b1,male,aehplus,gait,Digit Span Forward,139,-0.175,0.182,0.337,-0.53172,0.18172,-0.555,0.693,0.423,-1.9132799999999999,0.8032799999999999,-0.058,0.069,0.406,-0.19324,0.07724
