"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00","pc_TAU_00_se","pc_TAU_00_pval","pc_TAU_11","pc_TAU_11_se","pc_TAU_11_pval","pc_TAU_01","pc_TAU_01_se","pc_TAU_01_pval","pc_TAU_10","pc_TAU_10_se","pc_TAU_10_pval","pc_SIGMA","pc_SIGMA_se","pc_SIGMA_pval","pp_TAU_00","pp_TAU_00_se","pp_TAU_00_pval","pp_TAU_11","pp_TAU_11_se","pp_TAU_11_pval","pp_TAU_01","pp_TAU_01_se","pp_TAU_01_pval","p_SIGMA","p_SIGMA_se","p_SIGMA_pval","cc_TAU_00","cc_TAU_00_se","cc_TAU_00_pval","cc_TAU_11","cc_TAU_11_se","cc_TAU_11_pval","cc_TAU_10","cc_TAU_10_se","cc_TAU_10_pval","c_SIGMA","c_SIGMA_se","c_SIGMA_pval","p_GAMMA_00","p_GAMMA_00_se","p_GAMMA_00_pval","p_GAMMA_10","p_GAMMA_10_se","p_GAMMA_10_pval","c_GAMMA_00","c_GAMMA_00_se","c_GAMMA_00_pval","c_GAMMA_10","c_GAMMA_10_se","c_GAMMA_10_pval"
"Mplus VERSION 7.3","0.1","09/14/2015"," 4:45 PM","radc","b1","female","a","fev","gait",NA,NA,TRUE,1010,5,NA,23,-2644.061,5334.121,5447.229,5374.179,5335.24067545639,"b1_female_a_fev_gait.out",NA,0.016,0.003,0,0,0,0.974,0,0.001,0.786,0,0.001,0.826,0,0.001,0.573,0.13,0.008,0,0,0.001,0.523,-0.001,0.001,0.471,0.027,0.005,0,0.022,0.002,0,0.001,0,0.001,-0.001,0.001,0.035,0.018,0.001,0,1.738,0.021,0,-0.039,0.004,0,0.692,0.01,0,-0.008,0.003,0.015
"Mplus VERSION 7.3","0.1","09/14/2015"," 4:48 PM","radc","b1","female","a","fev","grip",NA,NA,TRUE,1010,5,NA,23,-12753.569,25553.139,25666.246,25593.196,25554.2586754564,"b1_female_a_fev_grip.out",NA,0.855,0.159,0,0.001,0.006,0.903,0.008,0.037,0.819,0.013,0.038,0.732,0.021,0.024,0.374,0.13,0.008,0,0,0.001,0.541,-0.001,0.001,0.522,0.027,0.005,0,106.305,6.513,0,0.813,0.339,0.016,-1.897,1.165,0.103,20.048,1.104,0,1.738,0.021,0,-0.038,0.004,0,47.274,0.621,0,-0.94,0.144,0
"Mplus VERSION 7.3","0.1","09/14/2015"," 4:52 PM","radc","b1","female","a","gait","grip",NA,NA,TRUE,1010,5,NA,23,-11477.296,23000.593,23113.7,23040.65,23001.7126754564,"b1_female_a_gait_grip.out",NA,0.524,0.077,0,-0.009,0.007,0.195,0.013,0.021,0.531,0.05,0.026,0.051,-0.007,0.018,0.703,0.022,0.002,0,0.001,0,0.001,-0.001,0.001,0.037,0.018,0.001,0,106.504,6.532,0,0.849,0.346,0.014,-2.015,1.17,0.085,20.002,1.102,0,0.691,0.011,0,-0.009,0.003,0.006,47.277,0.621,0,-0.992,0.143,0
"Mplus VERSION 7.3","0.1","09/14/2015"," 5:07 PM","radc","b1","female","ae","fev","gait",NA,NA,TRUE,1011,5,NA,30,-5191.228,10442.456,10590.016,10494.734,10444.3539591837,"b1_female_ae_fev_gait.out",NA,0.014,0.003,0,0,0,0.984,0.001,0.001,0.499,0,0.001,0.832,0,0.001,0.571,0.126,0.008,0,0,0.001,0.527,-0.001,0.001,0.527,0.027,0.005,0,0.021,0.002,0,0.001,0,0.002,-0.001,0.001,0.105,0.018,0.001,0,1.589,0.034,0,-0.036,0.008,0,0.59,0.017,0,0.008,0.006,0.205
"Mplus VERSION 7.3","0.1","09/14/2015"," 4:59 PM","radc","b1","female","ae","fev","grip",NA,NA,TRUE,1011,5,NA,30,-15309.438,30678.876,30826.437,30731.155,30680.7739591837,"b1_female_ae_fev_grip.out",NA,0.759,0.159,0,0.001,0.006,0.93,0.021,0.036,0.562,0.013,0.038,0.736,0.022,0.024,0.366,0.126,0.008,0,0,0.001,0.543,-0.001,0.001,0.567,0.027,0.005,0,104.087,6.406,0,0.774,0.327,0.018,-1.656,1.108,0.135,20.014,1.101,0,1.588,0.034,0,-0.036,0.008,0,43.35,1.176,0,-0.413,0.302,0.171
"Mplus VERSION 7.3","0.1","09/14/2015"," 4:57 PM","radc","b1","female","ae","gait","grip",NA,NA,TRUE,1011,5,NA,30,-14023.24,28106.48,28254.041,28158.758,28108.3779591837,"b1_female_ae_gait_grip.out",NA,0.464,0.074,0,-0.011,0.007,0.118,0.023,0.02,0.266,0.06,0.025,0.015,-0.006,0.018,0.747,0.021,0.002,0,0.001,0,0.001,-0.001,0.001,0.108,0.018,0.001,0,104.219,6.412,0,0.814,0.335,0.015,-1.731,1.106,0.118,19.96,1.098,0,0.587,0.017,0,0.006,0.006,0.347,43.333,1.174,0,-0.439,0.302,0.146
"Mplus VERSION 7.3","0.1","09/14/2015"," 5:09 PM","radc","b1","female","aeh","fev","gait",NA,NA,TRUE,1011,5,NA,38,-4002.752,8081.503,8268.414,8147.723,8084.55238271605,"b1_female_aeh_fev_gait.out",NA,0.012,0.002,0,0,0,0.932,0.001,0.001,0.349,0,0.001,0.994,0,0.001,0.567,0.112,0.008,0,0,0.001,0.531,0,0.001,0.901,0.027,0.005,0,0.02,0.002,0,0.001,0,0.002,-0.001,0.001,0.103,0.018,0.001,0,1.612,0.032,0,-0.038,0.008,0,0.593,0.017,0,0.008,0.006,0.208
"Mplus VERSION 7.3","0.1","09/14/2015"," 5:36 PM","radc","b1","female","aeh","fev","grip",NA,NA,TRUE,1011,5,NA,38,-14098.334,28272.668,28459.578,28338.887,28275.7173827161,"b1_female_aeh_fev_grip.out",NA,0.407,0.14,0.004,0,0.006,0.968,0.033,0.033,0.318,0.03,0.036,0.413,0.022,0.024,0.362,0.112,0.008,0,0,0.001,0.546,0,0.001,0.956,0.027,0.005,0,95.49,6.017,0,0.767,0.33,0.02,-1.348,1.084,0.214,20.016,1.1,0,1.612,0.032,0,-0.038,0.008,0,43.932,1.137,0,-0.45,0.302,0.136
"Mplus VERSION 7.3","0.1","09/14/2015"," 5:38 PM","radc","b1","female","aeh","gait","grip",NA,NA,TRUE,1011,5,NA,38,-12845.953,25767.907,25954.817,25834.126,25770.956382716,"b1_female_aeh_gait_grip.out",NA,0.418,0.07,0,-0.011,0.007,0.115,0.025,0.02,0.22,0.063,0.024,0.009,-0.006,0.018,0.755,0.02,0.002,0,0.001,0,0.001,-0.001,0.001,0.106,0.018,0.001,0,95.72,6.039,0,0.801,0.336,0.017,-1.425,1.083,0.188,19.973,1.098,0,0.589,0.017,0,0.006,0.006,0.35,43.889,1.136,0,-0.482,0.302,0.11
"Mplus VERSION 7.3","0.1","09/14/2015"," 4:47 PM","radc","b1","male","a","fev","gait",NA,NA,TRUE,351,5,NA,23,-1276.231,2598.463,2687.261,2614.296,2601.83914678899,"b1_male_a_fev_gait.out",NA,0.028,0.007,0,0,0,0.711,0.005,0.003,0.038,-0.001,0.002,0.663,-0.001,0.002,0.701,0.33,0.031,0,0.002,0.001,0.163,-0.008,0.005,0.109,0.047,0.006,0,0.022,0.003,0,0,0,0.205,-0.001,0.001,0.52,0.023,0.002,0,2.409,0.057,0,-0.048,0.012,0,0.742,0.019,0,-0.01,0.007,0.176
