"software","version","date","time","output_file","data_file","file_path","study_name","model_number","subgroup","model_type","process_a","process_b","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","has_converged","trust_all","mistrust","covar_covered","ab_TAU_00_est","ab_TAU_00_se","ab_TAU_00_wald","ab_TAU_00_pval","ab_TAU_11_est","ab_TAU_11_se","ab_TAU_11_wald","ab_TAU_11_pval","ab_TAU_01_est","ab_TAU_01_se","ab_TAU_01_wald","ab_TAU_01_pval","ab_TAU_10_est","ab_TAU_10_se","ab_TAU_10_wald","ab_TAU_10_pval","ab_SIGMA_est","ab_SIGMA_se","ab_SIGMA_wald","ab_SIGMA_pval","aa_TAU_00_est","aa_TAU_00_se","aa_TAU_00_wald","aa_TAU_00_pval","aa_TAU_11_est","aa_TAU_11_se","aa_TAU_11_wald","aa_TAU_11_pval","aa_TAU_01_est","aa_TAU_01_se","aa_TAU_01_wald","aa_TAU_01_pval","a_SIGMA_est","a_SIGMA_se","a_SIGMA_wald","a_SIGMA_pval","bb_TAU_00_est","bb_TAU_00_se","bb_TAU_00_wald","bb_TAU_00_pval","bb_TAU_11_est","bb_TAU_11_se","bb_TAU_11_wald","bb_TAU_11_pval","bb_TAU_10_est","bb_TAU_10_se","bb_TAU_10_wald","bb_TAU_10_pval","b_SIGMA_est","b_SIGMA_se","b_SIGMA_wald","b_SIGMA_pval","a_GAMMA_00_est","a_GAMMA_00_se","a_GAMMA_00_wald","a_GAMMA_00_pval","a_GAMMA_10_est","a_GAMMA_10_se","a_GAMMA_10_wald","a_GAMMA_10_pval","b_GAMMA_00_est","b_GAMMA_00_se","b_GAMMA_00_wald","b_GAMMA_00_pval","b_GAMMA_10_est","b_GAMMA_10_se","b_GAMMA_10_wald","b_GAMMA_10_pval","R_IAIB_est","R_IAIB_se","R_IAIB_wald","R_IAIB_pval","R_SASB_est","R_SASB_se","R_SASB_wald","R_SASB_pval","R_RES_AB_est","R_RES_AB_se","R_RES_AB_wald","R_RES_AB_pval","a_GAMMA_01_est","a_GAMMA_01_se","a_GAMMA_01_wald","a_GAMMA_01_pval","a_GAMMA_11_est","a_GAMMA_11_se","a_GAMMA_11_wald","a_GAMMA_11_pval","b_GAMMA_01_est","b_GAMMA_01_se","b_GAMMA_01_wald","b_GAMMA_01_pval","b_GAMMA_11_est","b_GAMMA_11_se","b_GAMMA_11_wald","b_GAMMA_11_pval","a_GAMMA_02_est","a_GAMMA_02_se","a_GAMMA_02_wald","a_GAMMA_02_pval","a_GAMMA_12_est","a_GAMMA_12_se","a_GAMMA_12_wald","a_GAMMA_12_pval","b_GAMMA_02_est","b_GAMMA_02_se","b_GAMMA_02_wald","b_GAMMA_02_pval","b_GAMMA_12_est","b_GAMMA_12_se","b_GAMMA_12_wald","b_GAMMA_12_pval","a_GAMMA_03_est","a_GAMMA_03_se","a_GAMMA_03_wald","a_GAMMA_03_pval","a_GAMMA_13_est","a_GAMMA_13_se","a_GAMMA_13_wald","a_GAMMA_13_pval","b_GAMMA_03_est","b_GAMMA_03_se","b_GAMMA_03_wald","b_GAMMA_03_pval","b_GAMMA_13_est","b_GAMMA_13_se","b_GAMMA_13_wald","b_GAMMA_13_pval","a_GAMMA_04_est","a_GAMMA_04_se","a_GAMMA_04_wald","a_GAMMA_04_pval","a_GAMMA_14_est","a_GAMMA_14_se","a_GAMMA_14_wald","a_GAMMA_14_pval","b_GAMMA_04_est","b_GAMMA_04_se","b_GAMMA_04_wald","b_GAMMA_04_pval","b_GAMMA_14_est","b_GAMMA_14_se","b_GAMMA_14_wald","b_GAMMA_14_pval","a_GAMMA_05_est","a_GAMMA_05_se","a_GAMMA_05_wald","a_GAMMA_05_pval","a_GAMMA_15_est","a_GAMMA_15_se","a_GAMMA_15_wald","a_GAMMA_15_pval","b_GAMMA_05_est","b_GAMMA_05_se","b_GAMMA_05_wald","b_GAMMA_05_pval","b_GAMMA_15_est","b_GAMMA_15_se","b_GAMMA_15_wald","b_GAMMA_15_pval","a_GAMMA_06_est","a_GAMMA_06_se","a_GAMMA_06_wald","a_GAMMA_06_pval","a_GAMMA_16_est","a_GAMMA_16_se","a_GAMMA_16_wald","a_GAMMA_16_pval","b_GAMMA_06_est","b_GAMMA_06_se","b_GAMMA_06_wald","b_GAMMA_06_pval","b_GAMMA_16_est","b_GAMMA_16_se","b_GAMMA_16_wald","b_GAMMA_16_pval"
"Mplus VERSION 7.31","0.1","11/29/2016"," 5:38 PM","b1_female_aehplus_fev100_delayedrecall.out"," b1_female_aehplus_fev100_delayedrecall_newdata.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical-cognitive/b1_female_aehplus_fev100_delayedrecall.out","elsa","b1","female","aehplus","fev100","delayedrecall",3228,6,NA,41,-50804.837,101691.675,101940.939,101810.664,101692.755979284,TRUE,TRUE,NA,0,2.566,1.832,1.401,0.161,-0.008,0.03,-0.255,0.799,0.298,0.221,1.346,0.178,0.414,0.218,1.898,0.058,0.41,1.196,0.342,0.732,1360.765,109.432,12.435,0,0.889,2.141,0.415,0.678,-6.297,12.836,-0.491,0.624,1028.774,102.056,10.08,0,1.411,0.101,13.99,0,0.001,0.002,0.257,0.797,0.016,0.011,1.441,0.15,1.907,0.071,26.908,0,188.743,1.694,111.422,0,-2.085,0.194,-10.771,0,3.926,0.063,62.34,0,-0.041,0.008,-4.909,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.62,0.098,-26.817,0,-0.012,0.013,-0.899,0.369,-0.069,0.004,-17.5,0,-0.004,0.001,-7.801,0,9.833,1.801,5.459,0,0.063,0.208,0.301,0.763,1.024,0.068,15.101,0,-0.009,0.009,-1.049,0.294,2.738,0.148,18.519,0,-0.041,0.017,-2.343,0.019,0.015,0.005,3.031,0.002,0,0.001,-0.279,0.78,-10.772,1.713,-6.29,0,-0.151,0.201,-0.755,0.45,-0.224,0.063,-3.531,0,0.017,0.008,2.075,0.038,-12.534,3.105,-4.037,0,0.143,0.468,0.306,0.76,-0.11,0.129,-0.858,0.391,-0.01,0.016,-0.647,0.517,-4.047,3.833,-1.056,0.291,-0.165,0.548,-0.3,0.764,-0.289,0.169,-1.709,0.087,0.002,0.02,0.121,0.904
"Mplus VERSION 7.31","0.1","11/30/2016","10:24 AM","b1_female_aehplus_fev100_immediaterecall.out"," b1_female_aehplus_fev100_immediaterecall_newdatan.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical-cognitive/b1_female_aehplus_fev100_immediaterecall.out","elsa","b1","female","aehplus","fev100","immediaterecall",3227,6,NA,41,-49895.511,99873.023,100122.274,99992,99874.1043186813,TRUE,TRUE,NA,0,2.901,1.569,1.849,0.065,-0.007,0.025,-0.269,0.788,0.349,0.199,1.753,0.08,0.313,0.176,1.782,0.075,0.899,0.971,0.925,0.355,1360.579,109.506,12.425,0,0.858,2.143,0.4,0.689,-5.923,12.845,-0.461,0.645,1029.489,102.161,10.077,0,0.939,0.089,10.519,0,0.003,0.002,1.538,0.124,-0.008,0.011,-0.738,0.46,1.617,0.065,24.707,0,188.714,1.695,111.316,0,-2.09,0.193,-10.821,0,5.327,0.056,95.546,0,-0.035,0.008,-4.359,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.62,0.098,-26.816,0,-0.012,0.013,-0.895,0.371,-0.057,0.003,-16.78,0,-0.003,0.001,-5.265,0,9.847,1.802,5.465,0,0.081,0.208,0.388,0.698,0.721,0.059,12.301,0,0.01,0.008,1.296,0.195,2.738,0.148,18.524,0,-0.042,0.017,-2.459,0.014,0.006,0.004,1.351,0.177,0.001,0.001,1.516,0.13,-10.757,1.713,-6.279,0,-0.159,0.201,-0.794,0.427,-0.05,0.056,-0.908,0.364,-0.003,0.008,-0.444,0.657,-12.519,3.104,-4.033,0,0.135,0.47,0.287,0.774,-0.166,0.115,-1.447,0.148,0.006,0.016,0.342,0.732,-4.067,3.835,-1.06,0.289,-0.157,0.544,-0.289,0.773,-0.209,0.146,-1.43,0.153,0.005,0.02,0.23,0.818
"Mplus VERSION 7.31","0.1","11/30/2016","11:49 AM","b1_female_aehplus_gait_delayedrecall.out"," b1_female_aehplus_gait_delayedrecall_newdatan.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical-cognitive/b1_female_aehplus_gait_delayedrecall.out","elsa","b1","female","aehplus","gait","delayedrecall",2226,5,NA,41,-12470.776,25023.552,25257.578,25127.315,25025.1289230769,TRUE,TRUE,NA,0,0.05,0.01,5.125,0,0,0,0.886,0.376,0.001,0.001,0.87,0.384,0.001,0.001,0.45,0.653,-0.002,0.004,-0.486,0.627,0.037,0.002,20.791,0,0,0,4.723,0,-0.001,0,-3.3,0.001,0.02,0.001,25.062,0,1.746,0.106,16.4,0,0.008,0.003,2.995,0.003,-0.017,0.014,-1.263,0.207,1.81,0.055,32.648,0,0.834,0.009,89.349,0,-0.012,0.001,-10.179,0,4.046,0.072,56.149,0,-0.065,0.011,-5.986,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012,0.001,-17.389,0,-0.001,0,-5.257,0,-0.082,0.006,-14.156,0,-0.005,0.001,-6.313,0,0.094,0.01,9.053,0,0,0.001,-0.111,0.912,0.951,0.081,11.789,0,0.009,0.012,0.762,0.446,0.005,0.001,6.535,0,0,0,-1.546,0.122,0.03,0.006,4.68,0,-0.001,0.001,-0.589,0.556,-0.031,0.01,-3.13,0.002,0.001,0.001,0.523,0.601,-0.149,0.077,-1.928,0.054,0.021,0.011,1.837,0.066,-0.079,0.016,-4.842,0,-0.002,0.002,-0.719,0.472,-0.1,0.136,-0.74,0.459,-0.004,0.02,-0.216,0.829,-0.13,0.023,-5.78,0,0.003,0.002,1.128,0.259,-0.444,0.19,-2.336,0.019,0.019,0.025,0.735,0.463
"Mplus VERSION 7.31","0.1","11/30/2016","12:24 PM","b1_female_aehplus_gait_fluency.out","   b1_female_aehplus_gait_fluency_newdatan.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical-cognitive/b1_female_aehplus_gait_fluency.out","elsa","b1","female","aehplus","gait","fluency",2226,5,NA,41,-20246.416,40574.832,40808.859,40678.595,40576.4089230769,TRUE,TRUE,NA,0,0.158,0.029,5.5,0,0.001,0.001,1.288,0.198,0.006,0.004,1.514,0.13,0.004,0.004,1.035,0.301,0.019,0.011,1.678,0.093,0.037,0.002,20.785,0,0,0,4.715,0,-0.001,0,-3.245,0.001,0.02,0.001,25.043,0,17.001,1.265,13.442,0,0.109,0.027,4,0,-0.137,0.161,-0.849,0.396,14.782,0.64,23.101,0,0.834,0.009,89.373,0,-0.012,0.001,-10.192,0,17.859,0.217,82.212,0,-0.087,0.032,-2.686,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012,0.001,-17.409,0,-0.001,0,-5.311,0,-0.155,0.016,-9.582,0,-0.017,0.003,-6.593,0,0.094,0.01,9.058,0,0,0.001,-0.183,0.855,3.184,0.247,12.895,0,0.034,0.036,0.946,0.344,0.005,0.001,6.52,0,0,0,-1.563,0.118,0.118,0.019,6.068,0,-0.004,0.003,-1.307,0.191,-0.031,0.01,-3.124,0.002,0.001,0.001,0.447,0.655,0.034,0.233,0.146,0.884,-0.048,0.034,-1.409,0.159,-0.079,0.016,-4.842,0,-0.002,0.002,-0.904,0.366,-0.127,0.384,-0.331,0.741,-0.071,0.053,-1.336,0.182,-0.13,0.022,-5.779,0,0.003,0.002,1.07,0.285,-1.039,0.542,-1.915,0.055,-0.025,0.077,-0.32,0.749
"Mplus VERSION 7.31","0.1","11/30/2016"," 1:15 PM","b1_female_aehplus_gait_immediaterecall.out","  b1_female_aehplus_gait_immediaterecall_newdatan.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical-cognitive/b1_female_aehplus_gait_immediaterecall.out","elsa","b1","female","aehplus","gait","immediaterecall",2225,5,NA,41,-11656.254,23394.507,23628.515,23498.252,23396.0846454421,TRUE,TRUE,NA,0,0.038,0.009,4.316,0,0,0,1.204,0.228,0.002,0.001,1.56,0.119,0,0.001,0.179,0.858,0.006,0.004,1.676,0.094,0.037,0.002,20.807,0,0,0,4.733,0,-0.001,0,-3.271,0.001,0.02,0.001,25.047,0,0.94,0.09,10.418,0,0.006,0.003,2.102,0.036,-0.017,0.014,-1.226,0.22,1.646,0.055,29.95,0,0.835,0.009,89.323,0,-0.012,0.001,-10.19,0,5.365,0.062,86.941,0,-0.044,0.01,-4.269,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012,0.001,-17.366,0,-0.001,0,-5.308,0,-0.066,0.005,-13.64,0,-0.004,0.001,-4.406,0,0.094,0.01,9.045,0,0,0.001,-0.1,0.92,0.795,0.068,11.665,0,0.008,0.011,0.714,0.475,0.005,0.001,6.525,0,0,0,-1.633,0.102,0.016,0.005,3.157,0.002,0,0.001,0.027,0.978,-0.031,0.01,-3.151,0.002,0.001,0.001,0.446,0.656,-0.024,0.066,-0.372,0.71,0,0.011,-0.042,0.966,-0.079,0.016,-4.85,0,-0.002,0.002,-0.76,0.447,-0.149,0.108,-1.375,0.169,0.006,0.017,0.331,0.74,-0.13,0.023,-5.781,0,0.003,0.002,1.021,0.307,-0.297,0.161,-1.851,0.064,0.002,0.023,0.087,0.931
"Mplus VERSION 7.31","0.1","11/30/2016"," 1:45 PM","b1_female_aehplus_grip_delayedrecall.out"," b1_female_aehplus_grip_delayedrecall_newdatan.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical-cognitive/b1_female_aehplus_grip_delayedrecall.out","elsa","b1","female","aehplus","grip","delayedrecall",3393,6,NA,41,-37325.912,74733.823,74985.131,74854.855,74734.8507529096,TRUE,TRUE,NA,0,0.653,0.174,3.756,0,0,0.003,-0.012,0.99,0.006,0.022,0.284,0.776,0.02,0.019,1.09,0.276,0.09,0.089,1.006,0.314,17.958,0.843,21.297,0,0.025,0.01,2.364,0.018,-0.153,0.072,-2.128,0.033,8.389,0.413,20.296,0,1.444,0.099,14.648,0,0.001,0.002,0.331,0.74,0.01,0.011,0.93,0.353,1.906,0.069,27.735,0,20.276,0.177,114.732,0,-0.292,0.019,-15.237,0,3.894,0.061,63.45,0,-0.041,0.008,-5.109,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.246,0.01,-24.693,0,-0.008,0.001,-7.197,0,-0.075,0.004,-19.651,0,-0.004,0,-8.061,0,0.987,0.19,5.192,0,-0.015,0.02,-0.77,0.441,0.997,0.067,14.98,0,-0.004,0.008,-0.536,0.592,0.214,0.015,14.58,0,-0.003,0.001,-1.905,0.057,0.016,0.005,3.344,0.001,0,0.001,-0.59,0.555,-0.184,0.175,-1.05,0.294,0.002,0.018,0.101,0.92,-0.218,0.062,-3.516,0,0.014,0.008,1.815,0.069,-1.607,0.339,-4.736,0,0.052,0.038,1.365,0.172,-0.144,0.123,-1.173,0.241,-0.006,0.016,-0.394,0.693,-1.402,0.398,-3.521,0,0.005,0.042,0.11,0.912,-0.376,0.161,-2.331,0.02,0.01,0.02,0.489,0.625
"Mplus VERSION 7.31","0.1","11/30/2016"," 2:01 PM","b1_female_aehplus_grip_immediaterecall.out","  b1_female_aehplus_grip_immediaterecall_newdatan.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical-cognitive/b1_female_aehplus_grip_immediaterecall.out","elsa","b1","female","aehplus","grip","immediaterecall",3391,6,NA,41,-36379.179,72840.358,73091.642,72961.366,72841.3863666766,TRUE,TRUE,NA,0,0.477,0.16,2.986,0.003,0,0.002,-0.101,0.92,0.029,0.021,1.416,0.157,0.014,0.016,0.864,0.387,0.054,0.085,0.641,0.521,17.954,0.843,21.286,0,0.025,0.01,2.378,0.017,-0.153,0.072,-2.125,0.034,8.382,0.413,20.282,0,0.944,0.087,10.861,0,0.003,0.002,1.539,0.124,-0.008,0.011,-0.762,0.446,1.615,0.064,25.364,0,20.272,0.177,114.701,0,-0.292,0.019,-15.203,0,5.307,0.054,98.311,0,-0.038,0.008,-4.786,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.246,0.01,-24.675,0,-0.008,0.001,-7.157,0,-0.06,0.003,-18.241,0,-0.003,0,-5.147,0,0.991,0.19,5.214,0,-0.015,0.02,-0.735,0.462,0.716,0.057,12.522,0,0.015,0.008,1.934,0.053,0.214,0.015,14.578,0,-0.003,0.001,-1.981,0.048,0.008,0.004,1.975,0.048,0.001,0.001,1.02,0.308,-0.181,0.175,-1.035,0.301,0.001,0.018,0.069,0.945,-0.04,0.054,-0.737,0.461,-0.004,0.007,-0.517,0.605,-1.608,0.339,-4.737,0,0.05,0.038,1.31,0.19,-0.226,0.107,-2.108,0.035,0.006,0.015,0.403,0.687,-1.403,0.398,-3.522,0,0.004,0.042,0.1,0.921,-0.323,0.142,-2.267,0.023,0.01,0.019,0.521,0.603
"Mplus VERSION 7.31","0.1","11/30/2016"," 2:15 PM","b1_male_aehplus_fev100_delayedrecall.out"," b1_male_aehplus_fev100_delayedrecall_newdatan.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical-cognitive/b1_male_aehplus_fev100_delayedrecall.out","elsa","b1","male","aehplus","fev100","delayedrecall",2904,6,NA,41,-47112.182,94306.364,94551.292,94421.02,94307.5673542977,TRUE,TRUE,NA,0,3.568,2.657,1.343,0.179,-0.02,0.033,-0.61,0.542,0.499,0.314,1.588,0.112,0.215,0.302,0.712,0.477,1.408,1.423,0.989,0.323,3273.167,227.38,14.395,0,9.529,4.198,2.27,0.023,-78.399,25.958,-3.02,0.003,1872.572,177.523,10.548,0,1.319,0.096,13.795,0,0.001,0.002,0.728,0.467,-0.001,0.011,-0.135,0.893,1.766,0.065,26.96,0,263.49,3.215,81.953,0,-2.116,0.446,-4.748,0,3.268,0.084,39.133,0,0.008,0.011,0.674,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.401,0.151,-22.574,0,-0.01,0.019,-0.513,0.608,-0.066,0.004,-17.305,0,-0.002,0.001,-4.143,0,19.875,2.904,6.843,0,-0.681,0.364,-1.869,0.062,0.941,0.073,12.835,0,-0.012,0.01,-1.277,0.202,3.373,0.214,15.8,0,0.003,0.025,0.134,0.894,0.02,0.005,3.816,0,0,0.001,0.195,0.845,-21.307,2.844,-7.492,0,0.282,0.342,0.825,0.41,0.036,0.071,0.508,0.611,-0.021,0.009,-2.39,0.017,-19.895,3.903,-5.098,0,0.26,0.496,0.523,0.601,-0.056,0.1,-0.558,0.577,-0.029,0.014,-2.062,0.039,-6.241,4.704,-1.327,0.185,-1.471,0.625,-2.353,0.019,-0.319,0.112,-2.862,0.004,-0.011,0.017,-0.681,0.496
"Mplus VERSION 7.31","0.1","11/30/2016"," 2:28 PM","b1_male_aehplus_fev100_immediaterecall.out"," b1_male_aehplus_fev100_immediaterecall_newdatan.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical-cognitive/b1_male_aehplus_fev100_immediaterecall.out","elsa","b1","male","aehplus","fev100","immediaterecall",2902,6,NA,41,-46253.245,92588.49,92833.39,92703.118,92589.6941958042,TRUE,TRUE,NA,0,3.388,2.205,1.537,0.124,-0.021,0.034,-0.612,0.541,0.563,0.295,1.91,0.056,-0.063,0.261,-0.24,0.81,2.092,1.224,1.709,0.087,3273.501,227.498,14.389,0,9.585,4.213,2.275,0.023,-78.9,26.044,-3.03,0.002,1872.26,177.467,10.55,0,0.975,0.085,11.45,0,0.004,0.002,2.331,0.02,-0.019,0.01,-1.806,0.071,1.388,0.056,24.742,0,263.545,3.215,81.974,0,-2.107,0.445,-4.734,0,4.881,0.074,65.841,0,-0.028,0.01,-2.713,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.397,0.151,-22.522,0,-0.01,0.019,-0.52,0.603,-0.054,0.003,-15.654,0,-0.003,0.001,-5.43,0,19.811,2.905,6.819,0,-0.679,0.365,-1.862,0.063,0.773,0.063,12.263,0,0.001,0.009,0.143,0.886,3.375,0.214,15.807,0,0.002,0.025,0.074,0.941,0.013,0.005,2.742,0.006,0.001,0.001,1.93,0.054,-21.304,2.845,-7.489,0,0.291,0.342,0.849,0.396,0.009,0.062,0.146,0.884,-0.019,0.008,-2.376,0.017,-19.911,3.902,-5.103,0,0.257,0.496,0.518,0.604,-0.187,0.09,-2.086,0.037,0,0.013,-0.026,0.979,-6.271,4.704,-1.333,0.183,-1.462,0.625,-2.339,0.019,-0.164,0.106,-1.551,0.121,-0.002,0.016,-0.144,0.885
"Mplus VERSION 7.31","0.1","11/30/2016"," 5:22 PM","b1_male_aehplus_gait_delayedrecall.out"," b1_male_aehplus_gait_delayedrecall_newdatan.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical-cognitive/b1_male_aehplus_gait_delayedrecall.out","elsa","b1","male","aehplus","gait","delayedrecall",1947,5,NA,41,-10519.419,21120.837,21349.373,21219.115,21122.6448740157,TRUE,TRUE,NA,0,0.055,0.01,5.371,0,0,0,-0.683,0.495,0.001,0.001,0.865,0.387,0.003,0.001,1.812,0.07,0.008,0.004,2.015,0.044,0.04,0.002,18.402,0,0,0,7.069,0,-0.001,0,-5.255,0,0.019,0.001,24.531,0,1.476,0.104,14.162,0,0.002,0.003,0.931,0.352,0.006,0.013,0.418,0.676,1.782,0.057,31.023,0,0.867,0.013,65.554,0,-0.011,0.002,-6.132,0,3.358,0.1,33.544,0,-0.015,0.014,-1.057,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011,0.001,-13.681,0,-0.001,0,-4.578,0,-0.063,0.006,-11.244,0,-0.003,0.001,-3.501,0,0.11,0.011,9.575,0,0.002,0.002,1.158,0.247,0.836,0.085,9.79,0,0.007,0.013,0.54,0.589,0.004,0.001,4.936,0,0,0,-0.726,0.468,0.027,0.006,4.179,0,0,0.001,-0.321,0.748,-0.032,0.012,-2.562,0.01,0,0.002,-0.162,0.871,0.042,0.089,0.477,0.634,-0.019,0.013,-1.501,0.133,-0.04,0.014,-2.866,0.004,0,0.002,-0.096,0.923,-0.028,0.109,-0.26,0.795,-0.022,0.017,-1.296,0.195,-0.057,0.018,-3.175,0.001,-0.001,0.003,-0.462,0.644,-0.239,0.137,-1.74,0.082,-0.034,0.022,-1.545,0.122
