"software","version","date","time","output_file","data_file","file_path","study_name","model_number","subgroup","model_type","process_a","process_b","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","has_converged","trust_all","mistrust","covar_covered","ab_TAU_00_est","ab_TAU_00_se","ab_TAU_00_wald","ab_TAU_00_pval","ab_TAU_11_est","ab_TAU_11_se","ab_TAU_11_wald","ab_TAU_11_pval","ab_TAU_01_est","ab_TAU_01_se","ab_TAU_01_wald","ab_TAU_01_pval","ab_TAU_10_est","ab_TAU_10_se","ab_TAU_10_wald","ab_TAU_10_pval","ab_SIGMA_est","ab_SIGMA_se","ab_SIGMA_wald","ab_SIGMA_pval","aa_TAU_00_est","aa_TAU_00_se","aa_TAU_00_wald","aa_TAU_00_pval","aa_TAU_11_est","aa_TAU_11_se","aa_TAU_11_wald","aa_TAU_11_pval","aa_TAU_01_est","aa_TAU_01_se","aa_TAU_01_wald","aa_TAU_01_pval","a_SIGMA_est","a_SIGMA_se","a_SIGMA_wald","a_SIGMA_pval","bb_TAU_00_est","bb_TAU_00_se","bb_TAU_00_wald","bb_TAU_00_pval","bb_TAU_11_est","bb_TAU_11_se","bb_TAU_11_wald","bb_TAU_11_pval","bb_TAU_10_est","bb_TAU_10_se","bb_TAU_10_wald","bb_TAU_10_pval","b_SIGMA_est","b_SIGMA_se","b_SIGMA_wald","b_SIGMA_pval","a_GAMMA_00_est","a_GAMMA_00_se","a_GAMMA_00_wald","a_GAMMA_00_pval","a_GAMMA_10_est","a_GAMMA_10_se","a_GAMMA_10_wald","a_GAMMA_10_pval","b_GAMMA_00_est","b_GAMMA_00_se","b_GAMMA_00_wald","b_GAMMA_00_pval","b_GAMMA_10_est","b_GAMMA_10_se","b_GAMMA_10_wald","b_GAMMA_10_pval","R_IAIB_est","R_IAIB_se","R_IAIB_wald","R_IAIB_pval","R_SASB_est","R_SASB_se","R_SASB_wald","R_SASB_pval","R_RES_AB_est","R_RES_AB_se","R_RES_AB_wald","R_RES_AB_pval","a_GAMMA_01_est","a_GAMMA_01_se","a_GAMMA_01_wald","a_GAMMA_01_pval","a_GAMMA_11_est","a_GAMMA_11_se","a_GAMMA_11_wald","a_GAMMA_11_pval","b_GAMMA_01_est","b_GAMMA_01_se","b_GAMMA_01_wald","b_GAMMA_01_pval","b_GAMMA_11_est","b_GAMMA_11_se","b_GAMMA_11_wald","b_GAMMA_11_pval","a_GAMMA_02_est","a_GAMMA_02_se","a_GAMMA_02_wald","a_GAMMA_02_pval","a_GAMMA_12_est","a_GAMMA_12_se","a_GAMMA_12_wald","a_GAMMA_12_pval","b_GAMMA_02_est","b_GAMMA_02_se","b_GAMMA_02_wald","b_GAMMA_02_pval","b_GAMMA_12_est","b_GAMMA_12_se","b_GAMMA_12_wald","b_GAMMA_12_pval","a_GAMMA_03_est","a_GAMMA_03_se","a_GAMMA_03_wald","a_GAMMA_03_pval","a_GAMMA_13_est","a_GAMMA_13_se","a_GAMMA_13_wald","a_GAMMA_13_pval","b_GAMMA_03_est","b_GAMMA_03_se","b_GAMMA_03_wald","b_GAMMA_03_pval","b_GAMMA_13_est","b_GAMMA_13_se","b_GAMMA_13_wald","b_GAMMA_13_pval","a_GAMMA_04_est","a_GAMMA_04_se","a_GAMMA_04_wald","a_GAMMA_04_pval","a_GAMMA_14_est","a_GAMMA_14_se","a_GAMMA_14_wald","a_GAMMA_14_pval","b_GAMMA_04_est","b_GAMMA_04_se","b_GAMMA_04_wald","b_GAMMA_04_pval","b_GAMMA_14_est","b_GAMMA_14_se","b_GAMMA_14_wald","b_GAMMA_14_pval","a_GAMMA_05_est","a_GAMMA_05_se","a_GAMMA_05_wald","a_GAMMA_05_pval","a_GAMMA_15_est","a_GAMMA_15_se","a_GAMMA_15_wald","a_GAMMA_15_pval","b_GAMMA_05_est","b_GAMMA_05_se","b_GAMMA_05_wald","b_GAMMA_05_pval","b_GAMMA_15_est","b_GAMMA_15_se","b_GAMMA_15_wald","b_GAMMA_15_pval","a_GAMMA_06_est","a_GAMMA_06_se","a_GAMMA_06_wald","a_GAMMA_06_pval","a_GAMMA_16_est","a_GAMMA_16_se","a_GAMMA_16_wald","a_GAMMA_16_pval","b_GAMMA_06_est","b_GAMMA_06_se","b_GAMMA_06_wald","b_GAMMA_06_pval","b_GAMMA_16_est","b_GAMMA_16_se","b_GAMMA_16_wald","b_GAMMA_16_pval"
"Mplus VERSION 5.21","0.1","02/24/2015","11:59 PM","b1_female_aeh_grip_block.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_aeh_grip_block.out","octo","b1","female","aeh","grip","block",275,5,NA,NA,-4186.72,8431.441,8536.327,8444.374,NA,TRUE,TRUE,NA,0,3.199,0.842,3.799,0,0.05,0.016,3.219,0.001,-0.123,0.135,-0.912,0.362,0.02,0.12,0.167,0.868,0.153,0.201,0.76,0.447,3.267,0.463,7.057,0,0.018,0.009,2.011,0.044,-0.044,0.043,-1.031,0.303,1.269,0.126,10.076,0,30.803,3.288,9.368,0,0.189,0.078,2.416,0.016,-0.952,0.392,-2.431,0.015,10.853,0.833,13.03,0,8.981,0.218,41.17,0,-0.336,0.031,-10.83,0,14.416,0.661,21.822,0,-0.279,0.09,-3.112,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15,0.045,-3.324,0.001,-0.004,0.007,-0.544,0.587,-0.552,0.156,-3.542,0,0.007,0.022,0.343,0.731,0.134,0.071,1.882,0.06,-0.007,0.011,-0.663,0.507,0.688,0.211,3.26,0.001,-0.023,0.035,-0.662,0.508,0.091,0.023,3.958,0,-0.002,0.003,-0.655,0.512,-0.009,0.068,-0.132,0.895,0.012,0.008,1.422,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015","11:54 PM","b1_female_aeh_grip_digitbackward.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_aeh_grip_digitbackward.out","octo","b1","female","aeh","grip","digitbackward",276,5,NA,NA,-3271.216,6600.432,6705.424,6613.47,NA,TRUE,TRUE,NA,0,0.015,0.144,0.104,0.917,-0.004,0.004,-0.93,0.352,0.053,0.026,2.02,0.043,0.031,0.02,1.551,0.121,0.06,0.06,0.995,0.32,3.236,0.459,7.044,0,0.017,0.009,1.918,0.055,-0.035,0.042,-0.818,0.413,1.271,0.127,10.006,0,0.546,0.159,3.437,0.001,0.004,0.005,0.743,0.457,-0.021,0.022,-0.979,0.328,1.163,0.108,10.739,0,8.99,0.217,41.356,0,-0.334,0.031,-10.709,0,3.797,0.124,30.715,0,-0.089,0.024,-3.755,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.151,0.045,-3.374,0.001,-0.003,0.007,-0.462,0.644,-0.095,0.027,-3.544,0,0.009,0.006,1.459,0.145,0.14,0.071,1.954,0.051,-0.008,0.011,-0.78,0.435,0.094,0.035,2.706,0.007,0.005,0.007,0.774,0.439,0.09,0.023,3.913,0,-0.002,0.003,-0.643,0.52,-0.004,0.013,-0.322,0.747,0.001,0.003,0.49,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015","11:53 PM","b1_female_aeh_grip_digitforward.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_aeh_grip_digitforward.out","octo","b1","female","aeh","grip","digitforward",276,5,NA,NA,-3028.016,6114.032,6219.024,6127.069,NA,TRUE,TRUE,NA,0,-0.069,0.117,-0.592,0.554,0.001,0.003,0.439,0.661,0.008,0.022,0.378,0.706,0.011,0.016,0.719,0.472,0.04,0.043,0.937,0.349,3.238,0.46,7.039,0,0.017,0.009,1.907,0.056,-0.036,0.042,-0.867,0.386,1.276,0.128,9.936,0,0.544,0.073,7.451,0,0.006,0.003,1.834,0.067,-0.037,0.014,-2.606,0.009,0.613,0.047,13.105,0,8.988,0.218,41.155,0,-0.331,0.031,-10.591,0,5.659,0.106,53.554,0,-0.065,0.018,-3.642,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.152,0.045,-3.362,0.001,-0.003,0.008,-0.462,0.644,-0.076,0.021,-3.546,0,0.002,0.004,0.442,0.659,0.14,0.071,1.961,0.05,-0.009,0.011,-0.838,0.402,0.126,0.027,4.734,0,-0.009,0.005,-1.801,0.072,0.09,0.023,3.931,0,-0.002,0.003,-0.62,0.535,0.008,0.011,0.718,0.473,-0.002,0.002,-1.004,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/25/2015","12:06 AM","b1_female_aeh_grip_digitsymbol.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_aeh_grip_digitsymbol.out","octo","b1","female","aeh","grip","digitsymbol",272,5,NA,NA,-4220.479,8498.958,8603.526,8511.575,NA,TRUE,TRUE,NA,0,2.378,1.289,1.845,0.065,0.01,0.025,0.402,0.688,0.073,0.25,0.291,0.771,0.283,0.158,1.791,0.073,0.713,0.329,2.169,0.03,3.235,0.46,7.027,0,0.017,0.009,1.89,0.059,-0.039,0.042,-0.925,0.355,1.276,0.127,10.076,0,67.009,7.929,8.451,0,0.601,0.158,3.809,0,-2.399,0.855,-2.806,0.005,28.045,2.382,11.773,0,8.997,0.218,41.302,0,-0.337,0.031,-10.875,0,28.704,1.08,26.585,0,-0.524,0.159,-3.289,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.151,0.045,-3.367,0.001,-0.004,0.007,-0.478,0.633,-0.818,0.283,-2.891,0.004,0.015,0.043,0.35,0.726,0.14,0.072,1.952,0.051,-0.009,0.011,-0.859,0.39,1.585,0.365,4.345,0,-0.022,0.06,-0.369,0.712,0.09,0.023,3.915,0,-0.002,0.003,-0.53,0.596,0.075,0.118,0.633,0.527,0.01,0.021,0.474,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/25/2015","12:05 AM","b1_female_aeh_grip_figurelogic.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_aeh_grip_figurelogic.out","octo","b1","female","aeh","grip","figurelogic",274,5,NA,NA,-3703.624,7465.248,7570.028,7478.076,NA,TRUE,TRUE,NA,0,1.594,0.48,3.322,0.001,0.024,0.014,1.709,0.088,-0.126,0.109,-1.159,0.246,-0.041,0.062,-0.662,0.508,0.225,0.174,1.296,0.195,3.237,0.46,7.037,0,0.018,0.009,1.977,0.048,-0.037,0.042,-0.886,0.376,1.268,0.126,10.047,0,7.947,1.211,6.565,0,0.103,0.049,2.114,0.034,-0.415,0.191,-2.178,0.029,7.948,0.59,13.473,0,8.992,0.217,41.362,0,-0.333,0.032,-10.512,0,16.735,0.402,41.612,0,-0.079,0.077,-1.027,0.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.152,0.045,-3.371,0.001,-0.004,0.008,-0.513,0.608,-0.272,0.095,-2.845,0.004,-0.001,0.019,-0.053,0.958,0.138,0.072,1.929,0.054,-0.008,0.011,-0.743,0.457,0.221,0.122,1.811,0.07,-0.014,0.03,-0.486,0.627,0.089,0.023,3.891,0,-0.002,0.003,-0.661,0.509,-0.014,0.047,-0.305,0.76,0.005,0.009,0.565,0.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/25/2015","12:08 AM","b1_female_aeh_grip_mirrecall.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_aeh_grip_mirrecall.out","octo","b1","female","aeh","grip","mirrecall",273,5,NA,NA,-3500.847,7059.694,7164.368,7072.417,NA,TRUE,TRUE,NA,0,0.441,0.229,1.925,0.054,0.026,0.008,3.299,0.001,-0.022,0.059,-0.38,0.704,0.048,0.045,1.079,0.281,0.069,0.072,0.97,0.332,3.262,0.462,7.066,0,0.021,0.009,2.178,0.029,-0.049,0.042,-1.162,0.245,1.259,0.125,10.083,0,2.406,0.484,4.971,0,0.091,0.021,4.3,0,0,0.067,0.003,0.997,1.851,0.168,11.041,0,8.988,0.218,41.245,0,-0.334,0.031,-10.771,0,7.79,0.185,42.124,0,-0.06,0.049,-1.209,0.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.148,0.045,-3.256,0.001,-0.005,0.007,-0.732,0.464,-0.155,0.05,-3.12,0.002,-0.018,0.013,-1.378,0.168,0.138,0.072,1.918,0.055,-0.007,0.011,-0.682,0.495,0.029,0.072,0.404,0.686,-0.005,0.019,-0.281,0.779,0.091,0.023,3.925,0,-0.002,0.003,-0.556,0.578,-0.015,0.021,-0.711,0.477,0.004,0.006,0.729,0.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015","11:57 PM","b1_female_aeh_grip_proserecall.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_aeh_grip_proserecall.out","octo","b1","female","aeh","grip","proserecall",273,5,NA,NA,-3682.623,7423.245,7527.92,7435.968,NA,TRUE,TRUE,NA,0,0.652,0.401,1.624,0.104,0.013,0.013,0.957,0.339,0.001,0.073,0.014,0.989,0.062,0.076,0.815,0.415,0.131,0.161,0.818,0.413,3.244,0.461,7.043,0,0.017,0.009,1.926,0.054,-0.039,0.042,-0.919,0.358,1.273,0.127,10.004,0,7.975,1.017,7.845,0,0.08,0.032,2.467,0.014,-0.392,0.141,-2.777,0.005,4.346,0.379,11.454,0,8.99,0.218,41.282,0,-0.335,0.031,-10.771,0,11.29,0.339,33.274,0,-0.099,0.053,-1.855,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15,0.045,-3.325,0.001,-0.005,0.007,-0.613,0.54,-0.279,0.084,-3.327,0.001,0.025,0.015,1.644,0.1,0.141,0.072,1.96,0.05,-0.009,0.011,-0.808,0.419,0.466,0.105,4.431,0,-0.046,0.02,-2.335,0.02,0.091,0.023,3.959,0,-0.002,0.003,-0.641,0.522,0.011,0.038,0.293,0.77,0.006,0.007,0.776,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015"," 7:55 PM","b1_female_aeh_pek_block.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_aeh_pek_block.out","octo","b1","female","aeh","pek","block",272,5,NA,NA,-6378.03,12814.061,12918.629,12826.678,NA,TRUE,TRUE,NA,0,91.86,35.323,2.601,0.009,0.268,0.644,0.416,0.677,-4.611,4.628,-0.996,0.319,6.333,5.766,1.098,0.272,23.172,9.717,2.385,0.017,4414.596,523.244,8.437,0,29.502,15.725,1.876,0.061,-133.189,92.994,-1.432,0.152,2139.35,188.772,11.333,0,30.611,3.297,9.285,0,0.161,0.073,2.218,0.027,-0.856,0.383,-2.238,0.025,10.946,0.842,12.994,0,318.41,7.773,40.965,0,-9.207,1.118,-8.234,0,14.349,0.661,21.72,0,-0.246,0.088,-2.785,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.572,2.022,-2.755,0.006,0.869,0.35,2.48,0.013,-0.548,0.156,-3.514,0,0.005,0.022,0.238,0.812,3.093,2.506,1.234,0.217,-0.308,0.376,-0.82,0.412,0.698,0.212,3.288,0.001,-0.036,0.037,-0.987,0.324,2.621,1.06,2.473,0.013,-0.236,0.203,-1.162,0.245,-0.013,0.068,-0.192,0.848,0.014,0.008,1.668,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015"," 7:46 PM","b1_female_aeh_pek_digitbackward.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_aeh_pek_digitbackward.out","octo","b1","female","aeh","pek","digitbackward",276,5,NA,NA,-5454.734,10967.467,11072.459,10980.505,NA,TRUE,TRUE,NA,0,10.36,6.311,1.642,0.101,0.047,0.161,0.293,0.769,0.394,1.235,0.319,0.75,-0.5,0.971,-0.515,0.607,0.507,2.675,0.189,0.85,4445.645,530,8.388,0,32.528,16.558,1.964,0.049,-148.151,95.573,-1.55,0.121,2119.795,185.449,11.431,0,0.526,0.15,3.506,0,0.002,0.002,1.06,0.289,-0.017,0.017,-0.997,0.319,1.176,0.1,11.752,0,317.607,7.893,40.237,0,-8.93,1.114,-8.015,0,3.794,0.123,30.8,0,-0.086,0.024,-3.651,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.448,2.069,-2.633,0.008,1.004,0.344,2.917,0.004,-0.094,0.026,-3.575,0,0.008,0.006,1.425,0.154,3.442,2.528,1.361,0.173,-0.378,0.383,-0.987,0.324,0.095,0.034,2.761,0.006,0.004,0.007,0.581,0.561,2.529,1.057,2.392,0.017,-0.232,0.209,-1.111,0.266,-0.004,0.013,-0.324,0.746,0.001,0.003,0.535,0.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015"," 7:42 PM","b1_female_aeh_pek_digitforward.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_aeh_pek_digitforward.out","octo","b1","female","aeh","pek","digitforward",276,5,NA,NA,-5210.951,10479.902,10584.893,10492.939,NA,TRUE,TRUE,NA,0,1.312,5.009,0.262,0.793,-0.13,0.123,-1.053,0.292,0.517,0.924,0.559,0.576,0.049,0.754,0.064,0.949,0.311,1.916,0.162,0.871,4452.357,532.249,8.365,0,33.194,16.504,2.011,0.044,-156.209,95.74,-1.632,0.103,2121.244,185.445,11.439,0,0.547,0.072,7.579,0,0.006,0.003,2.049,0.041,-0.038,0.014,-2.722,0.006,0.611,0.045,13.455,0,317.579,7.797,40.733,0,-8.871,1.111,-7.985,0,5.658,0.106,53.577,0,-0.065,0.018,-3.61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.268,2.064,-2.553,0.011,1.025,0.339,3.025,0.002,-0.076,0.021,-3.551,0,0.002,0.004,0.452,0.651,3.147,2.519,1.249,0.212,-0.377,0.38,-0.991,0.322,0.126,0.026,4.765,0,-0.01,0.005,-1.925,0.054,2.548,1.065,2.393,0.017,-0.227,0.21,-1.082,0.279,0.007,0.011,0.685,0.493,-0.002,0.002,-0.844,0.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
