"software","version","date","time","output_file","data_file","file_path","study_name","model_number","subgroup","model_type","process_a","process_b","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","has_converged","trust_all","mistrust","covar_covered","ab_TAU_00_est","ab_TAU_00_se","ab_TAU_00_wald","ab_TAU_00_pval","ab_TAU_11_est","ab_TAU_11_se","ab_TAU_11_wald","ab_TAU_11_pval","ab_TAU_01_est","ab_TAU_01_se","ab_TAU_01_wald","ab_TAU_01_pval","ab_TAU_10_est","ab_TAU_10_se","ab_TAU_10_wald","ab_TAU_10_pval","ab_SIGMA_est","ab_SIGMA_se","ab_SIGMA_wald","ab_SIGMA_pval","aa_TAU_00_est","aa_TAU_00_se","aa_TAU_00_wald","aa_TAU_00_pval","aa_TAU_11_est","aa_TAU_11_se","aa_TAU_11_wald","aa_TAU_11_pval","aa_TAU_01_est","aa_TAU_01_se","aa_TAU_01_wald","aa_TAU_01_pval","a_SIGMA_est","a_SIGMA_se","a_SIGMA_wald","a_SIGMA_pval","bb_TAU_00_est","bb_TAU_00_se","bb_TAU_00_wald","bb_TAU_00_pval","bb_TAU_11_est","bb_TAU_11_se","bb_TAU_11_wald","bb_TAU_11_pval","bb_TAU_10_est","bb_TAU_10_se","bb_TAU_10_wald","bb_TAU_10_pval","b_SIGMA_est","b_SIGMA_se","b_SIGMA_wald","b_SIGMA_pval","a_GAMMA_00_est","a_GAMMA_00_se","a_GAMMA_00_wald","a_GAMMA_00_pval","a_GAMMA_10_est","a_GAMMA_10_se","a_GAMMA_10_wald","a_GAMMA_10_pval","b_GAMMA_00_est","b_GAMMA_00_se","b_GAMMA_00_wald","b_GAMMA_00_pval","b_GAMMA_10_est","b_GAMMA_10_se","b_GAMMA_10_wald","b_GAMMA_10_pval","R_IAIB_est","R_IAIB_se","R_IAIB_wald","R_IAIB_pval","R_SASB_est","R_SASB_se","R_SASB_wald","R_SASB_pval","R_RES_AB_est","R_RES_AB_se","R_RES_AB_wald","R_RES_AB_pval","a_GAMMA_01_est","a_GAMMA_01_se","a_GAMMA_01_wald","a_GAMMA_01_pval","a_GAMMA_11_est","a_GAMMA_11_se","a_GAMMA_11_wald","a_GAMMA_11_pval","b_GAMMA_01_est","b_GAMMA_01_se","b_GAMMA_01_wald","b_GAMMA_01_pval","b_GAMMA_11_est","b_GAMMA_11_se","b_GAMMA_11_wald","b_GAMMA_11_pval","a_GAMMA_02_est","a_GAMMA_02_se","a_GAMMA_02_wald","a_GAMMA_02_pval","a_GAMMA_12_est","a_GAMMA_12_se","a_GAMMA_12_wald","a_GAMMA_12_pval","b_GAMMA_02_est","b_GAMMA_02_se","b_GAMMA_02_wald","b_GAMMA_02_pval","b_GAMMA_12_est","b_GAMMA_12_se","b_GAMMA_12_wald","b_GAMMA_12_pval","a_GAMMA_03_est","a_GAMMA_03_se","a_GAMMA_03_wald","a_GAMMA_03_pval","a_GAMMA_13_est","a_GAMMA_13_se","a_GAMMA_13_wald","a_GAMMA_13_pval","b_GAMMA_03_est","b_GAMMA_03_se","b_GAMMA_03_wald","b_GAMMA_03_pval","b_GAMMA_13_est","b_GAMMA_13_se","b_GAMMA_13_wald","b_GAMMA_13_pval","a_GAMMA_04_est","a_GAMMA_04_se","a_GAMMA_04_wald","a_GAMMA_04_pval","a_GAMMA_14_est","a_GAMMA_14_se","a_GAMMA_14_wald","a_GAMMA_14_pval","b_GAMMA_04_est","b_GAMMA_04_se","b_GAMMA_04_wald","b_GAMMA_04_pval","b_GAMMA_14_est","b_GAMMA_14_se","b_GAMMA_14_wald","b_GAMMA_14_pval","a_GAMMA_05_est","a_GAMMA_05_se","a_GAMMA_05_wald","a_GAMMA_05_pval","a_GAMMA_15_est","a_GAMMA_15_se","a_GAMMA_15_wald","a_GAMMA_15_pval","b_GAMMA_05_est","b_GAMMA_05_se","b_GAMMA_05_wald","b_GAMMA_05_pval","b_GAMMA_15_est","b_GAMMA_15_se","b_GAMMA_15_wald","b_GAMMA_15_pval","a_GAMMA_06_est","a_GAMMA_06_se","a_GAMMA_06_wald","a_GAMMA_06_pval","a_GAMMA_16_est","a_GAMMA_16_se","a_GAMMA_16_wald","a_GAMMA_16_pval","b_GAMMA_06_est","b_GAMMA_06_se","b_GAMMA_06_wald","b_GAMMA_06_pval","b_GAMMA_16_est","b_GAMMA_16_se","b_GAMMA_16_wald","b_GAMMA_16_pval"
"Mplus VERSION 7.11","0.1","11/10/2015"," 2:20 PM","b1_female_aehplus_muscle_fluency_grip_verbalfluencytest.out"," C:\Users\Besitzer\Desktop\ilse 19.10.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/ilse/physical-cognitive/Handgrip/b1_female_aehplus_muscle_fluency_grip_verbalfluencytest.out","ilse","b1","female","aehplus","grip","verbalfluencytest",225,3,NA,37,-4056.013,8186.027,8312.422,8195.162,8201.06443315508,TRUE,TRUE,NA,0,13.638,14.921,0.914,0.361,0.238,0.27,0.882,0.378,-1.948,1.804,-1.08,0.28,-0.337,2.158,-0.156,0.876,9.981,5.521,1.808,0.071,417.162,69.345,6.016,0,4.9,1.391,3.523,0,-44.581,8.782,-5.076,0,171.913,21.21,8.105,0,42.571,6.487,6.562,0,0.035,0.076,0.462,0.644,-0.295,0.58,-0.509,0.611,25.697,2.521,10.194,0,88.572,13.392,6.614,0,-7.092,2.244,-3.161,0.002,24.107,5.142,4.688,0,-0.172,0.488,-0.353,0.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.913,1.794,1.624,0.104,-0.63,0.307,-2.049,0.04,-0.682,0.706,-0.966,0.334,-0.006,0.066,-0.095,0.925,-3.031,3.508,-0.864,0.388,0.617,0.493,1.252,0.211,6.277,1.291,4.863,0,0.126,0.121,1.037,0.3,0.63,0.317,1.987,0.047,-0.014,0.042,-0.343,0.731,-0.036,0.107,-0.338,0.735,0.008,0.009,0.926,0.354,-4.991,3.804,-1.312,0.189,0.363,0.55,0.659,0.51,0.149,1.241,0.12,0.904,0.007,0.121,0.061,0.952,1.838,4.338,0.424,0.672,-0.118,0.644,-0.183,0.855,-0.964,1.423,-0.678,0.498,-0.006,0.135,-0.047,0.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","11/10/2015"," 2:24 PM","b1_female_aehplus_muscle_knowledge_grip_waisgeneralknowledge.out"," C:\Users\Besitzer\Desktop\ilse 19.10.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/ilse/physical-cognitive/Handgrip/b1_female_aehplus_muscle_knowledge_grip_waisgeneralknowledge.out","ilse","b1","female","aehplus","grip","waisgeneralknowledge",225,3,NA,37,-3552.259,7178.518,7304.913,7187.653,7193.55543315508,TRUE,TRUE,NA,0,2.202,7.029,0.313,0.754,0.114,0.103,1.106,0.269,-0.641,0.691,-0.928,0.354,0.003,1.04,0.003,0.998,-1.778,1.782,-0.998,0.318,421.007,71.3,5.905,0,5.124,1.431,3.58,0,-45.401,9.053,-5.015,0,167.908,22.12,7.591,0,14.13,1.856,7.611,0,0.014,0.009,1.622,0.105,-0.113,0.113,-1.007,0.314,2.924,0.353,8.291,0,87.839,14.241,6.168,0,-6.771,2.326,-2.911,0.004,12.016,2.227,5.395,0,0.34,0.171,1.989,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.823,1.91,1.478,0.139,-0.592,0.32,-1.851,0.064,-0.077,0.306,-0.252,0.801,0.04,0.024,1.692,0.091,-3.05,3.647,-0.836,0.403,0.647,0.52,1.244,0.213,4.266,0.703,6.068,0,-0.019,0.053,-0.352,0.725,0.632,0.325,1.942,0.052,-0.016,0.044,-0.37,0.711,0.047,0.047,1.005,0.315,0.002,0.004,0.611,0.541,-4.94,3.806,-1.298,0.194,0.343,0.551,0.623,0.533,-0.284,0.592,-0.479,0.632,0.011,0.049,0.236,0.813,1.966,4.45,0.442,0.659,-0.144,0.652,-0.22,0.826,-0.069,0.64,-0.107,0.915,-0.039,0.051,-0.761,0.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","11/10/2015"," 2:25 PM","b1_female_aehplus_muscle_reasoning_grip_lpsspacialability.out"," C:\Users\Besitzer\Desktop\ilse 19.10.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/ilse/physical-cognitive/Handgrip/b1_female_aehplus_muscle_reasoning_grip_lpsspacialability.out","ilse","b1","female","aehplus","grip","lpsspacialability",225,3,NA,37,-3870.649,7815.297,7941.693,7824.433,7830.33443315508,TRUE,TRUE,NA,0,0.795,11.066,0.072,0.943,0.084,0.156,0.54,0.589,-0.714,1.192,-0.599,0.549,0.355,1.78,0.199,0.842,-0.368,3.834,-0.096,0.924,411.651,70.063,5.875,0,4.575,1.375,3.326,0.001,-43.025,8.92,-4.823,0,174.936,22.653,7.722,0,29.818,4.368,6.826,0,0.011,0.029,0.384,0.701,0.074,0.289,0.257,0.797,11.299,0.9,12.557,0,87.299,13.765,6.342,0,-6.356,2.304,-2.759,0.006,11.111,3.838,2.895,0.004,0.064,0.302,0.21,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.751,1.86,1.479,0.139,-0.538,0.318,-1.689,0.091,-1.147,0.524,-2.191,0.028,0.037,0.041,0.888,0.374,-3.019,3.526,-0.856,0.392,0.625,0.484,1.292,0.196,3.443,1.027,3.353,0.001,0.17,0.09,1.887,0.059,0.63,0.318,1.979,0.048,-0.014,0.042,-0.345,0.73,0.058,0.084,0.695,0.487,-0.016,0.007,-2.361,0.018,-4.899,3.747,-1.307,0.191,0.31,0.539,0.574,0.566,-0.55,0.945,-0.582,0.56,-0.076,0.081,-0.94,0.347,2.042,4.267,0.479,0.632,-0.191,0.609,-0.314,0.753,-0.784,1.037,-0.756,0.45,-0.081,0.08,-1.015,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","11/10/2015"," 2:38 PM","b1_female_aehplus_muscle_reasoning_grip_waispicturecompletion.out"," C:\Users\Besitzer\Desktop\ilse 19.10.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/ilse/physical-cognitive/Handgrip/b1_female_aehplus_muscle_reasoning_grip_waispicturecompletion.out","ilse","b1","female","aehplus","grip","waispicturecompletion",225,3,NA,37,-3642.435,7358.869,7485.265,7368.004,7373.90643315508,TRUE,TRUE,NA,0,2.074,6.71,0.309,0.757,0.069,0.122,0.562,0.574,-0.464,0.861,-0.539,0.59,0.021,1.009,0.021,0.984,0.359,2.758,0.13,0.897,413.398,71.102,5.814,0,4.703,1.394,3.374,0.001,-43.587,8.871,-4.913,0,173.832,22.572,7.701,0,7.472,1.552,4.815,0,0.015,0.015,0.971,0.332,-0.032,0.115,-0.28,0.78,6.491,0.671,9.676,0,87.418,13.964,6.26,0,-6.43,2.318,-2.774,0.006,9.214,2.251,4.093,0,0.333,0.271,1.23,0.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.764,1.894,1.459,0.145,-0.546,0.322,-1.696,0.09,-0.189,0.307,-0.616,0.538,0.059,0.036,1.633,0.102,-3.047,3.592,-0.848,0.396,0.639,0.494,1.295,0.195,2.256,0.634,3.556,0,0.023,0.069,0.338,0.736,0.633,0.319,1.983,0.047,-0.017,0.043,-0.397,0.692,-0.015,0.045,-0.331,0.741,0.009,0.006,1.499,0.134,-4.918,3.797,-1.295,0.195,0.319,0.535,0.597,0.551,-0.76,0.531,-1.431,0.152,0.054,0.067,0.805,0.421,2.024,4.367,0.463,0.643,-0.177,0.643,-0.276,0.783,-0.43,0.609,-0.707,0.479,0.038,0.075,0.502,0.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","11/10/2015"," 2:28 PM","b1_female_aehplus_muscle_reasoning_nophysspec_waisblockdesign.out"," C:\Users\Besitzer\Desktop\ilse 19.10.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/ilse/physical-cognitive/Handgrip/b1_female_aehplus_muscle_reasoning_nophysspec_waisblockdesign.out","ilse","b1","female","aehplus","nophysspec","waisblockdesign",225,3,NA,37,-3971.085,8016.17,8142.566,8025.305,8031.20743315508,TRUE,TRUE,NA,0,-25.467,15.183,-1.677,0.093,-0.018,0.211,-0.086,0.931,0.341,1.461,0.233,0.816,3.172,2.307,1.375,0.169,6.643,4.263,1.558,0.119,410.008,71.223,5.757,0,4.511,1.406,3.208,0.001,-42.634,9.088,-4.691,0,175.11,23.027,7.604,0,43.805,6.122,7.155,0,0.093,0.049,1.893,0.058,-0.509,0.38,-1.337,0.181,14.534,1.738,8.361,0,87.565,13.566,6.455,0,-6.422,2.352,-2.731,0.006,19.547,4.531,4.314,0,-0.165,0.407,-0.406,0.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.778,1.822,1.524,0.127,-0.543,0.325,-1.671,0.095,-0.641,0.622,-1.03,0.303,0.021,0.055,0.387,0.699,-3.079,3.579,-0.86,0.39,0.638,0.486,1.313,0.189,5.594,1.164,4.807,0,-0.026,0.101,-0.26,0.795,0.625,0.316,1.976,0.048,-0.013,0.041,-0.307,0.759,-0.007,0.099,-0.066,0.947,0.002,0.009,0.201,0.841,-4.974,3.792,-1.312,0.19,0.363,0.542,0.669,0.503,-2.379,1.143,-2.081,0.037,-0.024,0.102,-0.232,0.816,1.881,4.318,0.436,0.663,-0.137,0.616,-0.223,0.824,1.006,1.24,0.811,0.417,0.104,0.106,0.979,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","11/10/2015"," 2:32 PM","b1_female_aehplus_muscle_speed_grip_digitsymbolsubstitutiontest.out"," C:\Users\Besitzer\Desktop\ilse 19.10.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/ilse/physical-cognitive/Handgrip/b1_female_aehplus_muscle_speed_grip_digitsymbolsubstitutiontest.out","ilse","b1","female","aehplus","grip","digitsymbolsubstitutiontest",225,3,NA,37,-4036.885,8147.77,8274.165,8156.905,8162.80743315508,TRUE,TRUE,NA,0,-48.561,20.516,-2.367,0.018,0.12,0.171,0.701,0.483,-0.619,1.26,-0.491,0.624,5.46,2.916,1.872,0.061,-0.636,3.703,-0.172,0.864,415.127,69.857,5.942,0,4.884,1.398,3.494,0,-44.437,8.787,-5.057,0,173.177,22.884,7.567,0,92.849,10.819,8.582,0,0.066,0.046,1.425,0.154,-0.519,0.641,-0.811,0.418,14.171,1.13,12.543,0,87.545,13.547,6.462,0,-6.555,2.212,-2.964,0.003,38.183,6.489,5.885,0,0.018,0.372,0.048,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,1.818,1.529,0.126,-0.562,0.306,-1.836,0.066,-0.618,0.904,-0.683,0.495,0.056,0.051,1.096,0.273,-3.045,3.57,-0.853,0.394,0.654,0.498,1.313,0.189,8.899,1.569,5.672,0,-0.09,0.099,-0.906,0.365,0.636,0.318,1.999,0.046,-0.015,0.045,-0.325,0.745,0.065,0.125,0.517,0.605,0.005,0.007,0.684,0.494,-4.874,3.793,-1.285,0.199,0.322,0.536,0.6,0.548,-0.136,1.512,-0.09,0.928,-0.064,0.097,-0.662,0.508,1.979,4.366,0.453,0.65,-0.144,0.634,-0.227,0.821,-0.79,1.862,-0.425,0.671,-0.028,0.101,-0.271,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","11/10/2015"," 2:22 PM","b1_male_aehplus_muscle_fluency_grip_verbalfluencytest.out"," C:\Users\Besitzer\Desktop\ilse 19.10.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/ilse/physical-cognitive/Handgrip/b1_male_aehplus_muscle_fluency_grip_verbalfluencytest.out","ilse","b1","male","aehplus","grip","verbalfluencytest",252,3,NA,37,-4474.551,9023.102,9153.691,9036.395,9036.24218691589,TRUE,TRUE,NA,0,9.483,13.276,0.714,0.475,0.038,0.152,0.253,0.801,-0.563,1.245,-0.452,0.651,0.031,1.574,0.02,0.984,13.286,4.997,2.659,0.008,358.952,52.216,6.874,0,1.516,1.022,1.483,0.138,-22.703,6.409,-3.542,0,176.464,17.903,9.857,0,46.18,8.394,5.501,0,0.026,0.075,0.346,0.729,0.639,0.523,1.223,0.222,23.065,2.461,9.373,0,95.038,12.776,7.439,0,-2.831,1.541,-1.837,0.066,23.804,4.664,5.104,0,-0.077,0.459,-0.167,0.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.963,1.659,0.58,0.562,-0.067,0.203,-0.333,0.739,-0.324,0.655,-0.495,0.621,0.009,0.064,0.14,0.889,0.981,3.613,0.272,0.786,0.038,0.514,0.073,0.941,5.434,1.199,4.53,0,0.003,0.119,0.027,0.979,0.636,0.267,2.384,0.017,-0.043,0.035,-1.251,0.211,0.154,0.094,1.638,0.101,-0.008,0.009,-0.893,0.372,-3.469,3.651,-0.95,0.342,0.599,0.467,1.281,0.2,-0.524,1.289,-0.407,0.684,-0.042,0.123,-0.341,0.733,-2.536,3.694,-0.686,0.492,0.569,0.473,1.203,0.229,0.511,1.244,0.411,0.681,0.106,0.134,0.792,0.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","11/10/2015"," 2:23 PM","b1_male_aehplus_muscle_knowledge_grip_waisgeneralknowledge.out"," C:\Users\Besitzer\Desktop\ilse 19.10.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/ilse/physical-cognitive/Handgrip/b1_male_aehplus_muscle_knowledge_grip_waisgeneralknowledge.out","ilse","b1","male","aehplus","grip","waisgeneralknowledge",252,3,NA,37,-3903.702,7881.405,8011.994,7894.698,7894.54518691589,TRUE,TRUE,NA,0,7.82,6.863,1.139,0.255,0.015,0.065,0.23,0.818,-0.236,0.552,-0.428,0.668,-0.076,0.893,-0.086,0.932,-0.871,1.913,-0.455,0.649,358.276,52.997,6.76,0,1.512,1.023,1.478,0.139,-22.654,6.435,-3.52,0,176.797,17.829,9.916,0,11.396,1.502,7.586,0,0.003,0.008,0.357,0.721,0.021,0.074,0.283,0.777,2.942,0.255,11.555,0,94.551,13.162,7.184,0,-2.639,1.614,-1.635,0.102,14.293,2.142,6.673,0,0.035,0.18,0.192,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.889,1.673,0.532,0.595,-0.039,0.212,-0.186,0.853,-0.242,0.305,-0.794,0.427,0.007,0.025,0.263,0.793,1.024,3.472,0.295,0.768,0.024,0.506,0.048,0.962,3.462,0.677,5.116,0,-0.06,0.047,-1.274,0.203,0.629,0.261,2.406,0.016,-0.043,0.036,-1.182,0.237,0.018,0.039,0.459,0.646,0.004,0.003,1.066,0.286,-3.379,3.802,-0.889,0.374,0.586,0.483,1.213,0.225,-0.329,0.576,-0.571,0.568,0.029,0.041,0.707,0.479,-2.703,3.795,-0.712,0.476,0.601,0.492,1.222,0.222,0.728,0.552,1.319,0.187,-0.056,0.043,-1.302,0.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","11/10/2015"," 2:36 PM","b1_male_aehplus_muscle_reasoning_grip_lpsspatialability.out"," C:\Users\Besitzer\Desktop\ilse 19.10.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/ilse/physical-cognitive/Handgrip/b1_male_aehplus_muscle_reasoning_grip_lpsspatialability.out","ilse","b1","male","aehplus","grip","lpsspatialability",252,3,NA,37,-4241.192,8556.385,8686.974,8569.678,8569.52518691589,TRUE,TRUE,NA,0,18.414,9.769,1.885,0.059,0.166,0.135,1.23,0.219,-1.506,1.094,-1.377,0.169,-0.733,1.495,-0.49,0.624,-1.59,2.612,-0.609,0.543,361.655,52.57,6.879,0,1.666,1.037,1.606,0.108,-23.54,6.378,-3.691,0,175.079,18.094,9.676,0,27.625,3.753,7.361,0,0.098,0.022,4.375,0,-0.194,0.28,-0.694,0.488,7.97,0.639,12.473,0,94.866,12.431,7.632,0,-2.819,1.57,-1.795,0.073,21.608,3.189,6.775,0,-0.761,0.323,-2.355,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.946,1.59,0.595,0.552,-0.066,0.211,-0.311,0.755,0.049,0.453,0.107,0.915,-0.065,0.047,-1.388,0.165,0.982,3.548,0.277,0.782,0.035,0.487,0.073,0.942,3.467,0.901,3.85,0,-0.064,0.105,-0.607,0.544,0.634,0.258,2.46,0.014,-0.045,0.035,-1.288,0.198,0.082,0.067,1.226,0.22,0.008,0.008,0.949,0.343,-3.311,3.751,-0.883,0.377,0.588,0.472,1.246,0.213,-0.191,0.903,-0.211,0.833,0.122,0.086,1.421,0.155,-2.664,3.749,-0.711,0.477,0.567,0.508,1.117,0.264,-0.411,0.85,-0.483,0.629,0.035,0.103,0.342,0.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","11/10/2015"," 2:27 PM","b1_male_aehplus_muscle_reasoning_grip_waispicturecompletion.out"," C:\Users\Besitzer\Desktop\ilse 19.10.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/ilse/physical-cognitive/Handgrip/b1_male_aehplus_muscle_reasoning_grip_waispicturecompletion.out","ilse","b1","male","aehplus","grip","waispicturecompletion",252,3,NA,37,-3916.853,7907.706,8038.295,7921,7920.84618691589,TRUE,TRUE,NA,0,11.619,6.445,1.803,0.071,0.079,0.099,0.796,0.426,-0.8,0.783,-1.023,0.306,-0.374,0.746,-0.502,0.616,4.113,2.567,1.602,0.109,360.663,53.386,6.756,0,1.629,1.083,1.505,0.132,-23.201,6.619,-3.505,0,174.937,19.449,8.995,0,7.465,1.09,6.852,0,0.021,0.01,2.018,0.044,-0.018,0.096,-0.183,0.855,3.874,0.374,10.353,0,94.47,12.652,7.467,0,-2.704,1.575,-1.717,0.086,11.52,1.894,6.081,0,0.033,0.225,0.146,0.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.875,1.635,0.535,0.593,-0.046,0.21,-0.221,0.825,-0.007,0.261,-0.027,0.979,-0.007,0.031,-0.217,0.828,0.894,3.464,0.258,0.796,0.101,0.479,0.212,0.832,1.911,0.596,3.209,0.001,-0.068,0.055,-1.235,0.217,0.633,0.26,2.432,0.015,-0.047,0.034,-1.404,0.16,0.038,0.035,1.105,0.269,0.001,0.004,0.127,0.899,-3.448,3.779,-0.912,0.362,0.639,0.475,1.345,0.179,0.431,0.5,0.861,0.389,-0.068,0.06,-1.136,0.256,-2.539,3.836,-0.662,0.508,0.529,0.494,1.069,0.285,-0.19,0.484,-0.392,0.695,-0.045,0.053,-0.838,0.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
