study_name,process,subgroup,model_type,coefficient,subject_count,est,pval,se,wald,breed,species
eas,block,female,a,00,563,20.6155,0,0.812,25.382,intercept,0
eas,block,female,a,01,563,-0.1825,0.0325,0.0855,-2.1355,intercept,1
eas,block,female,a,02,563,NA,NA,NA,NA,intercept,2
eas,block,female,a,03,563,NA,NA,NA,NA,intercept,3
eas,block,female,a,04,563,NA,NA,NA,NA,intercept,4
eas,block,female,a,05,563,NA,NA,NA,NA,intercept,5
eas,block,female,a,06,563,NA,NA,NA,NA,intercept,6
eas,block,female,a,10,563,0.6675,0,0.1805,3.702,slope,0
eas,block,female,a,11,563,-0.0265,0.1225,0.017,-1.546,slope,1
eas,block,female,a,12,563,NA,NA,NA,NA,slope,2
eas,block,female,a,13,563,NA,NA,NA,NA,slope,3
eas,block,female,a,14,563,NA,NA,NA,NA,slope,4
eas,block,female,a,15,563,NA,NA,NA,NA,slope,5
eas,block,female,a,16,563,NA,NA,NA,NA,slope,6
eas,block,female,ae,00,563,13.927,0,1.109,12.435,intercept,0
eas,block,female,ae,01,563,-0.164,0.037,0.079,-2.086,intercept,1
eas,block,female,ae,02,563,1.061,0,0.119,8.956,intercept,2
eas,block,female,ae,03,563,NA,NA,NA,NA,intercept,3
eas,block,female,ae,04,563,NA,NA,NA,NA,intercept,4
eas,block,female,ae,05,563,NA,NA,NA,NA,intercept,5
eas,block,female,ae,06,563,NA,NA,NA,NA,intercept,6
eas,block,female,ae,10,563,1.117,0,0.256,4.512,slope,0
eas,block,female,ae,11,563,-0.028,0.11,0.018,-1.598,slope,1
eas,block,female,ae,12,563,-0.077,0.004,0.027,-2.912,slope,2
eas,block,female,ae,13,563,NA,NA,NA,NA,slope,3
eas,block,female,ae,14,563,NA,NA,NA,NA,slope,4
eas,block,female,ae,15,563,NA,NA,NA,NA,slope,5
eas,block,female,ae,16,563,NA,NA,NA,NA,slope,6
eas,block,female,aeh,00,150,18.362,0,2.244,8.182,intercept,0
eas,block,female,aeh,01,150,-0.119,0.461,0.161,-0.737,intercept,1
eas,block,female,aeh,02,150,0.918,0,0.232,3.969,intercept,2
eas,block,female,aeh,03,150,-0.012,0.91,0.115,-0.114,intercept,3
eas,block,female,aeh,04,150,NA,NA,NA,NA,intercept,4
eas,block,female,aeh,05,150,NA,NA,NA,NA,intercept,5
eas,block,female,aeh,06,150,NA,NA,NA,NA,intercept,6
eas,block,female,aeh,10,150,0.768,0.048,0.389,1.978,slope,0
eas,block,female,aeh,11,150,-0.04,0.109,0.025,-1.601,slope,1
eas,block,female,aeh,12,150,-0.069,0.148,0.045,-1.447,slope,2
eas,block,female,aeh,13,150,-0.009,0.621,0.022,-0.495,slope,3
eas,block,female,aeh,14,150,NA,NA,NA,NA,slope,4
eas,block,female,aeh,15,150,NA,NA,NA,NA,slope,5
eas,block,female,aeh,16,150,NA,NA,NA,NA,slope,6
eas,block,female,aehplus,00,150,18.93,0,2.41,7.85,intercept,0
eas,block,female,aehplus,01,150,-0.147,0.369,0.165,-0.898,intercept,1
eas,block,female,aehplus,02,150,0.88,0.001,0.264,3.331,intercept,2
eas,block,female,aehplus,03,150,-0.013,0.906,0.109,-0.118,intercept,3
eas,block,female,aehplus,04,150,1.531,0.292,1.442,1.054,intercept,4
eas,block,female,aehplus,05,150,-0.379,0.884,2.444,-0.146,intercept,5
eas,block,female,aehplus,06,150,-4.394,0.09,2.586,-1.696,intercept,6
eas,block,female,aehplus,10,150,0.805,0.088,0.466,1.706,slope,0
eas,block,female,aehplus,11,150,-0.038,0.155,0.028,-1.423,slope,1
eas,block,female,aehplus,12,150,-0.073,0.171,0.053,-1.368,slope,2
eas,block,female,aehplus,13,150,-0.01,0.658,0.022,-0.443,slope,3
eas,block,female,aehplus,14,150,-0.103,0.691,0.261,-0.398,slope,4
eas,block,female,aehplus,15,150,-0.066,0.932,0.727,-0.086,slope,5
eas,block,female,aehplus,16,150,0.177,0.653,0.403,0.45,slope,6
eas,block,female,full,00,150,19.278,0,2.7,7.132,intercept,0
eas,block,female,full,01,150,-0.138,0.393,0.165,-0.854,intercept,1
eas,block,female,full,02,150,0.877,0.001,0.264,3.327,intercept,2
eas,block,female,full,03,150,-0.006,0.956,0.112,-0.056,intercept,3
eas,block,female,full,04,150,1.514,0.299,1.451,1.038,intercept,4
eas,block,female,full,05,150,-0.294,0.912,2.51,-0.111,intercept,5
eas,block,female,full,06,150,-4.303,0.094,2.568,-1.676,intercept,6
eas,block,female,full,10,150,0.749,0.113,0.472,1.587,slope,0
eas,block,female,full,11,150,-0.039,0.149,0.027,-1.444,slope,1
eas,block,female,full,12,150,-0.072,0.168,0.052,-1.379,slope,2
eas,block,female,full,13,150,-0.011,0.629,0.023,-0.483,slope,3
eas,block,female,full,14,150,-0.101,0.7,0.27,-0.386,slope,4
eas,block,female,full,15,150,-0.07,0.935,0.778,-0.081,slope,5
eas,block,female,full,16,150,0.168,0.687,0.42,0.403,slope,6
eas,block,male,a,00,350,20.427,0,1.041,19.626,intercept,0
eas,block,male,a,01,350,5e-04,0.996,0.106,0.0055,intercept,1
eas,block,male,a,02,350,NA,NA,NA,NA,intercept,2
eas,block,male,a,03,350,NA,NA,NA,NA,intercept,3
eas,block,male,a,04,350,NA,NA,NA,NA,intercept,4
eas,block,male,a,05,350,NA,NA,NA,NA,intercept,5
eas,block,male,a,06,350,NA,NA,NA,NA,intercept,6
eas,block,male,a,10,350,0.9635,0,0.2185,4.4125,slope,0
eas,block,male,a,11,350,-0.0625,0.0065,0.023,-2.73,slope,1
eas,block,male,a,12,350,NA,NA,NA,NA,slope,2
eas,block,male,a,13,350,NA,NA,NA,NA,slope,3
eas,block,male,a,14,350,NA,NA,NA,NA,slope,4
eas,block,male,a,15,350,NA,NA,NA,NA,slope,5
eas,block,male,a,16,350,NA,NA,NA,NA,slope,6
eas,block,male,ae,00,350,20.437,0,1.079,18.949,intercept,0
eas,block,male,ae,01,350,0.001,0.989,0.106,0.007,intercept,1
eas,block,male,ae,02,350,0.006,0.86,0.041,0.177,intercept,2
eas,block,male,ae,03,350,NA,NA,NA,NA,intercept,3
eas,block,male,ae,04,350,NA,NA,NA,NA,intercept,4
eas,block,male,ae,05,350,NA,NA,NA,NA,intercept,5
eas,block,male,ae,06,350,NA,NA,NA,NA,intercept,6
eas,block,male,ae,10,350,0.934,0.002,0.308,3.134,slope,0
eas,block,male,ae,11,350,-0.063,0.004,0.022,-2.844,slope,1
eas,block,male,ae,12,350,-0.001,0.966,0.033,-0.042,slope,2
eas,block,male,ae,13,350,NA,NA,NA,NA,slope,3
eas,block,male,ae,14,350,NA,NA,NA,NA,slope,4
eas,block,male,ae,15,350,NA,NA,NA,NA,slope,5
eas,block,male,ae,16,350,NA,NA,NA,NA,slope,6
eas,block,male,aeh,00,72,19.312,0,5.31,3.603,intercept,0
eas,block,male,aeh,01,72,0.322,0.385,0.374,0.868,intercept,1
eas,block,male,aeh,02,72,0.731,0.109,0.459,1.602,intercept,2
eas,block,male,aeh,03,72,0.01,0.972,0.17,0.036,intercept,3
eas,block,male,aeh,04,72,NA,NA,NA,NA,intercept,4
eas,block,male,aeh,05,72,NA,NA,NA,NA,intercept,5
eas,block,male,aeh,06,72,NA,NA,NA,NA,intercept,6
eas,block,male,aeh,10,72,1.642,0.1,1.1,1.645,slope,0
eas,block,male,aeh,11,72,-0.087,0.204,0.072,-1.269,slope,1
eas,block,male,aeh,12,72,-0.1,0.296,0.093,-1.044,slope,2
eas,block,male,aeh,13,72,-0.035,0.447,0.043,-0.76,slope,3
eas,block,male,aeh,14,72,NA,NA,NA,NA,slope,4
eas,block,male,aeh,15,72,NA,NA,NA,NA,slope,5
eas,block,male,aeh,16,72,NA,NA,NA,NA,slope,6
eas,block,male,aehplus,00,72,24.088,0.001,7.142,3.341,intercept,0
eas,block,male,aehplus,01,72,0.254,0.568,0.45,0.571,intercept,1
eas,block,male,aehplus,02,72,0.582,0.276,0.534,1.09,intercept,2
eas,block,male,aehplus,03,72,0.037,0.848,0.218,0.192,intercept,3
eas,block,male,aehplus,04,72,-3.944,0.256,3.472,-1.136,intercept,4
eas,block,male,aehplus,05,72,0.317,0.933,4.467,0.084,intercept,5
eas,block,male,aehplus,06,72,-3.761,0.346,3.988,-0.943,intercept,6
eas,block,male,aehplus,10,72,1.464,0.356,1.585,0.924,slope,0
eas,block,male,aehplus,11,72,-0.086,0.282,0.083,-1.077,slope,1
eas,block,male,aehplus,12,72,-0.088,0.443,0.113,-0.768,slope,2
eas,block,male,aehplus,13,72,-0.032,0.476,0.047,-0.712,slope,3
eas,block,male,aehplus,14,72,0.248,0.798,0.782,0.257,slope,4
eas,block,male,aehplus,15,72,0.225,0.886,1.567,0.144,slope,5
eas,block,male,aehplus,16,72,-0.417,0.707,1.112,-0.377,slope,6
eas,block,male,full,00,72,22.4025,0.0125,8.9105,2.5165,intercept,0
eas,block,male,full,01,72,0.278,0.5645,0.482,0.5765,intercept,1
eas,block,male,full,02,72,0.5575,0.358,0.6065,0.92,intercept,2
eas,block,male,full,03,72,0.068,0.7805,0.2445,0.2785,intercept,3
eas,block,male,full,04,72,-3.3875,0.3555,3.684,-0.926,intercept,4
eas,block,male,full,05,72,-0.3525,0.9405,4.6665,-0.0745,intercept,5
eas,block,male,full,06,72,-4.242,0.307,4.151,-1.022,intercept,6
eas,block,male,full,10,72,1.3,0.428,1.65,0.7925,slope,0
eas,block,male,full,11,72,-0.082,0.366,0.0905,-0.9045,slope,1
eas,block,male,full,12,72,-0.071,0.4925,0.103,-0.691,slope,2
eas,block,male,full,13,72,-0.0505,0.4345,0.0645,-0.782,slope,3
eas,block,male,full,14,72,0.343,0.6985,0.8875,0.3875,slope,4
eas,block,male,full,15,72,0.2345,0.8735,1.492,0.1595,slope,5
eas,block,male,full,16,72,-0.5865,0.615,1.1715,-0.503,slope,6
eas,bnt,female,a,00,594,11.871,0,0.2535,46.7755,intercept,0
eas,bnt,female,a,01,594,-0.063,0.007,0.023,-2.716,intercept,1
eas,bnt,female,a,02,594,NA,NA,NA,NA,intercept,2
eas,bnt,female,a,03,594,NA,NA,NA,NA,intercept,3
eas,bnt,female,a,04,594,NA,NA,NA,NA,intercept,4
eas,bnt,female,a,05,594,NA,NA,NA,NA,intercept,5
eas,bnt,female,a,06,594,NA,NA,NA,NA,intercept,6
eas,bnt,female,a,10,594,-0.0155,0.744,0.048,-0.328,slope,0
eas,bnt,female,a,11,594,-0.007,0.136,0.0045,-1.491,slope,1
eas,bnt,female,a,12,594,NA,NA,NA,NA,slope,2
eas,bnt,female,a,13,594,NA,NA,NA,NA,slope,3
eas,bnt,female,a,14,594,NA,NA,NA,NA,slope,4
eas,bnt,female,a,15,594,NA,NA,NA,NA,slope,5
eas,bnt,female,a,16,594,NA,NA,NA,NA,slope,6
eas,bnt,female,ae,00,594,9.82,0,0.292,33.625,intercept,0
eas,bnt,female,ae,01,594,-0.056,0.008,0.021,-2.6585,intercept,1
eas,bnt,female,ae,02,594,0.3235,0,0.0315,10.2855,intercept,2
eas,bnt,female,ae,03,594,NA,NA,NA,NA,intercept,3
eas,bnt,female,ae,04,594,NA,NA,NA,NA,intercept,4
eas,bnt,female,ae,05,594,NA,NA,NA,NA,intercept,5
eas,bnt,female,ae,06,594,NA,NA,NA,NA,intercept,6
eas,bnt,female,ae,10,594,0.0285,0.666,0.0665,0.4335,slope,0
eas,bnt,female,ae,11,594,-0.007,0.12,0.0045,-1.5545,slope,1
eas,bnt,female,ae,12,594,-0.007,0.388,0.008,-0.8635,slope,2
eas,bnt,female,ae,13,594,NA,NA,NA,NA,slope,3
eas,bnt,female,ae,14,594,NA,NA,NA,NA,slope,4
eas,bnt,female,ae,15,594,NA,NA,NA,NA,slope,5
eas,bnt,female,ae,16,594,NA,NA,NA,NA,slope,6
eas,bnt,female,aeh,00,150,10.355,0,0.6865,15.155,intercept,0
eas,bnt,female,aeh,01,150,-0.046,0.3665,0.0515,-0.904,intercept,1
eas,bnt,female,aeh,02,150,0.2975,0,0.065,4.6065,intercept,2
eas,bnt,female,aeh,03,150,0.008,0.7835,0.029,0.2745,intercept,3
eas,bnt,female,aeh,04,150,NA,NA,NA,NA,intercept,4
eas,bnt,female,aeh,05,150,NA,NA,NA,NA,intercept,5
eas,bnt,female,aeh,06,150,NA,NA,NA,NA,intercept,6
eas,bnt,female,aeh,10,150,-0.001,0.9325,0.127,-0.0045,slope,0
eas,bnt,female,aeh,11,150,-0.0075,0.4065,0.0085,-0.834,slope,1
eas,bnt,female,aeh,12,150,-0.006,0.691,0.016,-0.4005,slope,2
eas,bnt,female,aeh,13,150,-0.001,0.8875,0.007,-0.1415,slope,3
eas,bnt,female,aeh,14,150,NA,NA,NA,NA,slope,4
eas,bnt,female,aeh,15,150,NA,NA,NA,NA,slope,5
eas,bnt,female,aeh,16,150,NA,NA,NA,NA,slope,6
eas,bnt,female,aehplus,00,150,10.797,0,0.6605,16.403,intercept,0
eas,bnt,female,aehplus,01,150,-0.0555,0.2855,0.0525,-1.0675,intercept,1
eas,bnt,female,aehplus,02,150,0.2695,0,0.0675,4.007,intercept,2
eas,bnt,female,aehplus,03,150,0.0045,0.8815,0.03,0.149,intercept,3
eas,bnt,female,aehplus,04,150,0.449,0.0655,0.2435,1.847,intercept,4
eas,bnt,female,aehplus,05,150,-0.8195,0.1055,0.505,-1.6475,intercept,5
eas,bnt,female,aehplus,06,150,-1.639,0.001,0.4845,-3.398,intercept,6
eas,bnt,female,aehplus,10,150,-0.065,0.6935,0.1645,-0.3965,slope,0
eas,bnt,female,aehplus,11,150,-0.0065,0.522,0.0105,-0.6425,slope,1
eas,bnt,female,aehplus,12,150,-0.0015,0.899,0.0195,-0.073,slope,2
eas,bnt,female,aehplus,13,150,5e-04,0.9665,0.009,0.031,slope,3
eas,bnt,female,aehplus,14,150,0.0125,0.9105,0.1085,0.1125,slope,4
eas,bnt,female,aehplus,15,150,0.204,0.271,0.186,1.101,slope,5
eas,bnt,female,aehplus,16,150,-0.0325,0.7935,0.1225,-0.262,slope,6
eas,bnt,female,full,00,150,10.8255,0,0.685,15.861,intercept,0
eas,bnt,female,full,01,150,-0.055,0.314,0.055,-1.0075,intercept,1
eas,bnt,female,full,02,150,0.2695,0,0.0675,3.9825,intercept,2
eas,bnt,female,full,03,150,0.005,0.8655,0.0305,0.17,intercept,3
eas,bnt,female,full,04,150,0.447,0.055,0.2325,1.9235,intercept,4
eas,bnt,female,full,05,150,-0.8105,0.095,0.4845,-1.68,intercept,5
eas,bnt,female,full,06,150,-1.631,0.001,0.4825,-3.398,intercept,6
eas,bnt,female,full,10,150,-0.073,0.6735,0.172,-0.423,slope,0
eas,bnt,female,full,11,150,-0.0065,0.5135,0.0105,-0.6545,slope,1
eas,bnt,female,full,12,150,-0.0015,0.9005,0.02,-0.078,slope,2
eas,bnt,female,full,13,150,0,0.9735,0.0095,0.0065,slope,3
eas,bnt,female,full,14,150,0.013,0.908,0.1105,0.116,slope,4
eas,bnt,female,full,15,150,0.202,0.2895,0.19,1.06,slope,5
eas,bnt,female,full,16,150,-0.034,0.783,0.1235,-0.275,slope,6
eas,bnt,male,a,00,376,12.057,0,0.284,42.5065,intercept,0
eas,bnt,male,a,01,376,-0.012,0.649,0.026,-0.4545,intercept,1
eas,bnt,male,a,02,376,NA,NA,NA,NA,intercept,2
eas,bnt,male,a,03,376,NA,NA,NA,NA,intercept,3
eas,bnt,male,a,04,376,NA,NA,NA,NA,intercept,4
eas,bnt,male,a,05,376,NA,NA,NA,NA,intercept,5
eas,bnt,male,a,06,376,NA,NA,NA,NA,intercept,6
eas,bnt,male,a,10,376,-0.017,0.807,0.0715,-0.2445,slope,0
eas,bnt,male,a,11,376,-0.0105,0.1035,0.0065,-1.641,slope,1
eas,bnt,male,a,12,376,NA,NA,NA,NA,slope,2
eas,bnt,male,a,13,376,NA,NA,NA,NA,slope,3
eas,bnt,male,a,14,376,NA,NA,NA,NA,slope,4
eas,bnt,male,a,15,376,NA,NA,NA,NA,slope,5
eas,bnt,male,a,16,376,NA,NA,NA,NA,slope,6
eas,bnt,male,ae,00,376,12.051,0,0.295,40.8535,intercept,0
eas,bnt,male,ae,01,376,-0.012,0.651,0.026,-0.4525,intercept,1
eas,bnt,male,ae,02,376,5e-04,0.966,0.011,0.043,intercept,2
eas,bnt,male,ae,03,376,NA,NA,NA,NA,intercept,3
eas,bnt,male,ae,04,376,NA,NA,NA,NA,intercept,4
eas,bnt,male,ae,05,376,NA,NA,NA,NA,intercept,5
eas,bnt,male,ae,06,376,NA,NA,NA,NA,intercept,6
eas,bnt,male,ae,10,376,-0.02,0.8525,0.106,-0.1865,slope,0
eas,bnt,male,ae,11,376,-0.0105,0.1115,0.0065,-1.605,slope,1
eas,bnt,male,ae,12,376,0,0.9825,0.011,0.022,slope,2
eas,bnt,male,ae,13,376,NA,NA,NA,NA,slope,3
eas,bnt,male,ae,14,376,NA,NA,NA,NA,slope,4
eas,bnt,male,ae,15,376,NA,NA,NA,NA,slope,5
eas,bnt,male,ae,16,376,NA,NA,NA,NA,slope,6
eas,bnt,male,aeh,00,72,11.8325,0,1.0515,11.3935,intercept,0
eas,bnt,male,aeh,01,72,0.0205,0.753,0.0665,0.315,intercept,1
eas,bnt,male,aeh,02,72,0.0745,0.413,0.091,0.821,intercept,2
eas,bnt,male,aeh,03,72,0.0105,0.82,0.0475,0.2275,intercept,3
eas,bnt,male,aeh,04,72,NA,NA,NA,NA,intercept,4
eas,bnt,male,aeh,05,72,NA,NA,NA,NA,intercept,5
eas,bnt,male,aeh,06,72,NA,NA,NA,NA,intercept,6
eas,bnt,male,aeh,10,72,0.057,0.858,0.329,0.18,slope,0
eas,bnt,male,aeh,11,72,-0.0205,0.2435,0.018,-1.183,slope,1
eas,bnt,male,aeh,12,72,-0.003,0.8815,0.0205,-0.149,slope,2
eas,bnt,male,aeh,13,72,0.0045,0.736,0.0125,0.337,slope,3
eas,bnt,male,aeh,14,72,NA,NA,NA,NA,slope,4
eas,bnt,male,aeh,15,72,NA,NA,NA,NA,slope,5
eas,bnt,male,aeh,16,72,NA,NA,NA,NA,slope,6
eas,bnt,male,aehplus,00,72,11.0905,0,1.921,5.798,intercept,0
eas,bnt,male,aehplus,01,72,0.0395,0.6375,0.083,0.4715,intercept,1
eas,bnt,male,aehplus,02,72,0.096,0.5365,0.156,0.62,intercept,2
eas,bnt,male,aehplus,03,72,0.011,0.8745,0.068,0.158,intercept,3
eas,bnt,male,aehplus,04,72,0.9055,0.337,0.944,0.9605,intercept,4
eas,bnt,male,aehplus,05,72,-0.2235,0.835,1.172,-0.209,intercept,5
eas,bnt,male,aehplus,06,72,-0.3725,0.7045,0.9955,-0.3795,intercept,6
eas,bnt,male,aehplus,10,72,0.192,0.643,0.4325,0.4675,slope,0
eas,bnt,male,aehplus,11,72,-0.0255,0.283,0.0235,-1.079,slope,1
eas,bnt,male,aehplus,12,72,-0.005,0.879,0.033,-0.153,slope,2
eas,bnt,male,aehplus,13,72,0.003,0.886,0.0215,0.1435,slope,3
eas,bnt,male,aehplus,14,72,-0.2045,0.394,0.2445,-0.8575,slope,4
eas,bnt,male,aehplus,15,72,-0.025,0.972,0.607,-0.0355,slope,5
eas,bnt,male,aehplus,16,72,0.2175,0.4355,0.2785,0.7815,slope,6
eas,bnt,male,full,00,72,10.782,0,2.127,5.0685,intercept,0
eas,bnt,male,full,01,72,0.048,0.607,0.0935,0.515,intercept,1
eas,bnt,male,full,02,72,0.102,0.5485,0.1695,0.6,intercept,2
eas,bnt,male,full,03,72,-0.001,0.9865,0.061,-0.0135,intercept,3
eas,bnt,male,full,04,72,1.038,0.3415,1.092,0.9515,intercept,4
eas,bnt,male,full,05,72,-0.2645,0.8215,1.2115,-0.2255,intercept,5
eas,bnt,male,full,06,72,-0.54,0.6025,1.047,-0.5215,intercept,6
eas,bnt,male,full,10,72,0.3395,0.555,0.5725,0.596,slope,0
eas,bnt,male,full,11,72,-0.0295,0.318,0.0295,-0.9985,slope,1
eas,bnt,male,full,12,72,-0.0085,0.8335,0.039,-0.21,slope,2
eas,bnt,male,full,13,72,0.0095,0.694,0.0235,0.393,slope,3
eas,bnt,male,full,14,72,-0.2605,0.391,0.307,-0.8635,slope,4
eas,bnt,male,full,15,72,-0.015,0.982,0.539,-0.0225,slope,5
eas,bnt,male,full,16,72,0.2945,0.3305,0.3025,0.9745,slope,6
eas,categories,female,a,00,593,40.5405,0,0.7445,54.4595,intercept,0
eas,categories,female,a,01,593,-0.2785,5e-04,0.081,-3.446,intercept,1
eas,categories,female,a,02,593,NA,NA,NA,NA,intercept,2
eas,categories,female,a,03,593,NA,NA,NA,NA,intercept,3
eas,categories,female,a,04,593,NA,NA,NA,NA,intercept,4
eas,categories,female,a,05,593,NA,NA,NA,NA,intercept,5
eas,categories,female,a,06,593,NA,NA,NA,NA,intercept,6
eas,categories,female,a,10,593,-0.244,0.2045,0.1915,-1.274,slope,0
eas,categories,female,a,11,593,-0.0385,0.0505,0.019,-1.963,slope,1
eas,categories,female,a,12,593,NA,NA,NA,NA,slope,2
eas,categories,female,a,13,593,NA,NA,NA,NA,slope,3
eas,categories,female,a,14,593,NA,NA,NA,NA,slope,4
eas,categories,female,a,15,593,NA,NA,NA,NA,slope,5
eas,categories,female,a,16,593,NA,NA,NA,NA,slope,6
eas,categories,female,ae,00,593,35.6215,0,1.0515,33.874,intercept,0
eas,categories,female,ae,01,593,-0.2625,0.001,0.076,-3.445,intercept,1
eas,categories,female,ae,02,593,0.782,0,0.105,7.4615,intercept,2
eas,categories,female,ae,03,593,NA,NA,NA,NA,intercept,3
eas,categories,female,ae,04,593,NA,NA,NA,NA,intercept,4
eas,categories,female,ae,05,593,NA,NA,NA,NA,intercept,5
eas,categories,female,ae,06,593,NA,NA,NA,NA,intercept,6
eas,categories,female,ae,10,593,-0.54,0.067,0.2935,-1.8415,slope,0
eas,categories,female,ae,11,593,-0.0375,0.057,0.0195,-1.911,slope,1
eas,categories,female,ae,12,593,0.0435,0.1495,0.0305,1.4415,slope,2
eas,categories,female,ae,13,593,NA,NA,NA,NA,slope,3
eas,categories,female,ae,14,593,NA,NA,NA,NA,slope,4
eas,categories,female,ae,15,593,NA,NA,NA,NA,slope,5
eas,categories,female,ae,16,593,NA,NA,NA,NA,slope,6
eas,categories,female,aeh,00,150,37.579,0,2.563,14.6635,intercept,0
eas,categories,female,aeh,01,150,-0.325,0.088,0.191,-1.7065,intercept,1
eas,categories,female,aeh,02,150,0.765,0.003,0.259,2.9525,intercept,2
eas,categories,female,aeh,03,150,-0.1085,0.44,0.141,-0.773,intercept,3
eas,categories,female,aeh,04,150,NA,NA,NA,NA,intercept,4
eas,categories,female,aeh,05,150,NA,NA,NA,NA,intercept,5
eas,categories,female,aeh,06,150,NA,NA,NA,NA,intercept,6
eas,categories,female,aeh,10,150,-0.7345,0.262,0.655,-1.1215,slope,0
eas,categories,female,aeh,11,150,-0.027,0.5095,0.0415,-0.66,slope,1
eas,categories,female,aeh,12,150,0.069,0.245,0.0595,1.163,slope,2
eas,categories,female,aeh,13,150,0.005,0.863,0.0295,0.1725,slope,3
eas,categories,female,aeh,14,150,NA,NA,NA,NA,slope,4
eas,categories,female,aeh,15,150,NA,NA,NA,NA,slope,5
eas,categories,female,aeh,16,150,NA,NA,NA,NA,slope,6
eas,categories,female,aehplus,00,150,38.5755,0,2.7835,13.8695,intercept,0
eas,categories,female,aehplus,01,150,-0.3475,0.0695,0.1915,-1.817,intercept,1
eas,categories,female,aehplus,02,150,0.7205,0.012,0.287,2.51,intercept,2
eas,categories,female,aehplus,03,150,-0.1,0.489,0.1445,-0.692,intercept,3
eas,categories,female,aehplus,04,150,0.777,0.56,1.3355,0.5835,intercept,4
eas,categories,female,aehplus,05,150,1.057,0.734,3.112,0.3395,intercept,5
eas,categories,female,aehplus,06,150,-5.082,0.027,2.298,-2.212,intercept,6
eas,categories,female,aehplus,10,150,-0.782,0.2785,0.7215,-1.0845,slope,0
eas,categories,female,aehplus,11,150,-0.03,0.484,0.043,-0.7005,slope,1
eas,categories,female,aehplus,12,150,0.0725,0.2655,0.065,1.113,slope,2
eas,categories,female,aehplus,13,150,0.0045,0.886,0.0335,0.143,slope,3
eas,categories,female,aehplus,14,150,0.077,0.843,0.39,0.1985,slope,4
eas,categories,female,aehplus,15,150,0,0.9575,0.7565,0.0085,slope,5
eas,categories,female,aehplus,16,150,0.0145,0.9505,0.6615,0.021,slope,6
eas,categories,female,full,00,150,38.5755,0,2.908,13.2805,intercept,0
eas,categories,female,full,01,150,-0.3445,0.0795,0.196,-1.7565,intercept,1
eas,categories,female,full,02,150,0.7195,0.0145,0.2935,2.452,intercept,2
eas,categories,female,full,03,150,-0.099,0.5015,0.1475,-0.6725,intercept,3
eas,categories,female,full,04,150,0.7765,0.5565,1.3215,0.588,intercept,4
eas,categories,female,full,05,150,1.1125,0.7195,3.0995,0.359,intercept,5
eas,categories,female,full,06,150,-5.069,0.0305,2.3425,-2.1635,intercept,6
eas,categories,female,full,10,150,-0.61,0.385,0.7005,-0.8695,slope,0
eas,categories,female,full,11,150,-0.027,0.554,0.046,-0.592,slope,1
eas,categories,female,full,12,150,0.0715,0.2755,0.065,1.091,slope,2
eas,categories,female,full,13,150,0.007,0.8305,0.0345,0.214,slope,3
eas,categories,female,full,14,150,0.0665,0.859,0.3805,0.1775,slope,4
eas,categories,female,full,15,150,0.0205,0.9755,0.784,0.0305,slope,5
eas,categories,female,full,16,150,0.0585,0.9315,0.677,0.086,slope,6
eas,categories,male,a,00,376,36.9645,0,0.9635,38.354,intercept,0
eas,categories,male,a,01,376,-0.1955,0.05,0.0995,-1.963,intercept,1
eas,categories,male,a,02,376,NA,NA,NA,NA,intercept,2
eas,categories,male,a,03,376,NA,NA,NA,NA,intercept,3
eas,categories,male,a,04,376,NA,NA,NA,NA,intercept,4
eas,categories,male,a,05,376,NA,NA,NA,NA,intercept,5
eas,categories,male,a,06,376,NA,NA,NA,NA,intercept,6
eas,categories,male,a,10,376,-0.2315,0.333,0.2375,-0.9735,slope,0
eas,categories,male,a,11,376,-0.0385,0.114,0.0245,-1.589,slope,1
eas,categories,male,a,12,376,NA,NA,NA,NA,slope,2
eas,categories,male,a,13,376,NA,NA,NA,NA,slope,3
eas,categories,male,a,14,376,NA,NA,NA,NA,slope,4
eas,categories,male,a,15,376,NA,NA,NA,NA,slope,5
eas,categories,male,a,16,376,NA,NA,NA,NA,slope,6
eas,categories,male,ae,00,376,36.799,0,1.016,36.2055,intercept,0
eas,categories,male,ae,01,376,-0.1945,0.0505,0.0995,-1.955,intercept,1
eas,categories,male,ae,02,376,0.0205,0.638,0.0435,0.471,intercept,2
eas,categories,male,ae,03,376,NA,NA,NA,NA,intercept,3
eas,categories,male,ae,04,376,NA,NA,NA,NA,intercept,4
eas,categories,male,ae,05,376,NA,NA,NA,NA,intercept,5
eas,categories,male,ae,06,376,NA,NA,NA,NA,intercept,6
eas,categories,male,ae,10,376,-0.147,0.6785,0.354,-0.4145,slope,0
eas,categories,male,ae,11,376,-0.039,0.107,0.024,-1.6175,slope,1
eas,categories,male,ae,12,376,-0.0115,0.748,0.0355,-0.3215,slope,2
eas,categories,male,ae,13,376,NA,NA,NA,NA,slope,3
eas,categories,male,ae,14,376,NA,NA,NA,NA,slope,4
eas,categories,male,ae,15,376,NA,NA,NA,NA,slope,5
eas,categories,male,ae,16,376,NA,NA,NA,NA,slope,6
eas,categories,male,aeh,00,72,33.607,0,5.007,6.748,intercept,0
eas,categories,male,aeh,01,72,-0.2335,0.5505,0.3925,-0.6,intercept,1
eas,categories,male,aeh,02,72,0.9435,0.065,0.508,1.8735,intercept,2
