study name,process a,process b,subgroup,model type,n,a gamma 00,a gamma 10,b gamma 00,b gamma 10
eas,gait,information,male,a,352,"109.3( 3.3),p<.01"," -2.24( 0.73),p<.01","  22.6( 0.5),p<.01"," -0.65( 0.18),p<.01"
eas,gait,information,male,ae,352,"105.9( 5.7),p<.01"," -1.50( 1.14),p=.19","  23.3( 0.6),p<.01"," -1.34( 0.25),p<.01"
eas,gait,information,male,aeh,70,"100.7(10.6),p<.01","  0.55( 3.06),p=.86","  17.9( 2.8),p<.01"," -0.74( 0.78),p=.34"
eas,gait,information,male,aehplus,70,"104.2(15.2),p<.01"," -0.88( 5.47),p=.87","  18.3( 3.9),p<.01"," -0.69( 1.12),p=.54"
eas,gait,information,male,full,70,"105.8(19.4),p<.01"," -0.75( 6.82),p=.91","  18.0( 4.8),p<.01"," -0.55( 1.22),p=.65"
eas,gait,logic_tot,female,a,554,"106.1( 2.9),p<.01"," -2.60( 0.58),p<.01","  21.6( 0.6),p<.01","  0.13( 0.14),p=.37"
eas,gait,logic_tot,female,ae,554,"101.4( 5.0),p<.01"," -3.44( 1.10),p<.01","  16.5( 0.8),p<.01","  0.05( 0.23),p=.84"
eas,gait,logic_tot,female,aeh,150,"106.1( 8.8),p<.01"," -3.74( 2.37),p=.12","  18.2( 1.8),p<.01"," -0.03( 0.35),p=.93"
eas,gait,logic_tot,female,aehplus,150,"110.3( 8.7),p<.01"," -3.65( 2.58),p=.16","  18.3( 2.1),p<.01"," -0.09( 0.44),p=.83"
eas,gait,logic_tot,female,full,150,"118.5( 9.0),p<.01"," -3.87( 2.63),p=.14","  18.2( 2.2),p<.01","  0.07( 0.50),p=.89"
eas,gait,logic_tot,male,a,350,"109.2( 3.4),p<.01"," -2.20( 0.73),p<.01","  20.8( 0.8),p<.01","  0.62( 0.24),p=.01"
eas,gait,logic_tot,male,ae,350,"105.8( 5.8),p<.01"," -1.27( 1.25),p=.31","  20.4( 0.8),p<.01","  1.07( 0.31),p<.01"
eas,gait,logic_tot,male,aeh,72,"102.8(10.1),p<.01"," -0.50( 3.07),p=.87","  15.1( 3.6),p<.01","  1.77( 0.84),p=.04"
eas,gait,logic_tot,male,aehplus,72,"106.5(13.1),p<.01"," -1.98( 4.91),p=.69","  14.7( 5.2),p<.01","  1.79( 1.07),p=.10"
eas,gait,logic_tot,male,full,72,"107.9(16.4),p<.01"," -1.72( 6.01),p=.78","  14.1( 5.3),p=.01","  1.81( 1.15),p=.11"
eas,gait,mmms,female,a,383,"107.7( 3.4),p<.01"," -2.27( 0.73),p<.01","  26.2( 0.2),p<.01","  0.09( 0.05),p=.06"
eas,gait,mmms,female,ae,383,"107.7( 5.6),p<.01"," -2.22( 1.14),p=.05","  26.2( 0.2),p<.01","  0.10( 0.06),p=.12"
eas,gait,mmms,female,aeh,72,"101.6(11.3),p<.01","  0.06( 2.91),p=.98","  26.5( 0.6),p<.01","  0.01( 0.21),p=.97"
eas,gait,mmms,female,aehplus,72,"105.7(13.0),p<.01"," -1.64( 5.96),p=.78","  26.7( 0.9),p<.01"," -0.06( 0.29),p=.84"
eas,gait,mmms,female,full,72,"107.3(14.3),p<.01"," -1.37( 7.00),p=.84","  26.9( 1.1),p<.01"," -0.05( 0.34),p=.89"
eas,gait,mmms,male,a,383,"107.7( 3.4),p<.01"," -2.27( 0.73),p<.01","  26.2( 0.2),p<.01","  0.09( 0.05),p=.06"
eas,gait,mmms,male,ae,383,"107.7( 5.6),p<.01"," -2.22( 1.14),p=.05","  26.2( 0.2),p<.01","  0.10( 0.06),p=.12"
eas,gait,mmms,male,aeh,72,"101.6(11.3),p<.01","  0.06( 2.91),p=.98","  26.5( 0.6),p<.01","  0.01( 0.21),p=.97"
eas,gait,mmms,male,aehplus,72,"105.7(13.0),p<.01"," -1.64( 5.96),p=.78","  26.7( 0.9),p<.01"," -0.06( 0.29),p=.84"
eas,gait,mmms,male,full,72,"107.3(14.3),p<.01"," -1.37( 7.00),p=.84","  26.9( 1.1),p<.01"," -0.05( 0.34),p=.89"
eas,gait,symbol,female,a,592,"105.4( 2.8),p<.01"," -2.38( 0.55),p<.01","  45.3( 1.2),p<.01","  0.55( 0.23),p=.02"
eas,gait,symbol,female,ae,592,"100.4( 4.7),p<.01"," -3.31( 1.03),p<.01","  32.6( 1.6),p<.01","  1.03( 0.45),p=.02"
eas,gait,symbol,female,aeh,150,"105.2( 7.9),p<.01"," -3.18( 2.50),p=.20","  39.7( 2.9),p<.01","  0.26( 0.60),p=.67"
eas,gait,symbol,female,aehplus,150,"109.4( 8.4),p<.01"," -3.04( 2.84),p=.28","  41.2( 3.3),p<.01","  0.32( 0.62),p=.60"
eas,gait,symbol,female,full,150,"117.6( 8.2),p<.01"," -3.26( 3.00),p=.28","  41.0( 3.4),p<.01","  0.45( 0.60),p=.45"
eas,gait,symbol,male,a,377,"106.9( 3.2),p<.01"," -2.11( 0.72),p<.01","  39.4( 1.3),p<.01","  0.52( 0.36),p=.14"
eas,gait,symbol,male,ae,377,"108.3( 5.4),p<.01"," -1.26( 1.22),p=.30","  39.0( 1.4),p<.01","  1.01( 0.59),p=.09"
eas,gait,symbol,male,aeh,72,"102.2(10.5),p<.01"," -0.15( 3.15),p=.96","  37.4( 6.2),p<.01","  0.87( 2.12),p=.68"
eas,gait,symbol,male,aehplus,72,"106.3(13.4),p<.01"," -1.81( 4.79),p=.71","  39.1(11.0),p<.01","  0.66( 2.43),p=.79"
eas,gait,symbol,male,full,72,"108.1(22.4),p<.01"," -1.74( 8.13),p=.83","  38.7(14.0),p=.01","  0.64( 2.93),p=.82"
eas,gait,trailsb,female,a,580,"106.2( 2.9),p<.01"," -2.65( 0.55),p<.01"," 124.9( 7.2),p<.01","  1.08( 1.33),p=.42"
eas,gait,trailsb,female,ae,580,"101.6( 5.2),p<.01"," -3.51( 1.14),p<.01"," 172.3( 7.6),p<.01","  1.12( 2.12),p=.60"
eas,gait,trailsb,female,aeh,150,"105.5( 8.3),p<.01"," -3.57( 2.46),p=.15"," 170.2(16.7),p<.01","  3.31( 4.16),p=.43"
eas,gait,trailsb,female,aehplus,150,"110.0( 8.3),p<.01"," -3.51( 2.53),p=.16"," 162.5(17.9),p<.01","  3.44( 5.01),p=.49"
eas,gait,trailsb,female,full,150,"118.0( 7.9),p<.01"," -3.76( 2.65),p=.16"," 171.5(18.4),p<.01","  3.26( 5.09),p=.52"
eas,gait,trailsb,male,a,368,"107.4( 3.3),p<.01"," -2.05( 0.83),p=.01"," 132.4( 9.3),p<.01","  1.79( 2.07),p=.39"
eas,gait,trailsb,male,ae,368,"107.6( 5.7),p<.01"," -2.04( 1.27),p=.11"," 131.4( 9.6),p<.01","  1.85( 3.17),p=.56"
eas,gait,trailsb,male,aeh,72,"102.3(11.0),p<.01","  0.03( 3.25),p=.99"," 169.3(31.7),p<.01"," -6.16( 8.66),p=.48"
eas,gait,trailsb,male,aehplus,72,"107.0(17.0),p<.01"," -2.18( 5.62),p=.70"," 163.4(43.6),p<.01"," -2.91(10.20),p=.78"
eas,gait,trailsb,male,full,72,"108.4(18.8),p<.01"," -1.93( 5.59),p=.73"," 167.6(52.4),p<.01"," -2.39(11.58),p=.84"
eas,gait,waisvocab,female,a,594,"106.2( 2.9),p<.01"," -2.52( 0.59),p<.01","  44.8( 1.1),p<.01","  0.05( 0.22),p=.81"
eas,gait,waisvocab,female,ae,594,"101.1( 5.0),p<.01"," -3.41( 1.16),p<.01","  32.8( 1.3),p<.01"," -0.22( 0.36),p=.54"
eas,gait,waisvocab,female,aeh,150,"105.7( 8.2),p<.01"," -3.42( 2.58),p=.18","  34.4( 2.7),p<.01","  0.09( 0.65),p=.89"
eas,gait,waisvocab,female,aehplus,150,"109.8( 8.4),p<.01"," -3.23( 2.68),p=.23","  34.8( 3.2),p<.01","  0.33( 0.72),p=.65"
eas,gait,waisvocab,female,full,150,"118.0( 8.6),p<.01"," -3.45( 2.63),p=.19","  35.9( 3.2),p<.01","  0.12( 0.77),p=.87"
eas,gait,waisvocab,male,a,377,"108.7( 3.5),p<.01"," -2.25( 0.81),p=.01","  44.0( 1.3),p<.01"," -0.36( 0.30),p=.22"
eas,gait,waisvocab,male,ae,377,"106.0( 5.8),p<.01"," -1.57( 1.21),p=.20","  44.3( 1.4),p<.01"," -0.73( 0.46),p=.11"
eas,gait,waisvocab,male,aeh,72,"102.4(10.4),p<.01"," -0.29( 3.45),p=.93","  32.1( 4.6),p<.01","  1.55( 1.29),p=.23"
eas,gait,waisvocab,male,aehplus,72,"106.4(15.4),p<.01"," -1.97( 5.80),p=.73","  34.0( 6.7),p<.01","  1.61( 2.17),p=.46"
eas,gait,waisvocab,male,full,72,"107.2(18.9),p<.01"," -1.44( 6.09),p=.81","  34.4( 7.6),p<.01","  1.28( 2.22),p=.56"
eas,grip,block,female,a,563," 18.4( 1.0),p<.01"," -0.78( 0.22),p<.01","  20.7( 0.8),p<.01","  0.64( 0.18),p<.01"
eas,grip,block,female,ae,563," 18.7( 1.3),p<.01"," -0.88( 0.35),p=.01","  14.0( 1.1),p<.01","  1.08( 0.26),p<.01"
eas,grip,block,female,aeh,150," 18.4( 1.6),p<.01"," -2.22( 0.37),p<.01","  18.3( 2.4),p<.01","  0.78( 0.39),p=.04"
eas,grip,block,female,aehplus,150," 18.5( 1.7),p<.01"," -2.35( 0.42),p<.01","  18.9( 2.4),p<.01","  0.81( 0.44),p=.06"
eas,grip,block,female,full,150," 18.4( 1.8),p<.01"," -2.27( 0.42),p<.01","  19.3( 2.7),p<.01","  0.76( 0.47),p=.10"
eas,grip,block,male,a,350," 34.9( 1.7),p<.01"," -1.02( 0.44),p=.02","  20.4( 1.0),p<.01","  1.00( 0.23),p<.01"
eas,grip,block,male,ae,350," 36.3( 2.9),p<.01"," -0.97( 0.74),p=.19","  20.3( 1.1),p<.01","  1.04( 0.33),p<.01"
eas,grip,block,male,aeh,72," 35.7( 3.6),p<.01"," -1.82( 1.18),p=.12","  19.1( 5.3),p<.01","  1.64( 1.00),p=.10"
eas,grip,block,male,aehplus,72," 36.2( 5.1),p<.01"," -2.33( 1.36),p=.09","  24.1( 7.1),p<.01","  1.46( 1.58),p=.36"
eas,grip,block,male,full,72," 37.9( 5.5),p<.01"," -2.83( 1.45),p=.05","  22.5( 8.7),p=.01","  1.17( 1.41),p=.41"
eas,grip,bnt,female,a,594," 18.6( 0.9),p<.01"," -0.94( 0.25),p<.01","  11.9( 0.3),p<.01"," -0.02( 0.05),p=.67"
eas,grip,bnt,female,ae,594," 18.8( 1.3),p<.01"," -1.05( 0.38),p=.01","   9.8( 0.3),p<.01","  0.02( 0.07),p=.74"
eas,grip,bnt,female,aeh,150," 18.3( 1.6),p<.01"," -2.17( 0.40),p<.01","  10.4( 0.7),p<.01"," -0.01( 0.13),p=.93"
eas,grip,bnt,female,aehplus,150," 18.6( 1.8),p<.01"," -2.35( 0.47),p<.01","  10.8( 0.7),p<.01"," -0.08( 0.17),p=.63"
eas,grip,bnt,female,full,150," 18.4( 1.9),p<.01"," -2.27( 0.48),p<.01","  10.8( 0.7),p<.01"," -0.09( 0.17),p=.62"
eas,grip,bnt,male,a,376," 34.9( 1.9),p<.01"," -1.23( 0.50),p=.01","  12.1( 0.3),p<.01"," -0.02( 0.08),p=.83"
eas,grip,bnt,male,ae,376," 36.4( 2.7),p<.01"," -1.17( 0.73),p=.11","  12.1( 0.3),p<.01"," -0.02( 0.11),p=.84"
eas,grip,bnt,male,aeh,72," 35.7( 3.4),p<.01"," -1.81( 1.29),p=.16","  11.9( 0.9),p<.01","  0.08( 0.31),p=.78"
eas,grip,bnt,male,aehplus,72," 36.5( 5.6),p<.01"," -2.46( 1.47),p=.09","  11.2( 1.8),p<.01","  0.20( 0.35),p=.56"
eas,grip,bnt,male,full,72," 38.1( 6.4),p<.01"," -2.89( 1.64),p=.08","  10.8( 2.1),p<.01","  0.41( 0.56),p=.47"
eas,grip,categories,female,a,593," 18.6( 1.0),p<.01"," -0.98( 0.23),p<.01","  40.6( 0.8),p<.01"," -0.27( 0.20),p=.17"
eas,grip,categories,female,ae,593," 19.0( 1.3),p<.01"," -1.14( 0.35),p<.01","  35.7( 1.1),p<.01"," -0.57( 0.29),p=.05"
eas,grip,categories,female,aeh,150," 18.5( 1.5),p<.01"," -2.23( 0.38),p<.01","  37.5( 2.6),p<.01"," -0.70( 0.62),p=.26"
eas,grip,categories,female,aehplus,150," 18.7( 1.6),p<.01"," -2.41( 0.47),p<.01","  38.5( 2.7),p<.01"," -0.73( 0.67),p=.28"
eas,grip,categories,female,full,150," 18.5( 1.7),p<.01"," -2.35( 0.49),p<.01","  38.5( 2.8),p<.01"," -0.56( 0.66),p=.40"
eas,grip,categories,male,a,376," 35.1( 1.9),p<.01"," -1.20( 0.52),p=.02","  37.0( 1.0),p<.01"," -0.26( 0.24),p=.28"
eas,grip,categories,male,ae,376," 37.1( 2.8),p<.01"," -0.96( 0.67),p=.15","  36.8( 1.0),p<.01"," -0.15( 0.36),p=.66"
eas,grip,categories,male,aeh,72," 35.8( 4.0),p<.01"," -1.91( 1.20),p=.11","  33.3( 4.6),p<.01","  0.36( 0.99),p=.71"
eas,grip,categories,male,aehplus,72," 36.5( 6.0),p<.01"," -2.52( 1.52),p=.10","  30.0( 8.3),p<.01","  0.66( 1.78),p=.71"
eas,grip,categories,male,full,72," 38.2( 7.3),p<.01"," -3.01( 1.91),p=.12","  32.2(10.0),p<.01","  0.51( 2.25),p=.82"
eas,grip,digit_tot,female,a,595," 18.9( 1.0),p<.01"," -0.87( 0.24),p<.01","  13.6( 0.3),p<.01","  0.23( 0.07),p<.01"
eas,grip,digit_tot,female,ae,595," 19.3( 1.3),p<.01"," -0.95( 0.38),p=.01","  11.3( 0.4),p<.01","  0.30( 0.10),p<.01"
eas,grip,digit_tot,female,aeh,150," 18.4( 1.4),p<.01"," -2.20( 0.42),p<.01","  13.4( 0.9),p<.01","  0.17( 0.17),p=.32"
eas,grip,digit_tot,female,aehplus,150," 18.6( 1.6),p<.01"," -2.35( 0.48),p<.01","  13.7( 0.9),p<.01","  0.21( 0.20),p=.30"
eas,grip,digit_tot,female,full,150," 18.4( 1.8),p<.01"," -2.26( 0.48),p<.01","  13.6( 1.0),p<.01","  0.20( 0.22),p=.35"
eas,grip,digit_tot,male,a,379," 34.8( 1.6),p<.01"," -1.17( 0.41),p<.01","  13.8( 0.4),p<.01","  0.19( 0.08),p=.02"
eas,grip,digit_tot,male,ae,379," 37.6( 2.5),p<.01"," -0.97( 0.67),p=.15","  13.7( 0.4),p<.01","  0.17( 0.11),p=.13"
eas,grip,digit_tot,male,aeh,72," 35.7( 3.3),p<.01"," -1.81( 1.30),p=.16","  13.9( 2.0),p<.01"," -0.22( 0.44),p=.62"
eas,grip,digit_tot,male,aehplus,72," 36.4( 5.2),p<.01"," -2.38( 1.39),p=.09","  12.9( 3.5),p<.01"," -0.08( 0.56),p=.89"
eas,grip,digit_tot,male,full,72," 38.1( 6.0),p<.01"," -2.87( 1.61),p=.07","  13.6( 4.0),p<.01"," -0.28( 0.77),p=.71"
eas,grip,fas,female,a,571," 18.5( 1.0),p<.01"," -0.97( 0.23),p<.01","  34.1( 1.1),p<.01","  0.58( 0.20),p<.01"
eas,grip,fas,female,ae,571," 18.7( 1.4),p<.01"," -1.12( 0.35),p<.01","  24.1( 1.5),p<.01","  0.66( 0.31),p=.03"
eas,grip,fas,female,aeh,150," 18.4( 1.5),p<.01"," -2.22( 0.41),p<.01","  29.5( 3.5),p<.01","  0.55( 0.62),p=.37"
eas,grip,fas,female,aehplus,150," 18.6( 1.7),p<.01"," -2.39( 0.42),p<.01","  30.4( 3.8),p<.01","  0.46( 0.69),p=.50"
eas,grip,fas,female,full,150," 18.4( 1.8),p<.01"," -2.32( 0.43),p<.01","  30.5( 4.0),p<.01","  0.59( 0.78),p=.45"
eas,grip,fas,male,a,358," 34.9( 1.9),p<.01"," -1.15( 0.47),p=.01","  31.3( 1.5),p<.01","  0.32( 0.28),p=.24"
eas,grip,fas,male,ae,358," 37.6( 2.8),p<.01"," -0.92( 0.71),p=.20","  31.2( 1.5),p<.01","  0.31( 0.43),p=.48"
eas,grip,fas,male,aeh,72," 35.8( 3.6),p<.01"," -1.88( 1.10),p=.09","  25.7( 5.0),p<.01","  1.31( 1.04),p=.21"
eas,grip,fas,male,aehplus,72," 36.4( 5.0),p<.01"," -2.39( 1.47),p=.10","  25.4( 7.5),p<.01","  1.25( 1.26),p=.32"
eas,grip,fas,male,full,72," 37.8( 5.5),p<.01"," -2.70( 1.71),p=.12","  27.8( 8.4),p<.01","  1.03( 1.62),p=.53"
eas,grip,information,female,a,538," 18.1( 1.0),p<.01"," -0.78( 0.27),p<.01","  19.5( 0.6),p<.01"," -0.44( 0.15),p<.01"
eas,grip,information,female,ae,538," 18.4( 1.4),p<.01"," -0.85( 0.41),p=.04","  15.6( 0.7),p<.01"," -0.54( 0.23),p=.02"
eas,grip,information,female,aeh,145," 18.3( 1.5),p<.01"," -2.15( 0.41),p<.01","  12.8( 1.6),p<.01","  0.10( 0.52),p=.85"
eas,grip,information,female,aehplus,145," 18.5( 1.6),p<.01"," -2.28( 0.48),p<.01","  13.1( 2.0),p<.01","  0.30( 0.61),p=.62"
eas,grip,information,female,full,145," 18.4( 1.7),p<.01"," -2.24( 0.48),p<.01","  13.3( 2.4),p<.01","  0.33( 0.72),p=.65"
eas,grip,information,male,a,353," 33.5( 1.7),p<.01"," -0.88( 0.53),p=.10","  22.5( 0.5),p<.01"," -0.60( 0.18),p<.01"
eas,grip,information,male,ae,353," 36.6( 3.0),p<.01"," -0.49( 0.77),p=.52","  23.2( 0.6),p<.01"," -1.26( 0.26),p<.01"
eas,grip,information,male,aeh,72," 35.7( 3.2),p<.01"," -1.83( 1.23),p=.14","  17.1( 2.4),p<.01"," -0.62( 0.67),p=.35"
eas,grip,information,male,aehplus,72," 36.2( 5.5),p<.01"," -2.35( 1.78),p=.19","  17.4( 3.8),p<.01"," -0.62( 1.16),p=.59"
eas,grip,information,male,full,72," 37.9( 5.9),p<.01"," -2.80( 1.90),p=.14","  16.9( 4.2),p<.01"," -0.36( 1.40),p=.79"
eas,grip,logic_tot,female,a,554," 18.7( 1.0),p<.01"," -0.98( 0.23),p<.01","  21.6( 0.6),p<.01","  0.16( 0.14),p=.27"
eas,grip,logic_tot,female,ae,554," 18.9( 1.3),p<.01"," -1.10( 0.34),p<.01","  16.5( 0.8),p<.01","  0.06( 0.22),p=.78"
eas,grip,logic_tot,female,aeh,150," 18.4( 1.5),p<.01"," -2.19( 0.36),p<.01","  18.0( 1.9),p<.01","  0.04( 0.35),p=.90"
eas,grip,logic_tot,female,aehplus,150," 18.6( 1.6),p<.01"," -2.36( 0.47),p<.01","  18.2( 2.1),p<.01"," -0.02( 0.44),p=.96"
eas,grip,logic_tot,female,full,150," 18.4( 1.7),p<.01"," -2.29( 0.48),p<.01","  18.1( 2.1),p<.01","  0.13( 0.49),p=.80"
