study name,process a,process b,subgroup,model type,n,a gamma 00,a gamma 10,b gamma 00,b gamma 10
eas,gait,block,female,a,563,"106.3( 2.8),p<.01"," -2.69( 0.52),p<.01","  20.6( 0.8),p<.01","  0.69( 0.18),p<.01"
eas,gait,block,female,ae,563,"101.2( 5.0),p<.01"," -3.54( 1.08),p<.01","  13.8( 1.1),p<.01","  1.19( 0.26),p<.01"
eas,gait,block,female,aeh,150,"105.9( 7.9),p<.01"," -4.18( 2.32),p=.07","  18.4( 2.2),p<.01","  0.77( 0.43),p=.08"
eas,gait,block,female,aehplus,150,"110.4( 7.9),p<.01"," -4.01( 2.39),p=.09","  18.9( 2.3),p<.01","  0.80( 0.47),p=.09"
eas,gait,block,female,full,150,"118.6( 8.0),p<.01"," -4.26( 2.29),p=.06","  19.3( 2.6),p<.01","  0.75( 0.47),p=.11"
eas,gait,block,male,a,350,"107.8( 3.2),p<.01"," -2.08( 0.73),p<.01","  20.5( 1.0),p<.01","  0.93( 0.21),p<.01"
eas,gait,block,male,ae,350,"107.6( 5.3),p<.01"," -2.04( 1.21),p=.09","  20.4( 1.1),p<.01","  0.93( 0.31),p<.01"
eas,gait,block,male,aeh,72,"102.9( 9.9),p<.01"," -0.48( 3.04),p=.88","  19.4( 6.1),p<.01","  1.84( 1.10),p=.10"
eas,gait,block,male,aehplus,72,"107.0(12.9),p<.01"," -2.18( 4.47),p=.62","  23.9( 7.1),p<.01","  1.75( 1.40),p=.21"
eas,gait,block,male,full,72,"107.7(16.0),p<.01"," -1.48( 6.11),p=.81","  22.3( 9.1),p=.01","  1.43( 1.89),p=.45"
eas,gait,bnt,female,a,594,"106.4( 2.9),p<.01"," -2.72( 0.58),p<.01","  11.9( 0.3),p<.01"," -0.01( 0.05),p=.81"
eas,gait,bnt,female,ae,594,"101.7( 5.0),p<.01"," -3.59( 1.10),p<.01","   9.8( 0.3),p<.01","  0.04( 0.07),p=.59"
eas,gait,bnt,female,aeh,150,"106.3( 8.2),p<.01"," -4.11( 2.76),p=.14","  10.3( 0.6),p<.01","  0.01( 0.12),p=.94"
eas,gait,bnt,female,aehplus,150,"111.4( 8.2),p<.01"," -4.45( 2.75),p=.10","  10.8( 0.6),p<.01"," -0.05( 0.16),p=.76"
eas,gait,bnt,female,full,150,"119.7( 8.3),p<.01"," -4.72( 2.95),p=.11","  10.8( 0.6),p<.01"," -0.06( 0.17),p=.73"
eas,gait,bnt,male,a,376,"109.1( 3.3),p<.01"," -2.31( 0.80),p<.01","  12.1( 0.3),p<.01"," -0.02( 0.06),p=.79"
eas,gait,bnt,male,ae,376,"108.5( 5.6),p<.01"," -2.29( 1.27),p=.07","  12.0( 0.3),p<.01"," -0.02( 0.10),p=.86"
eas,gait,bnt,male,aeh,72,"101.9(11.4),p<.01","  0.14( 3.42),p=.97","  11.8( 1.2),p<.01","  0.03( 0.35),p=.93"
eas,gait,bnt,male,aehplus,72,"105.4(17.0),p<.01"," -1.28( 6.41),p=.84","  11.0( 2.0),p<.01","  0.18( 0.52),p=.73"
eas,gait,bnt,male,full,72,"106.6(18.9),p<.01"," -0.95( 7.91),p=.90","  10.8( 2.1),p<.01","  0.27( 0.58),p=.64"
eas,gait,categories,female,a,593,"106.7( 2.9),p<.01"," -2.71( 0.54),p<.01","  40.5( 0.7),p<.01"," -0.22( 0.19),p=.24"
eas,gait,categories,female,ae,593,"102.1( 4.9),p<.01"," -3.75( 1.06),p<.01","  35.6( 1.0),p<.01"," -0.51( 0.29),p=.08"
eas,gait,categories,female,aeh,150,"106.2( 7.8),p<.01"," -3.92( 2.31),p=.09","  37.6( 2.6),p<.01"," -0.77( 0.69),p=.27"
eas,gait,categories,female,aehplus,150,"110.6( 8.0),p<.01"," -3.98( 2.60),p=.13","  38.7( 2.9),p<.01"," -0.83( 0.78),p=.28"
eas,gait,categories,female,full,150,"118.9( 8.0),p<.01"," -4.19( 2.62),p=.11","  38.7( 3.0),p<.01"," -0.66( 0.74),p=.37"
eas,gait,categories,male,a,376,"109.2( 3.4),p<.01"," -2.40( 0.78),p<.01","  36.9( 1.0),p<.01"," -0.20( 0.23),p=.38"
eas,gait,categories,male,ae,376,"106.6( 5.9),p<.01"," -1.54( 1.14),p=.18","  36.8( 1.0),p<.01"," -0.14( 0.35),p=.69"
eas,gait,categories,male,aeh,72,"101.8(10.9),p<.01","  0.27( 2.93),p=.93","  33.9( 5.4),p<.01","  0.81( 1.23),p=.51"
eas,gait,categories,male,aehplus,72,"105.8(14.5),p<.01"," -1.75( 4.93),p=.72","  30.8( 7.7),p<.01","  1.13( 1.73),p=.52"
eas,gait,categories,male,full,72,"107.7(19.0),p<.01"," -1.70( 6.64),p=.80","  33.0( 8.5),p<.01","  0.94( 1.98),p=.64"
eas,gait,digit_tot,female,a,595,"105.7( 2.9),p<.01"," -2.49( 0.58),p<.01","  13.5( 0.3),p<.01","  0.26( 0.07),p<.01"
eas,gait,digit_tot,female,ae,595,"100.5( 4.9),p<.01"," -3.36( 1.07),p<.01","  11.2( 0.4),p<.01","  0.36( 0.10),p<.01"
eas,gait,digit_tot,female,aeh,150,"105.6( 7.9),p<.01"," -3.43( 2.18),p=.12","  13.3( 0.8),p<.01","  0.26( 0.17),p=.13"
eas,gait,digit_tot,female,aehplus,150,"109.9( 7.9),p<.01"," -3.29( 2.37),p=.16","  13.5( 0.9),p<.01","  0.30( 0.18),p=.10"
eas,gait,digit_tot,female,full,150,"118.2( 7.9),p<.01"," -3.60( 2.40),p=.13","  13.4( 1.0),p<.01","  0.30( 0.20),p=.15"
eas,gait,digit_tot,male,a,379,"108.6( 3.3),p<.01"," -2.28( 0.69),p<.01","  13.7( 0.4),p<.01","  0.20( 0.08),p=.02"
eas,gait,digit_tot,male,ae,379,"105.0( 5.4),p<.01"," -1.11( 1.19),p=.35","  13.7( 0.4),p<.01","  0.16( 0.11),p=.12"
eas,gait,digit_tot,male,aeh,72,"101.5(10.7),p<.01","  0.19( 3.16),p=.95","  15.6( 2.0),p<.01"," -0.34( 0.45),p=.45"
eas,gait,digit_tot,male,aehplus,72,"105.9(13.2),p<.01"," -1.81( 6.01),p=.76","  14.5( 3.4),p<.01"," -0.18( 0.59),p=.76"
eas,gait,digit_tot,male,full,72,"107.4(18.6),p<.01"," -1.68( 7.17),p=.81","  15.1( 3.7),p<.01"," -0.29( 0.62),p=.64"
eas,gait,fas,female,a,572,"105.2( 2.9),p<.01"," -2.61( 0.61),p<.01","  34.2( 1.1),p<.01","  0.55( 0.21),p=.01"
eas,gait,fas,female,ae,572,"101.0( 4.9),p<.01"," -3.66( 1.09),p<.01","  24.0( 1.5),p<.01","  0.68( 0.32),p=.03"
eas,gait,fas,female,aeh,150,"105.7( 7.9),p<.01"," -3.27( 2.28),p=.15","  29.6( 3.4),p<.01","  0.50( 0.64),p=.43"
eas,gait,fas,female,aehplus,150,"109.6( 8.3),p<.01"," -3.10( 2.44),p=.20","  30.5( 3.5),p<.01","  0.42( 0.71),p=.56"
eas,gait,fas,female,full,150,"117.8( 8.5),p<.01"," -3.40( 2.41),p=.16","  30.6( 3.8),p<.01","  0.52( 0.77),p=.50"
eas,gait,fas,male,a,358,"108.4( 3.2),p<.01"," -2.14( 0.73),p<.01","  31.3( 1.5),p<.01","  0.33( 0.26),p=.20"
eas,gait,fas,male,ae,358,"107.1( 5.2),p<.01"," -1.34( 1.12),p=.23","  31.3( 1.5),p<.01","  0.26( 0.41),p=.53"
eas,gait,fas,male,aeh,72,"102.3(10.3),p<.01"," -0.19( 2.92),p=.95","  29.6( 6.5),p<.01","  1.42( 1.01),p=.16"
eas,gait,fas,male,aehplus,72,"107.0(13.9),p<.01"," -2.31( 4.48),p=.60","  29.1( 7.5),p<.01","  1.34( 1.26),p=.29"
eas,gait,fas,male,full,72,"107.9(17.9),p<.01"," -1.79( 7.08),p=.80","  31.3( 8.0),p<.01","  1.22( 1.31),p=.35"
eas,gait,information,female,a,524,"106.0( 3.0),p<.01"," -2.37( 0.58),p<.01","  19.6( 0.6),p<.01"," -0.46( 0.14),p<.01"
eas,gait,information,female,ae,524,"102.0( 5.1),p<.01"," -3.52( 1.14),p<.01","  15.7( 0.7),p<.01"," -0.60( 0.22),p=.01"
eas,gait,information,female,aeh,130,"105.8( 8.5),p<.01"," -3.41( 2.40),p=.15","  13.0( 1.6),p<.01","  0.05( 0.49),p=.92"
eas,gait,information,female,aehplus,130,"109.8( 8.6),p<.01"," -3.18( 2.65),p=.23","  13.2( 2.1),p<.01","  0.24( 0.58),p=.67"
eas,gait,information,female,full,130,"118.0( 8.6),p<.01"," -3.38( 2.64),p=.20","  13.3( 2.3),p<.01","  0.29( 0.64),p=.65"
