study name,process a,process b,subgroup,model type,n,r intercept,r slope,r residual
eas,gait,symbol,male,aeh,72,"  0.08(0.27),p=.77","  0.84(0.87),p=.33"," -0.06(0.17),p=.74"
eas,gait,symbol,male,aehplus,72,"  0.01(0.29),p=.97","  0.82(1.14),p=.47"," -0.05(0.22),p=.83"
eas,gait,symbol,male,full,72," -0.03(0.34),p=.92","  0.73(1.35),p=.59"," -0.03(0.24),p=.90"
eas,gait,trailsb,female,a,580," -0.24(0.11),p=.03"," -0.34(0.65),p=.60"," -0.01(0.06),p=.88"
eas,gait,trailsb,female,ae,580," -0.21(0.11),p=.06"," -0.31(0.65),p=.64"," -0.01(0.06),p=.87"
eas,gait,trailsb,female,aeh,150," -0.21(0.17),p=.21"," -0.23(1.07),p=.83"," -0.01(0.09),p=.88"
eas,gait,trailsb,female,aehplus,150," -0.08(0.19),p=.68"," -0.37(1.68),p=.82"," -0.01(0.10),p=.94"
eas,gait,trailsb,female,full,150," -0.19(0.21),p=.38"," -0.38(1.84),p=.84"," -0.00(0.11),p=.97"
eas,gait,trailsb,male,a,368," -0.37(0.15),p=.01"," -0.67(0.56),p=.23","  0.13(0.07),p=.05"
eas,gait,trailsb,male,ae,368," -0.36(0.16),p=.03"," -0.52(0.54),p=.33","  0.13(0.07),p=.06"
eas,gait,trailsb,male,aeh,72," -0.02(0.37),p=.96"," -0.71(0.92),p=.44","  0.02(0.11),p=.86"
eas,gait,trailsb,male,aehplus,72," -0.01(0.47),p=.97"," -0.65(1.70),p=.70","  0.03(0.14),p=.84"
eas,gait,trailsb,male,full,72,"  0.03(0.46),p=.95"," -0.44(2.31),p=.85","  0.02(0.17),p=.90"
eas,gait,waisvocab,female,a,594,"  0.31(0.08),p<.01","  0.75(0.43),p=.08"," -0.01(0.06),p=.83"
eas,gait,waisvocab,female,ae,594,"  0.28(0.09),p<.01","  0.74(0.47),p=.12"," -0.01(0.06),p=.83"
eas,gait,waisvocab,female,aeh,150,"  0.32(0.12),p=.01","  0.86(0.66),p=.19","  0.04(0.09),p=.64"
eas,gait,waisvocab,female,aehplus,150,"  0.28(0.13),p=.03","  0.86(0.75),p=.26","  0.05(0.10),p=.65"
eas,gait,waisvocab,female,full,150,"  0.24(0.14),p=.09","  0.87(0.78),p=.26","  0.06(0.10),p=.55"
eas,gait,waisvocab,male,a,377,"  0.12(0.13),p=.36"," -0.20(0.54),p=.70"," -0.05(0.08),p=.53"
eas,gait,waisvocab,male,ae,377,"  0.08(0.14),p=.59"," -0.31(0.58),p=.60"," -0.05(0.08),p=.57"
eas,gait,waisvocab,male,aeh,72," -0.07(0.26),p=.78"," -0.38(2.05),p=.85"," -0.06(0.17),p=.72"
eas,gait,waisvocab,male,aehplus,72," -0.11(0.37),p=.76"," -0.61(3.05),p=.84"," -0.06(0.22),p=.78"
eas,gait,waisvocab,male,full,72," -0.14(0.42),p=.74"," -0.60(3.28),p=.86"," -0.06(0.22),p=.78"
eas,grip,block,female,a,563,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,block,female,ae,563,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,block,female,aeh,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,block,female,aehplus,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,block,female,full,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,block,male,a,350,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,block,male,ae,350,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,block,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,block,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,block,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,bnt,female,a,594,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,bnt,female,ae,594,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,bnt,female,aeh,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,bnt,female,aehplus,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,bnt,female,full,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,bnt,male,a,376,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,bnt,male,ae,376,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,bnt,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,bnt,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,bnt,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,categories,female,a,593,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,categories,female,ae,593,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,categories,female,aeh,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,categories,female,aehplus,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,categories,female,full,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,categories,male,a,376,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,categories,male,ae,376,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,categories,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,categories,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,categories,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,digit_tot,female,a,595,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,digit_tot,female,ae,595,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,digit_tot,female,aeh,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,digit_tot,female,aehplus,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,digit_tot,female,full,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,digit_tot,male,a,379,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,digit_tot,male,ae,379,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,digit_tot,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,digit_tot,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,digit_tot,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,fas,female,a,571,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,fas,female,ae,571,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,fas,female,aeh,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,fas,female,aehplus,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,fas,female,full,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,fas,male,a,358,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,fas,male,ae,358,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,fas,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,fas,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,fas,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,information,female,a,538,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,information,female,ae,538,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,information,female,aeh,145,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,information,female,aehplus,145,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,information,female,full,145,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,information,male,a,353,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,information,male,ae,353,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,information,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,information,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,information,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,logic_tot,female,a,554,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,logic_tot,female,ae,554,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,logic_tot,female,aeh,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,logic_tot,female,aehplus,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,logic_tot,female,full,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,logic_tot,male,a,349,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,logic_tot,male,ae,349,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,logic_tot,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,logic_tot,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,mmms,female,a,600,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,mmms,female,ae,600,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,mmms,female,aeh,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,mmms,female,aehplus,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,mmms,female,full,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,mmms,male,a,383,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,mmms,male,ae,383,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,mmms,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,mmms,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,mmms,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,symbol,female,a,592,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,symbol,female,ae,592,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,symbol,female,aeh,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,symbol,female,aehplus,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,symbol,female,full,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,symbol,male,a,377,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,symbol,male,ae,377,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,symbol,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,symbol,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,symbol,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,trailsb,female,a,580,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,trailsb,female,ae,580,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,trailsb,female,aeh,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,trailsb,female,aehplus,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,trailsb,female,full,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,trailsb,male,a,368,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,trailsb,male,ae,368,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,trailsb,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,trailsb,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,trailsb,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,waisvocab,female,a,594,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,waisvocab,female,ae,594,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,waisvocab,female,aeh,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,waisvocab,female,aehplus,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,waisvocab,female,full,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,waisvocab,male,a,377,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,waisvocab,male,ae,377,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,waisvocab,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,waisvocab,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,grip,waisvocab,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,block,female,ae,563,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,block,female,aeh,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,block,female,aehplus,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,block,female,full,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,block,male,ae,350,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,block,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,block,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,digit_tot,female,a,595,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,digit_tot,female,ae,595,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,digit_tot,female,aeh,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,digit_tot,female,aehplus,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,digit_tot,male,a,379,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,digit_tot,male,ae,379,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,digit_tot,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,digit_tot,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,digit_tot,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,fas,male,a,358,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,female,a,592,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,female,ae,592,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,female,aeh,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,female,aehplus,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,female,full,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,male,a,377,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,male,ae,377,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,symbol,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,female,a,580,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,female,ae,580,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,female,aeh,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,female,aehplus,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,female,full,150,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,male,ae,368,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,male,aeh,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,male,aehplus,72,"--,p=  ----","--,p=  ----","--,p=  ----"
eas,pef,trailsb,male,full,72,"--,p=  ----","--,p=  ----","--,p=  ----"
elsa,fev,word_de,female,aehplus,"3,511","  0.05(0.04),p=.25"," -0.43(1.05),p=.68","  0.01(0.03),p=.56"
elsa,fev,word_de,male,aehplus,"3,091","  0.06(0.04),p=.16"," -0.22(0.39),p=.58","  0.03(0.03),p=.27"
elsa,fev,word_im,female,aehplus,"3,511","  0.07(0.04),p=.09"," -0.16(0.43),p=.71","  0.02(0.02),p=.28"
elsa,fev,word_im,male,aehplus,"3,091","  0.06(0.04),p=.15"," -0.11(0.18),p=.53","  0.05(0.02),p=.06"
elsa,fev100,word_de,female,aehplus,"3,511","  0.05(0.04),p=.24"," -0.43(0.41),p=.29","  0.01(0.02),p=.54"
elsa,fev100,word_de,male,aehplus,"3,091","  0.06(0.04),p=.15"," -0.22(0.33),p=.51","  0.03(0.02),p=.25"
elsa,fev100,word_im,female,aehplus,"3,511","  0.07(0.04),p=.08"," -0.16(0.33),p=.63","  0.02(0.02),p=.24"
elsa,fev100,word_im,male,aehplus,"3,091","  0.06(0.04),p=.15"," -0.11(0.17),p=.52","  0.05(0.02),p=.06"
elsa,gait,fluency,female,aehplus,"3,510","  0.19(0.03),p<.01","  0.22(0.16),p=.18","  0.04(0.02),p=.04"
elsa,gait,fluency,male,aehplus,"3,090","  0.22(0.04),p<.01","  0.12(0.25),p=.63","  0.00(0.02),p=.89"
elsa,gait,word_de,female,aehplus,"3,510","  0.21(0.04),p<.01","  0.24(0.22),p=.27"," -0.02(0.02),p=.35"
elsa,gait,word_de,male,aehplus,"3,090","  0.23(0.04),p<.01"," -0.07(0.21),p=.74","  0.03(0.02),p=.16"
