study name,process a,process b,subgroup,model type,n,r intercept,r slope,r residual
eas,gait,block,female,a,563,"  0.25(0.08),p<.01","  0.30(0.26),p=.26"," -0.02(0.05),p=.72"
eas,gait,block,female,ae,563,"  0.22(0.08),p=.01","  0.46(0.31),p=.14"," -0.02(0.05),p=.73"
eas,gait,block,female,aeh,150,"  0.26(0.14),p=.06","  0.03(0.63),p=.96"," -0.06(0.08),p=.41"
eas,gait,block,female,aehplus,150,"  0.17(0.16),p=.28","  0.02(0.67),p=.98"," -0.07(0.08),p=.36"
eas,gait,block,female,full,150,"  0.14(0.17),p=.40","  0.01(0.69),p=.99"," -0.07(0.08),p=.38"
eas,gait,block,male,a,350,"  0.40(0.11),p<.01","  0.39(0.70),p=.58"," -0.05(0.07),p=.50"
eas,gait,block,male,ae,350,"  0.40(0.12),p<.01","  0.40(0.78),p=.61"," -0.05(0.07),p=.50"
eas,gait,block,male,aeh,72,"  0.28(0.30),p=.34","  0.22(3.38),p=.95","  0.01(0.13),p=.91"
eas,gait,block,male,aehplus,72,"  0.29(0.37),p=.43","  0.15(7.19),p=.98","  0.01(0.15),p=.95"
eas,gait,block,male,full,72,"  0.25(0.43),p=.56","  0.17(4.41),p=.97","  0.00(0.16),p=.98"
eas,gait,bnt,female,a,594,"  0.17(0.10),p=.10","  0.54(0.58),p=.35","  0.02(0.07),p=.76"
eas,gait,bnt,female,ae,594,"  0.13(0.11),p=.23","  0.56(0.56),p=.32","  0.02(0.07),p=.77"
eas,gait,bnt,female,aeh,150,"  0.25(0.17),p=.15","  0.69(0.49),p=.16"," -0.01(0.11),p=.93"
eas,gait,bnt,female,aehplus,150,"  0.09(0.18),p=.63","  0.67(0.49),p=.18"," -0.00(0.12),p=.97"
eas,gait,bnt,female,full,150,"  0.05(0.19),p=.79","  0.67(0.52),p=.20","  0.00(0.12),p=.99"
eas,gait,bnt,male,a,376,"  0.20(0.12),p=.11","  0.36(1.70),p=.83","  0.03(0.06),p=.60"
eas,gait,bnt,male,ae,376,"  0.20(0.13),p=.13","  0.38(1.79),p=.83","  0.03(0.06),p=.61"
eas,gait,bnt,male,aeh,72,"  0.21(0.28),p=.43","  0.33(2.26),p=.88"," -0.04(0.14),p=.80"
eas,gait,bnt,male,aehplus,72,"  0.17(0.38),p=.64","  0.27(2.80),p=.92"," -0.02(0.20),p=.91"
eas,gait,bnt,male,full,72,"  0.19(0.40),p=.63","  0.37(3.62),p=.92"," -0.03(0.21),p=.89"
eas,gait,categories,female,a,593,"  0.20(0.09),p=.02","  0.38(0.19),p=.04","  0.01(0.05),p=.86"
eas,gait,categories,female,ae,593,"  0.17(0.09),p=.06","  0.38(0.20),p=.05","  0.01(0.06),p=.91"
eas,gait,categories,female,aeh,150,"  0.11(0.13),p=.41","  0.36(0.38),p=.35","  0.06(0.11),p=.57"
eas,gait,categories,female,aehplus,150,"  0.01(0.13),p=.93","  0.38(0.44),p=.39","  0.05(0.11),p=.66"
eas,gait,categories,female,full,150,"  0.00(0.14),p=.99","  0.42(0.46),p=.36","  0.04(0.12),p=.71"
eas,gait,categories,male,a,376,"  0.27(0.14),p=.04","  0.45(0.58),p=.44"," -0.02(0.07),p=.72"
eas,gait,categories,male,ae,376,"  0.25(0.15),p=.09","  0.34(0.68),p=.62"," -0.02(0.07),p=.75"
eas,gait,categories,male,aeh,72,"  0.22(0.32),p=.50","  0.60(0.88),p=.50"," -0.03(0.14),p=.85"
eas,gait,categories,male,aehplus,72,"  0.24(0.38),p=.52","  0.92(1.14),p=.42"," -0.02(0.17),p=.90"
eas,gait,categories,male,full,72,"  0.20(0.41),p=.63","  0.72(1.16),p=.54"," -0.02(0.21),p=.91"
eas,gait,digit_tot,female,a,595,"  0.31(0.09),p<.01","  0.47(0.27),p=.08","  0.05(0.05),p=.37"
eas,gait,digit_tot,female,ae,595,"  0.29(0.09),p<.01","  0.55(0.29),p=.06","  0.04(0.05),p=.39"
eas,gait,digit_tot,female,aeh,150,"  0.28(0.13),p=.04","  0.65(0.35),p=.06","  0.07(0.08),p=.39"
eas,gait,digit_tot,female,aehplus,150,"  0.18(0.16),p=.29","  0.65(0.40),p=.10","  0.07(0.08),p=.40"
eas,gait,digit_tot,female,full,150,"  0.24(0.18),p=.18","  0.67(0.39),p=.09","  0.07(0.09),p=.44"
eas,gait,digit_tot,male,a,379,"  0.30(0.12),p=.02","  0.18(0.64),p=.78"," -0.01(0.08),p=.86"
eas,gait,digit_tot,male,ae,379,"  0.28(0.13),p=.03","  0.08(0.70),p=.91"," -0.01(0.08),p=.84"
eas,gait,digit_tot,male,aeh,72,"  0.11(0.32),p=.74","  0.79(1.12),p=.48","  0.00(0.15),p=.98"
eas,gait,digit_tot,male,aehplus,72,"  0.06(0.37),p=.87","  0.71(1.50),p=.63"," -0.01(0.18),p=.96"
eas,gait,digit_tot,male,full,72,"  0.02(0.40),p=.97","  0.68(1.64),p=.68"," -0.01(0.21),p=.98"
eas,gait,fas,female,a,572,"  0.34(0.08),p<.01","  0.79(0.32),p=.01"," -0.00(0.06),p=.98"
eas,gait,fas,female,ae,572,"  0.33(0.08),p<.01","  0.89(0.34),p=.01"," -0.00(0.06),p=.96"
eas,gait,fas,female,aeh,150,"  0.37(0.12),p<.01","  0.74(0.76),p=.33"," -0.07(0.07),p=.34"
eas,gait,fas,female,aehplus,150,"  0.26(0.14),p=.06","  0.49(0.61),p=.42"," -0.07(0.08),p=.40"
eas,gait,fas,female,full,150,"  0.27(0.15),p=.07","  0.53(0.66),p=.42"," -0.07(0.08),p=.40"
eas,gait,fas,male,a,358,"  0.30(0.11),p=.01","  0.78(0.76),p=.30","  0.04(0.07),p=.61"
eas,gait,fas,male,ae,358,"  0.29(0.11),p=.01","  0.74(0.80),p=.36","  0.03(0.07),p=.65"
eas,gait,fas,male,aeh,72," -0.04(0.23),p=.87","  0.34(1.91),p=.86"," -0.01(0.17),p=.97"
eas,gait,fas,male,aehplus,72," -0.05(0.29),p=.86","  0.68(2.69),p=.80"," -0.02(0.22),p=.93"
eas,gait,fas,male,full,72," -0.10(0.33),p=.76","  0.66(3.39),p=.84"," -0.00(0.26),p=.99"
eas,gait,information,female,a,524,"  0.08(0.09),p=.38"," -0.26(0.35),p=.46"," -0.01(0.05),p=.81"
eas,gait,information,female,ae,524,"  0.06(0.10),p=.59"," -0.29(0.38),p=.45"," -0.01(0.05),p=.81"
eas,gait,information,female,aeh,130,"  0.22(0.18),p=.23"," -0.54(1.01),p=.59"," -0.02(0.09),p=.87"
eas,gait,information,female,aehplus,130,"  0.12(0.22),p=.58"," -0.54(1.41),p=.70"," -0.02(0.11),p=.87"
eas,gait,information,female,full,130,"  0.13(0.22),p=.57"," -0.53(1.53),p=.73"," -0.01(0.12),p=.92"
eas,gait,information,male,a,352,"  0.16(0.16),p=.34","  0.70(0.75),p=.35"," -0.13(0.06),p=.04"
eas,gait,information,male,ae,352,"  0.12(0.18),p=.52","  0.86(0.92),p=.35"," -0.13(0.07),p=.05"
eas,gait,information,male,aeh,70,"  0.45(0.36),p=.20"," -0.16(4.64),p=.97","  0.02(0.12),p=.88"
eas,gait,information,male,aehplus,70,"  0.44(0.44),p=.32"," -0.21(8.37),p=.98","  0.02(0.19),p=.90"
eas,gait,information,male,full,70,"  0.47(0.50),p=.35"," -0.22(10.86),p=.98","  0.03(0.24),p=.91"
eas,gait,logic_tot,female,a,554,"  0.14(0.09),p=.14","  0.20(0.34),p=.55","  0.05(0.06),p=.34"
eas,gait,logic_tot,female,ae,554,"  0.09(0.10),p=.35","  0.20(0.35),p=.58","  0.05(0.06),p=.35"
eas,gait,logic_tot,female,aeh,150,"  0.11(0.14),p=.43","  0.28(0.68),p=.68","  0.03(0.08),p=.75"
eas,gait,logic_tot,female,aehplus,150,"  0.08(0.15),p=.60","  0.31(0.76),p=.68","  0.02(0.10),p=.83"
eas,gait,logic_tot,female,full,150,"  0.09(0.16),p=.58","  0.40(0.92),p=.66","  0.02(0.09),p=.87"
eas,gait,logic_tot,male,a,350,"  0.25(0.14),p=.07","  0.00(0.58),p=.99"," -0.02(0.07),p=.75"
eas,gait,logic_tot,male,ae,350,"  0.21(0.15),p=.17"," -0.25(0.74),p=.74"," -0.02(0.08),p=.82"
eas,gait,logic_tot,male,aeh,72,"  0.19(0.30),p=.53","  0.20(1.26),p=.87"," -0.02(0.13),p=.90"
eas,gait,logic_tot,male,aehplus,72,"  0.17(0.36),p=.62","  0.62(2.40),p=.80"," -0.02(0.19),p=.90"
eas,gait,logic_tot,male,full,72,"  0.17(0.40),p=.67","  0.60(3.36),p=.86"," -0.03(0.24),p=.91"
eas,gait,mmms,female,a,383,"  0.42(0.19),p=.03"," -0.03(1.34),p=.98","  0.01(0.08),p=.91"
eas,gait,mmms,female,ae,383,"  0.42(0.20),p=.04"," -0.02(1.42),p=.99","  0.01(0.08),p=.92"
eas,gait,mmms,female,aeh,72,"  0.29(0.51),p=.57","  0.11(1.67),p=.95","  0.03(0.15),p=.84"
eas,gait,mmms,female,aehplus,72,"  0.26(0.63),p=.67","  0.14(3.05),p=.96","  0.03(0.16),p=.85"
eas,gait,mmms,female,full,72,"  0.22(0.78),p=.77","  0.39(4.77),p=.93","  0.03(0.20),p=.86"
eas,gait,mmms,male,a,383,"  0.42(0.19),p=.03"," -0.03(1.34),p=.98","  0.01(0.08),p=.91"
eas,gait,mmms,male,ae,383,"  0.42(0.20),p=.04"," -0.02(1.42),p=.99","  0.01(0.08),p=.92"
eas,gait,mmms,male,aeh,72,"  0.29(0.51),p=.57","  0.11(1.67),p=.95","  0.03(0.15),p=.84"
eas,gait,mmms,male,aehplus,72,"  0.26(0.63),p=.67","  0.14(3.05),p=.96","  0.03(0.16),p=.85"
eas,gait,mmms,male,full,72,"  0.22(0.78),p=.77","  0.39(4.77),p=.93","  0.03(0.20),p=.86"
eas,gait,symbol,female,a,592,"  0.32(0.08),p<.01","  0.53(0.20),p=.01","  0.01(0.05),p=.86"
eas,gait,symbol,female,ae,592,"  0.29(0.08),p<.01","  0.61(0.21),p<.01","  0.01(0.05),p=.82"
eas,gait,symbol,female,aeh,150,"  0.28(0.12),p=.03","  0.79(0.57),p=.17"," -0.08(0.09),p=.37"
eas,gait,symbol,female,aehplus,150,"  0.18(0.15),p=.24","  0.79(0.61),p=.19"," -0.08(0.10),p=.44"
eas,gait,symbol,female,full,150,"  0.19(0.17),p=.28","  0.78(0.61),p=.20"," -0.07(0.10),p=.49"
eas,gait,symbol,male,a,377,"  0.47(0.10),p<.01","  0.32(0.49),p=.51","  0.04(0.06),p=.48"
eas,gait,symbol,male,ae,377,"  0.49(0.11),p<.01","  0.23(0.57),p=.69","  0.04(0.06),p=.48"
