"model_number","version","active","valid","best_in_gender","study_name","date","time","converged","subgroup","model_type","physical_outcome","var_int_physical","se_int_physical","var_slope_physical","se_slope_physical","var_residual_physical","se_residual_physical","cognitive_outcome","var_int_cog","se_int_cog","var_slope_cog","se_slope_cog","var_residual_cog","se_residual_cog","cov_int","cov_slope","cov_residual","p_cov_int","p_cov_slope","p_cov_res","subject_count","wave_count","datapoint_count","parameter_count","deviance","software","output_file","model_description","results_descriptions","notes","data_file","physical_specific","cognitive_specific","LL","aic","bic","adj_bic","aaic","se_cov_int","se_cov_slope","se_cov_residual"
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:41 PM",TRUE,"male","full","muscle",41.289,2.121,0.085,0.035,18.86,0.996,"mental",2.831,0.552,0.014,0.011,3.632,0.161,-0.139,0.002,0.802,0.848,0.816,0.014,1454,10,NA,53,NA,"Mplus VERSION 7.11","b1_male_full_muscle_mental_gait_clock.out","??",NA,NA," ""\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","clock",-28526.099,57158.197,57438.147,57269.783,57162.2855714286,0.722,0.01,0.327
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:41 PM",TRUE,"male","full","muscle",41.317,2.12,0.097,0.036,18.86,0.999,"mental",23.284,3.377,0.773,0.212,24.4,1.463,2.019,0.161,0.44,0.131,0,0.543,1454,11,NA,53,NA,"Mplus VERSION 7.11","b1_male_full_muscle_mental_hand_3ms.out","??",NA,NA," ""\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","hand","3ms",-39741.914,79589.827,79869.777,79701.413,79593.9155714286,1.337,0.042,0.723
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:41 PM",TRUE,"male","full","muscle",41.297,2.117,0.085,0.034,18.866,1.002,"speed",82.963,5.916,0.444,0.082,33.16,2.477,1.322,0.078,0.996,0.559,0.004,0.173,1453,11,NA,53,NA,"Mplus VERSION 7.11","b1_male_full_muscle_speed_hand_digitsymbol.out","??",NA,NA," ""\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","hand","digitsymbol",-36209.389,72524.779,72804.692,72636.328,72528.8704939242,2.263,0.027,0.731
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:41 PM",TRUE,"male","full","walking",0.026,0.002,0,0,0.017,0.001,"mental",23.235,3.35,0.79,0.218,24.334,1.45,0.061,0.006,-0.011,0.094,0,0.497,1454,11,NA,53,NA,"Mplus VERSION 7.11","b1_male_full_walking_mental_gait_3ms.out","??",NA,NA," ""\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","3ms",-16357.798,32821.595,33101.545,32933.181,32825.6835714286,0.037,0.002,0.016
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:42 PM",TRUE,"male","full","walking",0.026,0.002,0,0,0.017,0.001,"mental",2.805,0.55,0.013,0.011,3.637,0.161,-0.003,0,0.003,0.847,0.22,0.696,1436,10,NA,53,NA,"Mplus VERSION 7.11","b1_male_full_walking_mental_gait_clock.out","??",NA,NA," ""\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","clock",-5352.527,10811.055,11090.344,10921.981,10815.1968234443,0.017,0,0.007
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:42 PM",TRUE,"male","full","walking",0.03,0.002,0,0,0.015,0.001,"speed",82.692,5.86,0.443,0.081,33.121,2.474,0.297,0.005,0.015,0,0,0.328,1450,11,NA,53,NA,"Mplus VERSION 7.11","b1_male_full_walking_speed_gait_digitsymbol.out","??",NA,NA," ""\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","digitsymbol",-12571.662,25249.324,25529.128,25360.764,25253.424286533,0.061,0.001,0.016
"u0","0.1",NA,NA,NA,"habc","02/24/2015"," 9:25 AM",TRUE,"female","empty","muscle",24.506,1.115,NA,NA,12.182,0.91,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1580,10,NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_female_empty_muscle_noCog_hand_noCogSpec.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","noCogSpec",-20472.8,40951.6,40967.696,40958.165,40951.6152284264,NA,NA,NA
"u0","0.1",NA,NA,NA,"habc","02/24/2015"," 9:31 AM",TRUE,"female","empty","noPhys",NA,NA,NA,NA,NA,NA,"mental",67.631,4.257,NA,NA,37.055,2.011,NA,NA,NA,NA,NA,NA,1584,11,NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_female_empty_noPhys_mental_noPhysSpec_3ms.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","3ms",-23499.704,47005.408,47021.511,47011.981,47005.4231898734,NA,NA,NA
"u0","0.1",NA,NA,NA,"habc","02/24/2015"," 9:29 AM",TRUE,"female","empty","noPhys",NA,NA,NA,NA,NA,NA,"mental",2.758,0.199,NA,NA,2.505,0.109,NA,NA,NA,NA,NA,NA,1407,10,NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_female_empty_noPhys_mental_noPhysSpec_clock.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","clock",-9150.481,18306.963,18322.711,18313.181,18306.980106201,NA,NA,NA
"u0","0.1",NA,NA,NA,"habc","02/24/2015"," 9:24 AM",TRUE,"female","empty","noPhys",NA,NA,NA,NA,NA,NA,"speed",160.269,6.414,NA,NA,53.295,2.4,NA,NA,NA,NA,NA,NA,1576,11,NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_female_empty_noPhys_speed_noPhysSpec_digitsymbol.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","digitsymbol",-19816.333,39638.667,39654.755,39645.224,39638.6822671756,NA,NA,NA
"u0","0.1",NA,NA,NA,"habc","02/24/2015"," 9:26 AM",TRUE,"female","empty","walking",0.032,0.001,NA,NA,0.024,0.001,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1559,10,NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_female_empty_walking_noCog_gait_noCogSpec.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","noCogSpec",2484.715,-4963.43,-4947.375,-4956.905,-4963.4145659164,NA,NA,NA
"u0","0.1",NA,NA,NA,"habc","02/24/2015"," 9:25 AM",TRUE,"male","empty","muscle",50.696,2.285,NA,NA,25.076,1.077,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489,10,NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_male_empty_muscle_noCog_hand_noCogSpec.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","noCogSpec",-21268.258,42542.516,42558.433,42548.903,42542.5321616162,NA,NA,NA
"u0","0.1",NA,NA,NA,"habc","02/24/2015"," 9:32 AM",TRUE,"male","empty","noPhys",NA,NA,NA,NA,NA,NA,"mental",73.126,5.168,NA,NA,35.472,2.263,NA,NA,NA,NA,NA,NA,1486,11,NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_male_empty_noPhys_mental_noPhysSpec_3ms.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","3ms",-21031.049,42068.099,42084.01,42074.48,42068.115194332,NA,NA,NA
"u0","0.1",NA,NA,NA,"habc","02/24/2015"," 9:29 AM",TRUE,"male","empty","noPhys",NA,NA,NA,NA,NA,NA,"mental",2.841,0.19,NA,NA,3.874,0.148,NA,NA,NA,NA,NA,NA,1284,10,NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_male_empty_noPhys_mental_noPhysSpec_clock.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","clock",-8815.431,17636.863,17652.336,17642.807,17636.88175,NA,NA,NA
"u0","0.1",NA,NA,NA,"habc","02/24/2015"," 9:24 AM",TRUE,"male","empty","noPhys",NA,NA,NA,NA,NA,NA,"speed",160.663,6.159,NA,NA,48.886,2.387,NA,NA,NA,NA,NA,NA,1473,11,NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_male_empty_noPhys_speed_noPhysSpec_digitsymbol.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","digitsymbol",-17387.131,34780.262,34796.148,34786.617,34780.2783376447,NA,NA,NA
"u0","0.1",NA,NA,NA,"habc","02/24/2015"," 9:26 AM",TRUE,"male","empty","walking",0.03,0.001,NA,NA,0.029,0.001,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470,10,NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_male_empty_walking_noCog_gait_noCogSpec.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","noCogSpec",1577.066,-3148.131,-3132.252,-3141.782,-3148.11462892224,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015","11:36 AM",TRUE,"female","aeh","muscle",23.027,1.531,0.101,0.029,9.815,0.754,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1574,10,NA,12,NA,"Mplus VERSION 7.2 (Mac)","u1_female_aeh_muscle_noCog_hand_noCogSpec.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","noCogSpec",-19899.347,39822.693,39887.03,39848.908,39822.892871877,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015","11:39 AM",TRUE,"female","aeh","noPhys",NA,NA,NA,NA,NA,NA,"mental",24.884,2.946,1.112,0.231,23.492,1.505,NA,NA,NA,NA,NA,NA,1578,11,NA,12,NA,"Mplus VERSION 7.2 (Mac)","u1_female_aeh_noPhys_mental_noPhysSpec_3ms.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","3ms",-22564.228,45152.456,45216.823,45178.701,45152.6553610224,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015","11:39 AM",TRUE,"female","aeh","noPhys",NA,NA,NA,NA,NA,NA,"mental",2.319,0.4,0.017,0.008,2.259,0.108,NA,NA,NA,NA,NA,NA,1402,10,NA,12,NA,"Mplus VERSION 7.2 (Mac)","u1_female_aeh_noPhys_mental_noPhysSpec_clock.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","clock",-8917.269,17858.538,17921.486,17883.366,17858.7626220302,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015","11:37 AM",TRUE,"female","aeh","noPhys",NA,NA,NA,NA,NA,NA,"speed",120.566,6.279,0.691,0.091,34.161,1.935,NA,NA,NA,NA,NA,NA,1570,11,NA,12,NA,"Mplus VERSION 7.2 (Mac)","u1_female_aeh_noPhys_speed_noPhysSpec_digitsymbol.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","digitsymbol",-19080.813,38185.627,38249.933,38211.811,38185.8273853565,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015","10:51 AM",TRUE,"female","aeh","walking",0.031,0.002,0,0,0.014,0,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1553,10,NA,12,NA,"Mplus VERSION 7.2 (Mac)","u1_female_aeh_walking_noCog_gait_noCogSpec.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","noCogSpec",4247.572,-8471.144,-8406.968,-8445.09,-8470.9414025974,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/27/2015","11:52 AM",TRUE,"female","aehplus","muscle",22.828,1.563,0.101,0.03,9.864,0.769,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1534,10,NA,18,NA,"Mplus VERSION 7.11","u1_female_aehplus_muscle_noCog_hand_noCogSpec.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","hand","noCogSpec",-19422.077,38880.154,38976.196,38919.014,38880.6054851485,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/27/2015","11:45 AM",TRUE,"female","aehplus","noPhys",NA,NA,NA,NA,NA,NA,"mental",23.73,2.868,1.152,0.24,23.288,1.519,NA,NA,NA,NA,NA,NA,1538,11,NA,18,NA,"Mplus VERSION 7.11","u1_female_aehplus_noPhys_mental_noPhysSpec_3ms.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","noPhysSpec","3ms",-21982.053,44000.105,44096.194,44039.012,44000.5552962475,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/27/2015","11:49 AM",TRUE,"female","aehplus","noPhys",NA,NA,NA,NA,NA,NA,"mental",2.27,0.406,0.015,0.008,2.279,0.11,NA,NA,NA,NA,NA,NA,1369,10,NA,18,NA,"Mplus VERSION 7.11","u1_female_aehplus_noPhys_mental_noPhysSpec_clock.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","noPhysSpec","clock",-8700.497,17436.994,17530.987,17473.808,17437.5006666667,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/27/2015","11:51 AM",TRUE,"female","aehplus","noPhys",NA,NA,NA,NA,NA,NA,"speed",118.104,6.279,0.666,0.09,34.433,1.974,NA,NA,NA,NA,NA,NA,1531,11,NA,18,NA,"Mplus VERSION 7.11","u1_female_aehplus_noPhys_speed_noPhysSpec_digitsymbol.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","noPhysSpec","digitsymbol",-18604.855,37245.71,37341.716,37284.534,37246.1623809524,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/27/2015","11:52 AM",TRUE,"female","aehplus","walking",0.03,0.002,0,0,0.014,0,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1513,10,NA,18,NA,"Mplus VERSION 7.11","u1_female_aehplus_walking_noCog_gait_noCogSpec.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","noCogSpec",4171.464,-8306.927,-8211.134,-8268.315,-8306.4691686747,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015"," 9:25 AM",TRUE,"female","age","muscle",28.346,1.674,0.103,0.03,9.839,0.753,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1580,10,NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_female_age_muscle_noCog_hand_noCogSpec.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","noCogSpec",-20107.382,40230.765,40273.686,40248.272,40230.8566613622,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015"," 9:33 AM",TRUE,"female","age","noPhys",NA,NA,NA,NA,NA,NA,"mental",43.034,4.596,1.133,0.224,23.503,1.494,NA,NA,NA,NA,NA,NA,1584,11,NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_female_age_noPhys_mental_noPhysSpec_3ms.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","3ms",-22925.568,45867.137,45910.078,45884.664,45867.2284285714,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015"," 9:30 AM",TRUE,"female","age","noPhys",NA,NA,NA,NA,NA,NA,"mental",2.851,0.424,0.017,0.008,2.25,0.108,NA,NA,NA,NA,NA,NA,1407,10,NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_female_age_noPhys_mental_noPhysSpec_clock.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","clock",-9073.166,18162.333,18204.326,18178.913,18162.4360042918,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015"," 9:23 AM",TRUE,"female","age","noPhys",NA,NA,NA,NA,NA,NA,"speed",177.204,7.984,0.693,0.091,34.183,1.934,NA,NA,NA,NA,NA,NA,1576,11,NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_female_age_noPhys_speed_noPhysSpec_digitsymbol.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","digitsymbol",-19406.607,38829.214,38872.116,38846.701,38829.3058953414,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015"," 9:27 AM",TRUE,"female","age","walking",0.035,0.002,0,0,0.014,0,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1559,10,NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_female_age_walking_noCog_gait_noCogSpec.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","noCogSpec",4177.755,-8339.509,-8296.695,-8322.109,-8339.41609677419,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015","11:37 AM",TRUE,"male","aeh","muscle",46.19,2.221,0.118,0.036,18.74,0.98,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1487,10,NA,12,NA,"Mplus VERSION 7.2 (Mac)","u1_male_aeh_muscle_noCog_hand_noCogSpec.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","noCogSpec",-20522.932,41069.865,41133.519,41095.399,41070.0766689281,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015","11:39 AM",TRUE,"male","aeh","noPhys",NA,NA,NA,NA,NA,NA,"mental",28.453,3.591,0.87,0.216,24.249,1.419,NA,NA,NA,NA,NA,NA,1484,11,NA,12,NA,"Mplus VERSION 7.2 (Mac)","u1_male_aeh_noPhys_mental_noPhysSpec_3ms.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","3ms",-20261.691,40547.381,40611.011,40572.891,40547.5931006118,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015","11:39 AM",TRUE,"male","aeh","noPhys",NA,NA,NA,NA,NA,NA,"mental",2.938,0.55,0.017,0.011,3.629,0.16,NA,NA,NA,NA,NA,NA,1282,10,NA,12,NA,"Mplus VERSION 7.2 (Mac)","u1_male_aeh_noPhys_mental_noPhysSpec_clock.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","clock",-8692.712,17409.424,17471.298,17433.18,17409.6698628842,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015","11:38 AM",TRUE,"male","aeh","noPhys",NA,NA,NA,NA,NA,NA,"speed",105.713,6.395,0.432,0.082,33.513,2.473,NA,NA,NA,NA,NA,NA,1471,11,NA,12,NA,"Mplus VERSION 7.2 (Mac)","u1_male_aeh_noPhys_speed_noPhysSpec_digitsymbol.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","digitsymbol",-16695.571,33415.142,33478.666,33440.546,33415.3559917695,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015","11:03 AM",TRUE,"male","aeh","walking",0.03,0.002,0,0,0.017,0.001,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1468,10,NA,12,NA,"Mplus VERSION 7.2 (Mac)","u1_male_aeh_walking_noCog_gait_noCogSpec.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","noCogSpec",3287.99,-6551.981,-6488.481,-6526.601,-6551.76656701031,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/27/2015","11:52 AM",TRUE,"male","aehplus","muscle",45.675,2.217,0.118,0.036,18.805,0.993,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1462,10,NA,18,NA,"Mplus VERSION 7.11","u1_male_aehplus_muscle_noCog_hand_noCogSpec.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","hand","noCogSpec",-20217.511,40471.022,40566.198,40509.018,40471.496012474,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/27/2015","11:47 AM",TRUE,"male","aehplus","noPhys",NA,NA,NA,NA,NA,NA,"mental",28.127,3.593,0.841,0.216,24.343,1.44,NA,NA,NA,NA,NA,NA,1459,11,NA,18,NA,"Mplus VERSION 7.11","u1_male_aehplus_noPhys_mental_noPhysSpec_3ms.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","noPhysSpec","3ms",-19954.415,39944.83,40039.969,39982.789,39945.305,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/27/2015","11:50 AM",TRUE,"male","aehplus","noPhys",NA,NA,NA,NA,NA,NA,"mental",2.906,0.552,0.016,0.011,3.64,0.161,NA,NA,NA,NA,NA,NA,1263,10,NA,18,NA,"Mplus VERSION 7.11","u1_male_aehplus_noPhys_mental_noPhysSpec_clock.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","noPhysSpec","clock",-8569.501,17175.001,17267.544,17210.367,17175.5508392283,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/27/2015","11:51 AM",TRUE,"male","aehplus","noPhys",NA,NA,NA,NA,NA,NA,"speed",105.116,6.416,0.441,0.083,33.111,2.477,NA,NA,NA,NA,NA,NA,1446,11,NA,18,NA,"Mplus VERSION 7.11","u1_male_aehplus_noPhys_speed_noPhysSpec_digitsymbol.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","noPhysSpec","digitsymbol",-16429.581,32895.162,32990.14,32932.96,32895.64132726,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/27/2015","11:53 AM",TRUE,"male","aehplus","walking",0.029,0.002,0,0,0.017,0.001,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1443,10,NA,18,NA,"Mplus VERSION 7.11","u1_male_aehplus_walking_noCog_gait_noCogSpec.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","noCogSpec",3292.46,-6548.92,-6453.98,-6511.16,-6548.43966292135,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015"," 9:25 AM",TRUE,"male","age","muscle",53.856,2.495,0.122,0.035,18.737,0.979,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489,10,NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_male_age_muscle_noCog_hand_noCogSpec.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","noCogSpec",-20645.867,41307.734,41350.181,41324.767,41307.8312972973,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015"," 9:33 AM",TRUE,"male","age","noPhys",NA,NA,NA,NA,NA,NA,"mental",51.995,5.122,0.899,0.212,24.239,1.43,NA,NA,NA,NA,NA,NA,1486,11,NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_male_age_noPhys_mental_noPhysSpec_3ms.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","3ms",-20623.172,41262.344,41304.775,41279.361,41262.4414949221,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015"," 9:30 AM",TRUE,"male","age","noPhys",NA,NA,NA,NA,NA,NA,"mental",3.375,0.585,0.02,0.012,3.615,0.16,NA,NA,NA,NA,NA,NA,1284,10,NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_male_age_noPhys_mental_noPhysSpec_clock.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","clock",-8780.832,17577.665,17618.926,17593.514,17577.7779411765,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015"," 9:23 AM",TRUE,"male","age","noPhys",NA,NA,NA,NA,NA,NA,"speed",180.827,8.372,0.446,0.084,33.47,2.471,NA,NA,NA,NA,NA,NA,1473,11,NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_male_age_noPhys_speed_noPhysSpec_digitsymbol.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","noPhysSpec","digitsymbol",-17060.073,34136.147,34178.507,34153.094,34136.2453606557,NA,NA,NA
"u1","0.1",NA,NA,NA,"habc","02/24/2015"," 9:27 AM",TRUE,"male","age","walking",0.035,0.002,0,0,0.017,0.001,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470,10,NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_male_age_walking_noCog_gait_noCogSpec.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","noCogSpec",3198.923,-6381.846,-6339.502,-6364.915,-6381.74743737166,NA,NA,NA
