"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pp_TAU_00","pp_TAU_00_se","pp_TAU_00_pval","pp_TAU_11","pp_TAU_11_se","pp_TAU_11_pval","cc_TAU_00","cc_TAU_00_se","cc_TAU_00_pval","cc_TAU_11","cc_TAU_11_se","cc_TAU_11_pval","p_SIGMA","p_SIGMA_se","p_SIGMA_pval","c_SIGMA","c_SIGMA_se","c_SIGMA_pval","pp_TAU_01","pp_TAU_01_se","pp_TAU_01_pval","pc_TAU_01","pc_TAU_01_se","pc_TAU_01_pval","pc_TAU_00","pc_TAU_00_se","pc_TAU_00_pval","pc_TAU_11","pc_TAU_11_se","pc_TAU_11_pval","pc_TAU_10","pc_TAU_10_se","pc_TAU_10_pval","cc_TAU_10","cc_TAU_10_se","cc_TAU_10_pval","pc_SIGMA","pc_SIGMA_se","pc_SIGMA_pval","p_GAMMA_00","p_GAMMA_00_se","p_GAMMA_00_pval","p_GAMMA_10","p_GAMMA_10_se","p_GAMMA_10_pval","c_GAMMA_00","c_GAMMA_00_se","c_GAMMA_00_pval","c_GAMMA_10","c_GAMMA_10_se","c_GAMMA_10_pval"
"Mplus VERSION 7.11","0.1","03/03/2015"," 2:26 PM","ilse","b1","male","aeh","muscle","reasoning","grip","waisblockdesign",TRUE,253,3,NA,37,-4451.191,8976.381,9107.117,8989.82,8989.46006976744,"b1_male_aeh_muscle_reasoning_grip_waisblockdesign.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",370.396,54.136,0,1.848,1.041,0.076,42.893,6.196,0,0.032,0.045,0.476,176.54,19.049,0,18.551,1.741,0,176.54,19.049,0,NA,NA,NA,12.677,14.073,0.368,0.088,0.169,0.601,NA,NA,NA,"18.551","1.741",0,-4.988,4.596,0.278,85.307,14.186,0,-2.106,1.831,0.25,20.276,4.027,0,-0.868,0.406,0.032
"Mplus VERSION 7.11","0.1","03/03/2015"," 1:58 PM","ilse","b1","male","aeh","muscle","reasoning","grip","waispicturecompletion",TRUE,253,3,NA,37,-3934.095,7942.19,8072.925,7955.628,7955.26906976744,"b1_male_aeh_muscle_reasoning_grip_waispicturecompletion.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",370.226,53.202,0,1.837,1.041,0.077,7.611,1.029,0,0.023,0.011,0.03,175.349,19.298,0,3.864,0.397,0,175.349,19.298,0,NA,NA,NA,12.167,6.707,0.07,0.066,0.094,0.48,NA,NA,NA,"3.864","0.397",0,3.968,2.511,0.114,85.598,14.882,0,-2.178,1.74,0.211,11.018,1.829,0,-0.007,0.244,0.978
"Mplus VERSION 7.11","0.1","03/03/2015"," 1:51 PM","ilse","b1","male","aeh","muscle","speed","grip","digitsymbolsubstitutiontest",TRUE,253,3,NA,37,-4526.548,9127.097,9257.832,9140.536,9140.17606976744,"b1_male_aeh_muscle_speed_grip_digitsymbolsubstitutiontest.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",373.041,52.112,0,1.956,1.023,0.056,93.014,10.712,0,0.165,0.06,0.006,174.354,18.136,0,15.422,1.356,0,174.354,18.136,0,NA,NA,NA,-10.584,18.069,0.558,-0.013,0.18,0.94,NA,NA,NA,"15.422","1.356",0,3.108,4.072,0.445,85.701,14.19,0,-2.337,1.803,0.195,37.718,5.72,0,-0.361,0.482,0.454
"Mplus VERSION 7.11","0.1","03/03/2015"," 3:05 PM","ilse","b1","male","aehplus","muscle","fluency","grip","verbalfluencytest",TRUE,252,3,NA,53,-4465.781,9037.561,9224.621,9056.603,9066.47009090909,"b1_male_aehplus_muscle_fluency_grip_verbalfluencytest.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",361.061,53.657,0,1.731,1.036,0.095,46.421,8.465,0,0.02,0.078,0.802,174.564,18.435,0,22.838,2.468,0,174.564,18.435,0,NA,NA,NA,10.273,14.101,0.466,0.043,0.158,0.787,NA,NA,NA,"22.838","2.468",0,13.502,5.153,0.009,92.25,15.674,0,-3.007,1.872,0.108,22.373,5.035,0,-0.359,0.556,0.519
"Mplus VERSION 7.11","0.1","03/03/2015"," 3:14 PM","ilse","b1","male","aehplus","muscle","knowledge","grip","waisgeneralknowledge",TRUE,252,3,NA,53,-3891.867,7889.733,8076.793,7908.775,7918.64209090909,"b1_male_aehplus_muscle_knowledge_grip_waisgeneralknowledge.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",361.098,54.752,0,1.752,1.049,0.095,11.09,1.505,0,0.002,0.008,0.76,174.594,18.302,0,2.928,0.268,0,174.594,18.302,0,NA,NA,NA,8.269,7.412,0.265,0.014,0.066,0.835,NA,NA,NA,"2.928","0.268",0,-0.811,1.919,0.673,91.699,16.504,0,-2.801,2.029,0.167,12.597,2.036,0,0.006,0.197,0.974
"Mplus VERSION 7.11","0.1","05/26/2015","10:41 AM","ilse","b1","male","aehplus","muscle","reasoning","grip","lpsspatialability",TRUE,252,3,NA,49,-4237.836,8573.672,8746.614,8591.277,8597.92942574258,"b1_male_aehplus_muscle_reasoning_grip_lpsspatialability.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",364.262,52.876,0,1.898,1.041,0.068,27.66,3.709,0,0.097,0.023,0,172.658,18.074,0,7.963,0.655,0,172.658,18.074,0,NA,NA,NA,18.435,10.367,0.075,0.187,0.144,0.196,NA,NA,NA,"7.963","0.655",0,-1.322,2.745,0.63,92.375,14.895,0,-2.953,1.941,0.128,20.59,3.29,0,-0.774,0.362,0.033
"Mplus VERSION 7.11","0.1","05/05/2015","10:18 AM","ilse","b1","male","aehplus","muscle","reasoning","grip","waisblockdesign",TRUE,252,3,NA,53,-4419.757,8945.514,9132.574,8964.556,8974.42309090909,"b1_male_aehplus_muscle_reasoning_grip_waisblockdesign.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",362.678,55.545,0,1.843,1.119,0.1,40.206,5.999,0,0.031,0.052,0.552,174.216,19.41,0,18.24,1.762,0,174.216,19.41,0,NA,NA,NA,10.293,14.008,0.462,0.077,0.175,0.659,NA,NA,NA,"18.24","1.762",0,-4.854,4.67,0.299,91.444,15.442,0,-2.789,2.066,0.177,22.033,4.395,0,-0.881,0.437,0.044
"Mplus VERSION 7.11","0.1","03/03/2015"," 2:56 PM","ilse","b1","male","aehplus","muscle","reasoning","grip","waispicturecompletion",TRUE,252,3,NA,53,-3908.702,7923.404,8110.463,7942.445,7952.31309090909,"b1_male_aehplus_muscle_reasoning_grip_waispicturecompletion.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",363.212,55.318,0,1.855,1.129,0.1,7.55,1.1,0,0.02,0.011,0.075,172.563,20.394,0,3.865,0.424,0,172.563,20.394,0,NA,NA,NA,11.778,6.737,0.08,0.078,0.11,0.478,NA,NA,NA,"3.865","0.424",0,4.253,2.775,0.125,91.654,16.443,0,-2.864,1.983,0.149,10.976,2.12,0,0.051,0.26,0.845
"Mplus VERSION 7.11","0.1","03/03/2015"," 3:13 PM","ilse","b1","male","aehplus","muscle","speed","grip","digitsymbolsubstitutiontest",TRUE,252,3,NA,53,-4505.046,9116.093,9303.153,9135.135,9145.00209090909,"b1_male_aehplus_muscle_speed_grip_digitsymbolsubstitutiontest.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",365.306,54.14,0,1.944,1.13,0.085,92.551,11.385,0,0.159,0.061,0.009,172.324,19.441,0,15.506,1.399,0,172.324,19.441,0,NA,NA,NA,-11.386,18.163,0.531,-0.008,0.193,0.965,NA,NA,NA,"15.506","1.399",0,3.224,4.349,0.458,91.819,15.497,0,-2.998,2.009,0.136,38.417,6.073,0,-0.338,0.536,0.528
"Mplus VERSION 7.11","0.1","03/02/2015"," 4:53 PM","ilse","u0","female","empty","muscle","nocog","grip","nocogspec",TRUE,238,3,NA,3,-2348.955,4703.911,4714.328,4704.819,4704.01356410256,"u0_female_empty_muscle_nocog_grip_nocogspec.out"," C:\Users\Besitzer\Desktop\ILSE 02.03.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433.292,25.987,0,NA,NA,NA,433.292,25.987,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
