"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","p_GAMMA_01_est","p_GAMMA_01_se","p_GAMMA_01_wald","p_GAMMA_01_pval","p_GAMMA_11_est","p_GAMMA_11_se","p_GAMMA_11_wald","p_GAMMA_11_pval","c_GAMMA_01_est","c_GAMMA_01_se","c_GAMMA_01_wald","c_GAMMA_01_pval","c_GAMMA_11_est","c_GAMMA_11_se","c_GAMMA_11_wald","c_GAMMA_11_pval","p_GAMMA_02_est","p_GAMMA_02_se","p_GAMMA_02_wald","p_GAMMA_02_pval","p_GAMMA_12_est","p_GAMMA_12_se","p_GAMMA_12_wald","p_GAMMA_12_pval","c_GAMMA_02_est","c_GAMMA_02_se","c_GAMMA_02_wald","c_GAMMA_02_pval","c_GAMMA_12_est","c_GAMMA_12_se","c_GAMMA_12_wald","c_GAMMA_12_pval","p_GAMMA_03_est","p_GAMMA_03_se","p_GAMMA_03_wald","p_GAMMA_03_pval","p_GAMMA_13_est","p_GAMMA_13_se","p_GAMMA_13_wald","p_GAMMA_13_pval","c_GAMMA_03_est","c_GAMMA_03_se","c_GAMMA_03_wald","c_GAMMA_03_pval","c_GAMMA_13_est","c_GAMMA_13_se","c_GAMMA_13_wald","c_GAMMA_13_pval","p_GAMMA_04_est","p_GAMMA_04_se","p_GAMMA_04_wald","p_GAMMA_04_pval","p_GAMMA_14_est","p_GAMMA_14_se","p_GAMMA_14_wald","p_GAMMA_14_pval","c_GAMMA_04_est","c_GAMMA_04_se","c_GAMMA_04_wald","c_GAMMA_04_pval","c_GAMMA_14_est","c_GAMMA_14_se","c_GAMMA_14_wald","c_GAMMA_14_pval","p_GAMMA_05_est","p_GAMMA_05_se","p_GAMMA_05_wald","p_GAMMA_05_pval","p_GAMMA_15_est","p_GAMMA_15_se","p_GAMMA_15_wald","p_GAMMA_15_pval","c_GAMMA_05_est","c_GAMMA_05_se","c_GAMMA_05_wald","c_GAMMA_05_pval","c_GAMMA_15_est","c_GAMMA_15_se","c_GAMMA_15_wald","c_GAMMA_15_pval","p_GAMMA_06_est","p_GAMMA_06_se","p_GAMMA_06_wald","p_GAMMA_06_pval","p_GAMMA_16_est","p_GAMMA_16_se","p_GAMMA_16_wald","p_GAMMA_16_pval","c_GAMMA_06_est","c_GAMMA_06_se","c_GAMMA_06_wald","c_GAMMA_06_pval","c_GAMMA_16_est","c_GAMMA_16_se","c_GAMMA_16_wald","c_GAMMA_16_pval","trust_all","mistrust","has_converged","covar_covered"
"Mplus VERSION 5.1","0.1","07/07/2015"," 6:08 PM","nuage","b1","female","a",NA,NA,"muscle","global",TRUE,939,4,NA,21,-18068.449,36178.898,36280.639,36213.945,36179.9056335878,"b1_female_a_muscle_global_grip_mmse.out"," f:\IALSA\IALSA_retour.dat",0.766,0.667,1.149,0.251,0.059,0.099,0.59,0.555,-0.08,0.299,-0.269,0.788,0.083,0.183,0.451,0.652,-0.014,0.188,-0.072,0.943,179.038,10.953,16.346,0,2.822,0.909,3.105,0.002,-2.548,2.061,-1.236,0.216,37.871,2.665,14.213,0,0.723,0.195,3.702,0,0.037,0.073,0.502,0.615,0.141,0.106,1.339,0.181,1.657,0.323,5.128,0,60.954,0.713,85.43,0,-2.052,0.182,-11.276,0,28.801,0.055,519.056,0,-0.077,0.025,-3.023,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.902,0.112,-8.079,0,0.011,0.028,0.396,0.692,-0.082,0.011,-7.682,0,-0.015,0.005,-2.921,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 5.1","0.1","03/11/2015","11:59 AM","nuage","b1","female","aeh",NA,NA,"muscle","global",TRUE,934,4,NA,29,-21022.986,42103.972,42244.317,42152.215,42105.8967787611,"b1_female_aeh_muscle_global_grip_mmms.out"," e:\IALSA\IALSA_retour.dat",1.694,1.871,0.906,0.365,0.415,0.279,1.49,0.136,-0.98,0.738,-1.328,0.184,0.591,0.517,1.142,0.253,0.388,0.408,0.951,0.342,178.217,10.933,16.3,0,2.813,0.91,3.091,0.002,-2.526,2.058,-1.227,0.22,37.848,2.67,14.177,0,7.813,0.742,10.527,0,0.764,0.333,2.292,0.022,2.148,0.376,5.712,0,8.543,0.408,20.913,0,60.536,0.987,61.344,0,-1.999,0.265,-7.537,0,93.882,0.257,364.95,0,-0.327,0.12,-2.729,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.937,0.113,-8.261,0,0.009,0.028,0.312,0.755,-0.222,0.03,-7.353,0,-0.065,0.014,-4.594,0,0.021,0.131,0.163,0.87,-0.018,0.035,-0.507,0.612,0.378,0.034,11.279,0,0.006,0.015,0.379,0.705,-10.117,7.979,-1.268,0.205,-0.555,1.968,-0.282,0.778,6.576,2.001,3.286,0.001,-0.663,1.061,-0.625,0.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 5.1","0.1","07/07/2015"," 6:09 PM","nuage","b1","female","aeh",NA,NA,"muscle","global",TRUE,934,4,NA,29,-17967.76,35993.519,36133.864,36041.762,35995.4437787611,"b1_female_aeh_muscle_global_grip_mmse.out"," f:\IALSA\IALSA_retour.dat",0.803,0.647,1.241,0.215,0.056,0.099,0.568,0.57,-0.093,0.299,-0.31,0.757,0.105,0.179,0.585,0.558,-0.02,0.187,-0.108,0.914,178.23,10.936,16.297,0,2.809,0.91,3.088,0.002,-2.5,2.06,-1.214,0.225,37.844,2.671,14.171,0,0.65,0.191,3.399,0.001,0.039,0.073,0.54,0.589,0.141,0.104,1.354,0.176,1.644,0.321,5.12,0,60.53,0.987,61.337,0,-1.996,0.265,-7.535,0,28.533,0.084,340.327,0,-0.088,0.044,-1.98,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.937,0.113,-8.26,0,0.01,0.028,0.364,0.716,-0.079,0.011,-7.313,0,-0.014,0.005,-2.85,0.004,0.022,0.131,0.167,0.867,-0.018,0.035,-0.534,0.594,0.06,0.011,5.483,0,0.002,0.006,0.348,0.728,-10.143,7.978,-1.271,0.204,-0.559,1.967,-0.284,0.776,0.048,0.686,0.07,0.945,0.026,0.37,0.07,0.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 5.1","0.1","03/11/2015","12:03 PM","nuage","b1","female","aehplus",NA,NA,"muscle","global",TRUE,934,4,NA,45,-21009.283,42108.565,42326.342,42183.425,42113.2271621622,"b1_female_aehplus_muscle_global_grip_mmms.out"," e:\IALSA\IALSA_retour.dat",1.782,1.87,0.953,0.341,0.39,0.276,1.409,0.159,-0.92,0.726,-1.266,0.205,0.531,0.506,1.051,0.293,0.389,0.408,0.954,0.34,176.163,10.887,16.182,0,2.683,0.881,3.044,0.002,-2.351,2.027,-1.16,0.246,37.867,2.669,14.187,0,7.718,0.734,10.51,0,0.756,0.329,2.297,0.022,2.126,0.371,5.734,0,8.539,0.408,20.908,0,60.568,1.122,53.972,0,-2.184,0.285,-7.67,0,93.786,0.297,316.092,0,-0.421,0.133,-3.161,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.939,0.113,-8.309,0,0.017,0.029,0.611,0.541,-0.221,0.031,-7.257,0,-0.065,0.015,-4.441,0,0.008,0.132,0.058,0.954,-0.019,0.034,-0.55,0.582,0.374,0.033,11.241,0,0.006,0.015,0.439,0.66,-10.94,8.001,-1.367,0.172,-0.939,2.012,-0.467,0.641,6.78,1.994,3.4,0.001,-0.669,1.107,-0.604,0.546,1.216,1.005,1.21,0.226,0.467,0.246,1.893,0.058,0.183,0.251,0.731,0.465,0.109,0.114,0.961,0.336,2.847,1.279,2.226,0.026,-0.551,0.308,-1.786,0.074,-0.096,0.314,-0.307,0.759,-0.132,0.149,-0.885,0.376,0.016,1.878,0.009,0.993,-0.5,0.492,-1.017,0.309,-0.99,0.49,-2.019,0.043,-0.019,0.201,-0.094,0.925,TRUE,NA,TRUE,0
"Mplus VERSION 5.1","0.1","07/07/2015"," 6:11 PM","nuage","b1","female","aehplus",NA,NA,"muscle","global",TRUE,934,4,NA,45,-17954.952,35999.905,36217.681,36074.765,36004.5671621622,"b1_female_aehplus_muscle_global_grip_mmse.out"," f:\IALSA\IALSA_retour.dat",0.917,0.647,1.417,0.156,0.05,0.099,0.508,0.611,-0.097,0.294,-0.331,0.741,0.093,0.177,0.525,0.599,-0.017,0.187,-0.091,0.927,176.181,10.889,16.179,0,2.68,0.881,3.042,0.002,-2.329,2.028,-1.148,0.251,37.863,2.67,14.18,0,0.645,0.188,3.42,0.001,0.039,0.072,0.537,0.592,0.14,0.104,1.347,0.178,1.643,0.321,5.123,0,60.563,1.122,53.964,0,-2.182,0.285,-7.669,0,28.514,0.097,293.476,0,-0.121,0.051,-2.35,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.939,0.113,-8.308,0,0.019,0.029,0.656,0.512,-0.078,0.011,-7.204,0,-0.015,0.005,-2.863,0.004,0.008,0.132,0.062,0.951,-0.019,0.034,-0.573,0.566,0.06,0.011,5.544,0,0.002,0.006,0.403,0.687,-10.969,8,-1.371,0.17,-0.948,2.011,-0.472,0.637,0.123,0.693,0.178,0.859,0.031,0.38,0.082,0.935,1.216,1.005,1.21,0.226,0.466,0.247,1.888,0.059,-0.039,0.091,-0.424,0.671,0.039,0.044,0.887,0.375,2.842,1.279,2.223,0.026,-0.543,0.309,-1.759,0.079,-0.154,0.109,-1.41,0.159,0.004,0.056,0.066,0.947,0.015,1.879,0.008,0.994,-0.486,0.492,-0.987,0.324,-0.115,0.16,-0.722,0.47,0.02,0.079,0.253,0.8,TRUE,NA,TRUE,0
"Mplus VERSION 5.1","0.1","03/11/2015","11:36 AM","nuage","b1","female","age",NA,NA,"muscle","global",TRUE,939,4,NA,21,-21197.084,42436.169,42537.91,42471.215,42437.1766335878,"b1_female_age_muscle_global_grip_mmms.out"," e:\IALSA\IALSA_retour.dat",1.654,1.996,0.829,0.407,0.469,0.274,1.71,0.087,-1.047,0.717,-1.459,0.145,0.334,0.556,0.601,0.548,0.321,0.417,0.769,0.442,179.05,10.952,16.348,0,2.822,0.908,3.107,0.002,-2.586,2.057,-1.257,0.209,37.882,2.666,14.212,0,10.133,0.873,11.604,0,0.654,0.314,2.084,0.037,2.279,0.387,5.882,0,8.769,0.427,20.558,0,60.955,0.714,85.412,0,-2.048,0.182,-11.254,0,95.377,0.177,539.043,0,-0.267,0.065,-4.077,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.902,0.112,-8.075,0,0.01,0.028,0.341,0.733,-0.26,0.032,-8.014,0,-0.065,0.014,-4.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 5.1","0.1","07/07/2015"," 6:11 PM","nuage","b1","male","a",NA,NA,"muscle","global",TRUE,851,4,NA,21,-16665.409,33372.818,33472.493,33405.803,33373.9325958987,"b1_male_a_muscle_global_grip_mmse.out"," f:\IALSA\IALSA_retour.dat",3.384,0.797,4.249,0,0.128,0.11,1.159,0.247,0.118,0.443,0.267,0.789,-0.048,0.188,-0.254,0.799,0.015,0.22,0.069,0.945,219.196,14.007,15.649,0,1.892,0.887,2.133,0.033,-2.817,2.332,-1.208,0.227,36.13,2.483,14.549,0,1.009,0.152,6.625,0,0.101,0.041,2.497,0.013,0.242,0.056,4.339,0,1.865,0.094,19.85,0,79.888,0.787,101.494,0,-2.473,0.165,-14.995,0,28.217,0.073,384.859,0,-0.191,0.034,-5.675,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.499,0.132,-11.389,0,-0.028,0.028,-1,0.317,-0.063,0.012,-5.038,0,-0.013,0.007,-2.042,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 5.1","0.1","03/11/2015","11:57 AM","nuage","b1","male","aeh",NA,NA,"muscle","global",TRUE,847,4,NA,29,-19414.356,38886.712,39024.221,38932.126,38888.8417429621,"b1_male_aeh_muscle_global_grip_mmms.out"," e:\IALSA\IALSA_retour.dat",5.543,2.048,2.706,0.007,0.336,0.234,1.438,0.15,1.136,1.095,1.038,0.299,0.166,0.511,0.326,0.744,-0.704,0.47,-1.497,0.134,202.81,13.592,14.921,0,1.949,0.894,2.18,0.029,-2.796,2.291,-1.22,0.222,36.056,2.477,14.557,0,8.841,0.998,8.863,0,0.722,0.313,2.303,0.021,2.342,0.368,6.363,0,11.29,0.569,19.845,0,81.106,0.968,83.769,0,-2.505,0.235,-10.649,0,91.57,0.262,349.546,0,-0.691,0.111,-6.22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.388,0.128,-10.85,0,-0.029,0.028,-1.036,0.3,-0.143,0.034,-4.205,0,-0.046,0.016,-2.901,0.004,0.121,0.114,1.057,0.291,0.001,0.024,0.022,0.983,0.427,0.028,15.476,0,0.033,0.013,2.626,0.009,58.656,7.309,8.025,0,-0.75,1.648,-0.455,0.649,6.611,1.982,3.336,0.001,1.504,0.886,1.698,0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 5.1","0.1","07/07/2015"," 6:12 PM","nuage","b1","male","aeh",NA,NA,"muscle","global",TRUE,847,4,NA,29,-16562.378,33182.755,33320.265,33228.17,33184.8847429621,"b1_male_aeh_muscle_global_grip_mmse.out"," f:\IALSA\IALSA_retour.dat",2.31,0.738,3.132,0.002,0.128,0.11,1.161,0.246,0.024,0.43,0.055,0.956,-0.043,0.176,-0.245,0.806,0.02,0.219,0.09,0.928,202.652,13.582,14.921,0,1.897,0.887,2.14,0.032,-2.685,2.277,-1.179,0.238,36.135,2.484,14.549,0,0.782,0.139,5.638,0,0.099,0.04,2.5,0.012,0.211,0.053,3.947,0,1.862,0.094,19.885,0,81.101,0.968,83.79,0,-2.507,0.235,-10.651,0,27.83,0.098,284.81,0,-0.252,0.048,-5.243,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.388,0.128,-10.848,0,-0.029,0.028,-1.022,0.307,-0.051,0.012,-4.242,0,-0.012,0.007,-1.812,0.07,0.121,0.114,1.061,0.289,0.001,0.024,0.059,0.953,0.085,0.01,8.608,0,0.011,0.005,2.396,0.017,58.608,7.309,8.019,0,-0.747,1.646,-0.453,0.65,1.976,0.736,2.685,0.007,0.059,0.371,0.158,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 5.1","0.1","03/11/2015","12:02 PM","nuage","b1","male","aehplus",NA,NA,"muscle","global",TRUE,847,4,NA,45,-19406.683,38903.365,39116.742,38973.836,38908.5335393258,"b1_male_aehplus_muscle_global_grip_mmms.out"," e:\IALSA\IALSA_retour.dat",5.443,2.039,2.67,0.008,0.324,0.233,1.392,0.164,1.083,1.098,0.986,0.324,0.186,0.507,0.368,0.713,-0.708,0.47,-1.509,0.131,201.521,13.584,14.835,0,1.924,0.892,2.156,0.031,-2.842,2.295,-1.238,0.216,36.053,2.476,14.562,0,8.806,1.001,8.801,0,0.713,0.313,2.282,0.023,2.333,0.367,6.361,0,11.271,0.567,19.89,0,80.727,1.37,58.923,0,-2.36,0.291,-8.108,0,91.208,0.337,270.978,0,-0.537,0.152,-3.54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39,0.127,-10.959,0,-0.026,0.028,-0.929,0.353,-0.147,0.034,-4.281,0,-0.045,0.016,-2.837,0.005,0.126,0.115,1.097,0.273,0,0.024,-0.014,0.989,0.43,0.028,15.535,0,0.032,0.013,2.546,0.011,59.49,7.299,8.15,0,-0.673,1.648,-0.408,0.683,6.785,1.994,3.402,0.001,1.603,0.87,1.842,0.065,0.271,1.119,0.242,0.809,-0.123,0.25,-0.492,0.623,0.171,0.286,0.597,0.55,-0.176,0.131,-1.346,0.178,1.378,1.22,1.129,0.259,0.036,0.253,0.143,0.886,0.306,0.325,0.942,0.346,0.16,0.139,1.154,0.249,-3.018,1.778,-1.697,0.09,-0.356,0.389,-0.914,0.361,0.063,0.405,0.155,0.877,-0.246,0.187,-1.315,0.189,TRUE,NA,TRUE,0
