"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","p_GAMMA_01_est","p_GAMMA_01_se","p_GAMMA_01_wald","p_GAMMA_01_pval","p_GAMMA_11_est","p_GAMMA_11_se","p_GAMMA_11_wald","p_GAMMA_11_pval","c_GAMMA_01_est","c_GAMMA_01_se","c_GAMMA_01_wald","c_GAMMA_01_pval","c_GAMMA_11_est","c_GAMMA_11_se","c_GAMMA_11_wald","c_GAMMA_11_pval","p_GAMMA_02_est","p_GAMMA_02_se","p_GAMMA_02_wald","p_GAMMA_02_pval","p_GAMMA_12_est","p_GAMMA_12_se","p_GAMMA_12_wald","p_GAMMA_12_pval","c_GAMMA_02_est","c_GAMMA_02_se","c_GAMMA_02_wald","c_GAMMA_02_pval","c_GAMMA_12_est","c_GAMMA_12_se","c_GAMMA_12_wald","c_GAMMA_12_pval","p_GAMMA_03_est","p_GAMMA_03_se","p_GAMMA_03_wald","p_GAMMA_03_pval","p_GAMMA_13_est","p_GAMMA_13_se","p_GAMMA_13_wald","p_GAMMA_13_pval","c_GAMMA_03_est","c_GAMMA_03_se","c_GAMMA_03_wald","c_GAMMA_03_pval","c_GAMMA_13_est","c_GAMMA_13_se","c_GAMMA_13_wald","c_GAMMA_13_pval","p_GAMMA_04_est","p_GAMMA_04_se","p_GAMMA_04_wald","p_GAMMA_04_pval","p_GAMMA_14_est","p_GAMMA_14_se","p_GAMMA_14_wald","p_GAMMA_14_pval","c_GAMMA_04_est","c_GAMMA_04_se","c_GAMMA_04_wald","c_GAMMA_04_pval","c_GAMMA_14_est","c_GAMMA_14_se","c_GAMMA_14_wald","c_GAMMA_14_pval","p_GAMMA_05_est","p_GAMMA_05_se","p_GAMMA_05_wald","p_GAMMA_05_pval","p_GAMMA_15_est","p_GAMMA_15_se","p_GAMMA_15_wald","p_GAMMA_15_pval","c_GAMMA_05_est","c_GAMMA_05_se","c_GAMMA_05_wald","c_GAMMA_05_pval","c_GAMMA_15_est","c_GAMMA_15_se","c_GAMMA_15_wald","c_GAMMA_15_pval","p_GAMMA_06_est","p_GAMMA_06_se","p_GAMMA_06_wald","p_GAMMA_06_pval","p_GAMMA_16_est","p_GAMMA_16_se","p_GAMMA_16_wald","p_GAMMA_16_pval","c_GAMMA_06_est","c_GAMMA_06_se","c_GAMMA_06_wald","c_GAMMA_06_pval","c_GAMMA_16_est","c_GAMMA_16_se","c_GAMMA_16_wald","c_GAMMA_16_pval","trust_all","mistrust","has_converged","covar_covered"
"Mplus VERSION 7.31","0.1","11/05/2015"," 9:13 PM","elsa","b1","female","aehplus",NA,NA,"fev","delayedrecall",TRUE,3511,6,NA,41,-20320.248,40722.496,40975.206,40844.929,40723.4887933122,"b1_female_aehplus_fev_delayedrecall.out"," ELSA_Portland_New_nomiss_years.dat",-0.005,0.028,-0.181,0.856,0,0.001,-0.655,0.513,0.005,0.004,1.379,0.168,0.007,0.004,1.879,0.06,0.008,0.011,0.7,0.484,0.14,0.017,7.977,0,0,0,0.389,0.697,-0.001,0.002,-0.363,0.717,0.102,0.01,10.521,0,1.448,0.156,9.261,0,0.002,0.003,0.74,0.459,0.005,0.02,0.265,0.791,1.901,0.066,28.986,0,1.782,0.018,98.508,0,-0.031,0.003,-11.928,0,3.604,0.073,49.586,0,-0.047,0.011,-4.324,0,-0.011,0.062,-0.181,0.856,-0.563,1.221,-0.461,0.645,0.018,0.026,0.701,0.483,-0.026,0.001,-22.151,0,0,0,-0.871,0.384,-0.061,0.005,-13.616,0,-0.005,0.001,-8.173,0,0.098,0.021,4.66,0,0.001,0.003,0.447,0.655,1.037,0.08,13.005,0,-0.01,0.011,-0.937,0.349,0.029,0.002,16.402,0,-0.001,0,-2.246,0.025,0.017,0.006,2.769,0.006,0,0.001,-0.245,0.807,0.104,0.02,5.146,0,0.002,0.003,0.842,0.4,0.254,0.074,3.408,0.001,-0.02,0.01,-1.936,0.053,-0.111,0.037,-3.004,0.003,0.002,0.006,0.335,0.738,-0.085,0.146,-0.58,0.562,-0.014,0.021,-0.699,0.485,-0.043,0.045,-0.945,0.345,-0.004,0.007,-0.584,0.559,-0.397,0.192,-2.07,0.038,0.01,0.026,0.387,0.699,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","11/05/2015"," 9:52 PM","elsa","b1","female","aehplus",NA,NA,"fev","immediaterecall",TRUE,3511,6,NA,41,-19343.478,38768.956,39021.666,38891.389,38769.9487933122,"b1_female_aehplus_fev_immediaterecall.out"," ELSA_Portland_New_nomiss_years.dat",0.001,0.024,0.025,0.98,0,0,-0.604,0.546,0.006,0.003,1.754,0.079,0.005,0.003,1.875,0.061,0.012,0.009,1.237,0.216,0.139,0.017,7.963,0,0,0,0.38,0.704,-0.001,0.002,-0.34,0.734,0.102,0.01,10.518,0,0.946,0.145,6.526,0,0.003,0.003,1.172,0.241,-0.01,0.019,-0.543,0.587,1.64,0.063,26.045,0,1.782,0.018,98.483,0,-0.031,0.003,-11.974,0,5.247,0.064,81.365,0,-0.062,0.01,-5.971,0,0.002,0.065,0.025,0.98,-0.358,0.806,-0.444,0.657,0.028,0.023,1.249,0.212,-0.026,0.001,-22.171,0,0,0,-0.891,0.373,-0.051,0.004,-12.637,0,-0.004,0.001,-5.411,0,0.097,0.021,4.633,0,0.001,0.003,0.54,0.589,0.704,0.07,10.018,0,0.016,0.01,1.546,0.122,0.029,0.002,16.474,0,-0.001,0,-2.365,0.018,0.006,0.005,1.145,0.252,0.001,0.001,1.243,0.214,0.103,0.02,5.138,0,0.002,0.003,0.881,0.379,0.023,0.067,0.342,0.732,0.006,0.01,0.64,0.522,-0.11,0.037,-2.994,0.003,0.002,0.006,0.302,0.763,-0.221,0.13,-1.709,0.087,0.007,0.02,0.331,0.741,-0.044,0.045,-0.986,0.324,-0.004,0.007,-0.589,0.556,-0.357,0.174,-2.05,0.04,0.014,0.026,0.558,0.577,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","11/05/2015","11:12 PM","elsa","b1","female","aehplus",NA,NA,"gait","delayedrecall",TRUE,3511,5,NA,41,-27173.075,54428.149,54680.859,54550.582,54429.1417933122,"b1_female_aehplus_gait_delayedrecall.out"," ELSA_Portland_New_nomiss_years.dat",0.053,0.008,6.538,0,0.001,0,3.141,0.002,-0.002,0.001,-1.217,0.224,0.001,0.001,0.422,0.673,-0.003,0.003,-1.051,0.293,0.039,0.002,21.491,0,0,0,6.228,0,-0.001,0,-4.653,0,0.023,0.001,34.02,0,1.458,0.067,21.858,0,0.007,0.002,3.859,0,0.003,0.009,0.38,0.704,1.891,0.036,51.959,0,0.794,0.008,98.061,0,-0.017,0.001,-14.009,0,3.601,0.054,66.835,0,-0.057,0.009,-6.326,0,0.223,0.033,6.68,0,0.414,0.139,2.976,0.003,-0.015,0.014,-1.053,0.293,-0.01,0.001,-14.877,0,-0.001,0,-6.535,0,-0.062,0.003,-18.233,0,-0.006,0.001,-9.903,0,0.097,0.01,9.747,0,-0.001,0.001,-0.698,0.485,0.926,0.06,15.56,0,0.017,0.009,1.821,0.069,0.005,0.001,5.996,0,0,0,-0.321,0.748,0.018,0.004,4.045,0,0.001,0.001,0.963,0.336,0.021,0.01,2.187,0.029,0.002,0.001,1.369,0.171,0.11,0.056,1.962,0.05,0.001,0.009,0.14,0.889,-0.096,0.015,-6.296,0,0.001,0.002,0.314,0.754,-0.183,0.108,-1.696,0.09,0.011,0.017,0.617,0.537,-0.127,0.02,-6.397,0,0,0.003,-0.007,0.994,-0.375,0.136,-2.751,0.006,0.001,0.022,0.035,0.972,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","11/05/2015","10:54 PM","elsa","b1","female","aehplus",NA,NA,"gait","fluency",TRUE,3511,5,NA,41,-43718.393,87518.786,87771.496,87641.219,87519.7787933122,"b1_female_aehplus_gait_fluency.out"," ELSA_Portland_New_nomiss_years.dat",0.182,0.027,6.727,0,0.001,0.001,2.644,0.008,-0.001,0.004,-0.147,0.883,-0.001,0.004,-0.328,0.743,0.019,0.009,2.111,0.035,0.039,0.002,21.517,0,0,0,6.26,0,-0.001,0,-4.682,0,0.023,0.001,34.024,0,15.781,0.712,22.15,0,0.101,0.019,5.391,0,0.007,0.089,0.08,0.937,16.054,0.47,34.169,0,0.793,0.008,98.093,0,-0.017,0.001,-13.932,0,17.544,0.155,113.529,0,-0.203,0.025,-8.013,0,0.232,0.034,6.862,0,0.281,0.11,2.56,0.01,0.031,0.015,2.118,0.034,-0.01,0.001,-14.992,0,-0.001,0,-6.492,0,-0.121,0.01,-12.185,0,-0.018,0.002,-10.751,0,0.098,0.01,9.882,0,-0.001,0.001,-0.86,0.39,3.306,0.183,18.062,0,0.032,0.028,1.137,0.255,0.005,0.001,6.096,0,0,0,-0.49,0.624,0.093,0.014,6.699,0,-0.002,0.002,-1.097,0.273,0.022,0.01,2.254,0.024,0.002,0.001,1.395,0.163,-0.025,0.174,-0.141,0.888,0.052,0.027,1.964,0.05,-0.094,0.015,-6.191,0,0,0.002,0.11,0.912,-0.559,0.306,-1.829,0.067,0.031,0.05,0.628,0.53,-0.125,0.02,-6.344,0,0,0.003,-0.121,0.904,-0.743,0.425,-1.745,0.081,-0.112,0.068,-1.641,0.101,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","11/05/2015","11:08 PM","elsa","b1","female","aehplus",NA,NA,"gait","immediaterecall",TRUE,3511,5,NA,41,-25394.573,50871.147,51123.857,50993.58,50872.1397933122,"b1_female_aehplus_gait_immediaterecall.out"," ELSA_Portland_New_nomiss_years.dat",0.047,0.007,7.098,0,0.001,0,3.547,0,-0.001,0.001,-0.682,0.495,0,0.001,-0.445,0.656,0.004,0.003,1.28,0.2,0.039,0.002,21.521,0,0,0,6.18,0,-0.001,0,-4.562,0,0.023,0.001,34.015,0,0.713,0.05,14.295,0,0.002,0.002,1.217,0.224,0.019,0.007,2.582,0.01,1.647,0.038,42.928,0,0.793,0.008,98.187,0,-0.017,0.001,-14.098,0,5.09,0.044,116.974,0,-0.045,0.008,-5.733,0,0.284,0.039,7.272,0,0.773,0.365,2.119,0.034,0.018,0.014,1.282,0.2,-0.01,0.001,-14.698,0,-0.001,0,-6.754,0,-0.047,0.003,-17.061,0,-0.004,0.001,-8.551,0,0.096,0.01,9.72,0,-0.001,0.001,-0.635,0.525,0.816,0.048,16.968,0,0.002,0.008,0.244,0.807,0.005,0.001,6.043,0,0,0,-0.472,0.637,0.012,0.004,3.187,0.001,0,0.001,0.632,0.528,0.022,0.01,2.243,0.025,0.002,0.001,1.366,0.172,0.092,0.045,2.036,0.042,-0.006,0.008,-0.729,0.466,-0.095,0.015,-6.292,0,0.001,0.002,0.225,0.822,-0.164,0.09,-1.824,0.068,-0.001,0.015,-0.092,0.927,-0.127,0.02,-6.47,0,0,0.003,-0.098,0.922,-0.121,0.117,-1.03,0.303,-0.037,0.019,-1.953,0.051,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","11/05/2015"," 9:27 PM","elsa","b1","female","aehplus",NA,NA,"grip","delayedrecall",TRUE,3511,6,NA,41,-38181.526,76445.052,76697.762,76567.485,76446.0447933122,"b1_female_aehplus_grip_delayedrecall.out"," ELSA_Portland_New_nomiss_years.dat",0.617,0.255,2.419,0.016,0,0.004,-0.049,0.961,0.006,0.035,0.166,0.869,0.027,0.031,0.864,0.388,0.093,0.086,1.079,0.28,18.666,1.212,15.4,0,0.03,0.018,1.658,0.097,-0.221,0.127,-1.742,0.082,8.641,0.425,20.312,0,1.446,0.156,9.246,0,0.002,0.003,0.727,0.467,0.006,0.02,0.274,0.784,1.902,0.066,28.975,0,20.422,0.187,109.109,0,-0.42,0.025,-16.701,0,3.606,0.073,49.6,0,-0.048,0.011,-4.385,0,0.119,0.049,2.419,0.016,-0.026,0.53,-0.049,0.961,0.023,0.021,1.083,0.279,-0.222,0.012,-19.217,0,-0.011,0.002,-7.27,0,-0.061,0.005,-13.587,0,-0.006,0.001,-8.264,0,1.019,0.219,4.643,0,-0.018,0.026,-0.691,0.49,1.037,0.08,13.008,0,-0.01,0.011,-0.939,0.348,0.222,0.017,13.263,0,-0.004,0.002,-1.956,0.05,0.017,0.006,2.761,0.006,0,0.001,-0.248,0.804,0.14,0.201,0.695,0.487,0.006,0.024,0.24,0.81,0.253,0.074,3.403,0.001,-0.02,0.01,-1.924,0.054,-1.707,0.398,-4.288,0,0.08,0.051,1.548,0.122,-0.086,0.146,-0.59,0.555,-0.014,0.021,-0.661,0.508,-1.471,0.456,-3.224,0.001,0.015,0.056,0.276,0.782,-0.395,0.192,-2.059,0.039,0.009,0.027,0.357,0.721,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","11/05/2015"," 9:56 PM","elsa","b1","female","aehplus",NA,NA,"grip","immediaterecall",TRUE,3511,6,NA,41,-37211.296,74504.593,74757.302,74627.026,74505.5857933122,"b1_female_aehplus_grip_immediaterecall.out"," ELSA_Portland_New_nomiss_years.dat",0.393,0.235,1.674,0.094,0,0.004,-0.046,0.963,0.039,0.032,1.213,0.225,0.015,0.027,0.572,0.567,0.057,0.083,0.694,0.488,18.66,1.212,15.393,0,0.03,0.018,1.657,0.098,-0.22,0.127,-1.728,0.084,8.639,0.425,20.308,0,0.944,0.145,6.515,0,0.003,0.003,1.137,0.256,-0.01,0.019,-0.526,0.599,1.642,0.063,26.07,0,20.418,0.187,109.1,0,-0.42,0.025,-16.684,0,5.25,0.065,81.358,0,-0.063,0.01,-6.092,0,0.094,0.056,1.67,0.095,-0.018,0.387,-0.046,0.963,0.015,0.022,0.694,0.488,-0.222,0.012,-19.235,0,-0.011,0.002,-7.218,0,-0.051,0.004,-12.58,0,-0.004,0.001,-5.569,0,1.017,0.219,4.635,0,-0.017,0.026,-0.638,0.524,0.704,0.07,10.02,0,0.016,0.01,1.545,0.122,0.223,0.017,13.285,0,-0.004,0.002,-2.023,0.043,0.006,0.005,1.13,0.258,0.001,0.001,1.252,0.211,0.142,0.201,0.707,0.48,0.006,0.024,0.249,0.804,0.022,0.067,0.323,0.746,0.007,0.01,0.675,0.5,-1.701,0.398,-4.27,0,0.078,0.052,1.511,0.131,-0.225,0.13,-1.735,0.083,0.008,0.02,0.414,0.679,-1.476,0.456,-3.235,0.001,0.016,0.056,0.284,0.777,-0.355,0.175,-2.031,0.042,0.013,0.026,0.515,0.607,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","11/05/2015"," 9:30 PM","elsa","b1","male","aehplus",NA,NA,"fev","delayedrecall",TRUE,3091,6,NA,41,-19473.077,39028.155,39275.641,39145.367,39029.2845506724,"b1_male_aehplus_fev_delayedrecall.out"," ELSA_Portland_New_nomiss_years.dat",0.03,0.042,0.713,0.476,0,0.001,-0.21,0.834,0.005,0.005,1.006,0.314,0.002,0.005,0.326,0.745,0.012,0.015,0.79,0.43,0.363,0.037,9.873,0,0.001,0.001,1.724,0.085,-0.011,0.005,-2.401,0.016,0.192,0.018,10.966,0,1.39,0.157,8.853,0,0.002,0.003,0.737,0.461,-0.01,0.02,-0.499,0.618,1.749,0.065,26.795,0,2.404,0.033,73.792,0,-0.028,0.005,-5.904,0,3.196,0.081,39.476,0,-0.026,0.012,-2.07,0.038,0.042,0.059,0.711,0.477,-0.08,0.383,-0.208,0.835,0.02,0.025,0.785,0.432,-0.033,0.002,-18.236,0,0,0,-1.311,0.19,-0.059,0.005,-12.702,0,-0.003,0.001,-4.711,0,0.221,0.035,6.315,0,-0.008,0.005,-1.752,0.08,0.964,0.087,11.088,0,-0.017,0.012,-1.41,0.158,0.034,0.003,13.128,0,0,0,-0.127,0.899,0.021,0.006,3.324,0.001,0,0.001,0.019,0.985,0.217,0.034,6.346,0,-0.004,0.004,-0.812,0.417,-0.067,0.084,-0.798,0.425,0.023,0.011,2,0.045,-0.206,0.047,-4.435,0,0.004,0.006,0.68,0.497,0.027,0.121,0.223,0.823,-0.04,0.018,-2.202,0.028,-0.012,0.056,-0.215,0.83,-0.022,0.009,-2.583,0.01,-0.232,0.136,-1.704,0.088,-0.02,0.022,-0.901,0.367,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","11/05/2015"," 9:58 PM","elsa","b1","male","aehplus",NA,NA,"fev","immediaterecall",TRUE,3091,6,NA,41,-18625.582,37333.163,37580.65,37450.376,37334.2925506724,"b1_male_aehplus_fev_immediaterecall.out"," ELSA_Portland_New_nomiss_years.dat",0.03,0.035,0.855,0.393,0,0.001,-0.234,0.815,0.007,0.005,1.446,0.148,-0.002,0.004,-0.393,0.694,0.018,0.012,1.427,0.154,0.363,0.037,9.871,0,0.001,0.001,1.725,0.085,-0.011,0.005,-2.401,0.016,0.192,0.018,10.973,0,1.087,0.137,7.942,0,0.006,0.003,2.207,0.027,-0.034,0.018,-1.868,0.062,1.409,0.053,26.462,0,2.402,0.033,73.752,0,-0.028,0.005,-5.842,0,4.901,0.074,66.134,0,-0.072,0.012,-6.057,0,0.047,0.055,0.852,0.394,-0.049,0.212,-0.232,0.816,0.034,0.024,1.413,0.158,-0.033,0.002,-18.252,0,0,0,-1.276,0.202,-0.045,0.004,-10.783,0,-0.004,0.001,-6.122,0,0.22,0.035,6.3,0,-0.008,0.005,-1.74,0.082,0.771,0.077,10.064,0,-0.002,0.012,-0.149,0.881,0.034,0.003,13.153,0,0,0,-0.174,0.862,0.012,0.006,2.11,0.035,0.001,0.001,1.587,0.113,0.217,0.034,6.348,0,-0.004,0.004,-0.831,0.406,-0.052,0.075,-0.69,0.49,0.023,0.011,2.187,0.029,-0.205,0.047,-4.413,0,0.004,0.006,0.661,0.509,-0.143,0.111,-1.289,0.198,-0.007,0.017,-0.399,0.69,-0.012,0.056,-0.212,0.832,-0.022,0.009,-2.564,0.01,-0.097,0.131,-0.739,0.46,-0.009,0.021,-0.421,0.674,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","11/05/2015","11:16 PM","elsa","b1","male","aehplus",NA,NA,"gait","delayeddrecall",TRUE,3091,5,NA,41,-23193.848,46469.696,46717.182,46586.908,46470.8255506724,"b1_male_aehplus_gait_delayeddrecall.out"," ELSA_Portland_New_nomiss_years.dat",0.043,0.008,5.034,0,0,0,-0.188,0.851,0.002,0.001,1.612,0.107,0.002,0.001,1.601,0.109,0.004,0.003,1.23,0.219,0.039,0.002,18.678,0,0,0,7.765,0,-0.002,0,-5.909,0,0.024,0.001,30.886,0,1.342,0.067,20.149,0,0.002,0.002,1.125,0.261,0.006,0.009,0.687,0.492,1.803,0.036,50.379,0,0.824,0.009,87.262,0,-0.015,0.002,-9.892,0,3.213,0.059,54.09,0,-0.039,0.01,-4.032,0,0.188,0.037,5.097,0,-0.042,0.223,-0.186,0.852,0.018,0.014,1.23,0.219,-0.007,0.001,-10.334,0,-0.001,0,-5.333,0,-0.06,0.003,-17.651,0,-0.003,0.001,-5.6,0,0.114,0.011,10.496,0,0.001,0.002,0.358,0.72,0.905,0.064,14.044,0,0.001,0.01,0.083,0.934,0.005,0.001,5.598,0,0,0,-1.232,0.218,0.02,0.005,4.531,0,0.001,0.001,0.903,0.367,0.041,0.012,3.559,0,0,0.002,-0.106,0.915,-0.032,0.064,-0.492,0.623,0.014,0.009,1.511,0.131,-0.069,0.014,-4.84,0,0.002,0.002,0.709,0.479,-0.189,0.089,-2.12,0.034,-0.006,0.014,-0.404,0.686,-0.053,0.018,-2.928,0.003,-0.002,0.003,-0.634,0.526,-0.3,0.097,-3.08,0.002,-0.015,0.016,-0.938,0.348,TRUE,NA,TRUE,0
