"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","p_GAMMA_01_est","p_GAMMA_01_se","p_GAMMA_01_wald","p_GAMMA_01_pval","p_GAMMA_11_est","p_GAMMA_11_se","p_GAMMA_11_wald","p_GAMMA_11_pval","c_GAMMA_01_est","c_GAMMA_01_se","c_GAMMA_01_wald","c_GAMMA_01_pval","c_GAMMA_11_est","c_GAMMA_11_se","c_GAMMA_11_wald","c_GAMMA_11_pval","p_GAMMA_02_est","p_GAMMA_02_se","p_GAMMA_02_wald","p_GAMMA_02_pval","p_GAMMA_12_est","p_GAMMA_12_se","p_GAMMA_12_wald","p_GAMMA_12_pval","c_GAMMA_02_est","c_GAMMA_02_se","c_GAMMA_02_wald","c_GAMMA_02_pval","c_GAMMA_12_est","c_GAMMA_12_se","c_GAMMA_12_wald","c_GAMMA_12_pval","p_GAMMA_03_est","p_GAMMA_03_se","p_GAMMA_03_wald","p_GAMMA_03_pval","p_GAMMA_13_est","p_GAMMA_13_se","p_GAMMA_13_wald","p_GAMMA_13_pval","c_GAMMA_03_est","c_GAMMA_03_se","c_GAMMA_03_wald","c_GAMMA_03_pval","c_GAMMA_13_est","c_GAMMA_13_se","c_GAMMA_13_wald","c_GAMMA_13_pval","p_GAMMA_04_est","p_GAMMA_04_se","p_GAMMA_04_wald","p_GAMMA_04_pval","p_GAMMA_14_est","p_GAMMA_14_se","p_GAMMA_14_wald","p_GAMMA_14_pval","c_GAMMA_04_est","c_GAMMA_04_se","c_GAMMA_04_wald","c_GAMMA_04_pval","c_GAMMA_14_est","c_GAMMA_14_se","c_GAMMA_14_wald","c_GAMMA_14_pval","p_GAMMA_05_est","p_GAMMA_05_se","p_GAMMA_05_wald","p_GAMMA_05_pval","p_GAMMA_15_est","p_GAMMA_15_se","p_GAMMA_15_wald","p_GAMMA_15_pval","c_GAMMA_05_est","c_GAMMA_05_se","c_GAMMA_05_wald","c_GAMMA_05_pval","c_GAMMA_15_est","c_GAMMA_15_se","c_GAMMA_15_wald","c_GAMMA_15_pval","p_GAMMA_06_est","p_GAMMA_06_se","p_GAMMA_06_wald","p_GAMMA_06_pval","p_GAMMA_16_est","p_GAMMA_16_se","p_GAMMA_16_wald","p_GAMMA_16_pval","c_GAMMA_06_est","c_GAMMA_06_se","c_GAMMA_06_wald","c_GAMMA_06_pval","c_GAMMA_16_est","c_GAMMA_16_se","c_GAMMA_16_wald","c_GAMMA_16_pval","trust_all","mistrust","has_converged","covar_covered"
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:37 PM","hrs","b1","female","aeh",NA,NA,"muscle","memory",TRUE,641,5,NA,28,-13840.986,27737.972,27862.937,27774.039,27740.6255947712,"b1_female_aeh_muscle_memory_hand_delayedrecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\grip.dat""",0.924,1.438,0.643,0.52,0.022,0.093,0.233,0.816,-0.109,0.273,-0.399,0.69,-0.046,0.517,-0.089,0.929,0.093,0.061,1.529,0.126,132.291,64.43,2.053,0.04,4.97,2.529,1.965,0.049,-24.389,13.155,-1.854,0.064,16.341,6.455,2.532,0.011,0.052,0.316,0.166,0.868,0.001,0.129,0.005,0.996,-0.002,0.483,-0.005,0.996,16.341,6.455,2.532,0.011,22.564,0.894,25.239,0,-0.254,0.189,-1.342,0.18,3.523,0.131,26.915,0,-0.039,0.023,-1.668,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.289,0.062,-4.684,0,0.001,0.013,0.077,0.938,-0.069,0.006,-12.279,0,-0.004,0.001,-3.079,0.002,0.263,0.192,1.367,0.172,-0.048,0.04,-1.201,0.23,0.158,0.021,7.41,0,-0.004,0.004,-1.022,0.307,10.454,6.05,1.728,0.084,1.668,1.275,1.309,0.191,1.391,0.984,1.414,0.157,-0.143,0.179,-0.798,0.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:39 PM","hrs","b1","female","aeh",NA,NA,"muscle","memory",TRUE,641,5,NA,28,-13759.05,27574.099,27699.064,27610.166,27576.7525947712,"b1_female_aeh_muscle_memory_hand_immediaterecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\grip.dat""",0.906,2.828,0.32,0.749,0.02,0.142,0.142,0.887,-0.105,0.483,-0.218,0.828,-0.073,0.739,-0.098,0.922,0.079,0.081,0.978,0.328,132.887,64.694,2.054,0.04,5.012,2.535,1.977,0.048,-24.503,13.197,-1.857,0.063,15.491,6.293,2.462,0.014,0.035,0.852,0.041,0.967,0.001,0.089,0.006,0.995,-0.002,0.183,-0.012,0.99,15.491,6.293,2.462,0.014,22.564,0.894,25.241,0,-0.255,0.19,-1.342,0.18,4.716,0.103,45.792,0,-0.083,0.019,-4.346,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.289,0.062,-4.685,0,0.001,0.013,0.076,0.94,-0.05,0.005,-11.064,0,-0.004,0.001,-4.365,0,0.263,0.192,1.366,0.172,-0.048,0.04,-1.19,0.234,0.149,0.018,8.466,0,0.001,0.003,0.278,0.781,10.456,6.05,1.728,0.084,1.665,1.265,1.316,0.188,1.077,0.769,1.4,0.161,0.026,0.143,0.18,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:40 PM","hrs","b1","female","aeh",NA,NA,"muscle","mental",TRUE,641,5,NA,28,-14707.107,29470.213,29595.178,29506.28,29472.8665947712,"b1_female_aeh_muscle_mental_hand_serial7.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\grip.dat""",0.358,1.524,0.235,0.814,-0.037,0.122,-0.303,0.762,0.221,0.401,0.552,0.581,0.009,0.479,0.018,0.985,0.006,0.094,0.059,0.953,133.367,64.766,2.059,0.039,5.043,2.528,1.995,0.046,-24.581,13.19,-1.864,0.062,14.778,6.171,2.395,0.017,0.024,0.744,0.032,0.974,0.001,0.104,0.008,0.994,0,0.095,-0.004,0.997,14.778,6.171,2.395,0.017,22.57,0.893,25.262,0,-0.262,0.187,-1.4,0.162,2.283,0.142,16.081,0,-0.109,0.02,-5.59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.289,0.061,-4.703,0,0.001,0.013,0.045,0.964,-0.006,0.005,-1.07,0.284,-0.008,0.001,-10.317,0,0.263,0.194,1.355,0.175,-0.048,0.042,-1.148,0.251,0.221,0.021,10.689,0,-0.008,0.003,-2.509,0.012,10.455,6.055,1.727,0.084,1.668,1.29,1.293,0.196,0.571,0.97,0.588,0.556,0.22,0.136,1.623,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:42 PM","hrs","b1","female","aeh",NA,NA,"muscle","mental",TRUE,641,5,NA,28,-12559.695,25175.39,25300.355,25211.457,25178.0435947712,"b1_female_aeh_muscle_mental_hand_tics.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\grip.dat""",1.258,0.198,6.34,0,0.063,0.114,0.552,0.581,-0.262,0.315,-0.831,0.406,-0.205,0.61,-0.337,0.736,0.253,0.32,0.792,0.428,129.342,63.228,2.046,0.041,4.754,2.425,1.96,0.05,-23.821,12.909,-1.845,0.065,20.525,8.522,2.409,0.016,0.035,0.913,0.038,0.969,0.002,0.171,0.013,0.99,-0.005,0.284,-0.017,0.987,20.525,8.522,2.409,0.016,22.558,0.891,25.319,0,-0.249,0.188,-1.325,0.185,8.361,0.23,36.36,0,-0.085,0.041,-2.09,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.289,0.062,-4.668,0,0.001,0.014,0.064,0.949,-0.005,0.018,-0.262,0.793,0.022,0.003,6.454,0,0.263,0.193,1.367,0.172,-0.048,0.04,-1.193,0.233,0.14,0.028,4.923,0,-0.014,0.006,-2.319,0.02,10.421,6.046,1.724,0.085,1.708,1.272,1.342,0.179,1.013,1.288,0.786,0.432,0.071,0.29,0.243,0.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:43 PM","hrs","b1","female","aeh",NA,NA,"pulmonary","memory",TRUE,715,5,NA,28,-23546.06,47148.121,47276.145,47187.237,47150.4883469388,"b1_female_aeh_pulmonary_memory_peak_delayedrecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\PEAK.dat""",16.562,34.725,0.477,0.633,0.201,12.735,0.016,0.987,0.1,105.327,0.001,0.999,0.621,82.625,0.008,0.994,0.533,0.439,1.214,0.225,4937.577,276.529,17.856,0,185.492,27.681,6.701,0,-308.549,53.512,-5.766,0,271.793,21.602,12.582,0,0.221,4.333,0.051,0.959,0.007,0.293,0.025,0.98,-0.023,0.699,-0.033,0.974,271.793,21.602,12.582,0,248.501,5.605,44.338,0,-2.23,1.304,-1.71,0.087,3.457,0.125,27.597,0,-0.052,0.107,-0.483,0.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.552,0.23,-15.443,0,-0.247,0.053,-4.658,0,-0.07,0.013,-5.29,0,-0.004,0.012,-0.318,0.75,4.701,0.895,5.251,0,-0.088,0.207,-0.427,0.669,0.167,0.03,5.661,0,-0.004,0.011,-0.396,0.692,93.452,46.005,2.031,0.042,5.847,8.036,0.728,0.467,0.75,1.099,0.682,0.495,0.051,0.801,0.063,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:44 PM","hrs","b1","female","aeh",NA,NA,"pulmonary","memory",TRUE,715,5,NA,28,-23554.923,47165.847,47293.871,47204.964,47168.2143469388,"b1_female_aeh_pulmonary_memory_peak_immediaterecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\PEAK.dat""",15.928,870.744,0.018,0.985,0.096,32.231,0.003,0.998,-0.637,149.534,-0.004,0.997,0.481,244.441,0.002,0.998,0.548,0.416,1.317,0.188,4938.799,275.673,17.915,0,186.114,28.215,6.596,0,-309.14,53.824,-5.744,0,270.495,21.523,12.568,0,0.209,9.07,0.023,0.982,0.007,0.291,0.024,0.981,-0.026,0.701,-0.037,0.97,270.495,21.523,12.568,0,248.5,5.611,44.287,0,-2.23,1.304,-1.709,0.087,4.654,0.102,45.641,0,-0.087,0.262,-0.331,0.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.552,0.231,-15.407,0,-0.247,0.054,-4.605,0,-0.05,0.027,-1.884,0.06,-0.004,0.029,-0.141,0.888,4.702,0.895,5.252,0,-0.088,0.207,-0.427,0.669,0.155,0.06,2.567,0.01,0,0.024,-0.003,0.997,93.449,46.01,2.031,0.042,5.85,8.042,0.727,0.467,0.721,1.668,0.432,0.666,0.156,1.917,0.082,0.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:46 PM","hrs","b1","female","aeh",NA,NA,"pulmonary","mental",TRUE,715,5,NA,28,-25159.166,50374.332,50502.356,50413.449,50376.6993469388,"b1_female_aeh_pulmonary_mental_peak_serial7.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\PEAK.dat""",7.262,312.344,0.023,0.981,0.203,16.586,0.012,0.99,1.112,71.22,0.016,0.988,0.007,74.589,0,1,0.202,0.299,0.675,0.5,4967.406,277.292,17.914,0,200.951,29.545,6.801,0,-323.221,55.429,-5.831,0,240.554,19.276,12.48,0,0.137,3.524,0.039,0.969,0.006,0.264,0.022,0.983,-0.018,0.58,-0.03,0.976,240.554,19.276,12.48,0,248.483,5.602,44.356,0,-2.209,1.327,-1.664,0.096,2.246,0.129,17.385,0,-0.113,0.017,-6.654,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.553,0.23,-15.443,0,-0.247,0.055,-4.521,0,-0.008,0.005,-1.634,0.102,-0.008,0.001,-10.109,0,4.706,0.895,5.258,0,-0.094,0.21,-0.446,0.656,0.22,0.019,11.361,0,-0.006,0.003,-2.178,0.029,93.443,45.986,2.032,0.042,5.858,8.188,0.715,0.474,0.877,0.898,0.976,0.329,0.167,0.123,1.36,0.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:47 PM","hrs","b1","female","aeh",NA,NA,"pulmonary","mental",TRUE,715,5,NA,28,-21250.665,42557.329,42685.353,42596.446,42559.6963469388,"b1_female_aeh_pulmonary_mental_peak_tics.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\PEAK.dat""",12.05,5.034,2.393,0.017,0.386,2.303,0.168,0.867,-2.489,62.553,-0.04,0.968,-0.207,21.466,-0.01,0.992,0.823,1.942,0.424,0.672,4880.961,275.289,17.73,0,158.855,23.557,6.743,0,-282.61,49.726,-5.683,0,333.651,26.25,12.71,0,0.274,4.549,0.06,0.952,0.012,0.343,0.034,0.973,-0.045,0.684,-0.066,0.948,333.651,26.25,12.71,0,248.537,5.6,44.38,0,-2.276,1.267,-1.797,0.072,8.371,0.177,47.311,0,-0.135,0.063,-2.146,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.551,0.229,-15.488,0,-0.249,0.051,-4.888,0,-0.003,0.015,-0.19,0.849,0.021,0.008,2.602,0.009,4.693,0.895,5.246,0,-0.078,0.2,-0.391,0.696,0.134,0.031,4.294,0,-0.007,0.009,-0.759,0.448,93.467,46.044,2.03,0.042,5.829,7.766,0.751,0.453,0.672,1.162,0.579,0.563,0.084,0.466,0.181,0.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:48 PM","hrs","b1","female","aeh",NA,NA,"walking","memory",TRUE,370,5,NA,28,-4015.272,8086.545,8196.123,8107.288,8091.30746334311,"b1_female_aeh_walking_memory_gait_delayedrecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\WALK.dat""",0.033,0.219,0.149,0.881,0.001,0.009,0.08,0.936,-0.003,0.047,-0.056,0.955,0.001,0.099,0.006,0.996,0.022,0.014,1.583,0.113,0.001,0.011,0.122,0.903,0,0.001,0.064,0.949,0,0.002,-0.097,0.923,0.892,0.05,17.932,0,2.025,0.22,9.197,0,0.041,0.007,5.939,0,-0.11,0.03,-3.689,0,0.892,0.05,17.932,0,0.758,0.022,34.078,0,-0.026,0.005,-5.113,0,3.795,0.179,21.166,0,-0.029,0.03,-0.958,0.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,0.002,-5.611,0,-0.001,0.001,-1.481,0.138,-0.088,0.011,-7.871,0,-0.007,0.002,-3.147,0.002,0.015,0.004,3.906,0,0.002,0.002,0.741,0.459,0.144,0.028,5.159,0,-0.009,0.005,-1.821,0.069,0.175,0.199,0.882,0.378,-0.036,0.054,-0.671,0.502,-0.086,1.254,-0.069,0.945,0.097,0.183,0.528,0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:49 PM","hrs","b1","female","aeh",NA,NA,"walking","memory",TRUE,370,5,NA,28,-3532.24,7120.479,7230.057,7141.223,7125.24146334311,"b1_female_aeh_walking_memory_gait_immediaterecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\WALK.dat""",0.034,0.072,0.472,0.637,0.001,0.006,0.093,0.926,-0.001,0.024,-0.058,0.954,-0.002,0.065,-0.027,0.979,0.011,0.01,1.103,0.27,0.002,0.006,0.262,0.793,0,0.001,0.066,0.948,0,0.002,-0.076,0.939,0.635,0.031,20.759,0,1.16,0.137,8.465,0,0.021,0.005,4.384,0,-0.047,0.018,-2.605,0.009,0.635,0.031,20.759,0,0.759,0.022,34.493,0,-0.027,0.007,-3.669,0,5.014,0.139,36.026,0,-0.074,0.024,-3.105,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,0.002,-5.082,0,-0.001,0.001,-0.907,0.364,-0.066,0.009,-7.545,0,-0.006,0.002,-3.82,0,0.015,0.004,4.266,0,0.002,0.001,1.764,0.078,0.123,0.021,5.768,0,-0.002,0.004,-0.581,0.562,0.176,0.219,0.802,0.422,-0.037,0.06,-0.616,0.538,0.22,0.956,0.23,0.818,0.142,0.146,0.967,0.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0
