software,version,date,time,output_file,data_file,file_path,study_name,model_number,subgroup,model_type,subject_count,wave_count,datapoint_count,parameter_count,ll,aic,bic,adj_bic,aaic,has_converged,trust_all,mistrust,covar_covered,ab_tau_00_est,ab_tau_00_se,ab_tau_00_wald,ab_tau_00_pval,ab_tau_11_est,ab_tau_11_se,ab_tau_11_wald,ab_tau_11_pval,ab_tau_01_est,ab_tau_01_se,ab_tau_01_wald,ab_tau_01_pval,ab_tau_10_est,ab_tau_10_se,ab_tau_10_wald,ab_tau_10_pval,ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_wald,ab_sigma_00_pval,aa_tau_00_est,aa_tau_00_se,aa_tau_00_wald,aa_tau_00_pval,aa_tau_11_est,aa_tau_11_se,aa_tau_11_wald,aa_tau_11_pval,aa_tau_01_est,aa_tau_01_se,aa_tau_01_wald,aa_tau_01_pval,a_sigma_00_est,a_sigma_00_se,a_sigma_00_wald,a_sigma_00_pval,bb_tau_00_est,bb_tau_00_se,bb_tau_00_wald,bb_tau_00_pval,bb_tau_11_est,bb_tau_11_se,bb_tau_11_wald,bb_tau_11_pval,bb_tau_10_est,bb_tau_10_se,bb_tau_10_wald,bb_tau_10_pval,b_sigma_00_est,b_sigma_00_se,b_sigma_00_wald,b_sigma_00_pval,a_gamma_00_est,a_gamma_00_se,a_gamma_00_wald,a_gamma_00_pval,a_gamma_10_est,a_gamma_10_se,a_gamma_10_wald,a_gamma_10_pval,b_gamma_00_est,b_gamma_00_se,b_gamma_00_wald,b_gamma_00_pval,b_gamma_10_est,b_gamma_10_se,b_gamma_10_wald,b_gamma_10_pval,er_tau_00_est,er_tau_00_se,er_tau_00_wald,er_tau_00_pval,er_tau_11_est,er_tau_11_se,er_tau_11_wald,er_tau_11_pval,er_sigma_00_est,er_sigma_00_se,er_sigma_00_wald,er_sigma_00_pval,a_gamma_01_est,a_gamma_01_se,a_gamma_01_wald,a_gamma_01_pval,a_gamma_11_est,a_gamma_11_se,a_gamma_11_wald,a_gamma_11_pval,b_gamma_01_est,b_gamma_01_se,b_gamma_01_wald,b_gamma_01_pval,b_gamma_11_est,b_gamma_11_se,b_gamma_11_wald,b_gamma_11_pval,a_gamma_02_est,a_gamma_02_se,a_gamma_02_wald,a_gamma_02_pval,a_gamma_12_est,a_gamma_12_se,a_gamma_12_wald,a_gamma_12_pval,b_gamma_02_est,b_gamma_02_se,b_gamma_02_wald,b_gamma_02_pval,b_gamma_12_est,b_gamma_12_se,b_gamma_12_wald,b_gamma_12_pval,a_gamma_03_est,a_gamma_03_se,a_gamma_03_wald,a_gamma_03_pval,a_gamma_13_est,a_gamma_13_se,a_gamma_13_wald,a_gamma_13_pval,b_gamma_03_est,b_gamma_03_se,b_gamma_03_wald,b_gamma_03_pval,b_gamma_13_est,b_gamma_13_se,b_gamma_13_wald,b_gamma_13_pval,a_gamma_04_est,a_gamma_04_se,a_gamma_04_wald,a_gamma_04_pval,a_gamma_14_est,a_gamma_14_se,a_gamma_14_wald,a_gamma_14_pval,b_gamma_04_est,b_gamma_04_se,b_gamma_04_wald,b_gamma_04_pval,b_gamma_14_est,b_gamma_14_se,b_gamma_14_wald,b_gamma_14_pval,a_gamma_05_est,a_gamma_05_se,a_gamma_05_wald,a_gamma_05_pval,a_gamma_15_est,a_gamma_15_se,a_gamma_15_wald,a_gamma_15_pval,b_gamma_05_est,b_gamma_05_se,b_gamma_05_wald,b_gamma_05_pval,b_gamma_15_est,b_gamma_15_se,b_gamma_15_wald,b_gamma_15_pval,a_gamma_06_est,a_gamma_06_se,a_gamma_06_wald,a_gamma_06_pval,a_gamma_16_est,a_gamma_16_se,a_gamma_16_wald,a_gamma_16_pval,b_gamma_06_est,b_gamma_06_se,b_gamma_06_wald,b_gamma_06_pval,b_gamma_16_est,b_gamma_16_se,b_gamma_16_wald,b_gamma_16_pval,process_a,process_b,process_b_cell,process_b_row,process_b_domain,outcome_count,cr_levels_est,cr_levels_z,cr_levels_ztest,cr_levels_zpval,cr_levels_zeta_lo,cr_levels_zeta_hi,cr_levels_ci95_lo,cr_levels_ci95_hi,cr_slopes_est,cr_slopes_z,cr_slopes_ztest,cr_slopes_zpval,cr_slopes_zeta_lo,cr_slopes_zeta_hi,cr_slopes_ci95_lo,cr_slopes_ci95_hi,cr_resid_est,cr_resid_z,cr_resid_ztest,cr_resid_zpval,cr_resid_zeta_lo,cr_resid_zeta_hi,cr_resid_ci95_lo,cr_resid_ci95_hi
Mplus VERSION 7.31,0.1,03/09/2016, 5:36 PM,b1_male_aehplus_grip_gait.out, b1_male_aehplus_grip_gait_newdata.dat,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/elsa/physical/b1_male_aehplus_grip_gait.out,elsa,b1,male,aehplus,1924,6,NA,41,-12530.971,25143.942,25371.99,25241.733,25145.771968119,TRUE,TRUE,NA,0,0.317,0.042,7.531,0.0,0.001,0.0,2.488,0.013,0.003,0.003,1.193,0.233,-0.006,0.005,-1.405,0.16,0.015,0.016,0.918,0.359,34.959,2.264,15.438,0.0,0.086,0.031,2.762,0.006,-0.725,0.224,-3.233,0.001,16.109,0.956,16.854,0,0.035,0.002,18.976,0.0,0.0,0.0,17.23,0.0,0.0,0.0,-6.587,0.0,0.023,0.001,22.949,0.0,34.46,0.398,86.547,0.0,-0.45,0.048,-9.437,0.0,0.871,0.013,66.226,0.0,-0.011,0.002,-6.975,0.0,0.287,0.034,8.38,0.0,0.333,0.068,4.895,0.0,0.024,0.026,0.925,0.355,-0.456,0.024,-19.133,0.0,-0.015,0.003,-5.119,0.0,-0.011,0.001,-13.846,0.0,0.0,0.0,-3.738,0.0,1.275,0.345,3.7,0.0,-0.009,0.041,-0.216,0.829,0.108,0.011,9.477,0.0,0.002,0.001,1.313,0.189,0.317,0.024,13.138,0.0,-0.004,0.003,-1.43,0.153,0.004,0.001,5.195,0.0,0.0,0.0,-0.31,0.756,-0.501,0.367,-1.364,0.172,-0.003,0.04,-0.072,0.942,-0.037,0.012,-2.961,0.003,0.0,0.001,-0.216,0.829,-0.236,0.436,-0.541,0.589,-0.122,0.051,-2.39,0.017,-0.039,0.014,-2.725,0.006,-0.001,0.002,-0.727,0.468,-1.75,0.547,-3.198,0.001,-0.218,0.06,-3.625,0.0,-0.058,0.018,-3.209,0.001,-0.001,0.002,-0.239,0.811,grip,gait,gait,gait,gait,2,0.28657990835332614,0.2948361535102241,12.922436867614762,0.7681190468843311,0.2501179437684863,0.33955436325196187,0.24502952809436016,0.32707949074690407,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02464297011101732,0.02464796029063429,1.0803007262816977,0.2800082864064632,-0.02007024945110348,0.06936617003237205,-0.020067555019983085,0.06925512814260672
Mplus VERSION 7.11,0.1,02/26/2016, 2:47 PM,b1_female_aehplus_grip_gait.out,Physical.dat,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/hrs/physical/2016-11-11/b1_female_aehplus_grip_gait.out,hrs,b1,female,aehplus,4208,3,NA,41,-26978.928,54039.856,54299.991,54169.71,54040.6826922708,TRUE,TRUE,NA,0,0.173,0.027,6.344,0.0,0.0,0.001,-0.222,0.824,-0.001,0.004,-0.17,0.865,0.003,0.004,0.737,0.461,0.05,0.012,4.048,0.0,18.136,0.686,26.434,0.0,0.052,0.015,3.479,0.001,-0.312,0.077,-4.033,0.0,8.19,0.296,27.701,0,0.025,0.002,11.4,0.0,0.0,0.0,1.866,0.062,-0.001,0.0,-2.368,0.018,0.028,0.002,18.636,0.0,23.999,0.209,115.102,0.0,-0.446,0.028,-15.776,0.0,0.708,0.012,60.191,0.0,-0.013,0.002,-6.684,0.0,0.258,0.04,6.484,0.0,-0.047,0.21,-0.223,0.824,0.103,0.025,4.191,0.0,-0.259,0.008,-31.89,0.0,-0.008,0.001,-7.206,0.0,-0.011,0.001,-17.589,0.0,0.0,0.0,-3.585,0.0,0.01,0.029,0.353,0.724,0.0,0.004,0.068,0.946,0.02,0.002,11.912,0.0,0.0,0.0,0.962,0.336,0.226,0.012,18.094,0.0,-0.002,0.002,-1.125,0.261,0.001,0.001,1.818,0.069,0.0,0.0,-0.273,0.785,-0.114,0.158,-0.722,0.47,-0.013,0.021,-0.645,0.519,-0.01,0.009,-1.089,0.276,-0.001,0.002,-0.835,0.404,-1.223,0.198,-6.186,0.0,0.016,0.029,0.568,0.57,-0.039,0.011,-3.756,0.0,0.0,0.002,-0.126,0.9,-1.219,0.214,-5.702,0.0,-0.004,0.028,-0.133,0.894,-0.083,0.012,-7.185,0.0,-0.003,0.002,-1.694,0.09,grip,gait,gait,gait,gait,2,0.2569243965971865,0.2628126335458625,17.042340504674414,0.7926949975849917,0.23258771835356656,0.2930375487381584,0.2284824263053077,0.2849281698753287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.10441166896512254,0.10479359523110765,6.79544247375728,1.0798059837385845e-11,0.07456868003881174,0.13501851042340357,0.07443077400938372,0.13420398701359487
Mplus VERSION 7.11,0.1,02/26/2016, 2:51 PM,b1_female_aehplus_grip_pef.out,Physical.dat,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/hrs/physical/2016-11-11/b1_female_aehplus_grip_pef.out,hrs,b1,female,aehplus,4208,3,NA,41,-82167.997,164417.994,164678.128,164547.848,164418.820692271,TRUE,TRUE,NA,0,89.957,6.417,14.019,0.0,0.446,0.127,3.521,0.0,-0.809,0.83,-0.975,0.329,-0.461,0.841,-0.549,0.583,7.25,2.38,3.046,0.002,18.157,0.685,26.499,0.0,0.052,0.015,3.522,0.0,-0.31,0.077,-4.012,0.0,8.174,0.295,27.747,0,4153.38,133.228,31.175,0.0,11.23,2.807,4.0,0.0,-21.611,14.883,-1.452,0.146,1686.831,62.592,26.949,0.0,23.985,0.208,115.171,0.0,-0.446,0.028,-15.786,0.0,249.428,2.861,87.185,0.0,-2.676,0.421,-6.35,0.0,0.328,0.022,15.151,0.0,0.583,0.168,3.474,0.001,0.062,0.02,3.056,0.002,-0.259,0.008,-31.827,0.0,-0.008,0.001,-7.212,0.0,-3.495,0.12,-29.188,0.0,-0.183,0.017,-10.871,0.0,0.013,0.029,0.436,0.663,0.0,0.004,-0.017,0.987,5.827,0.394,14.803,0.0,-0.076,0.057,-1.343,0.179,0.226,0.012,18.066,0.0,-0.002,0.002,-0.961,0.337,1.953,0.19,10.291,0.0,0.017,0.025,0.693,0.488,-0.117,0.158,-0.74,0.459,-0.016,0.021,-0.751,0.453,-18.208,2.355,-7.731,0.0,-0.947,0.298,-3.179,0.001,-1.227,0.198,-6.208,0.0,0.015,0.028,0.532,0.595,-9.538,3.02,-3.158,0.002,0.047,0.413,0.115,0.909,-1.225,0.214,-5.734,0.0,-0.001,0.028,-0.039,0.969,-11.524,3.081,-3.74,0.0,0.21,0.423,0.496,0.62,grip,pef,pef,pef,pulmonary,2,0.3275760058025344,0.34011046050543725,22.05479317691854,0.7337733445197407,0.30988554531314133,0.37033537569773317,0.300332969841058,0.3542850273682534,0.5836376616215047,0.6679619551787856,43.31464180673954,0.0,0.6377370399864898,0.6981868703710815,0.5633567598195766,0.6032156507256479,0.06174259846623616,0.06182123572823302,4.008858080699665,6.101306851320395e-5,0.03159632053593711,0.09204615092052892,0.03158581024140797,0.09178707540735855
Mplus VERSION 7.11,0.1,02/26/2016, 2:51 PM,b1_female_aehplus_pef_gait.out,Physical.dat,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/hrs/physical/2016-11-11/b1_female_aehplus_pef_gait.out,hrs,b1,female,aehplus,4208,3,NA,41,-53870.488,107822.976,108083.111,107952.83,107823.802692271,TRUE,TRUE,NA,0,3.382,0.388,8.72,0.0,-0.011,0.009,-1.111,0.266,-0.043,0.064,-0.67,0.503,0.078,0.052,1.497,0.134,0.919,0.172,5.33,0.0,4149.412,133.39,31.107,0.0,10.82,2.801,3.863,0.0,-20.795,14.881,-1.397,0.162,1692.732,62.961,26.885,0,0.025,0.002,11.34,0.0,0.0,0.0,1.776,0.076,-0.001,0.0,-2.262,0.024,0.029,0.002,18.753,0.0,249.557,2.864,87.146,0.0,-2.693,0.422,-6.386,0.0,0.711,0.012,60.974,0.0,-0.014,0.002,-7.008,0.0,0.335,0.037,8.986,0.0,-0.232,0.211,-1.098,0.272,0.132,0.024,5.446,0.0,-3.496,0.12,-29.177,0.0,-0.183,0.017,-10.865,0.0,-0.011,0.001,-18.386,0.0,0.0,0.0,-2.934,0.003,5.805,0.394,14.726,0.0,-0.075,0.057,-1.324,0.185,0.02,0.002,11.988,0.0,0.0,0.0,1.092,0.275,1.954,0.19,10.295,0.0,0.018,0.024,0.728,0.466,0.001,0.001,1.858,0.063,0.0,0.0,-0.288,0.773,-18.255,2.356,-7.749,0.0,-0.934,0.297,-3.139,0.002,-0.008,0.009,-0.918,0.359,-0.002,0.002,-1.059,0.289,-9.564,3.021,-3.166,0.002,0.081,0.412,0.195,0.845,-0.04,0.01,-3.835,0.0,0.0,0.002,-0.08,0.936,-11.541,3.08,-3.748,0.0,0.201,0.423,0.476,0.634,-0.084,0.011,-7.36,0.0,-0.003,0.002,-1.551,0.121,pef,gait,gait,gait,gait,2,0.3320552259466772,0.34513640730782774,22.380705579260383,0.7299918240695522,0.3149114921155318,0.37536132250012366,0.3048986466424137,0.35867227902115967,-Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.131166342987314,0.13192642662219656,8.554897280720214,1.1797373660558877e-17,0.10170151142990065,0.16215134181449248,0.10135231647194698,0.16074497946503763
Mplus VERSION 7.11,0.1,02/26/2016, 2:53 PM,b1_male_aehplus_grip_gait.out,Physical.dat,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/hrs/physical/2016-11-11/b1_male_aehplus_grip_gait.out,hrs,b1,male,aehplus,3034,3,NA,41,-22108.782,44299.564,44546.287,44416.014,44300.7150695187,TRUE,TRUE,NA,0,0.229,0.052,4.405,0.0,0.001,0.001,1.042,0.297,0.011,0.008,1.473,0.141,0.01,0.007,1.485,0.137,0.048,0.026,1.834,0.067,41.233,1.767,23.34,0.0,0.153,0.035,4.308,0.0,-0.586,0.2,-2.935,0.003,16.803,0.787,21.352,0,0.027,0.003,10.0,0.0,0.0,0.0,1.183,0.237,-0.001,0.0,-1.671,0.095,0.032,0.002,15.977,0.0,38.336,0.389,98.548,0.0,-0.765,0.056,-13.632,0.0,0.789,0.015,54.045,0.0,-0.019,0.003,-7.248,0.0,0.218,0.049,4.46,0.0,0.297,0.301,0.989,0.323,0.065,0.036,1.83,0.067,-0.435,0.015,-28.979,0.0,-0.014,0.002,-6.494,0.0,-0.01,0.001,-11.939,0.0,0.0,0.0,-2.109,0.035,0.124,0.043,2.87,0.004,0.01,0.007,1.519,0.129,0.017,0.002,10.375,0.0,0.001,0.0,2.254,0.024,0.359,0.02,17.974,0.0,-0.005,0.003,-1.868,0.062,0.003,0.001,3.698,0.0,0.0,0.0,-0.36,0.719,-0.254,0.298,-0.851,0.395,-0.115,0.04,-2.85,0.004,-0.023,0.012,-1.849,0.064,0.0,0.002,0.19,0.849,-1.146,0.322,-3.561,0.0,0.0,0.044,-0.003,0.997,-0.037,0.012,-3.1,0.002,0.001,0.002,0.426,0.67,-1.598,0.346,-4.613,0.0,-0.066,0.047,-1.396,0.163,-0.03,0.013,-2.269,0.023,-0.004,0.002,-1.502,0.133,grip,gait,gait,gait,gait,2,0.2170356784251994,0.22054314031097494,12.141896383743527,0.8254481782384481,0.18494272021303934,0.2561435604089105,0.1828625930217711,0.2506849514893028,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06545952273145018,0.06555326075535116,3.6090032026645,3.073758154543017e-4,0.029952840657415568,0.10115368085328674,0.029943886247585705,0.10081008331835868
Mplus VERSION 7.11,0.1,02/26/2016, 2:55 PM,b1_male_aehplus_grip_pef.out,Physical.dat,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/hrs/physical/2016-11-11/b1_male_aehplus_grip_pef.out,hrs,b1,male,aehplus,3034,3,NA,41,-63442.458,126966.916,127213.639,127083.366,126968.067069519,TRUE,TRUE,NA,0,252.65,17.893,14.12,0.0,0.611,0.309,1.98,0.048,0.237,2.158,0.11,0.913,-1.211,2.431,-0.498,0.618,18.399,6.446,2.854,0.004,41.183,1.766,23.322,0.0,0.149,0.035,4.22,0.0,-0.564,0.2,-2.821,0.005,16.838,0.792,21.26,0,10797.428,380.277,28.394,0.0,22.369,7.914,2.827,0.005,-40.72,40.398,-1.008,0.313,3544.51,174.722,20.287,0.0,38.326,0.389,98.457,0.0,-0.767,0.056,-13.695,0.0,369.089,5.97,61.821,0.0,-3.362,0.842,-3.991,0.0,0.379,0.023,16.305,0.0,0.335,0.168,1.986,0.047,0.075,0.026,2.918,0.004,-0.435,0.015,-28.993,0.0,-0.014,0.002,-6.456,0.0,-4.357,0.224,-19.473,0.0,-0.246,0.031,-8.065,0.0,0.125,0.043,2.877,0.004,0.01,0.007,1.587,0.112,7.968,0.685,11.639,0.0,0.002,0.097,0.019,0.985,0.359,0.02,17.984,0.0,-0.005,0.003,-1.957,0.05,3.414,0.314,10.86,0.0,0.03,0.038,0.788,0.431,-0.253,0.298,-0.848,0.397,-0.12,0.04,-2.969,0.003,-25.825,4.574,-5.646,0.0,-0.91,0.553,-1.647,0.099,-1.134,0.322,-3.528,0.0,0.001,0.044,0.012,0.99,-19.131,4.936,-3.876,0.0,-1.198,0.636,-1.884,0.06,-1.598,0.346,-4.614,0.0,-0.066,0.047,-1.407,0.159,-7.1,5.207,-1.364,0.173,-1.844,0.67,-2.751,0.006,grip,pef,pef,pef,pulmonary,2,0.37887866833043277,0.39874972235288175,21.952973939830393,0.6900776266978774,0.3631493022549462,0.4343501424508173,0.3479850037322659,0.40895036474435054,0.3346761707387005,0.3480850446254365,19.163654505931923,7.445717911129771e-82,0.3124846245275009,0.38368546472337206,0.3026957626980482,0.3659037975470373,0.07531315890212707,0.075456039359389,4.154195909868354,3.264334114689201e-5,0.0398556192614534,0.11105645945732459,0.03983452950455345,0.11060212774173507
Mplus VERSION 7.11,0.1,02/26/2016, 2:56 PM,b1_male_aehplus_pef_gait.out,Physical.dat,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/hrs/physical/2016-11-11/b1_male_aehplus_pef_gait.out,hrs,b1,male,aehplus,3034,3,NA,41,-40753.492,81588.985,81835.708,81705.435,81590.1360695187,TRUE,TRUE,NA,0,4.538,0.714,6.359,0.0,0.005,0.015,0.316,0.752,0.211,0.12,1.764,0.078,0.154,0.084,1.84,0.066,1.059,0.32,3.306,0.001,10790.23,380.12,28.386,0.0,22.738,7.955,2.858,0.004,-44.238,40.545,-1.091,0.275,3543.827,174.693,20.286,0,0.026,0.003,9.881,0.0,0.0,0.0,1.08,0.28,-0.001,0.0,-1.584,0.113,0.033,0.002,15.872,0.0,369.378,5.964,61.931,0.0,-3.328,0.84,-3.962,0.0,0.79,0.015,54.33,0.0,-0.019,0.003,-7.224,0.0,0.269,0.041,6.61,0.0,0.1,0.318,0.314,0.754,0.099,0.03,3.31,0.001,-4.346,0.224,-19.43,0.0,-0.245,0.031,-7.985,0.0,-0.01,0.001,-12.523,0.0,0.0,0.0,-1.93,0.054,7.943,0.684,11.61,0.0,0.002,0.097,0.024,0.981,0.017,0.002,10.409,0.0,0.001,0.0,2.355,0.019,3.423,0.314,10.892,0.0,0.034,0.038,0.908,0.364,0.003,0.001,3.679,0.0,0.0,0.0,-0.497,0.619,-25.821,4.572,-5.647,0.0,-0.936,0.553,-1.693,0.09,-0.022,0.012,-1.798,0.072,0.0,0.002,-0.073,0.942,-19.362,4.936,-3.923,0.0,-1.212,0.638,-1.901,0.057,-0.036,0.012,-3.056,0.002,0.001,0.002,0.351,0.726,-7.219,5.206,-1.387,0.166,-1.839,0.671,-2.739,0.006,-0.03,0.013,-2.278,0.023,-0.004,0.002,-1.515,0.13,pef,gait,gait,gait,gait,2,0.27093334976132943,0.27787083791681844,15.2980451683634,0.7811115106186848,0.24227041781888284,0.313471258014754,0.23763910428443974,0.30359172829294856,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09792706398597807,0.0982419082506532,5.408660948777238,6.349770856463984e-8,0.06264148815271761,0.13384232834858878,0.06255968240263048,0.13304880700265515
Mplus VERSION 7.11,0.1,10/30/2015, 9:49 AM,b1_female_aeh_grip_tug.out, C:\Users\Besitzer\Desktop\ilse 19.10.dat,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/ilse/physical/b1_female_aeh_grip_tug.out,ilse,b1,female,aeh,225,3,NA,29,-2907.75,5873.499,5972.566,5880.659,5882.42207692308,TRUE,TRUE,NA,0,-1.477,5.43,-0.272,0.786,0.035,0.135,0.262,0.794,-0.255,0.965,-0.264,0.792,-0.309,0.767,-0.402,0.688,1.565,2.304,0.679,0.497,421.158,68.11,6.183,0.0,4.941,1.342,3.682,0.0,-44.632,8.526,-5.235,0.0,171.335,20.635,8.303,0,1.416,0.606,2.337,0.019,0.001,0.01,0.155,0.877,-0.031,0.067,-0.469,0.639,1.744,0.254,6.869,0.0,84.873,13.479,6.296,0.0,-6.723,2.288,-2.939,0.003,4.973,1.454,3.421,0.001,0.239,0.181,1.319,0.187,-0.06,0.227,-0.266,0.79,0.41,1.693,0.242,0.809,0.091,0.132,0.686,0.493,2.536,1.819,1.394,0.163,-0.592,0.314,-1.881,0.06,-0.149,0.206,-0.725,0.468,0.007,0.025,0.272,0.785,-3.602,3.514,-1.025,0.305,0.692,0.485,1.428,0.153,-0.584,0.368,-1.586,0.113,0.057,0.054,1.058,0.29,0.578,0.308,1.879,0.06,-0.011,0.046,-0.239,0.811,0.001,0.026,0.049,0.961,0.0,0.003,0.057,0.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grip,tug,tug,tug,gait,2,-0.06048202750080378,-0.060555939070586304,-0.9022631711379804,0.9517128646152642,-0.19210010869313265,0.07098823055196003,-0.18977148707030636,0.07086922608055916,0.49792119973904,0.5465382395219173,8.143236364717476,3.8484993446667313e-16,0.41499406989937093,0.6780824091444636,0.3927048440816089,0.590271346280297,0.09053532337124097,0.09078390902410997,1.3526497797171775,0.17616754132144966,-0.04076026059843636,0.22232807864665632,-0.04073770257285498,0.21873587770372735
Mplus VERSION 7.11,0.1,10/30/2015,11:53 AM,b1_female_aehplus_grip_tug.out, C:\Users\Besitzer\Desktop\ilse 19.10.dat,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/ilse/physical/b1_female_aehplus_grip_tug.out,ilse,b1,female,aehplus,224,3,NA,37,-2888.235,5850.47,5976.701,5859.442,5865.58827956989,TRUE,TRUE,NA,0,-1.393,5.516,-0.253,0.801,0.036,0.14,0.256,0.798,-0.242,1.002,-0.241,0.809,-0.348,0.789,-0.442,0.659,1.683,2.365,0.712,0.477,422.822,69.528,6.081,0.0,5.173,1.439,3.595,0.0,-45.702,8.954,-5.104,0.0,167.402,20.671,8.098,0,1.422,0.622,2.287,0.022,0.002,0.01,0.155,0.877,-0.033,0.068,-0.484,0.628,1.726,0.273,6.312,0.0,87.873,13.615,6.454,0.0,-6.808,2.406,-2.83,0.005,4.856,1.551,3.131,0.002,0.212,0.199,1.066,0.286,-0.057,0.23,-0.248,0.804,0.403,1.63,0.247,0.805,0.099,0.138,0.719,0.472,2.817,1.832,1.537,0.124,-0.592,0.332,-1.782,0.075,-0.147,0.215,-0.684,0.494,0.003,0.028,0.118,0.906,-3.112,3.589,-0.867,0.386,0.67,0.498,1.347,0.178,-0.506,0.373,-1.357,0.175,0.049,0.053,0.911,0.362,0.632,0.324,1.948,0.051,-0.017,0.049,-0.348,0.728,0.008,0.025,0.296,0.767,0.0,0.003,-0.14,0.888,-4.983,3.749,-1.329,0.184,0.345,0.525,0.657,0.511,-0.234,0.365,-0.64,0.522,0.046,0.048,0.956,0.339,1.786,4.272,0.418,0.676,-0.023,0.615,-0.038,0.97,0.686,0.403,1.704,0.088,-0.046,0.05,-0.917,0.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grip,tug,tug,tug,gait,2,-0.05680970448479146,-0.056870937892987194,-0.84544727244162865,0.9546480050334315,-0.1887123828542575,0.07497050706828312,-0.18650367578392316,0.07483036296864164,0.35392909347631996,0.36992841186768727,5.499381202411394,3.8112638023614996e-8,0.23808696690641695,0.5017698568289576,0.2336879977016402,0.4635079182214281,0.09901098911663382,0.09933644629685989,1.476742439763432,0.13974469121941485,-0.03250499866441042,0.2311778912581302,-0.032493555511620746,0.22714576845289955
Mplus VERSION 7.11,0.1,10/30/2015, 9:52 AM,b1_female_age_grip_tug.out, C:\Users\Besitzer\Desktop\ilse 19.10.dat,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/ilse/physical/b1_female_age_grip_tug.out,ilse,b1,female,a,227,3,NA,21,-2938.82,5919.64,5991.564,5925.009,5924.14731707317,TRUE,TRUE,NA,0,-1.321,5.078,-0.26,0.795,0.031,0.135,0.228,0.82,-0.223,0.945,-0.236,0.814,-0.332,0.718,-0.463,0.643,1.339,2.227,0.601,0.548,427.746,67.935,6.296,0.0,4.799,1.261,3.805,0.0,-44.25,8.355,-5.296,0.0,176.024,21.266,8.277,0,1.387,0.577,2.405,0.016,0.001,0.009,0.16,0.873,-0.03,0.062,-0.484,0.628,1.772,0.249,7.108,0.0,84.207,13.394,6.287,0.0,-6.018,2.239,-2.688,0.007,4.677,1.289,3.628,0.0,0.278,0.159,1.755,0.079,-0.054,0.212,-0.256,0.798,0.373,1.658,0.225,0.822,0.076,0.125,0.607,0.544,2.426,1.823,1.331,0.183,-0.512,0.313,-1.636,0.102,-0.163,0.181,-0.902,0.367,0.01,0.023,0.417,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grip,tug,tug,tug,gait,2,-0.054233996478892744,-0.054287263811244546,-0.8124973665883553,0.9567062965966299,-0.18524286596419418,0.07666833834170508,-0.1831526863502063,0.07651847099949219,0.4474930749119883,0.48156122892753134,7.207348517602538,5.705185061882781e-13,0.35060562677458174,0.6125168310804809,0.3369125358851583,0.5458963342732767,0.07581633304092826,0.07596210314895499,1.136896657448686,0.2555814896205878,-0.05499349900399464,0.20691770530190462,-0.05493812731678905,0.20401436161799172
