"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00","pc_TAU_00_se","pc_TAU_00_pval","pc_TAU_11","pc_TAU_11_se","pc_TAU_11_pval","pc_TAU_01","pc_TAU_01_se","pc_TAU_01_pval","pc_TAU_10","pc_TAU_10_se","pc_TAU_10_pval","pc_SIGMA","pc_SIGMA_se","pc_SIGMA_pval","pp_TAU_00","pp_TAU_00_se","pp_TAU_00_pval","pp_TAU_11","pp_TAU_11_se","pp_TAU_11_pval","pp_TAU_01","pp_TAU_01_se","pp_TAU_01_pval","p_SIGMA","p_SIGMA_se","p_SIGMA_pval","cc_TAU_00","cc_TAU_00_se","cc_TAU_00_pval","cc_TAU_11","cc_TAU_11_se","cc_TAU_11_pval","cc_TAU_10","cc_TAU_10_se","cc_TAU_10_pval","c_SIGMA","c_SIGMA_se","c_SIGMA_pval","p_GAMMA_00","p_GAMMA_00_se","p_GAMMA_00_pval","p_GAMMA_10","p_GAMMA_10_se","p_GAMMA_10_pval","c_GAMMA_00","c_GAMMA_00_se","c_GAMMA_00_pval","c_GAMMA_10","c_GAMMA_10_se","c_GAMMA_10_pval"
"Mplus VERSION 5.1","0.1","07/07/2015"," 6:08 PM","nuage","b1","female","a","muscle","global","grip","mmse",TRUE,939,4,NA,21,-18068.449,36178.898,36280.639,36213.945,36179.9056335878,"b1_female_a_muscle_global_grip_mmse.out"," f:\IALSA\IALSA_retour.dat",0.766,0.667,0.251,0.059,0.099,0.555,-0.08,0.299,0.788,0.083,0.183,0.652,-0.014,0.188,0.943,179.038,10.953,0,2.822,0.909,0.002,-2.548,2.061,0.216,37.871,2.665,0,0.723,0.195,0,0.037,0.073,0.615,0.141,0.106,0.181,1.657,0.323,0,60.954,0.713,0,-2.052,0.182,0,28.801,0.055,0,-0.077,0.025,0.002
"Mplus VERSION 5.1","0.1","03/11/2015","11:59 AM","nuage","b1","female","aeh","muscle","global","grip","mmms",TRUE,934,4,NA,29,-21022.986,42103.972,42244.317,42152.215,42105.8967787611,"b1_female_aeh_muscle_global_grip_mmms.out"," e:\IALSA\IALSA_retour.dat",1.694,1.871,0.365,0.415,0.279,0.136,-0.98,0.738,0.184,0.591,0.517,0.253,0.388,0.408,0.342,178.217,10.933,0,2.813,0.91,0.002,-2.526,2.058,0.22,37.848,2.67,0,7.813,0.742,0,0.764,0.333,0.022,2.148,0.376,0,8.543,0.408,0,60.536,0.987,0,-1.999,0.265,0,93.882,0.257,0,-0.327,0.12,0.006
"Mplus VERSION 5.1","0.1","07/07/2015"," 6:09 PM","nuage","b1","female","aeh","muscle","global","grip","mmse",TRUE,934,4,NA,29,-17967.76,35993.519,36133.864,36041.762,35995.4437787611,"b1_female_aeh_muscle_global_grip_mmse.out"," f:\IALSA\IALSA_retour.dat",0.803,0.647,0.215,0.056,0.099,0.57,-0.093,0.299,0.757,0.105,0.179,0.558,-0.02,0.187,0.914,178.23,10.936,0,2.809,0.91,0.002,-2.5,2.06,0.225,37.844,2.671,0,0.65,0.191,0.001,0.039,0.073,0.589,0.141,0.104,0.176,1.644,0.321,0,60.53,0.987,0,-1.996,0.265,0,28.533,0.084,0,-0.088,0.044,0.048
"Mplus VERSION 5.1","0.1","03/11/2015","12:03 PM","nuage","b1","female","aehplus","muscle","global","grip","mmms",TRUE,934,4,NA,45,-21009.283,42108.565,42326.342,42183.425,42113.2271621622,"b1_female_aehplus_muscle_global_grip_mmms.out"," e:\IALSA\IALSA_retour.dat",1.782,1.87,0.341,0.39,0.276,0.159,-0.92,0.726,0.205,0.531,0.506,0.293,0.389,0.408,0.34,176.163,10.887,0,2.683,0.881,0.002,-2.351,2.027,0.246,37.867,2.669,0,7.718,0.734,0,0.756,0.329,0.022,2.126,0.371,0,8.539,0.408,0,60.568,1.122,0,-2.184,0.285,0,93.786,0.297,0,-0.421,0.133,0.002
"Mplus VERSION 5.1","0.1","07/07/2015"," 6:11 PM","nuage","b1","female","aehplus","muscle","global","grip","mmse",TRUE,934,4,NA,45,-17954.952,35999.905,36217.681,36074.765,36004.5671621622,"b1_female_aehplus_muscle_global_grip_mmse.out"," f:\IALSA\IALSA_retour.dat",0.917,0.647,0.156,0.05,0.099,0.611,-0.097,0.294,0.741,0.093,0.177,0.599,-0.017,0.187,0.927,176.181,10.889,0,2.68,0.881,0.002,-2.329,2.028,0.251,37.863,2.67,0,0.645,0.188,0.001,0.039,0.072,0.592,0.14,0.104,0.178,1.643,0.321,0,60.563,1.122,0,-2.182,0.285,0,28.514,0.097,0,-0.121,0.051,0.019
"Mplus VERSION 5.1","0.1","03/11/2015","11:36 AM","nuage","b1","female","age","muscle","global","grip","mmms",TRUE,939,4,NA,21,-21197.084,42436.169,42537.91,42471.215,42437.1766335878,"b1_female_age_muscle_global_grip_mmms.out"," e:\IALSA\IALSA_retour.dat",1.654,1.996,0.407,0.469,0.274,0.087,-1.047,0.717,0.145,0.334,0.556,0.548,0.321,0.417,0.442,179.05,10.952,0,2.822,0.908,0.002,-2.586,2.057,0.209,37.882,2.666,0,10.133,0.873,0,0.654,0.314,0.037,2.279,0.387,0,8.769,0.427,0,60.955,0.714,0,-2.048,0.182,0,95.377,0.177,0,-0.267,0.065,0
"Mplus VERSION 5.1","0.1","07/07/2015"," 6:11 PM","nuage","b1","male","a","muscle","global","grip","mmse",TRUE,851,4,NA,21,-16665.409,33372.818,33472.493,33405.803,33373.9325958987,"b1_male_a_muscle_global_grip_mmse.out"," f:\IALSA\IALSA_retour.dat",3.384,0.797,0,0.128,0.11,0.247,0.118,0.443,0.789,-0.048,0.188,0.799,0.015,0.22,0.945,219.196,14.007,0,1.892,0.887,0.033,-2.817,2.332,0.227,36.13,2.483,0,1.009,0.152,0,0.101,0.041,0.013,0.242,0.056,0,1.865,0.094,0,79.888,0.787,0,-2.473,0.165,0,28.217,0.073,0,-0.191,0.034,0
"Mplus VERSION 5.1","0.1","03/11/2015","11:57 AM","nuage","b1","male","aeh","muscle","global","grip","mmms",TRUE,847,4,NA,29,-19414.356,38886.712,39024.221,38932.126,38888.8417429621,"b1_male_aeh_muscle_global_grip_mmms.out"," e:\IALSA\IALSA_retour.dat",5.543,2.048,0.007,0.336,0.234,0.15,1.136,1.095,0.299,0.166,0.511,0.744,-0.704,0.47,0.134,202.81,13.592,0,1.949,0.894,0.029,-2.796,2.291,0.222,36.056,2.477,0,8.841,0.998,0,0.722,0.313,0.021,2.342,0.368,0,11.29,0.569,0,81.106,0.968,0,-2.505,0.235,0,91.57,0.262,0,-0.691,0.111,0
"Mplus VERSION 5.1","0.1","07/07/2015"," 6:12 PM","nuage","b1","male","aeh","muscle","global","grip","mmse",TRUE,847,4,NA,29,-16562.378,33182.755,33320.265,33228.17,33184.8847429621,"b1_male_aeh_muscle_global_grip_mmse.out"," f:\IALSA\IALSA_retour.dat",2.31,0.738,0.002,0.128,0.11,0.246,0.024,0.43,0.956,-0.043,0.176,0.806,0.02,0.219,0.928,202.652,13.582,0,1.897,0.887,0.032,-2.685,2.277,0.238,36.135,2.484,0,0.782,0.139,0,0.099,0.04,0.012,0.211,0.053,0,1.862,0.094,0,81.101,0.968,0,-2.507,0.235,0,27.83,0.098,0,-0.252,0.048,0
"Mplus VERSION 5.1","0.1","03/11/2015","12:02 PM","nuage","b1","male","aehplus","muscle","global","grip","mmms",TRUE,847,4,NA,45,-19406.683,38903.365,39116.742,38973.836,38908.5335393258,"b1_male_aehplus_muscle_global_grip_mmms.out"," e:\IALSA\IALSA_retour.dat",5.443,2.039,0.008,0.324,0.233,0.164,1.083,1.098,0.324,0.186,0.507,0.713,-0.708,0.47,0.131,201.521,13.584,0,1.924,0.892,0.031,-2.842,2.295,0.216,36.053,2.476,0,8.806,1.001,0,0.713,0.313,0.023,2.333,0.367,0,11.271,0.567,0,80.727,1.37,0,-2.36,0.291,0,91.208,0.337,0,-0.537,0.152,0
